state	pscore
1000000	2794
2000000	2789
3000000	2791
4000000	2788
5000000	2786
6000000	2786
7000000	2788
8000000	2788
9000000	2786
10000000	2789
11000000	2789
12000000	2785
13000000	2784
14000000	2786
15000000	2786
16000000	2786
17000000	2784
18000000	2787
19000000	2789
20000000	2785
21000000	2787
22000000	2786
23000000	2789
24000000	2785
25000000	2785
26000000	2784
27000000	2789
28000000	2785
29000000	2785
30000000	2790
31000000	2785
32000000	2786
33000000	2786
34000000	2787
35000000	2788
36000000	2789
37000000	2788
38000000	2787
39000000	2786
40000000	2786
41000000	2785
42000000	2785
43000000	2784
44000000	2788
45000000	2789
46000000	2784
47000000	2789
48000000	2786
49000000	2785
50000000	2785
51000000	2783
52000000	2790
53000000	2789
54000000	2790
55000000	2791
56000000	2788
57000000	2787
58000000	2787
59000000	2791
60000000	2791
61000000	2789
62000000	2788
63000000	2787
64000000	2787
65000000	2786
66000000	2785
67000000	2788
68000000	2788
69000000	2789
70000000	2786
71000000	2790
72000000	2787
73000000	2790
74000000	2788
75000000	2786
76000000	2790
77000000	2796
78000000	2788
79000000	2787
80000000	2789
81000000	2789
82000000	2790
83000000	2789
84000000	2787
85000000	2788
86000000	2787
87000000	2788
88000000	2790
89000000	2789
90000000	2790
91000000	2788
92000000	2789
93000000	2787
94000000	2787
95000000	2788
96000000	2789
97000000	2789
98000000	2786
99000000	2787
100000000	2789
101000000	2790
102000000	2790
103000000	2792
104000000	2794
105000000	2790
106000000	2786
107000000	2787
108000000	2790
109000000	2785
110000000	2785
111000000	2789
112000000	2788
113000000	2790
114000000	2785
115000000	2786
116000000	2785
117000000	2787
118000000	2788
119000000	2789
120000000	2789
121000000	2791
122000000	2789
123000000	2785
124000000	2786
125000000	2788
126000000	2787
127000000	2788
128000000	2791
129000000	2789
130000000	2789
131000000	2787
132000000	2790
133000000	2790
134000000	2788
135000000	2787
136000000	2787
137000000	2792
138000000	2787
139000000	2785
140000000	2789
141000000	2790
142000000	2789
143000000	2790
144000000	2789
145000000	2789
146000000	2790
147000000	2789
148000000	2790
149000000	2791
150000000	2790
151000000	2789
152000000	2790
153000000	2789
154000000	2787
155000000	2785
156000000	2788
157000000	2786
158000000	2785
159000000	2786
160000000	2788
161000000	2789
162000000	2786
163000000	2787
164000000	2789
165000000	2786
166000000	2786
167000000	2787
168000000	2786
169000000	2791
170000000	2787
171000000	2787
172000000	2788
173000000	2787
174000000	2790
175000000	2787
176000000	2790
177000000	2791
178000000	2792
179000000	2785
180000000	2786
181000000	2790
182000000	2785
183000000	2790
184000000	2785
185000000	2789
186000000	2788
187000000	2790
188000000	2788
189000000	2787
190000000	2785
191000000	2788
192000000	2790
193000000	2787
194000000	2790
195000000	2788
196000000	2786
197000000	2785
198000000	2788
199000000	2787
200000000	2792
201000000	2790
202000000	2793
203000000	2787
204000000	2785
205000000	2787
206000000	2788
207000000	2787
208000000	2790
209000000	2789
210000000	2787
211000000	2790
212000000	2789
213000000	2789
214000000	2788
215000000	2787
216000000	2791
217000000	2790
218000000	2789
219000000	2791
220000000	2789
221000000	2788
222000000	2789
223000000	2788
224000000	2790
225000000	2788
226000000	2788
227000000	2786
228000000	2787
229000000	2786
230000000	2790
231000000	2786
232000000	2787
233000000	2787
234000000	2788
235000000	2792
236000000	2790
237000000	2787
238000000	2787
239000000	2785
240000000	2786
241000000	2785
242000000	2786
243000000	2786
244000000	2784
245000000	2787
246000000	2791
247000000	2788
248000000	2791
249000000	2787
250000000	2787
251000000	2785
252000000	2786
253000000	2789
254000000	2786
255000000	2786
256000000	2787
257000000	2787
258000000	2787
259000000	2787
260000000	2790
261000000	2788
262000000	2790
263000000	2791
264000000	2788
265000000	2787
266000000	2786
267000000	2787
268000000	2792
269000000	2788
270000000	2791
271000000	2791
272000000	2788
273000000	2789
274000000	2785
275000000	2786
276000000	2789
277000000	2786
278000000	2788
279000000	2787
280000000	2791
281000000	2792
282000000	2791
283000000	2790
284000000	2787
285000000	2795
286000000	2795
287000000	2793
288000000	2790
289000000	2790
290000000	2790
291000000	2784
292000000	2784
293000000	2787
294000000	2794
295000000	2787
296000000	2788
297000000	2792
298000000	2794
299000000	2789
300000000	2789
301000000	2788
302000000	2791
303000000	2788
304000000	2791
305000000	2786
306000000	2789
307000000	2790
308000000	2790
309000000	2787
310000000	2790
311000000	2790
312000000	2790
313000000	2792
314000000	2792
315000000	2791
316000000	2793
317000000	2790
318000000	2791
319000000	2790
320000000	2791
321000000	2791
322000000	2794
323000000	2792
324000000	2792
325000000	2794
326000000	2791
327000000	2792
328000000	2789
329000000	2788
330000000	2789
331000000	2790
332000000	2787
333000000	2792
334000000	2788
335000000	2787
336000000	2788
337000000	2787
338000000	2788
339000000	2789
340000000	2790
341000000	2790
342000000	2789
343000000	2789
344000000	2790
345000000	2790
346000000	2786
347000000	2785
348000000	2786
349000000	2787
350000000	2788
351000000	2786
352000000	2787
353000000	2789
354000000	2787
355000000	2790
356000000	2789
357000000	2786
358000000	2787
359000000	2790
360000000	2789
361000000	2787
362000000	2789
363000000	2786
364000000	2790
365000000	2789
366000000	2787
367000000	2786
368000000	2788
369000000	2785
370000000	2787
371000000	2787
372000000	2786
373000000	2787
374000000	2788
375000000	2791
376000000	2788
377000000	2785
378000000	2791
379000000	2787
380000000	2790
381000000	2787
382000000	2791
383000000	2787
384000000	2784
385000000	2784
386000000	2787
387000000	2788
388000000	2789
389000000	2787
390000000	2791
391000000	2786
392000000	2789
393000000	2790
394000000	2787
395000000	2788
396000000	2786
397000000	2785
398000000	2787
399000000	2785
400000000	2787
401000000	2783
402000000	2786
403000000	2785
404000000	2789
405000000	2789
406000000	2788
407000000	2790
408000000	2793
409000000	2789
410000000	2788
411000000	2788
412000000	2787
413000000	2787
414000000	2788
415000000	2788
416000000	2786
417000000	2784
418000000	2787
419000000	2788
420000000	2785
421000000	2788
422000000	2787
423000000	2788
424000000	2787
425000000	2792
426000000	2790
427000000	2787
428000000	2786
429000000	2787
430000000	2787
431000000	2787
432000000	2787
433000000	2787
434000000	2790
435000000	2787
436000000	2787
437000000	2787
438000000	2785
439000000	2787
440000000	2789
441000000	2783
442000000	2787
443000000	2787
444000000	2788
445000000	2788
446000000	2788
447000000	2786
448000000	2788
449000000	2788
450000000	2788
451000000	2786
452000000	2786
453000000	2793
454000000	2786
455000000	2788
456000000	2787
457000000	2786
458000000	2792
459000000	2787
460000000	2786
461000000	2787
462000000	2787
463000000	2788
464000000	2790
465000000	2790
466000000	2789
467000000	2787
468000000	2788
469000000	2788
470000000	2786
471000000	2789
472000000	2792
473000000	2791
474000000	2790
475000000	2788
476000000	2786
477000000	2787
478000000	2785
479000000	2786
480000000	2787
481000000	2785
482000000	2787
483000000	2787
484000000	2786
485000000	2786
486000000	2789
487000000	2789
488000000	2785
489000000	2785
490000000	2789
491000000	2787
492000000	2786
493000000	2787
494000000	2787
495000000	2788
496000000	2789
497000000	2791
498000000	2790
499000000	2793
500000000	2787
501000000	2785
502000000	2786
503000000	2788
504000000	2787
505000000	2785
506000000	2786
507000000	2793
508000000	2789
509000000	2787
510000000	2790
511000000	2789
512000000	2790
513000000	2790
514000000	2788
515000000	2784
516000000	2786
517000000	2791
518000000	2789
519000000	2786
520000000	2792
521000000	2790
522000000	2788
523000000	2790
524000000	2786
525000000	2786
526000000	2787
527000000	2789
528000000	2790
529000000	2790
530000000	2790
531000000	2792
532000000	2793
533000000	2790
534000000	2791
535000000	2789
536000000	2791
537000000	2786
538000000	2787
539000000	2788
540000000	2787
541000000	2788
542000000	2789
543000000	2789
544000000	2787
545000000	2787
546000000	2787
547000000	2788
548000000	2785
549000000	2788
550000000	2787
551000000	2789
552000000	2790
553000000	2791
554000000	2791
555000000	2791
556000000	2793
557000000	2791
558000000	2785
559000000	2785
560000000	2787
561000000	2784
562000000	2783
563000000	2785
564000000	2785
565000000	2789
566000000	2787
567000000	2787
568000000	2787
569000000	2788
570000000	2787
571000000	2788
572000000	2786
573000000	2788
574000000	2789
575000000	2788
576000000	2786
577000000	2787
578000000	2788
579000000	2786
580000000	2785
581000000	2791
582000000	2788
583000000	2788
584000000	2789
585000000	2785
586000000	2788
587000000	2790
588000000	2789
589000000	2790
590000000	2790
591000000	2789
592000000	2788
593000000	2789
594000000	2790
595000000	2792
596000000	2789
597000000	2789
598000000	2794
599000000	2787
600000000	2788
