state	cp1.kappa	cp2.kappa	cp3.kappa	ig.kappa	cp1.alpha	cp2.alpha	cp3.alpha	ig.alpha	cp1.mu	cp2.mu	cp3.mu	ig.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ig.frequencies1	ig.frequencies2	ig.frequencies3	ig.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	9.242	11.547	12.190	8.561	0.1894	3.7927E-2	0.5343	0.4295	0.5173	0.4748	1.4020	1.6552	0.2952	0.2299	0.2885	0.1864	0.3065	0.2449	0.1719	0.2767	0.2877	0.2127	0.1956	0.3039	0.3412	0.1831	0.1699	0.3059	1.2624E-3	8.0908E-4	1.1751E-3	0.6573	9.4253E-4	1.502	1.933	131.393
2000000	10.203	12.409	15.241	8.394	9.9638E-2	1.7944E-2	0.5059	0.4061	0.5109	0.5138	1.4139	1.6071	0.2992	0.2356	0.2703	0.1948	0.3113	0.2403	0.1795	0.2689	0.2921	0.2102	0.1912	0.3065	0.3532	0.1853	0.1562	0.3052	1.2366E-3	8.771E-4	1.1802E-3	0.7176	8.3861E-4	1.807	2.101	132.119
3000000	8.791	10.892	11.834	8.664	0.1956	0.1301	0.4942	0.3300	0.5462	0.5253	1.3421	1.6342	0.2975	0.2285	0.2856	0.1884	0.3152	0.2366	0.1626	0.2856	0.2948	0.2146	0.1909	0.2997	0.3454	0.1993	0.1635	0.2918	1.2346E-3	9.0254E-4	1.1562E-3	0.7266	-1.2893E-2	2.714	2.091	130.207
4000000	9.528	11.165	12.660	9.173	0.1276	6.8154E-2	0.5307	0.4963	0.5171	0.5098	1.3696	1.6525	0.2999	0.2340	0.2671	0.1990	0.3295	0.2364	0.1672	0.2669	0.2787	0.2239	0.1963	0.3012	0.3421	0.2006	0.1648	0.2925	1.2326E-3	8.9944E-4	1.1818E-3	0.7261	2.5915E-2	3.188	2.118	133.707
5000000	9.594	10.905	12.851	9.989	0.1988	4.4789E-2	0.7884	0.3878	0.5407	0.5175	1.4831	1.4959	0.2951	0.2265	0.2734	0.2050	0.3182	0.2422	0.1629	0.2767	0.2843	0.2180	0.2019	0.2958	0.3533	0.1867	0.1647	0.2953	1.2151E-3	8.7491E-4	1.1666E-3	0.7198	1.8939E-2	2.219	1.881	131.516
6000000	7.787	15.983	13.351	8.448	0.1785	3.0696E-2	0.5069	0.2776	0.5023	0.5105	1.4094	1.6248	0.3077	0.2265	0.2661	0.1998	0.3113	0.2348	0.1705	0.2834	0.2907	0.2127	0.1905	0.3061	0.3420	0.1962	0.1661	0.2958	1.2584E-3	9.0501E-4	1.1704E-3	0.6825	-2.6878E-3	2.457	1.991	131.313
7000000	10.890	11.609	14.284	8.927	3.8099E-2	1.9754E-2	0.5694	0.3341	0.5545	0.5150	1.4026	1.5709	0.3177	0.2196	0.2758	0.1869	0.3187	0.2376	0.1756	0.2680	0.2807	0.2154	0.2013	0.3025	0.3481	0.1878	0.1680	0.2960	1.2862E-3	8.7173E-4	1.2267E-3	0.6939	1.0852E-2	1.505	1.937	126.404
8000000	8.296	10.316	12.374	8.908	0.2475	4.2018E-2	0.5886	0.3969	0.5576	0.4940	1.4828	1.5034	0.3040	0.2297	0.2831	0.1832	0.3109	0.2316	0.1773	0.2802	0.2947	0.2094	0.1995	0.2964	0.3521	0.1951	0.1528	0.2999	1.2556E-3	9.1055E-4	1.1975E-3	0.7353	2.9236E-2	4.214	1.982	127.245
9000000	8.461	10.481	13.677	7.768	0.1858	2.7303E-2	0.7773	0.3286	0.5444	0.5016	1.4886	1.5032	0.3035	0.2182	0.2768	0.2015	0.3089	0.2315	0.1734	0.2862	0.2953	0.2073	0.1990	0.2985	0.3253	0.2126	0.1742	0.2878	1.2305E-3	8.5342E-4	1.1539E-3	0.6962	-8.9645E-3	1.982	1.958	133.556
10000000	6.742	14.383	12.997	8.284	0.2148	1.2539E-2	0.5479	0.3294	0.5704	0.4547	1.4886	1.5258	0.3045	0.2215	0.2831	0.1909	0.3078	0.2426	0.1670	0.2826	0.2888	0.2121	0.1890	0.3100	0.3376	0.2052	0.1640	0.2932	1.3663E-3	1.1144E-3	1.247E-3	0.8110	-2.3315E-2	3.094	1.964	126.464
