state	posterior	prior	likelihood	skygrid
1000000	-85305.739	-29691.202	-55614.537	-3691.732
2000000	-85261.065	-29653.901	-55607.164	-3654.886
3000000	-85292.470	-29702.148	-55590.322	-3702.824
4000000	-85333.075	-29656.695	-55676.380	-3656.098
5000000	-85322.505	-29701.955	-55620.550	-3703.065
6000000	-85420.557	-29762.497	-55658.060	-3762.940
7000000	-85372.741	-29735.478	-55637.263	-3736.628
8000000	-85349.928	-29661.477	-55688.450	-3661.792
9000000	-85254.033	-29644.473	-55609.560	-3644.737
10000000	-85288.846	-29671.934	-55616.912	-3672.507
11000000	-85181.144	-29541.741	-55639.403	-3543.769
12000000	-85256.793	-29648.748	-55608.044	-3649.368
13000000	-85144.987	-29519.919	-55625.068	-3521.004
14000000	-85231.122	-29657.771	-55573.351	-3658.951
15000000	-85301.301	-29642.679	-55658.622	-3643.781
16000000	-85391.783	-29755.424	-55636.359	-3755.837
17000000	-85257.046	-29673.156	-55583.890	-3673.851
18000000	-85380.433	-29801.394	-55579.039	-3802.920
19000000	-85325.622	-29746.514	-55579.108	-3746.912
20000000	-85355.609	-29728.294	-55627.314	-3729.179
21000000	-85370.505	-29709.140	-55661.366	-3710.392
22000000	-85275.996	-29761.151	-55514.845	-3760.451
23000000	-85400.928	-29773.198	-55627.730	-3774.246
24000000	-85316.540	-29695.838	-55620.702	-3698.253
25000000	-85263.484	-29679.626	-55583.858	-3680.672
26000000	-85293.647	-29665.582	-55628.064	-3666.219
27000000	-85319.438	-29658.471	-55660.967	-3659.011
28000000	-85210.814	-29651.566	-55559.248	-3652.620
29000000	-85299.122	-29678.419	-55620.703	-3679.050
30000000	-85219.842	-29641.653	-55578.189	-3642.763
31000000	-85295.972	-29705.672	-55590.300	-3706.740
32000000	-85448.308	-29792.588	-55655.719	-3794.492
33000000	-85440.136	-29793.103	-55647.032	-3794.429
34000000	-85336.626	-29709.784	-55626.843	-3710.221
35000000	-85382.548	-29726.754	-55655.794	-3727.925
36000000	-85350.628	-29657.692	-55692.936	-3657.838
37000000	-85399.061	-29773.575	-55625.486	-3775.076
