state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
1000000	-1.153	-1.164	-0.668	-0.764	-1.330	-1.129	-1.254	-1.039	-1.082	-0.602	-0.886	-0.061	0.042	0.175	-0.596	-0.041	0.572	0.816	0.949	0.922	1.830	1.310	0.722	1.280	1.622	2.423	2.573	1.782	2.564	2.603	2.717	2.458	2.107	1.958	1.034	1.650	1.421	0.469	-0.167	-1.150	-1.508	-0.913	-1.469	-0.106	-1.154	-0.868	-2.094	-1.607	-2.297	-2.909
2000000	-2.413	-2.431	-2.779	-2.129	-2.194	-1.711	-1.609	-1.076	-0.432	-0.732	-0.313	0.429	-0.108	-0.443	0.107	0.156	0.290	0.796	0.649	1.862	1.442	1.232	0.744	1.508	1.450	2.753	2.296	2.562	2.789	2.743	2.363	2.106	2.270	2.782	1.078	1.029	1.114	0.336	-0.382	-1.312	-1.035	-0.972	-0.432	-0.680	-1.709	-2.170	-2.211	-2.110	-0.994	-1.260
3000000	-0.073	-1.671	-1.196	-1.941	-1.764	-2.338	-2.627	-1.651	-0.659	-0.321	0.036	0.073	0.077	0.184	0.076	-0.194	0.502	0.932	0.371	0.908	1.835	1.062	0.887	1.416	1.227	2.725	1.801	2.142	2.703	2.608	2.625	2.277	1.868	2.284	1.001	0.693	1.240	0.780	-0.635	-1.367	-1.613	-1.649	-1.433	-0.426	-1.826	-2.267	-4.222	-3.305	-2.792	-3.547
4000000	-1.686	-1.767	-1.483	-1.953	-0.438	-2.054	-1.482	-0.802	-0.722	-1.024	-0.262	-0.164	-0.239	0.207	0.060	0.137	0.411	0.699	1.341	0.800	1.531	0.598	1.035	1.626	1.343	2.466	2.564	2.574	2.344	2.624	2.419	2.645	2.021	2.429	0.974	1.474	1.695	0.623	-0.204	-0.932	-0.685	-0.447	-0.491	-0.827	-1.307	-1.543	-1.682	-2.411	-2.495	-3.174
5000000	-2.395	-1.721	-1.901	-1.761	-1.006	-1.506	-0.943	-1.346	-0.513	0.649	-0.236	0.263	0.459	0.493	-0.449	-0.232	1.308	0.595	0.161	1.305	1.170	1.161	0.817	1.259	1.552	2.366	2.116	2.062	2.853	2.602	2.569	2.086	2.142	2.359	1.144	1.031	1.529	0.980	-0.208	-1.897	-1.278	-0.639	-0.619	-0.433	-1.063	-1.394	-2.361	-3.239	-3.237	-3.048
6000000	-1.696	-1.928	-2.050	-1.987	-1.312	-1.303	-0.930	-1.088	-0.569	-0.428	-0.363	-0.305	0.158	-0.177	-0.033	0.012	-0.060	0.501	0.461	1.108	1.469	1.119	0.820	1.462	1.613	2.409	2.037	2.607	2.756	2.616	2.872	2.683	2.419	2.517	1.202	1.596	1.260	0.686	-0.211	-0.780	-0.949	-0.882	-0.712	-0.671	-0.656	-0.732	-0.404	-0.640	-1.324	-1.811
7000000	-2.354	-2.221	-2.068	-1.767	-2.191	-1.795	-1.927	-1.454	-0.668	-0.383	-0.033	0.050	0.016	0.140	0.189	0.448	0.325	0.375	0.692	1.048	1.802	1.089	0.923	1.307	1.467	2.435	2.804	2.455	2.520	2.524	2.822	2.420	2.246	2.353	0.950	1.107	1.002	0.471	-0.543	-1.085	-0.672	-1.009	-0.315	-0.078	-0.941	-1.862	-2.810	-3.009	-3.481	-4.661
8000000	1.056	1.857	0.962	-0.483	-0.409	-1.376	-1.134	-0.991	-0.837	-0.337	0.355	0.827	0.639	0.198	-0.104	0.136	0.485	0.660	0.965	1.742	1.525	1.529	0.845	1.538	1.549	2.972	2.010	2.419	2.850	2.539	2.817	2.191	2.619	2.373	0.921	1.363	1.189	0.663	-0.252	-1.417	-1.249	-0.365	-0.475	-0.439	-1.111	-2.891	-3.875	-3.397	-4.024	-4.650
9000000	-3.909	-3.163	-2.781	-3.096	-2.935	-2.069	-1.605	-1.602	-1.398	-0.102	-0.647	-0.335	0.314	0.079	0.408	0.091	0.526	1.068	0.230	1.506	1.867	2.178	0.774	1.753	1.329	3.029	2.696	2.478	2.329	2.760	3.152	2.407	2.777	1.821	0.996	0.928	1.197	0.277	0.175	-1.441	-2.109	-1.765	-0.465	0.228	-1.141	-2.035	-1.226	-0.825	-1.008	-0.278
10000000	-4.410	-4.740	-4.358	-3.444	-2.485	-1.694	-1.384	-1.030	-0.272	-0.283	-0.452	-0.231	0.188	-0.236	0.260	0.373	0.825	0.437	0.357	0.987	2.004	1.514	0.445	1.207	1.621	3.178	2.483	2.527	2.499	2.765	2.299	2.946	2.403	2.357	0.830	2.097	1.312	0.266	-0.457	-1.536	-1.945	-0.342	-0.003	-0.147	-1.067	-1.009	-1.742	-3.309	-3.634	-3.342
11000000	1.446	0.646	0.600	0.259	0.063	-1.368	-1.441	-0.731	-0.772	0.173	0.193	0.216	-0.054	0.057	0.370	-0.609	0.280	1.071	1.234	0.871	1.695	1.846	0.289	0.812	1.522	2.484	1.986	2.365	2.498	3.318	2.561	2.095	2.434	2.341	1.059	1.188	1.627	0.119	-0.507	-0.918	-1.316	-2.021	-0.645	-0.643	-0.430	-1.034	-2.455	-2.695	-3.753	-4.430
12000000	-3.146	-4.037	-4.559	-3.666	-3.046	-1.789	-1.286	-1.451	-0.031	-0.306	-0.127	0.042	0.219	-0.143	0.055	-0.658	0.047	0.767	1.464	1.080	1.727	1.372	0.939	1.206	1.624	2.201	2.704	1.985	2.349	2.786	2.750	2.607	2.599	2.123	0.909	1.037	1.012	0.937	-0.571	-1.586	-1.543	-0.951	0.154	-0.192	-1.243	-2.144	-3.043	-2.661	-3.068	-2.593
13000000	-2.637	-2.401	-2.155	-2.171	-1.043	-1.184	-1.457	-2.003	-1.088	-0.442	-0.454	0.560	0.008	-0.385	0.239	-0.221	0.203	0.620	0.767	1.043	1.501	1.123	0.992	1.048	1.501	2.811	1.747	2.449	2.487	2.968	2.633	2.250	2.230	2.454	0.986	1.300	1.281	0.438	-0.546	-1.202	-1.377	-0.958	-0.906	-0.356	-1.277	-1.487	-2.116	-2.110	-2.514	-3.458
14000000	-2.141	-1.034	-1.423	-1.224	-1.132	-2.541	-1.617	-0.975	-0.761	0.165	0.444	0.707	0.594	0.035	0.161	0.020	0.553	0.974	0.623	1.220	1.529	1.118	1.119	1.099	1.542	2.515	2.014	2.388	3.223	2.748	2.394	2.668	2.705	2.138	0.734	1.572	1.221	0.241	-0.517	-0.877	-0.682	-0.953	-1.158	-0.228	-1.191	-1.841	-2.860	-3.483	-3.883	-3.611
15000000	-2.186	-1.770	-0.359	-0.796	0.454	-0.941	-0.873	-0.590	-0.030	0.421	-0.785	-0.380	0.038	-0.062	-0.175	-0.041	0.473	0.496	0.152	1.127	1.303	0.868	0.817	1.171	1.745	2.456	3.546	1.892	2.253	3.243	2.902	2.702	1.964	1.850	0.858	2.240	0.968	0.814	-0.084	-1.122	-2.164	-1.825	-0.096	-0.424	-1.134	-0.636	-1.179	-1.800	-1.889	-2.841
16000000	-2.959	-1.702	-1.191	-0.724	-0.994	-0.706	-1.351	-0.867	-0.209	-0.133	1.614	0.107	-0.170	-0.170	0.108	-0.080	0.396	1.224	0.891	0.801	1.815	1.190	0.859	1.369	1.508	2.151	2.494	1.598	2.642	2.790	2.642	2.566	1.908	1.960	0.745	1.983	1.123	1.070	-0.243	-1.559	-2.058	-0.789	-1.244	-0.591	-0.774	-1.705	-2.416	-2.312	-1.394	-2.434
17000000	-0.889	-1.246	-2.071	-3.051	-3.610	-4.093	-2.827	-1.290	-0.178	1.397	0.339	0.258	0.415	-0.207	0.173	-0.014	0.451	0.879	1.076	1.377	2.098	0.836	1.009	1.045	1.183	2.898	2.510	1.876	2.356	3.217	2.435	2.938	3.183	2.165	0.875	1.085	1.677	0.999	-0.107	-2.053	-1.545	-0.329	-0.813	-0.050	-0.941	-2.102	-2.840	-0.388	-0.032	-0.127
18000000	-4.143	-3.615	-2.851	-4.643	-3.262	-2.890	-2.378	-1.802	-1.082	-0.899	-0.438	0.270	0.563	0.205	-0.076	-0.036	0.084	1.303	1.359	0.871	1.570	1.238	1.115	1.206	1.619	2.511	2.421	2.049	2.610	2.790	2.804	2.421	2.189	2.497	0.887	1.444	1.988	0.689	-0.559	-1.189	-1.124	-0.646	-0.427	-0.322	-0.371	0.083	-0.273	-1.886	-2.688	-3.554
19000000	-4.463	-3.256	-3.241	-2.567	-1.719	-2.362	-2.364	-0.928	-0.779	-0.362	-0.031	-0.058	-0.002	0.554	-0.111	0.036	0.597	1.044	0.871	0.637	2.176	1.672	0.798	1.083	1.842	2.324	2.806	2.029	2.728	2.680	3.230	2.368	2.563	2.794	0.971	1.966	1.104	0.462	-0.730	-1.191	-1.561	-1.577	-0.355	-0.079	-1.131	-1.725	-2.272	-2.511	-4.063	-3.701
20000000	-1.074	-1.297	-1.622	-1.538	-1.854	-2.580	-2.165	-0.997	-0.856	-0.573	-0.461	-0.125	-0.153	0.202	0.207	-0.308	0.150	1.316	0.694	1.154	1.430	1.222	0.745	1.140	1.622	2.710	2.950	2.458	2.856	2.791	2.795	2.652	2.610	2.506	0.589	1.172	1.342	0.785	0.127	-0.995	-1.025	-1.070	-0.328	-0.706	-1.712	-2.123	-1.874	-1.784	-1.827	-1.468
21000000	-2.117	-0.955	-0.627	-1.388	-1.787	-1.998	-2.452	-1.786	-1.198	-0.934	0.573	-0.094	0.583	0.159	0.328	-0.496	1.815	1.422	0.595	1.227	1.532	1.515	0.511	1.536	2.221	2.198	2.490	2.081	2.655	3.207	2.743	2.579	3.114	2.867	0.779	1.770	1.271	1.550	-0.154	-1.421	-1.456	-0.185	-0.492	-0.231	-1.177	-2.867	-1.862	-0.436	0.008	0.835
22000000	-0.319	-1.532	-1.690	-1.351	-1.535	-1.914	-2.357	-2.519	-0.585	-1.056	0.124	0.963	1.222	0.698	-0.348	0.818	0.358	0.620	0.247	1.065	2.104	1.633	0.508	1.106	1.427	2.579	2.090	2.552	2.142	2.589	2.492	2.301	2.227	2.431	1.096	1.581	0.599	1.478	-0.425	-1.759	-1.577	-2.034	0.193	-0.441	-1.994	-2.621	-3.065	-2.334	-4.172	-2.781
23000000	-3.159	-3.402	-3.719	-3.845	-3.194	-3.075	-1.740	-1.457	-1.286	-0.410	-0.721	0.023	0.096	0.078	0.247	-0.211	0.077	0.172	0.802	0.919	1.644	1.437	0.645	1.626	1.589	2.499	1.975	2.046	2.278	2.818	2.398	2.581	2.145	2.106	1.069	1.288	0.919	0.299	-0.638	-1.468	-1.288	-1.407	-0.676	-1.073	-1.851	-2.091	-1.907	-2.210	-1.871	-2.903
24000000	-5.176	-4.798	-3.660	-2.853	-2.982	-2.324	-1.984	-1.065	-1.050	-0.290	-0.253	0.492	0.484	-0.149	0.192	0.308	0.275	0.928	0.429	1.108	1.402	1.198	0.578	1.540	1.363	2.761	2.120	2.747	2.467	2.518	2.664	1.986	2.120	2.208	1.134	1.644	0.781	0.461	-0.166	-1.689	-1.528	-1.056	-0.750	0.181	-0.518	-0.930	-1.707	-2.490	-1.326	0.033
25000000	-1.193	-1.873	-2.046	-2.510	-1.991	-0.314	-0.462	-1.379	-0.863	0.159	0.339	0.496	0.361	0.076	-0.219	-0.095	0.528	1.008	1.260	1.203	1.099	1.488	1.050	1.249	1.523	2.797	2.120	2.266	2.510	3.250	2.317	2.604	2.432	2.007	1.137	1.331	1.023	0.169	-0.164	-1.330	-0.834	-1.715	-0.696	-0.790	-1.265	-0.470	-1.866	-2.180	-2.359	-2.834
26000000	-2.933	-2.363	-2.133	-1.790	-2.312	-2.192	-2.229	-1.167	-1.029	-0.588	-0.555	-0.443	-0.047	-0.097	0.250	0.566	0.081	1.384	0.729	1.143	1.495	1.337	0.894	1.560	1.615	2.641	2.324	2.531	2.116	3.244	2.545	2.426	2.345	2.282	1.218	0.724	1.143	0.520	-0.273	-0.995	-1.376	-0.533	-0.625	0.211	-1.536	-2.428	-2.442	-2.471	-2.232	-1.857
27000000	0.449	0.444	0.011	-0.076	-0.712	-1.450	-1.440	-1.093	-0.620	0.197	-0.430	0.102	0.548	0.380	-0.162	-0.081	0.698	1.264	0.982	1.269	1.786	1.258	0.752	1.254	1.328	2.501	3.047	2.281	2.759	2.633	2.694	2.525	2.590	2.467	1.165	0.992	1.235	0.669	-0.116	-0.667	-1.157	-1.641	-0.916	-0.797	-1.477	-1.308	-1.922	-2.146	-2.557	-2.706
28000000	-2.369	-1.605	-1.422	-0.836	-2.336	-1.600	-2.094	-0.969	-0.384	-0.164	0.317	0.031	0.060	0.180	0.168	0.024	0.468	0.925	0.311	0.924	1.485	1.284	0.748	1.530	1.439	2.342	2.995	2.764	2.303	3.493	2.430	2.696	2.227	1.883	1.128	1.079	1.034	0.918	0.199	-1.810	-1.039	-0.787	-0.697	-0.051	-1.760	-1.839	-2.113	-1.710	-1.398	-1.488
