state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	7.926	9.912	0.2517	1.2511	1.0322	0.9356	0.3077	0.2327	0.2042	0.2554	0.2991	0.2140	0.2348	0.2522	9.43E-4	1.0022E-3	8.1578E-4	0.9112	0.1522	0.617	1.691	29.175
2000000	7.848	9.195	0.3257	0.7372	0.9035	1.1930	0.3116	0.2303	0.2013	0.2569	0.2937	0.2137	0.2474	0.2452	9.4577E-4	6.3246E-4	8.6367E-4	0.6504	-4.1303E-2	1.414	1.754	25.064
3000000	7.969	6.172	0.1191	0.1047	0.9782	1.0437	0.3133	0.2250	0.2054	0.2564	0.2993	0.2237	0.2362	0.2408	9.0385E-4	6.7061E-4	8.1018E-4	0.7450	-4.4916E-2	0.481	1.610	29.999
4000000	7.895	10.342	0.1160	0.2770	0.9061	1.1878	0.3210	0.2250	0.2056	0.2483	0.2827	0.2220	0.2400	0.2552	9.0719E-4	8.0049E-4	8.0728E-4	0.7845	2.3114E-2	2.665	1.610	27.834
5000000	9.170	6.034	4.5592E-2	0.8104	0.8872	1.2256	0.3096	0.2315	0.2085	0.2504	0.3083	0.2153	0.2364	0.2400	1.0975E-3	1.0973E-3	9.4921E-4	0.9420	-2.1485E-2	9.829	1.883	26.048
6000000	6.714	6.805	3.7274E-2	0.9440	0.9064	1.1871	0.3118	0.2292	0.2001	0.2589	0.2938	0.2183	0.2392	0.2487	1.0298E-3	9.5023E-4	9.3646E-4	0.8950	-5.1597E-2	0.367	1.678	27.688
7000000	7.634	10.120	0.1416	0.4327	0.9449	1.1102	0.3093	0.2309	0.2085	0.2513	0.2966	0.2183	0.2331	0.2520	9.308E-4	6.6165E-4	8.6393E-4	0.7060	9.5506E-2	4.315	1.813	26.253
8000000	9.087	8.270	8.2479E-2	0.6707	0.9719	1.0562	0.3121	0.2310	0.2068	0.2501	0.2889	0.2281	0.2341	0.2489	1.0004E-3	7.5391E-4	1.014E-3	0.7272	3.4955E-2	3.627	1.580	25.889
9000000	8.633	12.939	2.9688E-2	0.7479	0.9318	1.1365	0.3159	0.2335	0.1980	0.2527	0.3001	0.2148	0.2276	0.2576	9.4392E-4	8.6529E-4	8.3619E-4	0.8534	-2.7502E-2	1.524	1.584	28.052
10000000	8.048	6.343	0.1010	4.3955E-2	0.8283	1.3435	0.3138	0.2311	0.2084	0.2467	0.2914	0.2225	0.2403	0.2458	8.968E-4	7.1089E-4	8.1602E-4	0.7246	8.6348E-2	4.830	1.680	27.842
11000000	8.769	7.078	0.1155	0.2813	0.9184	1.1633	0.3099	0.2349	0.1992	0.2561	0.2874	0.2184	0.2397	0.2546	8.8892E-4	7.4147E-4	7.6637E-4	0.9328	-6.6858E-2	1.285	1.746	29.616
12000000	7.150	8.502	1.3143E-2	0.4502	0.9050	1.1901	0.3105	0.2296	0.2067	0.2532	0.2986	0.2226	0.2276	0.2513	8.7739E-4	7.4956E-4	8.1683E-4	0.8774	-5.4364E-2	5.889	1.686	27.919
13000000	8.789	14.349	6.689E-2	1.1462	0.9305	1.1390	0.3154	0.2222	0.2023	0.2600	0.2977	0.2120	0.2365	0.2537	8.6415E-4	8.123E-4	8.0182E-4	1.0120	2.8557E-2	1.011	1.783	29.024
14000000	9.321	9.884	0.2840	0.2575	0.9153	1.1695	0.3146	0.2238	0.2068	0.2548	0.2957	0.2166	0.2342	0.2536	8.965E-4	6.6146E-4	7.6964E-4	0.7020	5.1784E-2	0.707	1.648	30.209
