state	posterior	prior	likelihood	skygrid
1000000	-31416.497	-4042.994	-27373.503	-259.692
2000000	-31404.119	-4053.210	-27350.909	-268.234
3000000	-31387.882	-4005.819	-27382.063	-221.760
4000000	-31435.273	-4050.464	-27384.810	-267.755
5000000	-31379.458	-4039.685	-27339.774	-254.076
6000000	-31383.200	-4015.354	-27367.846	-232.687
7000000	-31337.028	-4002.092	-27334.936	-218.666
8000000	-31385.984	-4035.933	-27350.052	-252.227
9000000	-31417.442	-4039.002	-27378.440	-255.779
10000000	-31322.717	-3971.282	-27351.435	-185.545
11000000	-31370.923	-4031.196	-27339.726	-247.195
12000000	-31357.121	-4001.603	-27355.518	-217.421
13000000	-31405.457	-4066.373	-27339.085	-280.922
14000000	-31373.660	-4028.951	-27344.709	-242.661
15000000	-31435.213	-4061.088	-27374.125	-275.681
16000000	-31424.796	-4086.362	-27338.434	-302.361
17000000	-31419.698	-4063.944	-27355.755	-279.295
18000000	-31335.493	-3995.045	-27340.448	-211.538
19000000	-31381.769	-4020.856	-27360.913	-237.844
20000000	-31374.174	-4025.547	-27348.627	-243.293
21000000	-31426.613	-4079.047	-27347.566	-294.973
22000000	-31437.497	-4065.149	-27372.348	-280.667
23000000	-31369.965	-4033.730	-27336.236	-249.666
24000000	-31354.857	-4019.349	-27335.509	-234.976
25000000	-31395.581	-4044.713	-27350.868	-261.072
26000000	-31419.325	-4054.782	-27364.543	-269.472
27000000	-31439.043	-4089.601	-27349.443	-307.244
28000000	-31341.315	-4013.581	-27327.734	-229.867
29000000	-31404.738	-4024.755	-27379.983	-239.714
30000000	-31357.400	-4003.098	-27354.302	-220.832
31000000	-31373.067	-3993.717	-27379.350	-206.648
32000000	-31333.631	-3986.402	-27347.228	-201.088
33000000	-31395.302	-4027.981	-27367.321	-244.292
34000000	-31389.675	-4046.175	-27343.500	-262.819
35000000	-31376.001	-4025.910	-27350.091	-241.742
36000000	-31408.985	-4042.183	-27366.802	-258.487
37000000	-31377.909	-4014.979	-27362.930	-230.654
38000000	-31331.861	-3990.733	-27341.128	-208.342
39000000	-31379.714	-4024.447	-27355.267	-238.479
40000000	-31448.431	-4085.691	-27362.740	-301.157
41000000	-31387.377	-4047.479	-27339.898	-261.787
42000000	-31391.246	-4047.414	-27343.833	-262.692
43000000	-31355.683	-3991.764	-27363.919	-206.348
44000000	-31404.747	-4067.786	-27336.961	-283.932
45000000	-31320.709	-3979.436	-27341.273	-196.575
46000000	-31381.223	-4046.664	-27334.559	-262.622
47000000	-31428.886	-4057.654	-27371.231	-272.361
48000000	-31371.340	-4045.156	-27326.184	-261.506
49000000	-31377.834	-4017.814	-27360.019	-234.655
50000000	-31347.663	-3997.372	-27350.291	-213.736
51000000	-31395.112	-4039.678	-27355.434	-255.769
52000000	-31376.312	-4021.412	-27354.900	-237.758
53000000	-31389.438	-4022.858	-27366.580	-239.748
54000000	-31360.864	-3996.579	-27364.285	-211.606
55000000	-31339.908	-4006.620	-27333.289	-220.459
56000000	-31376.181	-4028.872	-27347.309	-245.760
57000000	-31424.336	-4046.387	-27377.949	-262.382
58000000	-31428.420	-4032.707	-27395.714	-248.028
59000000	-31430.353	-4053.599	-27376.754	-268.973
60000000	-31395.805	-4045.254	-27350.551	-262.011
61000000	-31423.826	-4069.947	-27353.879	-285.711
62000000	-31363.179	-4024.339	-27338.840	-239.286
63000000	-31389.871	-4049.843	-27340.028	-266.844
64000000	-31389.347	-4024.734	-27364.613	-239.788
65000000	-31426.543	-4053.454	-27373.090	-269.890
66000000	-31362.087	-3989.420	-27372.667	-203.994
67000000	-31378.772	-4012.565	-27366.207	-227.113
68000000	-31401.055	-4040.852	-27360.203	-253.249
69000000	-31402.596	-4040.697	-27361.900	-257.921
70000000	-31391.177	-4037.565	-27353.612	-251.612
71000000	-31369.414	-3998.305	-27371.109	-214.143
72000000	-31358.891	-4011.365	-27347.526	-229.033
73000000	-31388.777	-4020.833	-27367.945	-235.984
74000000	-31417.781	-4092.680	-27325.101	-306.042
75000000	-31393.072	-4023.626	-27369.446	-237.821
76000000	-31417.536	-4059.969	-27357.568	-273.994
77000000	-31377.839	-4025.367	-27352.471	-241.948
78000000	-31360.407	-3997.604	-27362.803	-215.208
79000000	-31365.057	-3994.879	-27370.178	-207.538
80000000	-31448.078	-4077.920	-27370.158	-294.706
81000000	-31349.496	-4022.380	-27327.116	-237.782
82000000	-31363.295	-4009.368	-27353.927	-225.556
83000000	-31407.438	-4049.658	-27357.780	-262.645
84000000	-31325.095	-3989.968	-27335.127	-204.792
85000000	-31381.347	-3992.121	-27389.226	-208.403
86000000	-31427.308	-4046.611	-27380.697	-262.620
87000000	-31395.025	-4067.734	-27327.291	-284.540
88000000	-31386.510	-4026.125	-27360.385	-242.216
89000000	-31435.890	-4075.694	-27360.196	-291.562
90000000	-31397.403	-4029.757	-27367.647	-244.075
91000000	-31359.416	-4011.635	-27347.782	-226.617
92000000	-31362.985	-3999.699	-27363.286	-214.958
93000000	-31414.196	-4054.641	-27359.555	-270.425
94000000	-31440.407	-4070.165	-27370.242	-285.251
95000000	-31366.239	-3999.908	-27366.332	-214.837
96000000	-31389.406	-4054.405	-27335.000	-269.940
97000000	-31367.120	-4013.906	-27353.214	-229.017
98000000	-31378.223	-4032.047	-27346.176	-244.215
99000000	-31339.449	-3994.069	-27345.380	-210.452
100000000	-31444.367	-4063.423	-27380.945	-279.575
101000000	-31354.163	-3985.338	-27368.825	-202.211
102000000	-31329.928	-3989.143	-27340.785	-203.733
103000000	-31394.190	-4050.165	-27344.025	-265.956
104000000	-31427.476	-4060.657	-27366.819	-274.585
105000000	-31416.913	-4046.593	-27370.321	-262.306
106000000	-31429.681	-4057.201	-27372.479	-273.305
