state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
1000000	-1.242	-1.714	-1.725	-1.711	-1.238	-0.878	-1.277	-0.543	-0.034	0.393	0.740	0.496	0.821	1.105	1.005	0.810	0.384	0.161	0.281	-0.358	-0.162	0.529	0.146	0.122	0.019	-0.497	-0.634	-0.119	-0.278	0.123	0.461	0.305	0.252	-0.349	-0.456	-0.036	-0.068	-0.644	-0.694	-0.942	-0.866	-0.889	-1.287	-1.165	-1.513	-1.524	-1.477	-1.161	-1.088	-0.760
2000000	-3.334	-3.037	-2.284	-1.646	-1.434	-0.775	-1.003	-0.979	-0.922	0.149	-0.040	0.582	0.779	0.646	0.121	0.699	0.104	-0.397	-0.423	-0.436	1.584	1.832	1.036	0.511	-0.242	-0.432	-0.039	-0.350	-0.251	0.546	-0.330	1.285	0.357	-0.482	-0.614	-0.771	-0.740	-0.806	-1.245	-1.757	-2.450	-2.635	-2.220	-1.852	-2.321	-1.921	-1.500	-1.212	-2.117	-2.540
3000000	-3.314	-2.148	-2.131	-2.098	-0.961	-0.269	-0.233	-0.965	-0.236	0.679	0.999	0.222	0.756	1.441	1.005	1.106	1.487	0.111	-0.247	0.136	-0.127	-0.162	-0.253	0.088	0.647	-0.513	-1.240	0.526	0.662	-0.220	0.050	-0.049	-0.681	-0.022	-0.774	-0.404	-0.181	-0.808	-0.613	-1.807	-1.664	-1.144	-2.334	-4.113	-3.719	-2.281	-2.217	-1.369	-1.632	-2.773
4000000	-1.434	-2.143	-2.500	-1.767	-1.214	-1.734	-1.813	0.075	1.177	0.946	1.566	1.971	1.141	1.578	1.645	0.747	0.288	0.113	-0.105	0.222	-0.065	0.529	1.255	1.360	0.818	-0.528	-0.487	0.057	-1.509	-0.129	-0.493	-0.584	0.267	0.578	0.241	-0.398	-0.167	-0.294	-1.546	-1.876	-1.522	-1.062	-1.246	-1.017	-2.472	-2.549	-3.146	-2.742	-2.344	-1.703
5000000	-2.321	-2.533	-1.583	-1.366	-1.203	-0.622	-1.050	0.037	-0.138	1.712	0.314	1.547	1.268	0.904	1.266	1.277	0.661	-0.348	-0.946	-0.229	0.028	0.854	1.720	1.992	0.249	-0.426	-0.102	-0.562	-0.312	0.488	0.015	0.087	0.076	1.250	0.007	0.240	-0.086	-1.114	-0.409	-1.489	-1.218	-1.712	-2.317	-3.347	-2.711	-2.416	-1.374	-0.941	0.302	0.068
6000000	-0.195	-1.997	-2.506	-1.486	-0.540	0.127	-1.451	-1.721	0.301	1.471	1.923	-0.094	0.969	1.964	0.776	0.810	0.448	1.425	1.783	-0.176	0.830	-0.020	0.242	0.894	1.456	-0.076	0.195	0.921	-0.845	-0.382	0.853	-0.138	-0.400	-0.390	-0.123	0.703	0.141	-0.237	-0.949	-0.714	-0.177	-0.298	-0.065	0.139	-1.478	-0.547	-1.923	-1.962	-2.361	-2.186
7000000	-2.678	-2.315	-2.253	-2.086	-1.376	-1.712	-1.595	-1.420	-0.232	-0.067	0.557	-0.335	0.514	1.346	1.103	0.981	0.736	-0.065	-0.282	-0.770	0.061	0.490	0.938	0.239	0.351	-0.765	-0.440	-0.355	-0.879	0.180	-0.636	-0.349	-0.047	-0.121	-0.389	-0.467	-0.669	-1.322	-1.331	-1.127	-1.876	-1.783	-1.443	-2.103	-2.019	-2.112	-2.123	-3.206	-2.983	-2.677
8000000	-4.772	-3.930	-2.266	-1.323	-1.195	0.308	-1.601	-0.673	0.965	1.606	2.135	0.763	-0.934	2.074	1.283	2.019	1.604	1.191	-1.038	1.311	1.286	1.840	1.671	0.579	0.976	-1.206	0.654	-0.234	-0.633	0.835	2.600	0.161	-0.795	1.749	0.683	0.041	1.880	-0.291	0.685	-0.817	-0.591	-1.722	-2.802	-2.753	-3.226	-5.942	-8.258	-9.314	-8.936	-9.081
9000000	1.465	-1.426	-2.346	-2.005	-1.268	0.437	-1.987	-1.225	0.286	0.996	0.696	0.168	-0.137	-0.024	0.541	0.840	1.394	-0.418	-0.863	-0.748	1.408	2.245	1.559	1.442	1.417	-0.930	-0.699	-0.779	-1.635	0.036	-0.113	-0.856	0.229	-0.611	0.277	0.111	-0.598	-0.244	-1.024	0.397	-1.175	-2.059	-0.450	0.073	-0.131	-2.130	-3.126	-2.487	-1.621	-2.405
10000000	-0.495	-1.256	-2.289	-2.612	-0.504	-0.439	-2.164	-1.371	1.267	2.522	2.514	1.607	1.356	1.532	1.514	0.867	0.289	-0.525	-0.333	-1.064	0.417	0.764	1.317	1.701	1.549	-0.633	-0.263	-0.023	-0.184	0.156	0.991	-0.213	-0.092	1.137	-0.443	-0.317	0.350	-0.537	-0.762	0.169	0.004	-1.337	-2.604	-2.481	-2.053	-2.188	-2.461	-2.933	-3.507	-2.925
11000000	-3.731	-2.739	-2.725	-1.894	-1.261	-0.583	-1.202	-1.300	-0.556	0.599	1.034	0.315	0.270	0.810	0.434	0.580	0.955	0.654	0.381	0.400	-0.362	0.317	1.058	1.075	0.594	-0.913	-0.150	-0.033	-0.862	-0.597	-0.494	-0.290	-0.114	0.468	0.824	0.365	0.299	0.312	-0.889	-1.090	-1.445	-1.891	-2.036	-1.836	-2.271	-2.878	-2.377	-2.820	-3.568	-1.781
12000000	-2.564	-2.579	-2.692	-2.239	-1.625	-0.632	-0.810	-0.761	0.288	0.856	0.457	0.333	0.325	0.463	0.502	0.692	0.678	0.821	-0.060	-0.739	-0.256	0.197	1.266	0.959	0.190	-0.393	0.614	0.164	-0.291	-0.232	-0.472	-0.412	-0.454	-0.317	-0.393	-0.274	0.005	0.223	-0.562	-0.366	-0.833	-0.872	-0.824	-1.273	-1.659	-1.726	-1.486	-2.397	-2.437	-2.910
13000000	-3.545	-1.864	-2.428	-2.191	-0.725	-1.036	-1.362	-1.127	-0.008	1.930	1.186	0.183	1.332	1.599	-0.215	1.277	-0.013	-0.492	-0.887	0.324	1.225	1.490	3.162	0.786	1.094	-0.710	0.699	-0.390	-0.717	0.639	-0.726	0.059	-0.987	1.243	0.563	0.633	0.260	0.028	-1.127	-0.765	-1.212	-0.947	-0.440	-0.286	-0.442	-0.943	-1.517	-2.869	-3.735	-3.191
14000000	0.353	-1.882	-2.184	-1.206	-0.632	2.080	0.503	-1.712	2.909	5.009	3.150	0.587	2.963	3.040	0.682	2.473	0.715	1.485	-0.834	-0.072	0.391	2.140	1.388	2.414	1.489	-1.214	2.672	3.727	-0.710	0.736	-0.794	1.667	0.754	-0.858	3.367	1.762	1.327	-0.466	-1.168	-1.016	-2.677	-1.478	-0.817	-2.388	-2.463	0.281	-1.885	0.671	-1.367	-1.953
15000000	-3.129	-2.901	-2.541	-1.578	-1.383	0.044	-0.811	-0.030	1.189	0.916	1.150	1.248	0.952	1.066	0.420	1.471	0.931	-0.211	0.221	0.152	0.748	0.203	1.081	0.688	-0.668	0.111	0.238	0.118	-0.325	0.675	0.911	-0.269	-0.574	-0.501	-0.084	-0.805	-0.437	-0.046	-0.341	-1.201	-1.181	-1.245	-2.361	-2.038	-3.212	-4.024	-4.411	-4.280	-3.469	-4.319
16000000	-3.014	-2.171	-2.325	-1.536	-1.426	-0.496	-1.254	-0.565	0.637	1.570	0.210	0.021	0.088	1.531	1.334	1.040	0.441	-0.462	-0.560	-0.193	0.891	2.011	1.825	1.680	1.203	-0.308	0.346	-0.120	-0.402	0.381	-0.885	0.189	-0.623	0.272	0.927	-0.251	1.038	1.320	0.768	-0.622	-0.897	-1.393	-1.449	-1.000	-1.808	-1.800	-1.526	-1.428	-2.647	-2.793
17000000	-3.514	-3.342	-2.935	-1.506	-1.612	-0.293	-1.551	-1.942	-0.285	1.827	2.949	2.102	0.904	0.760	1.086	1.236	0.614	-0.197	0.461	-0.837	0.188	1.100	0.934	0.662	0.272	-1.340	1.005	0.023	-0.136	-0.374	1.108	0.675	-0.157	0.206	-0.144	-0.507	-0.287	-0.461	-0.892	-1.525	-1.772	-1.976	-1.012	-2.262	-2.145	-4.292	-3.830	-3.813	-3.485	-3.519
18000000	-2.562	-2.152	-2.124	-1.004	-1.066	-0.856	-1.570	-0.548	0.097	0.404	0.783	1.381	1.625	1.055	1.612	1.196	0.511	-0.211	-1.434	-0.852	0.223	-0.183	0.592	0.769	1.256	-1.146	1.054	0.829	-0.117	-0.158	0.285	0.446	0.561	-0.380	-0.442	-0.194	-1.341	-1.307	-1.507	-1.349	-1.913	-2.029	-2.166	-2.450	-3.297	-3.860	-3.640	-2.964	-2.174	-1.115
19000000	-2.460	-2.575	-2.280	-1.731	-0.994	-1.082	-1.009	-0.938	0.156	0.460	0.658	0.360	0.030	0.503	0.677	0.226	0.632	0.470	0.557	0.237	0.297	0.269	0.177	0.124	-0.116	-1.114	-0.664	-0.451	-0.720	-0.457	-0.342	0.658	0.355	-0.119	0.066	-0.925	-1.013	-0.824	-1.062	-1.246	-1.182	-1.201	-1.085	-1.169	-0.888	-1.049	-1.498	-1.345	-1.264	-1.269
20000000	-4.106	-3.336	-2.967	-1.713	-0.988	0.254	-0.383	-1.395	-0.458	1.804	2.283	1.917	2.190	0.985	1.205	1.151	2.936	0.501	0.451	-0.453	-0.152	0.989	0.137	0.491	0.733	-0.509	0.953	1.210	-0.046	1.232	1.379	0.631	-0.664	-0.171	1.285	0.345	0.341	2.350	1.711	0.412	-0.877	-2.031	-1.338	-2.517	-1.072	-1.973	-2.347	-2.325	-2.956	-4.851
21000000	-3.113	-3.294	-2.402	-2.103	-0.734	-0.260	-1.817	-1.141	0.350	0.967	0.296	0.977	0.715	1.104	1.127	0.882	0.418	-1.128	0.889	0.552	-0.037	0.193	1.045	0.944	1.145	-0.784	-0.180	-0.776	0.240	-0.180	-0.173	0.661	0.296	-0.825	-0.270	-0.866	-1.048	-0.144	-0.021	-0.676	-0.653	-0.984	-1.685	-0.911	-1.022	-0.416	-0.600	-2.224	-2.917	-2.870
22000000	-3.040	-3.242	-2.805	-1.979	-0.817	0.267	-0.643	-2.086	0.483	2.123	2.233	1.570	0.568	1.072	1.686	1.815	1.679	-0.152	-0.685	-0.284	0.415	1.341	1.819	2.196	0.180	-0.633	1.122	1.856	-0.975	0.393	0.826	0.756	0.146	0.492	0.781	0.624	-0.134	-2.290	-2.075	-2.150	-2.807	-2.841	-3.275	-4.569	-4.507	-3.524	-2.071	-1.425	-2.126	-1.826
23000000	-1.209	-2.488	-2.036	-2.368	-1.568	0.479	-1.343	-1.117	-0.367	0.286	0.749	-0.020	0.383	1.685	1.197	0.469	0.349	0.514	-0.472	-0.770	1.269	2.343	1.758	2.547	0.890	-0.941	0.407	1.925	-1.349	0.356	0.856	1.314	1.341	-1.111	0.046	0.963	0.741	0.404	-0.167	1.263	-0.931	-2.200	-3.403	-3.323	-4.043	-5.245	-6.166	-6.692	-6.239	-4.194
24000000	-3.472	-3.845	-3.048	-2.225	-1.059	-1.161	-0.987	-0.252	0.387	1.043	0.479	0.122	0.636	0.415	0.889	1.183	0.052	-0.558	0.473	-0.222	-0.601	0.021	0.342	0.062	0.076	-0.458	-0.422	-0.429	-0.809	-0.106	0.817	0.061	-0.115	0.317	-0.062	-0.475	-0.678	-1.001	-1.426	-1.298	-1.626	-2.635	-2.674	-2.406	-3.331	-3.260	-1.874	-1.888	-0.919	-0.628
25000000	-2.241	-3.248	-2.569	-2.386	-0.988	-0.554	-1.164	-0.105	0.826	0.567	1.059	0.824	1.596	1.642	1.573	1.075	0.462	0.430	-0.513	0.056	0.212	0.714	1.780	1.140	0.869	-0.612	-0.094	-0.334	-0.721	-0.300	-0.526	-0.376	-0.422	0.853	0.781	0.341	-0.104	-1.569	-1.740	-2.341	-1.720	-1.484	-1.841	-1.355	-2.180	-2.688	-2.971	-3.707	-3.041	-2.721
26000000	-2.301	-1.566	-2.678	-2.446	-1.223	-0.715	-1.981	-1.627	-0.246	0.230	0.638	1.047	0.654	0.509	0.915	0.861	0.280	-0.055	-0.617	0.794	1.388	0.683	1.112	0.872	0.491	-1.106	-0.425	-0.798	-0.324	-0.079	-0.040	0.552	0.812	-0.239	0.154	0.301	-0.396	0.168	0.521	0.205	-0.894	-1.910	-1.369	-2.345	-1.904	-3.273	-3.569	-3.082	-3.610	-3.063
27000000	-2.972	-2.760	-2.374	-1.983	-1.275	-1.138	-1.557	-1.162	-0.264	1.244	0.849	0.376	0.301	0.169	0.670	0.530	0.590	-0.191	-0.360	-0.323	0.855	1.566	1.211	1.305	0.316	-0.389	-0.566	-0.503	0.020	-0.011	0.081	-0.122	-0.223	0.746	0.161	-0.111	-0.157	-0.506	-0.222	-0.056	-0.925	-1.275	-1.071	-1.828	-1.362	-1.023	-0.758	-1.651	-2.465	-4.142
28000000	0.459	-1.042	-1.183	-1.543	-0.670	-0.313	-1.386	-1.136	-0.360	0.649	0.547	0.590	0.754	0.937	0.975	0.015	0.667	-0.005	0.521	-0.067	0.469	0.684	0.335	0.793	0.536	0.165	-0.832	-0.491	-0.344	-0.185	-0.343	-0.609	-0.359	0.027	-0.487	0.187	0.461	1.054	0.511	-0.776	-0.720	-1.718	-2.586	-2.505	-2.018	-1.592	-1.534	-1.909	-1.234	-1.612
29000000	-1.339	-1.619	-1.571	-1.533	-1.081	-1.279	-1.268	-0.458	-0.220	0.102	0.501	0.490	0.282	0.217	0.555	0.819	0.234	-0.934	-0.319	0.035	0.052	0.210	0.532	1.096	1.544	1.170	-0.701	-0.567	-0.673	-0.923	-0.349	0.261	-0.484	-0.588	-0.849	-0.449	0.022	-0.887	-1.570	-1.713	-2.134	-2.074	-2.117	-1.730	-2.065	-1.882	-2.464	-3.729	-5.204	-4.598
30000000	-1.955	-2.529	-2.136	-2.335	-1.392	-1.156	-1.443	-0.246	0.376	1.454	1.648	0.650	0.518	1.222	0.626	0.758	0.881	-0.157	-0.772	-0.522	0.661	0.204	0.655	0.527	1.360	-1.100	-0.075	-0.199	-0.916	-0.040	-0.065	-0.451	0.475	0.143	0.582	0.670	0.221	-0.387	-1.617	-0.664	-2.219	-1.565	-1.667	-1.523	-2.938	-2.210	-1.210	0.199	-0.206	0.054
31000000	-2.691	-2.370	-2.501	-1.534	-1.236	-0.096	-0.638	-1.060	-0.971	0.479	-0.137	-0.565	0.590	1.229	0.794	0.978	1.560	0.246	0.069	-0.062	0.388	1.213	0.844	0.923	0.401	-0.847	-0.198	0.481	0.317	-0.465	0.279	-0.759	0.929	0.420	1.577	2.323	0.400	0.282	-0.094	-1.015	-1.487	-1.209	-1.607	-3.653	-4.312	-3.519	-4.328	-5.391	-6.324	-6.310
32000000	-2.387	-2.863	-2.380	-1.921	-1.497	-1.172	-1.143	-0.048	0.286	0.164	-0.231	0.001	0.352	0.765	0.718	0.522	0.332	0.240	0.239	0.115	0.364	0.490	0.121	-0.043	-0.297	-0.227	0.027	0.167	-0.032	-0.344	-0.158	0.157	0.236	-0.025	-0.347	0.107	0.246	0.369	-0.019	-0.128	0.110	-0.425	-1.001	-1.053	-1.332	-1.425	-1.527	-1.239	-1.368	-1.071
