state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
1000000	6.634	8.064	0.3868	0.1664	0.2181	0.2288	0.3489	0.1880	0.1933	0.2698	0.6188	1.7623	4.4784E-3	15.561	12.225	711.824
2000000	6.354	9.113	0.3883	0.1617	0.2105	0.2395	0.3642	0.1939	0.1760	0.2659	0.6344	1.7313	4.2079E-3	16.766	12.432	739.607
3000000	6.231	9.017	0.3894	0.1540	0.2283	0.2283	0.3523	0.1885	0.1702	0.2890	0.6252	1.7497	4.4405E-3	16.814	12.234	734.919
4000000	6.812	9.386	0.3928	0.1678	0.2165	0.2228	0.3466	0.1979	0.1838	0.2717	0.6265	1.7470	4.3607E-3	17.749	12.586	748.955
5000000	5.863	9.372	0.3950	0.1739	0.2114	0.2197	0.3611	0.1894	0.1817	0.2678	0.6180	1.7640	4.2842E-3	17.407	12.388	740.953
6000000	6.290	7.991	0.3896	0.1596	0.2213	0.2295	0.3536	0.1882	0.1772	0.2809	0.6250	1.7500	4.2669E-3	16.548	12.435	723.702
7000000	6.432	9.346	0.3765	0.1747	0.2053	0.2435	0.3468	0.1999	0.1812	0.2721	0.6193	1.7615	4.3472E-3	17.210	12.452	736.472
8000000	5.784	9.150	0.3923	0.1627	0.2140	0.2310	0.3487	0.1862	0.1818	0.2833	0.6152	1.7696	4.2292E-3	16.179	12.496	731.295
9000000	5.987	9.378	0.3827	0.1588	0.2252	0.2333	0.3618	0.1771	0.1750	0.2861	0.6368	1.7264	4.4433E-3	16.233	12.643	710.497
10000000	6.088	9.468	0.4037	0.1647	0.2156	0.2159	0.3461	0.1801	0.1824	0.2915	0.6205	1.7591	4.2624E-3	16.674	12.257	736.253
