state	posterior	prior	likelihood	coalescent
1000000	-47920.136	-8005.448	-39914.688	-7994.527
2000000	-47941.087	-8062.343	-39878.745	-8051.538
3000000	-48006.795	-8109.796	-39897.000	-8099.009
4000000	-47955.268	-8074.484	-39880.784	-8063.665
5000000	-47868.736	-8043.412	-39825.324	-8032.647
6000000	-47897.164	-8003.414	-39893.750	-7992.621
7000000	-47840.080	-7938.271	-39901.810	-7927.236
8000000	-47913.563	-8088.104	-39825.459	-8077.133
9000000	-47855.317	-8034.644	-39820.673	-8023.867
10000000	-47956.254	-8075.195	-39881.059	-8064.274
11000000	-47977.359	-8086.212	-39891.147	-8075.411
12000000	-47922.942	-8014.169	-39908.772	-8003.186
13000000	-47951.540	-8134.759	-39816.781	-8123.647
14000000	-47971.646	-8150.623	-39821.023	-8139.695
15000000	-48089.561	-8163.855	-39925.706	-8152.956
16000000	-47949.641	-8092.861	-39856.780	-8081.801
17000000	-47972.339	-8163.739	-39808.600	-8152.909
18000000	-48028.393	-8106.523	-39921.870	-8095.709
19000000	-47977.836	-8120.166	-39857.669	-8109.197
20000000	-47791.428	-8017.796	-39773.632	-8007.120
21000000	-48061.703	-8239.394	-39822.309	-8228.472
22000000	-48025.453	-8194.245	-39831.208	-8183.297
23000000	-48057.500	-8114.217	-39943.283	-8103.446
24000000	-47973.833	-8118.519	-39855.313	-8107.667
25000000	-48048.385	-8166.032	-39882.353	-8155.166
26000000	-47774.217	-7971.404	-39802.813	-7960.545
27000000	-47843.658	-7955.474	-39888.184	-7944.581
28000000	-47920.879	-7993.054	-39927.825	-7982.125
29000000	-47852.542	-8004.509	-39848.032	-7993.804
30000000	-47885.606	-8028.517	-39857.089	-8017.972
31000000	-47886.305	-7980.693	-39905.612	-7969.812
32000000	-47901.642	-8039.421	-39862.221	-8028.748
33000000	-48024.316	-8117.430	-39906.885	-8106.364
34000000	-47865.074	-8027.570	-39837.504	-8016.649
35000000	-47982.117	-8068.762	-39913.355	-8057.930
36000000	-47924.787	-8078.819	-39845.968	-8067.884
37000000	-48029.315	-8091.218	-39938.097	-8080.285
38000000	-47944.300	-8092.708	-39851.593	-8081.670
39000000	-47995.485	-8104.482	-39891.003	-8093.521
40000000	-47976.683	-8116.307	-39860.376	-8105.456
41000000	-47950.307	-8149.788	-39800.519	-8138.737
42000000	-47967.900	-8103.708	-39864.192	-8092.856
43000000	-48024.764	-8183.906	-39840.858	-8173.161
44000000	-48013.704	-8176.062	-39837.642	-8165.267
45000000	-47997.557	-8104.610	-39892.947	-8093.708
46000000	-47954.077	-8085.466	-39868.612	-8074.414
47000000	-47937.721	-8061.841	-39875.880	-8050.913
48000000	-47876.428	-7998.790	-39877.638	-7988.066
49000000	-48039.007	-8133.345	-39905.662	-8122.633
50000000	-48066.444	-8269.978	-39796.466	-8258.807
51000000	-47971.677	-8101.857	-39869.820	-8091.005
52000000	-47983.634	-8140.316	-39843.318	-8129.454
53000000	-47954.607	-8095.869	-39858.738	-8085.179
54000000	-48018.294	-8148.376	-39869.918	-8137.370
55000000	-47972.802	-8119.359	-39853.443	-8108.546
56000000	-48032.568	-8182.064	-39850.504	-8171.175
57000000	-48022.095	-8145.565	-39876.529	-8134.750
58000000	-47984.217	-8126.096	-39858.122	-8114.992
59000000	-47858.760	-7955.027	-39903.734	-7944.017
60000000	-47978.834	-8049.410	-39929.424	-8038.507
61000000	-47933.623	-8098.697	-39834.926	-8087.800
62000000	-47980.963	-8187.930	-39793.033	-8177.118
63000000	-47904.852	-8015.331	-39889.521	-8004.630
64000000	-48026.143	-8191.912	-39834.231	-8180.669
65000000	-47933.798	-8103.218	-39830.580	-8092.280
66000000	-47899.859	-8012.340	-39887.519	-8001.559
67000000	-47909.964	-8095.203	-39814.761	-8084.222
68000000	-47883.138	-8033.047	-39850.091	-8022.084
69000000	-48009.019	-8163.412	-39845.607	-8152.325
70000000	-48035.957	-8200.414	-39835.543	-8189.474
71000000	-47992.399	-8140.483	-39851.916	-8129.701
72000000	-47982.202	-8052.965	-39929.237	-8042.180
73000000	-47943.157	-8064.768	-39878.389	-8054.048
74000000	-47920.910	-8108.188	-39812.722	-8097.121
75000000	-48014.605	-8214.202	-39800.402	-8203.340
76000000	-48055.486	-8186.696	-39868.791	-8175.754
77000000	-47968.501	-8142.849	-39825.652	-8131.813
78000000	-47957.706	-8094.623	-39863.084	-8083.638
79000000	-47938.971	-8070.266	-39868.705	-8059.145
80000000	-47991.608	-8117.715	-39873.893	-8106.822
81000000	-47953.143	-8122.905	-39830.238	-8112.096
82000000	-47881.738	-8068.432	-39813.306	-8057.588
83000000	-47917.359	-8094.404	-39822.955	-8083.524
84000000	-47944.534	-8130.874	-39813.659	-8120.157
85000000	-48071.667	-8246.037	-39825.630	-8235.000
86000000	-48000.535	-8106.938	-39893.596	-8096.097
87000000	-47870.754	-8017.843	-39852.911	-8007.021
88000000	-47897.508	-8105.671	-39791.837	-8094.768
89000000	-47957.917	-8092.370	-39865.547	-8081.445
90000000	-48010.657	-8157.680	-39852.977	-8146.950
91000000	-48006.449	-8139.281	-39867.168	-8128.346
92000000	-47943.076	-8041.585	-39901.491	-8030.395
93000000	-48066.511	-8183.405	-39883.107	-8172.593
94000000	-48075.112	-8202.056	-39873.056	-8191.374
95000000	-48039.769	-8233.035	-39806.734	-8222.118
96000000	-47885.699	-8049.299	-39836.400	-8038.410
97000000	-47949.651	-8134.415	-39815.236	-8123.427
98000000	-47846.713	-8068.786	-39777.927	-8058.024
99000000	-48049.839	-8188.602	-39861.237	-8177.557
100000000	-47993.622	-8100.191	-39893.432	-8088.953
101000000	-47985.653	-8169.642	-39816.011	-8158.886
102000000	-48009.464	-8165.834	-39843.630	-8154.871
103000000	-47972.744	-8167.232	-39805.512	-8156.332
104000000	-47874.255	-8064.847	-39809.408	-8053.924
105000000	-47888.609	-8034.126	-39854.482	-8023.133
106000000	-47953.167	-8124.721	-39828.446	-8113.572
107000000	-47897.050	-8078.427	-39818.623	-8067.440
108000000	-47954.367	-8152.190	-39802.178	-8141.080
109000000	-47978.329	-8096.696	-39881.633	-8085.579
110000000	-47956.446	-8129.354	-39827.092	-8118.416
111000000	-48031.467	-8163.516	-39867.951	-8152.728
112000000	-47931.180	-8073.242	-39857.938	-8062.310
113000000	-47867.515	-8035.723	-39831.792	-8024.788
114000000	-47979.849	-8143.809	-39836.040	-8132.899
115000000	-47931.334	-8036.791	-39894.543	-8025.648
116000000	-47945.215	-8020.690	-39924.525	-8010.124
117000000	-47943.301	-8112.048	-39831.253	-8100.964
118000000	-47911.150	-8036.050	-39875.100	-8025.213
119000000	-47831.275	-7999.477	-39831.797	-7988.818
120000000	-47986.167	-8113.315	-39872.852	-8102.262
121000000	-47970.962	-8097.884	-39873.078	-8087.198
122000000	-47878.522	-8028.880	-39849.642	-8018.098
123000000	-47994.008	-8179.581	-39814.427	-8168.791
124000000	-47902.715	-8060.099	-39842.616	-8049.361
125000000	-47927.223	-8105.618	-39821.605	-8094.938
126000000	-47978.328	-8156.341	-39821.987	-8145.320
127000000	-47973.351	-8172.443	-39800.908	-8161.762
128000000	-47958.240	-8115.329	-39842.911	-8104.416
129000000	-47840.916	-8057.450	-39783.466	-8046.636
130000000	-48001.777	-8186.253	-39815.523	-8175.173
131000000	-47967.173	-8109.942	-39857.231	-8099.038
132000000	-48013.044	-8143.445	-39869.599	-8132.691
133000000	-47906.887	-8090.319	-39816.568	-8079.518
134000000	-48029.650	-8160.949	-39868.701	-8150.016
135000000	-47953.229	-8114.300	-39838.929	-8103.646
136000000	-47934.307	-8109.301	-39825.006	-8098.494
137000000	-47866.673	-7966.829	-39899.844	-7955.894
138000000	-48005.378	-8146.222	-39859.156	-8135.473
139000000	-47928.579	-8089.977	-39838.601	-8079.323
140000000	-47871.326	-8012.424	-39858.902	-8001.745
141000000	-48009.139	-8232.622	-39776.517	-8221.863
142000000	-48043.038	-8228.668	-39814.370	-8217.527
143000000	-48019.028	-8208.839	-39810.189	-8197.784
144000000	-47897.807	-8130.090	-39767.717	-8119.328
145000000	-47859.149	-8086.090	-39773.059	-8074.934
146000000	-47851.125	-8003.826	-39847.299	-7992.857
147000000	-48025.469	-8246.011	-39779.458	-8235.104
148000000	-47928.453	-8048.177	-39880.276	-8037.246
149000000	-48035.746	-8207.905	-39827.842	-8197.006
150000000	-48057.650	-8245.758	-39811.892	-8234.593
151000000	-47958.641	-8228.075	-39730.566	-8217.148
152000000	-47956.518	-8069.543	-39886.975	-8058.628
153000000	-47971.213	-8176.645	-39794.568	-8165.742
154000000	-48002.241	-8228.256	-39773.985	-8217.401
155000000	-48019.180	-8263.397	-39755.783	-8252.430
156000000	-47919.422	-8183.267	-39736.155	-8172.513
157000000	-47922.900	-8123.498	-39799.402	-8112.675
158000000	-48088.846	-8196.419	-39892.427	-8185.491
159000000	-47929.912	-8147.625	-39782.287	-8136.672
160000000	-47953.513	-8156.675	-39796.838	-8145.867
161000000	-47820.415	-8010.955	-39809.460	-8000.239
162000000	-47921.767	-8055.001	-39866.766	-8043.961
163000000	-47867.924	-8045.435	-39822.490	-8034.668
164000000	-47926.231	-8138.956	-39787.275	-8127.954
165000000	-47928.830	-7997.919	-39930.911	-7987.108
166000000	-48066.457	-8174.795	-39891.662	-8163.516
167000000	-47907.531	-8023.331	-39884.201	-8012.682
168000000	-47931.396	-8147.513	-39783.883	-8136.777
169000000	-47940.164	-8027.353	-39912.812	-8016.450
170000000	-48082.421	-8251.703	-39830.719	-8240.412
171000000	-48012.206	-8216.487	-39795.719	-8205.579
172000000	-47911.184	-8134.504	-39776.679	-8123.518
173000000	-48020.625	-8143.057	-39877.568	-8131.977
174000000	-48026.195	-8185.615	-39840.580	-8174.525
175000000	-47999.900	-8193.028	-39806.872	-8181.837
176000000	-47973.781	-8141.809	-39831.971	-8130.984
177000000	-47974.743	-8076.479	-39898.265	-8065.436
178000000	-47893.127	-8030.159	-39862.967	-8018.992
179000000	-47795.739	-7982.200	-39813.538	-7971.466
180000000	-47976.331	-8067.263	-39909.068	-8056.346
181000000	-47972.768	-8064.272	-39908.496	-8053.296
182000000	-47945.429	-8128.295	-39817.134	-8117.306
183000000	-47801.556	-7961.162	-39840.394	-7950.250
184000000	-47927.888	-8068.023	-39859.866	-8057.122
185000000	-47939.451	-8135.627	-39803.824	-8124.809
186000000	-47913.922	-8096.749	-39817.173	-8085.700
187000000	-48128.629	-8262.316	-39866.313	-8251.456
188000000	-47984.768	-8155.619	-39829.150	-8144.564
189000000	-47979.695	-8171.435	-39808.261	-8160.222
190000000	-47918.789	-8099.989	-39818.800	-8088.886
191000000	-47922.505	-8092.744	-39829.761	-8082.121
192000000	-47945.542	-8073.169	-39872.373	-8062.080
193000000	-47970.735	-8210.627	-39760.108	-8199.477
194000000	-47984.370	-8046.022	-39938.349	-8035.191
195000000	-47936.945	-8100.460	-39836.485	-8089.856
196000000	-48001.101	-8070.562	-39930.540	-8059.676
197000000	-47883.975	-8059.731	-39824.244	-8048.816
198000000	-48001.704	-8194.150	-39807.554	-8183.167
199000000	-47802.187	-8002.784	-39799.403	-7991.757
200000000	-47939.238	-8072.375	-39866.863	-8061.399
