state	pscore
1000000	8404
2000000	8404
3000000	8396
4000000	8401
5000000	8398
6000000	8406
7000000	8397
8000000	8394
9000000	8387
10000000	8382
11000000	8393
12000000	8392
13000000	8398
14000000	8399
15000000	8399
16000000	8390
17000000	8379
18000000	8395
19000000	8401
20000000	8395
21000000	8389
22000000	8385
23000000	8390
24000000	8395
25000000	8396
26000000	8406
27000000	8390
28000000	8390
29000000	8384
30000000	8391
31000000	8396
32000000	8397
33000000	8400
34000000	8407
35000000	8402
36000000	8394
37000000	8395
38000000	8399
39000000	8396
40000000	8415
41000000	8403
42000000	8399
43000000	8402
44000000	8402
45000000	8399
46000000	8399
47000000	8403
48000000	8401
49000000	8391
50000000	8396
51000000	8404
52000000	8404
53000000	8398
54000000	8403
55000000	8405
56000000	8404
57000000	8405
58000000	8411
59000000	8401
60000000	8402
61000000	8392
62000000	8404
63000000	8407
64000000	8405
65000000	8409
66000000	8408
67000000	8406
68000000	8403
69000000	8396
70000000	8401
71000000	8411
72000000	8407
73000000	8406
74000000	8394
75000000	8401
76000000	8407
77000000	8409
78000000	8403
79000000	8400
80000000	8397
81000000	8406
82000000	8394
83000000	8401
84000000	8408
85000000	8390
86000000	8395
87000000	8398
88000000	8402
89000000	8401
90000000	8405
91000000	8398
92000000	8410
93000000	8398
94000000	8408
95000000	8396
96000000	8405
97000000	8398
98000000	8406
99000000	8402
100000000	8409
101000000	8412
102000000	8406
103000000	8412
104000000	8406
105000000	8392
106000000	8388
107000000	8384
108000000	8372
109000000	8386
110000000	8377
111000000	8391
112000000	8391
113000000	8395
114000000	8400
115000000	8400
116000000	8402
117000000	8405
118000000	8398
119000000	8387
120000000	8394
121000000	8396
122000000	8398
123000000	8399
124000000	8400
125000000	8403
126000000	8397
127000000	8399
128000000	8393
129000000	8392
130000000	8387
131000000	8389
132000000	8400
133000000	8396
134000000	8403
135000000	8396
136000000	8397
137000000	8395
138000000	8393
139000000	8389
140000000	8398
141000000	8398
142000000	8387
143000000	8406
144000000	8400
145000000	8395
146000000	8402
147000000	8395
148000000	8389
149000000	8386
150000000	8386
151000000	8396
152000000	8397
153000000	8396
154000000	8410
155000000	8397
156000000	8397
157000000	8397
158000000	8396
159000000	8397
160000000	8395
161000000	8399
162000000	8397
163000000	8394
164000000	8388
165000000	8393
166000000	8394
167000000	8388
168000000	8385
169000000	8393
170000000	8399
171000000	8400
172000000	8403
173000000	8389
174000000	8400
175000000	8405
176000000	8401
177000000	8394
178000000	8394
179000000	8393
180000000	8393
181000000	8396
182000000	8391
183000000	8410
184000000	8401
185000000	8398
186000000	8387
187000000	8400
188000000	8391
189000000	8398
190000000	8396
191000000	8394
192000000	8399
193000000	8390
194000000	8398
195000000	8398
196000000	8405
197000000	8398
198000000	8395
199000000	8398
200000000	8398
201000000	8395
202000000	8400
203000000	8391
204000000	8402
205000000	8387
206000000	8396
207000000	8397
208000000	8398
209000000	8400
210000000	8407
211000000	8408
212000000	8406
213000000	8406
214000000	8411
215000000	8405
216000000	8398
217000000	8405
218000000	8397
219000000	8397
220000000	8401
221000000	8401
222000000	8398
223000000	8392
224000000	8404
225000000	8398
226000000	8393
227000000	8389
228000000	8387
229000000	8380
230000000	8396
231000000	8398
232000000	8387
233000000	8396
234000000	8395
235000000	8399
236000000	8396
237000000	8395
238000000	8401
239000000	8398
240000000	8396
241000000	8395
242000000	8405
243000000	8395
244000000	8390
245000000	8401
246000000	8395
247000000	8397
248000000	8391
249000000	8387
250000000	8386
251000000	8389
252000000	8399
253000000	8404
254000000	8402
255000000	8406
256000000	8407
257000000	8407
258000000	8400
259000000	8390
260000000	8398
261000000	8389
262000000	8396
263000000	8396
264000000	8395
265000000	8401
266000000	8402
267000000	8407
268000000	8407
269000000	8411
270000000	8416
271000000	8404
272000000	8405
273000000	8407
274000000	8404
275000000	8408
276000000	8397
277000000	8408
278000000	8406
279000000	8397
280000000	8400
281000000	8402
282000000	8392
283000000	8392
284000000	8385
285000000	8396
286000000	8387
287000000	8389
288000000	8393
289000000	8391
290000000	8399
291000000	8402
292000000	8411
293000000	8406
294000000	8394
295000000	8408
296000000	8403
297000000	8403
298000000	8398
299000000	8394
300000000	8402
301000000	8399
302000000	8392
303000000	8386
304000000	8389
305000000	8389
306000000	8397
307000000	8390
308000000	8386
309000000	8390
310000000	8389
311000000	8381
312000000	8384
313000000	8391
314000000	8398
315000000	8394
316000000	8388
317000000	8393
318000000	8393
319000000	8384
320000000	8392
321000000	8395
322000000	8382
323000000	8405
324000000	8388
325000000	8381
326000000	8402
327000000	8393
328000000	8392
329000000	8391
330000000	8396
331000000	8391
332000000	8390
333000000	8394
334000000	8399
335000000	8398
336000000	8394
337000000	8394
338000000	8402
339000000	8392
340000000	8391
341000000	8398
342000000	8401
343000000	8396
344000000	8380
345000000	8380
346000000	8388
347000000	8402
348000000	8391
349000000	8395
350000000	8388
351000000	8394
352000000	8403
353000000	8392
354000000	8407
355000000	8411
356000000	8411
357000000	8389
358000000	8392
359000000	8390
360000000	8402
361000000	8418
362000000	8407
363000000	8400
364000000	8400
365000000	8405
366000000	8394
367000000	8401
368000000	8393
369000000	8400
370000000	8400
371000000	8400
372000000	8393
373000000	8402
374000000	8397
375000000	8400
376000000	8394
377000000	8395
378000000	8397
379000000	8395
380000000	8397
381000000	8395
382000000	8380
383000000	8396
384000000	8391
385000000	8395
386000000	8404
387000000	8398
388000000	8403
389000000	8408
390000000	8392
391000000	8400
392000000	8396
393000000	8394
394000000	8389
395000000	8396
