state	pscore
1000000	12771
2000000	12787
3000000	12788
4000000	12769
5000000	12775
6000000	12772
7000000	12781
8000000	12773
9000000	12774
10000000	12777
11000000	12776
12000000	12788
13000000	12784
14000000	12782
15000000	12778
16000000	12771
17000000	12777
18000000	12777
19000000	12779
20000000	12792
21000000	12775
22000000	12778
23000000	12776
24000000	12782
25000000	12774
26000000	12771
27000000	12792
28000000	12786
29000000	12779
30000000	12783
31000000	12786
32000000	12774
33000000	12792
34000000	12794
35000000	12780
36000000	12775
37000000	12776
38000000	12782
39000000	12783
40000000	12779
41000000	12774
42000000	12771
43000000	12777
44000000	12777
45000000	12775
46000000	12778
47000000	12781
48000000	12793
49000000	12777
50000000	12767
51000000	12780
52000000	12783
53000000	12781
54000000	12779
55000000	12779
56000000	12785
57000000	12767
58000000	12790
59000000	12767
60000000	12770
61000000	12779
62000000	12773
63000000	12775
64000000	12787
65000000	12772
66000000	12782
67000000	12775
68000000	12780
69000000	12783
70000000	12772
71000000	12784
72000000	12768
73000000	12771
74000000	12755
75000000	12778
76000000	12774
77000000	12768
78000000	12771
79000000	12772
80000000	12770
81000000	12780
82000000	12775
83000000	12781
84000000	12768
85000000	12781
86000000	12779
87000000	12787
88000000	12779
89000000	12778
90000000	12771
91000000	12789
92000000	12769
93000000	12783
94000000	12779
95000000	12778
96000000	12767
97000000	12777
98000000	12776
99000000	12792
100000000	12778
101000000	12787
102000000	12771
103000000	12788
104000000	12784
105000000	12777
106000000	12779
107000000	12776
108000000	12781
109000000	12785
110000000	12776
111000000	12772
112000000	12760
113000000	12778
114000000	12780
115000000	12777
116000000	12776
117000000	12787
118000000	12772
119000000	12775
120000000	12792
121000000	12790
122000000	12786
123000000	12771
124000000	12778
125000000	12772
126000000	12783
127000000	12785
128000000	12783
129000000	12788
130000000	12774
131000000	12782
132000000	12776
133000000	12776
134000000	12769
135000000	12796
136000000	12780
137000000	12774
138000000	12764
139000000	12776
140000000	12776
141000000	12783
142000000	12773
143000000	12797
144000000	12775
145000000	12785
146000000	12787
147000000	12765
148000000	12776
149000000	12775
150000000	12793
151000000	12785
152000000	12776
153000000	12769
154000000	12775
155000000	12774
156000000	12773
157000000	12800
158000000	12769
159000000	12777
160000000	12782
161000000	12778
162000000	12782
163000000	12779
164000000	12776
165000000	12775
166000000	12775
167000000	12785
168000000	12787
169000000	12767
170000000	12779
171000000	12784
172000000	12791
173000000	12773
174000000	12780
175000000	12763
176000000	12780
177000000	12775
178000000	12788
179000000	12785
180000000	12762
181000000	12774
182000000	12777
183000000	12780
184000000	12772
185000000	12771
186000000	12783
187000000	12777
188000000	12784
189000000	12776
190000000	12784
191000000	12788
192000000	12782
193000000	12776
194000000	12770
195000000	12775
196000000	12794
197000000	12774
198000000	12772
199000000	12786
200000000	12765
201000000	12784
202000000	12775
203000000	12781
204000000	12785
205000000	12772
206000000	12782
207000000	12780
208000000	12777
209000000	12765
210000000	12769
211000000	12769
212000000	12773
213000000	12779
214000000	12784
215000000	12780
216000000	12792
217000000	12781
218000000	12775
219000000	12772
220000000	12771
221000000	12786
222000000	12776
223000000	12792
224000000	12784
225000000	12770
226000000	12776
227000000	12765
228000000	12777
229000000	12813
230000000	12772
231000000	12783
232000000	12775
233000000	12782
234000000	12788
235000000	12776
236000000	12781
237000000	12798
238000000	12778
239000000	12784
240000000	12790
241000000	12781
242000000	12768
243000000	12771
244000000	12777
245000000	12767
246000000	12773
247000000	12785
248000000	12787
249000000	12781
250000000	12776
251000000	12786
252000000	12780
253000000	12789
254000000	12781
255000000	12771
256000000	12771
257000000	12784
258000000	12775
259000000	12765
260000000	12792
261000000	12791
262000000	12775
263000000	12776
264000000	12773
265000000	12767
266000000	12786
267000000	12774
268000000	12766
269000000	12784
270000000	12783
271000000	12770
272000000	12770
273000000	12783
274000000	12778
275000000	12773
276000000	12770
277000000	12765
278000000	12782
279000000	12773
280000000	12787
281000000	12778
282000000	12792
283000000	12781
284000000	12775
285000000	12779
286000000	12781
287000000	12778
288000000	12783
289000000	12784
290000000	12771
291000000	12775
292000000	12781
293000000	12778
294000000	12774
295000000	12775
296000000	12779
297000000	12766
298000000	12783
299000000	12774
300000000	12771
301000000	12770
302000000	12776
303000000	12771
304000000	12773
305000000	12785
306000000	12776
307000000	12774
308000000	12775
309000000	12776
310000000	12793
311000000	12777
312000000	12780
313000000	12770
314000000	12773
315000000	12785
316000000	12770
317000000	12787
318000000	12769
319000000	12789
320000000	12772
321000000	12780
322000000	12790
323000000	12798
324000000	12779
325000000	12771
326000000	12766
327000000	12782
328000000	12781
329000000	12765
330000000	12776
331000000	12774
332000000	12784
333000000	12788
334000000	12791
335000000	12779
336000000	12770
337000000	12793
338000000	12779
339000000	12775
340000000	12778
341000000	12796
342000000	12777
343000000	12772
344000000	12787
345000000	12774
346000000	12772
347000000	12773
348000000	12774
349000000	12787
350000000	12777
351000000	12773
352000000	12779
353000000	12778
354000000	12782
355000000	12785
356000000	12777
357000000	12780
358000000	12787
359000000	12773
360000000	12796
361000000	12793
362000000	12778
363000000	12788
364000000	12778
365000000	12777
366000000	12780
367000000	12784
368000000	12773
369000000	12776
370000000	12779
371000000	12784
372000000	12781
373000000	12786
374000000	12788
375000000	12767
376000000	12769
377000000	12783
378000000	12778
379000000	12779
380000000	12782
381000000	12772
382000000	12772
383000000	12779
384000000	12776
385000000	12783
386000000	12765
387000000	12798
388000000	12778
389000000	12771
390000000	12772
391000000	12783
392000000	12780
393000000	12766
394000000	12792
395000000	12785
396000000	12774
397000000	12771
398000000	12780
399000000	12776
400000000	12774
401000000	12767
402000000	12781
403000000	12777
404000000	12784
405000000	12787
406000000	12773
407000000	12777
408000000	12771
409000000	12778
410000000	12763
411000000	12775
412000000	12776
413000000	12771
414000000	12787
415000000	12783
416000000	12773
417000000	12769
418000000	12765
419000000	12770
420000000	12797
421000000	12771
422000000	12769
423000000	12783
424000000	12776
425000000	12771
426000000	12782
427000000	12768
428000000	12779
429000000	12778
430000000	12781
431000000	12778
432000000	12798
433000000	12784
434000000	12772
435000000	12780
436000000	12786
437000000	12786
438000000	12767
439000000	12779
440000000	12792
441000000	12780
442000000	12780
443000000	12777
444000000	12774
445000000	12781
446000000	12784
447000000	12783
448000000	12781
449000000	12794
450000000	12773
451000000	12782
452000000	12776
453000000	12780
454000000	12782
455000000	12785
456000000	12786
457000000	12777
458000000	12775
459000000	12784
460000000	12772
461000000	12776
462000000	12779
463000000	12771
464000000	12776
465000000	12782
466000000	12777
467000000	12768
468000000	12780
469000000	12790
470000000	12782
471000000	12779
472000000	12781
473000000	12771
474000000	12777
475000000	12777
476000000	12775
477000000	12779
478000000	12771
479000000	12784
480000000	12780
481000000	12773
482000000	12775
483000000	12786
484000000	12768
485000000	12775
486000000	12767
487000000	12773
488000000	12774
489000000	12785
490000000	12775
491000000	12769
492000000	12776
493000000	12787
494000000	12767
495000000	12782
496000000	12780
497000000	12770
498000000	12786
499000000	12775
500000000	12783
501000000	12787
502000000	12783
503000000	12771
504000000	12790
505000000	12785
506000000	12775
507000000	12779
508000000	12773
509000000	12783
510000000	12780
511000000	12774
512000000	12779
513000000	12786
514000000	12777
515000000	12764
516000000	12781
517000000	12788
518000000	12785
519000000	12784
520000000	12782
521000000	12775
522000000	12777
523000000	12776
524000000	12790
525000000	12762
526000000	12788
527000000	12766
528000000	12779
529000000	12768
530000000	12769
531000000	12774
532000000	12781
533000000	12779
534000000	12777
535000000	12771
536000000	12773
537000000	12782
538000000	12774
539000000	12774
540000000	12771
541000000	12789
542000000	12769
543000000	12783
544000000	12773
545000000	12777
546000000	12781
547000000	12783
548000000	12773
549000000	12784
550000000	12785
551000000	12770
552000000	12770
553000000	12773
554000000	12774
555000000	12781
556000000	12783
