state	posterior	prior	likelihood	skygrid
1000000	-68054.649	-1978.450	-66076.198	-1990.413
2000000	-68062.121	-1996.018	-66066.103	-2009.680
3000000	-68041.239	-1966.159	-66075.081	-1979.965
4000000	-68070.708	-1977.713	-66092.995	-1991.561
5000000	-68042.216	-1995.689	-66046.527	-2008.828
6000000	-67996.352	-1934.770	-66061.582	-1944.454
7000000	-68022.388	-1966.660	-66055.728	-1978.354
8000000	-68052.283	-1995.903	-66056.380	-2008.419
9000000	-68094.099	-2006.982	-66087.117	-2020.371
10000000	-68046.771	-1996.301	-66050.470	-2010.035
11000000	-68048.602	-1988.470	-66060.132	-2000.735
12000000	-68062.259	-1980.208	-66082.051	-1993.960
13000000	-68018.099	-1951.769	-66066.330	-1962.100
14000000	-68019.478	-1961.324	-66058.154	-1973.797
15000000	-68087.626	-2004.404	-66083.222	-2016.811
16000000	-68105.962	-2014.850	-66091.111	-2029.380
17000000	-68083.414	-2018.673	-66064.741	-2034.147
18000000	-68061.099	-1988.690	-66072.409	-2002.994
19000000	-67998.064	-1906.488	-66091.575	-1913.373
20000000	-68065.980	-1978.498	-66087.482	-1990.653
21000000	-68040.396	-1939.581	-66100.815	-1950.081
22000000	-68037.752	-1968.107	-66069.645	-1980.209
23000000	-68047.490	-1963.371	-66084.119	-1975.858
24000000	-68073.998	-1984.265	-66089.732	-1996.890
25000000	-68011.476	-1948.578	-66062.897	-1959.433
26000000	-68046.386	-1965.447	-66080.939	-1978.546
27000000	-68075.541	-1970.613	-66104.927	-1982.485
28000000	-68060.295	-1985.763	-66074.532	-1999.041
29000000	-67993.911	-1927.000	-66066.911	-1936.443
30000000	-68022.100	-1963.593	-66058.507	-1975.175
31000000	-68067.534	-1986.035	-66081.499	-1997.791
32000000	-68088.644	-1990.527	-66098.117	-2003.625
33000000	-68070.757	-1983.250	-66087.507	-1994.790
34000000	-68014.100	-1946.568	-66067.532	-1958.529
35000000	-68080.354	-2010.147	-66070.207	-2023.878
36000000	-68071.169	-1990.114	-66081.054	-2002.829
37000000	-68074.364	-1985.733	-66088.631	-1998.287
38000000	-68032.003	-1975.942	-66056.062	-1989.569
39000000	-68039.595	-1958.528	-66081.068	-1969.281
40000000	-67987.332	-1925.498	-66061.834	-1935.334
41000000	-68053.301	-1975.728	-66077.573	-1988.247
42000000	-68084.955	-1983.974	-66100.981	-1997.176
43000000	-68118.202	-1998.778	-66119.424	-2014.060
44000000	-68083.124	-1995.853	-66087.271	-2008.838
45000000	-68037.570	-1982.918	-66054.652	-1996.166
46000000	-68071.246	-1996.241	-66075.005	-2010.049
47000000	-68031.125	-1959.151	-66071.975	-1970.783
48000000	-68043.745	-1964.213	-66079.532	-1976.613
49000000	-68071.991	-1998.074	-66073.917	-2012.449
50000000	-68091.753	-1991.203	-66100.550	-2005.333
51000000	-68067.587	-1994.473	-66073.114	-2007.843
52000000	-68049.597	-1948.275	-66101.322	-1960.278
53000000	-68091.879	-2021.472	-66070.407	-2036.160
54000000	-68061.490	-1963.059	-66098.431	-1975.382
55000000	-68061.023	-1982.290	-66078.733	-1996.288
56000000	-68035.821	-1953.714	-66082.106	-1965.030
57000000	-68058.133	-1990.617	-66067.516	-2004.311
58000000	-68113.193	-2038.703	-66074.490	-2053.928
