state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
1000000	4.170	4.137	4.256	4.367	4.509	4.771	4.716	4.772	4.836	4.951	5.082	4.998	5.013	4.955	4.958	4.880	4.930	4.708	4.658	4.663	4.638	4.474	4.529	4.621	4.582	4.723	4.623	4.555	4.589	4.671	4.602	4.709	4.727	4.673	4.638	4.671	4.670	4.711	4.677	4.810	4.892	4.903	4.913	4.856	4.776	4.825	4.868	4.733	4.702	4.785
2000000	4.732	4.789	5.000	4.830	4.843	4.840	4.865	5.147	5.091	5.012	5.114	5.126	5.053	5.173	5.167	5.170	5.218	5.181	5.032	5.006	4.837	4.690	4.822	4.761	4.875	4.871	4.960	5.011	4.850	4.616	4.786	4.766	4.646	4.672	4.670	4.688	4.630	4.695	4.681	4.816	4.896	4.926	5.017	5.041	5.166	5.106	5.424	5.481	5.409	5.567
3000000	4.162	4.328	4.385	4.474	4.758	4.634	4.438	4.660	4.911	4.984	5.029	5.077	4.989	5.122	4.870	4.704	4.937	4.657	4.559	4.556	4.631	4.810	4.778	4.462	4.304	4.387	4.288	4.184	4.528	4.774	4.466	4.119	4.420	4.862	5.213	5.310	5.261	4.790	5.086	5.048	5.474	5.712	5.658	5.791	6.153	5.936	6.071	6.173	6.420	6.286
4000000	3.760	4.169	4.336	4.545	4.731	4.688	4.776	4.886	4.840	4.683	4.913	4.937	5.035	5.253	5.020	5.015	4.935	4.773	4.759	4.565	4.296	4.461	4.297	4.626	4.919	4.843	4.649	4.756	4.989	4.928	4.823	4.849	5.061	5.114	4.801	5.030	5.079	4.565	4.990	5.117	5.217	5.636	5.685	5.484	5.472	5.485	5.328	5.418	5.307	5.462
5000000	4.772	4.341	4.594	4.481	4.715	4.710	4.746	4.720	4.882	4.949	4.748	4.823	5.184	5.068	5.231	5.031	4.829	4.722	4.539	4.391	4.435	4.455	4.440	4.263	4.195	4.216	4.390	4.494	4.532	4.783	4.779	4.666	4.427	4.732	4.820	4.784	4.955	4.981	5.178	4.990	5.069	5.156	5.312	5.229	5.304	5.144	5.087	5.310	5.317	5.352
6000000	4.126	4.204	4.325	4.495	4.598	4.600	4.591	4.668	4.696	4.755	4.737	4.776	4.802	4.805	4.703	4.661	4.573	4.730	4.697	4.478	4.371	4.344	4.406	4.243	4.327	4.355	4.458	4.392	4.342	4.584	4.608	4.661	4.547	4.514	4.549	4.507	4.445	4.412	4.424	4.402	4.642	4.579	4.489	4.402	4.224	4.450	4.509	4.487	4.664	4.736
7000000	4.292	4.037	4.421	4.628	4.640	4.575	4.517	4.595	4.605	4.756	4.819	4.934	4.854	4.872	4.719	4.805	4.673	4.676	4.724	4.702	4.734	4.546	4.359	4.319	4.541	4.547	4.598	4.503	4.495	4.624	4.432	4.502	4.581	4.629	4.373	4.312	4.475	4.429	4.515	4.142	4.086	4.255	4.645	4.620	5.029	5.106	5.129	5.292	5.334	5.319
8000000	4.609	4.531	4.645	4.662	4.804	4.710	4.692	4.682	4.831	4.699	4.793	4.918	5.043	4.723	4.807	4.949	4.835	4.866	4.546	4.334	4.413	4.505	4.612	4.581	4.558	4.654	4.620	4.862	4.836	4.798	4.572	4.481	4.651	4.382	4.563	4.728	4.971	4.858	4.997	4.936	4.895	5.018	4.959	5.122	5.250	5.383	5.455	5.599	5.575	5.586
9000000	4.266	4.209	4.303	4.392	4.560	4.652	4.826	4.910	4.955	4.895	4.872	4.892	4.941	4.924	4.774	4.842	4.835	4.666	4.595	4.680	4.495	4.551	4.411	4.469	4.416	4.311	4.348	4.406	4.380	4.266	4.326	4.373	4.418	4.429	4.492	4.353	4.478	4.432	4.430	4.597	4.721	4.657	4.715	4.803	4.999	5.182	5.329	5.425	5.366	5.487
10000000	4.209	4.491	4.494	4.475	4.720	5.038	5.082	4.828	4.775	4.701	4.869	4.915	5.155	4.846	4.722	4.528	4.673	4.563	4.445	4.560	4.489	4.183	4.177	4.146	4.456	4.656	4.936	4.931	4.992	4.857	4.749	4.639	4.539	4.734	5.080	5.073	4.790	4.804	4.775	4.670	4.599	4.705	4.658	5.007	5.437	5.476	5.415	5.624	5.538	5.872
