state	pscore
1000000	3281
2000000	3287
3000000	3291
4000000	3284
5000000	3281
6000000	3282
7000000	3286
8000000	3281
9000000	3284
10000000	3290
11000000	3280
12000000	3294
13000000	3290
14000000	3297
15000000	3295
16000000	3283
17000000	3288
18000000	3288
19000000	3289
20000000	3298
21000000	3291
22000000	3288
23000000	3285
24000000	3297
25000000	3279
26000000	3291
27000000	3283
28000000	3285
29000000	3283
30000000	3292
31000000	3289
32000000	3279
33000000	3297
34000000	3291
35000000	3287
36000000	3284
37000000	3282
38000000	3282
39000000	3285
40000000	3275
41000000	3283
42000000	3283
43000000	3279
44000000	3293
45000000	3281
46000000	3281
47000000	3278
48000000	3292
49000000	3281
50000000	3284
51000000	3282
52000000	3298
53000000	3293
54000000	3288
55000000	3290
56000000	3288
57000000	3295
58000000	3291
59000000	3289
60000000	3286
61000000	3280
62000000	3281
63000000	3280
64000000	3276
65000000	3284
66000000	3280
67000000	3280
68000000	3286
69000000	3277
70000000	3279
71000000	3282
72000000	3285
73000000	3289
74000000	3280
75000000	3293
76000000	3279
77000000	3277
78000000	3280
79000000	3272
80000000	3280
81000000	3281
82000000	3271
83000000	3277
84000000	3276
85000000	3289
86000000	3284
87000000	3280
88000000	3289
89000000	3288
90000000	3283
91000000	3295
92000000	3282
93000000	3293
94000000	3285
95000000	3285
96000000	3287
97000000	3289
98000000	3284
99000000	3276
100000000	3287
101000000	3289
102000000	3284
103000000	3288
104000000	3286
105000000	3273
106000000	3279
107000000	3288
108000000	3289
109000000	3285
110000000	3292
111000000	3283
112000000	3282
113000000	3278
114000000	3283
115000000	3277
116000000	3283
117000000	3283
118000000	3280
119000000	3281
120000000	3276
121000000	3280
122000000	3281
123000000	3281
124000000	3286
125000000	3290
126000000	3290
127000000	3281
128000000	3282
129000000	3286
130000000	3298
131000000	3296
132000000	3288
133000000	3284
134000000	3287
135000000	3289
136000000	3282
137000000	3285
138000000	3280
139000000	3276
140000000	3285
141000000	3283
142000000	3277
143000000	3284
144000000	3285
145000000	3278
146000000	3281
147000000	3275
148000000	3285
149000000	3275
150000000	3282
151000000	3282
152000000	3277
153000000	3266
154000000	3281
155000000	3289
156000000	3279
157000000	3280
158000000	3286
159000000	3276
160000000	3280
161000000	3272
162000000	3273
163000000	3281
164000000	3282
165000000	3277
166000000	3280
167000000	3280
168000000	3286
169000000	3285
170000000	3282
171000000	3285
172000000	3284
173000000	3277
174000000	3274
175000000	3271
176000000	3279
177000000	3279
178000000	3284
179000000	3288
180000000	3279
181000000	3284
182000000	3281
183000000	3280
184000000	3277
185000000	3284
186000000	3288
187000000	3287
188000000	3287
189000000	3286
190000000	3276
191000000	3283
192000000	3280
193000000	3282
194000000	3284
195000000	3283
196000000	3286
197000000	3285
198000000	3281
199000000	3281
200000000	3284
