state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
1000000	5.600	11.714	0.3369	0.1713	0.2449	0.2469	0.3863	0.1718	0.1273	0.3147	0.5008	1.9983	2.7935E-3	21.491	15.651	879.342
2000000	6.196	11.345	0.3366	0.1917	0.2430	0.2287	0.3838	0.1748	0.1260	0.3155	0.5131	1.9738	2.57E-3	22.299	17.897	917.848
3000000	5.367	13.274	0.3103	0.1957	0.2440	0.2500	0.3922	0.1708	0.1295	0.3074	0.5198	1.9604	2.8292E-3	20.950	15.548	882.998
4000000	6.036	12.332	0.3231	0.2056	0.2399	0.2314	0.3957	0.1727	0.1350	0.2967	0.5186	1.9629	2.767E-3	21.295	16.329	889.981
5000000	5.922	12.404	0.3128	0.1920	0.2476	0.2476	0.3943	0.1651	0.1343	0.3063	0.5046	1.9908	2.649E-3	22.434	16.652	916.909
6000000	5.483	12.131	0.3187	0.1911	0.2347	0.2555	0.3976	0.1750	0.1291	0.2983	0.5241	1.9517	2.7624E-3	22.696	16.710	918.033
7000000	6.182	11.975	0.3108	0.1981	0.2509	0.2403	0.3949	0.1771	0.1199	0.3081	0.5037	1.9926	2.6472E-3	23.831	16.849	930.665
8000000	5.704	11.561	0.3187	0.2028	0.2381	0.2404	0.3843	0.1823	0.1328	0.3006	0.5082	1.9835	2.7985E-3	21.093	17.309	899.797
9000000	6.257	12.140	0.3100	0.1920	0.2468	0.2512	0.4122	0.1683	0.1243	0.2953	0.4970	2.0060	2.7046E-3	22.736	16.116	905.177
10000000	5.765	11.033	0.3050	0.1957	0.2397	0.2596	0.3942	0.1745	0.1271	0.3042	0.5330	1.9340	2.6984E-3	23.028	17.189	923.585
11000000	6.276	12.588	0.3270	0.1856	0.2458	0.2416	0.3869	0.1657	0.1283	0.3191	0.5045	1.9909	2.7188E-3	22.721	16.336	909.100
12000000	5.958	10.999	0.3461	0.1863	0.2334	0.2343	0.3908	0.1576	0.1337	0.3178	0.5104	1.9792	2.6522E-3	23.554	17.727	905.955
13000000	5.794	11.452	0.3052	0.1838	0.2576	0.2533	0.3857	0.1683	0.1356	0.3104	0.5287	1.9426	2.7094E-3	21.676	16.755	892.841
14000000	5.503	12.703	0.3219	0.1927	0.2410	0.2444	0.3984	0.1686	0.1281	0.3049	0.5002	1.9996	2.7748E-3	24.109	15.877	919.288
