state	posterior	prior	likelihood	coalescent
1000000	-37766.273	-8492.652	-29273.621	-8482.166
2000000	-37528.817	-8264.306	-29264.512	-8253.810
3000000	-37647.377	-8376.228	-29271.149	-8365.722
4000000	-37562.271	-8301.473	-29260.798	-8290.725
5000000	-37606.682	-8333.160	-29273.522	-8322.498
6000000	-37656.627	-8352.483	-29304.144	-8341.482
7000000	-37620.847	-8384.099	-29236.748	-8373.623
8000000	-37425.040	-8161.564	-29263.475	-8150.983
9000000	-37640.132	-8364.811	-29275.321	-8354.154
10000000	-37600.206	-8404.246	-29195.960	-8393.570
11000000	-37518.999	-8341.588	-29177.411	-8330.979
12000000	-37489.564	-8253.236	-29236.328	-8242.824
13000000	-37482.722	-8160.963	-29321.759	-8150.451
14000000	-37532.652	-8319.878	-29212.775	-8309.523
15000000	-37637.617	-8377.962	-29259.656	-8367.214
16000000	-37534.586	-8264.418	-29270.168	-8253.815
17000000	-37660.314	-8363.921	-29296.392	-8353.327
18000000	-37656.050	-8362.305	-29293.745	-8351.498
19000000	-37665.848	-8348.395	-29317.453	-8337.860
20000000	-37636.167	-8387.853	-29248.314	-8377.475
21000000	-37654.288	-8345.716	-29308.572	-8335.229
22000000	-37579.620	-8366.778	-29212.842	-8355.986
23000000	-37576.856	-8338.323	-29238.533	-8327.874
24000000	-37600.681	-8355.909	-29244.772	-8345.589
25000000	-37528.656	-8318.542	-29210.114	-8308.137
26000000	-37557.477	-8291.878	-29265.599	-8281.247
27000000	-37637.256	-8362.467	-29274.789	-8351.865
28000000	-37583.672	-8339.747	-29243.925	-8329.394
29000000	-37552.188	-8307.579	-29244.609	-8297.108
30000000	-37641.274	-8395.102	-29246.172	-8384.571
31000000	-37444.468	-8206.685	-29237.782	-8196.169
32000000	-37370.141	-8184.311	-29185.830	-8173.820
33000000	-37656.949	-8417.767	-29239.182	-8407.223
34000000	-37638.391	-8389.425	-29248.966	-8378.707
35000000	-37707.177	-8463.029	-29244.149	-8452.532
36000000	-37618.619	-8384.876	-29233.744	-8374.509
37000000	-37635.159	-8448.020	-29187.139	-8437.118
38000000	-37504.099	-8225.529	-29278.570	-8215.132
39000000	-37522.668	-8308.903	-29213.765	-8298.357
40000000	-37623.004	-8390.406	-29232.598	-8379.716
41000000	-37527.460	-8267.827	-29259.633	-8257.143
42000000	-37610.176	-8336.582	-29273.594	-8325.707
43000000	-37591.536	-8375.667	-29215.869	-8365.047
44000000	-37565.273	-8339.365	-29225.908	-8328.714
45000000	-37655.280	-8443.198	-29212.083	-8432.589
46000000	-37598.619	-8352.865	-29245.754	-8342.304
47000000	-37458.428	-8150.840	-29307.587	-8140.351
48000000	-37547.582	-8314.826	-29232.757	-8303.920
49000000	-37504.835	-8262.195	-29242.640	-8251.714
50000000	-37587.189	-8324.658	-29262.531	-8314.082
51000000	-37486.055	-8305.019	-29181.035	-8294.421
52000000	-37656.649	-8440.922	-29215.728	-8430.132
53000000	-37587.498	-8399.023	-29188.475	-8388.294
54000000	-37525.688	-8325.940	-29199.749	-8315.350
55000000	-37502.914	-8258.018	-29244.896	-8247.315
56000000	-37726.156	-8478.882	-29247.274	-8468.474
57000000	-37624.379	-8378.924	-29245.455	-8368.607
58000000	-37465.035	-8189.055	-29275.980	-8178.485
59000000	-37627.412	-8361.679	-29265.732	-8350.942
60000000	-37657.604	-8481.904	-29175.700	-8471.187
61000000	-37616.058	-8381.797	-29234.261	-8371.487
62000000	-37687.118	-8440.220	-29246.897	-8429.745
63000000	-37594.789	-8358.468	-29236.321	-8347.875
64000000	-37623.164	-8312.471	-29310.693	-8301.843
65000000	-37574.877	-8359.140	-29215.737	-8348.683
66000000	-37626.447	-8426.524	-29199.923	-8416.001
67000000	-37599.116	-8382.088	-29217.028	-8371.785
68000000	-37642.148	-8383.314	-29258.834	-8372.743
69000000	-37674.518	-8450.435	-29224.084	-8440.000
70000000	-37574.528	-8351.859	-29222.669	-8341.501
71000000	-37589.441	-8317.267	-29272.174	-8306.656
72000000	-37611.283	-8331.452	-29279.832	-8320.656
73000000	-37647.595	-8382.004	-29265.591	-8371.407
74000000	-37790.036	-8568.097	-29221.938	-8557.270
75000000	-37691.575	-8395.464	-29296.110	-8384.795
76000000	-37621.840	-8389.865	-29231.975	-8378.931
77000000	-37671.797	-8377.815	-29293.982	-8367.445
78000000	-37683.916	-8487.610	-29196.306	-8476.932
79000000	-37509.925	-8286.735	-29223.190	-8276.223
80000000	-37790.506	-8534.435	-29256.071	-8523.758
81000000	-37709.615	-8477.598	-29232.017	-8466.639
82000000	-37627.344	-8389.953	-29237.391	-8379.174
83000000	-37766.629	-8499.858	-29266.771	-8489.038
84000000	-37613.358	-8300.976	-29312.382	-8290.650
85000000	-37767.973	-8544.114	-29223.859	-8533.361
86000000	-37716.142	-8495.479	-29220.663	-8485.060
87000000	-37570.468	-8307.253	-29263.215	-8296.801
88000000	-37527.899	-8358.901	-29168.998	-8348.173
89000000	-37729.999	-8516.597	-29213.402	-8506.100
90000000	-37643.106	-8372.719	-29270.387	-8361.964
91000000	-37650.610	-8411.610	-29239.001	-8401.084
92000000	-37577.750	-8371.808	-29205.942	-8361.511
93000000	-37644.471	-8383.503	-29260.968	-8372.882
94000000	-37570.550	-8326.603	-29243.947	-8316.210
95000000	-37703.083	-8445.445	-29257.638	-8434.741
96000000	-37567.477	-8333.664	-29233.813	-8323.032
97000000	-37638.215	-8301.833	-29336.383	-8291.450
98000000	-37487.224	-8265.245	-29221.980	-8254.680
99000000	-37553.667	-8295.974	-29257.693	-8285.410
100000000	-37464.289	-8260.167	-29204.122	-8249.535
101000000	-37556.415	-8244.504	-29311.911	-8234.128
102000000	-37531.242	-8208.781	-29322.461	-8197.788
103000000	-37467.241	-8185.037	-29282.203	-8174.260
104000000	-37565.486	-8365.793	-29199.693	-8355.011
105000000	-37655.238	-8449.706	-29205.532	-8439.262
106000000	-37587.790	-8301.738	-29286.052	-8290.926
107000000	-37556.501	-8275.380	-29281.121	-8264.623
108000000	-37667.591	-8399.135	-29268.455	-8388.461
109000000	-37626.846	-8384.655	-29242.191	-8374.083
110000000	-37805.604	-8521.554	-29284.050	-8510.784
111000000	-37732.709	-8444.895	-29287.813	-8434.116
112000000	-37732.816	-8437.434	-29295.382	-8426.463
113000000	-37483.637	-8226.611	-29257.025	-8215.995
114000000	-37628.312	-8370.758	-29257.554	-8360.030
115000000	-37575.526	-8381.721	-29193.805	-8371.101
116000000	-37530.273	-8328.986	-29201.286	-8318.388
117000000	-37587.735	-8374.701	-29213.033	-8364.115
118000000	-37575.260	-8330.581	-29244.679	-8320.151
119000000	-37530.149	-8208.412	-29321.737	-8197.828
120000000	-37464.305	-8243.989	-29220.315	-8233.447
