state	pscore
1000000	26852
2000000	26891
3000000	26887
4000000	26829
5000000	26811
6000000	26892
7000000	26911
8000000	26850
9000000	26850
10000000	26905
11000000	26890
12000000	26855
13000000	26829
14000000	26842
15000000	26898
16000000	26829
17000000	26823
18000000	26815
19000000	26847
20000000	26836
21000000	26863
22000000	26796
23000000	26846
24000000	26799
25000000	26825
26000000	26863
27000000	26869
28000000	26870
29000000	26932
30000000	26845
31000000	26822
32000000	26860
33000000	26831
34000000	26852
35000000	26817
36000000	26880
37000000	26847
38000000	26860
39000000	26844
40000000	26826
41000000	26872
42000000	26913
43000000	26899
44000000	26833
45000000	26843
46000000	26860
47000000	26831
48000000	26916
49000000	26875
50000000	26887
51000000	26916
52000000	26891
53000000	26834
54000000	26852
55000000	26798
56000000	26812
57000000	26840
58000000	26859
59000000	26848
60000000	26852
61000000	26829
62000000	26834
63000000	26887
64000000	26879
65000000	26830
66000000	26888
67000000	26875
68000000	26902
69000000	26891
70000000	26858
71000000	26862
72000000	26893
73000000	26864
74000000	26901
75000000	26868
76000000	26864
77000000	26817
78000000	26843
79000000	26841
80000000	26889
81000000	26892
82000000	26923
83000000	26890
84000000	26870
85000000	26887
86000000	26869
87000000	26871
88000000	26839
89000000	26903
90000000	26870
91000000	26876
92000000	26875
93000000	26865
94000000	26878
95000000	26868
96000000	26841
97000000	26814
98000000	26859
99000000	26881
100000000	26819
101000000	26903
102000000	26846
103000000	26860
104000000	26885
105000000	26871
106000000	26899
107000000	26860
108000000	26797
109000000	26844
110000000	26846
111000000	26863
112000000	26856
113000000	26843
114000000	26824
115000000	26836
116000000	26821
117000000	26892
118000000	26874
119000000	26871
120000000	26882
121000000	26857
122000000	26875
123000000	26880
124000000	26865
125000000	26843
126000000	26867
127000000	26877
128000000	26878
129000000	26841
130000000	26846
131000000	26832
132000000	26874
133000000	26842
134000000	26843
135000000	26846
136000000	26869
137000000	26869
138000000	26849
139000000	26889
140000000	26862
141000000	26829
142000000	26861
143000000	26871
144000000	26854
145000000	26838
146000000	26796
147000000	26841
148000000	26856
149000000	26816
150000000	26849
151000000	26862
152000000	26852
153000000	26859
154000000	26825
155000000	26802
156000000	26855
157000000	26842
158000000	26828
159000000	26806
160000000	26807
161000000	26892
162000000	26858
163000000	26848
164000000	26840
165000000	26817
166000000	26753
167000000	26907
168000000	26859
169000000	26834
170000000	26836
171000000	26837
172000000	26839
173000000	26799
174000000	26835
175000000	26826
176000000	26818
177000000	26837
178000000	26834
179000000	26825
180000000	26819
181000000	26845
182000000	26844
183000000	26832
184000000	26844
185000000	26787
186000000	26850
187000000	26788
188000000	26848
189000000	26823
190000000	26809
191000000	26838
192000000	26863
193000000	26828
194000000	26864
195000000	26867
196000000	26778
197000000	26846
198000000	26847
199000000	26818
200000000	26772
