state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.5793	1.7124	0.3393	0.3743	2.4152	0.5795	0.6754	0.4679	0.1860	0.1821	0.1640	4.8033E-3	1.1245E-3	4.7951E-3	0.2321	-5.29E-3	1.588	71.423	26178.512
2000000	0.6135	1.7116	0.3281	0.3628	2.3971	0.5869	0.6916	0.4668	0.1846	0.1810	0.1675	4.7134E-3	1.0061E-3	4.7065E-3	0.2229	3.6019E-3	3.038	77.504	26661.297
3000000	0.5474	1.6514	0.3593	0.3428	2.4944	0.6049	0.6795	0.4726	0.1878	0.1850	0.1546	4.9203E-3	1.2108E-3	4.8938E-3	0.2553	1.4617E-2	2.347	75.785	26045.172
4000000	0.5601	1.7042	0.3650	0.3534	2.4124	0.6048	0.6762	0.4676	0.1851	0.1879	0.1594	4.9505E-3	1.1176E-3	4.9225E-3	0.2314	5.629E-2	1.030	68.912	25578.751
5000000	0.5741	1.6329	0.3522	0.3690	2.4510	0.6209	0.6626	0.4825	0.1804	0.1837	0.1535	4.7891E-3	1.131E-3	4.7725E-3	0.2382	2.8927E-2	1.757	72.950	26406.657
6000000	0.6017	1.7112	0.3656	0.3620	2.3749	0.5846	0.6774	0.4670	0.1853	0.1811	0.1666	4.5932E-3	1.0974E-3	4.5763E-3	0.2355	4.4329E-2	1.594	74.990	27426.704
7000000	0.6308	1.7498	0.3369	0.3523	2.3394	0.5908	0.6917	0.4581	0.1845	0.1845	0.1729	4.7131E-3	1.1961E-3	4.6905E-3	0.2461	2.2094E-2	4.169	76.010	26851.157
8000000	0.6028	1.7214	0.3387	0.3558	2.3708	0.6106	0.6918	0.4623	0.1894	0.1817	0.1666	4.5884E-3	1.1437E-3	4.609E-3	0.2525	-1.4431E-4	2.306	74.763	26690.674
9000000	0.6031	1.7291	0.3427	0.3752	2.3441	0.6057	0.6915	0.4687	0.1863	0.1801	0.1649	4.5512E-3	1.0924E-3	4.53E-3	0.2439	-4.163E-2	2.566	75.312	27262.807
10000000	0.6089	1.7145	0.3509	0.3605	2.3709	0.5943	0.6760	0.4659	0.1836	0.1816	0.1689	4.6459E-3	1.2046E-3	4.7008E-3	0.2659	2.4188E-2	1.722	75.374	26715.657
11000000	0.5929	1.7379	0.3506	0.3738	2.3194	0.6253	0.6688	0.4652	0.1888	0.1800	0.1660	4.8572E-3	1.1684E-3	4.7891E-3	0.2364	3.6697E-2	1.233	73.607	26258.920
12000000	0.6024	1.6957	0.3462	0.3637	2.3665	0.6256	0.6785	0.4577	0.1914	0.1857	0.1652	4.9113E-3	1.246E-3	4.9454E-3	0.2586	-1.125E-2	2.542	74.518	25693.422
13000000	0.5741	1.6823	0.3660	0.3371	2.4406	0.5998	0.6824	0.4717	0.1845	0.1845	0.1593	4.9631E-3	1.2497E-3	4.9593E-3	0.2574	2.5566E-2	3.358	71.645	25556.683
14000000	0.5988	1.6724	0.3551	0.3294	2.4369	0.6075	0.6933	0.4660	0.1868	0.1861	0.1612	5.0261E-3	1.3176E-3	4.9591E-3	0.2667	1.8245E-2	2.643	71.713	25387.971
15000000	0.5816	1.7253	0.3438	0.3731	2.3847	0.5915	0.6815	0.4638	0.1892	0.1817	0.1653	4.864E-3	1.2268E-3	4.7919E-3	0.2579	1.8568E-2	1.752	72.447	26211.600
