state	posterior	prior	likelihood	skygrid
1000000	-136345.200	-21938.614	-114406.586	-7873.334
2000000	-136326.313	-21971.763	-114354.550	-7905.635
3000000	-136329.245	-21937.844	-114391.401	-7870.786
4000000	-136348.092	-21963.070	-114385.022	-7897.090
5000000	-136425.928	-22010.714	-114415.214	-7946.645
6000000	-136374.546	-21984.251	-114390.295	-7920.087
7000000	-136395.523	-22060.071	-114335.453	-7997.774
8000000	-136403.390	-22056.165	-114347.224	-7991.017
9000000	-136414.523	-21997.926	-114416.597	-7936.682
10000000	-136323.547	-21975.546	-114348.001	-7911.584
11000000	-136490.079	-22043.741	-114446.338	-7978.669
12000000	-136439.251	-22038.703	-114400.548	-7974.970
13000000	-136438.176	-22030.752	-114407.424	-7966.909
14000000	-136353.021	-21989.729	-114363.292	-7923.713
15000000	-136310.911	-22010.513	-114300.397	-7947.364
16000000	-136371.428	-22051.650	-114319.779	-7988.215
17000000	-136420.292	-22005.983	-114414.309	-7943.515
18000000	-136403.270	-22033.444	-114369.826	-7969.093
19000000	-136438.796	-22012.584	-114426.212	-7949.417
20000000	-136349.804	-22001.234	-114348.570	-7938.594
21000000	-136380.302	-21994.905	-114385.397	-7927.905
22000000	-136387.289	-21987.492	-114399.798	-7924.620
23000000	-136408.228	-21980.143	-114428.084	-7916.431
24000000	-136425.160	-21962.005	-114463.155	-7899.128
25000000	-136373.176	-21969.543	-114403.633	-7906.699
26000000	-136450.883	-22036.403	-114414.481	-7972.472
27000000	-136430.416	-22038.665	-114391.750	-7974.876
28000000	-136419.051	-22054.571	-114364.480	-7991.957
29000000	-136392.987	-22006.095	-114386.892	-7943.492
30000000	-136410.839	-22026.634	-114384.205	-7965.079
31000000	-136430.943	-22043.930	-114387.013	-7983.047
32000000	-136419.617	-21983.626	-114435.991	-7920.252
33000000	-136358.184	-21972.617	-114385.567	-7909.572
34000000	-136342.624	-21977.243	-114365.381	-7913.450
35000000	-136365.002	-22002.106	-114362.896	-7936.359
36000000	-136331.094	-21987.196	-114343.898	-7922.283
37000000	-136359.473	-22005.828	-114353.645	-7942.361
38000000	-136393.629	-22007.475	-114386.153	-7941.939
39000000	-136374.906	-21999.087	-114375.818	-7935.568
40000000	-136349.486	-21977.961	-114371.525	-7914.277
41000000	-136390.579	-21960.636	-114429.943	-7897.175
42000000	-136423.028	-21991.275	-114431.753	-7926.617
43000000	-136331.518	-21967.662	-114363.856	-7902.964
44000000	-136453.406	-21978.836	-114474.570	-7916.704
45000000	-136336.469	-21993.924	-114342.546	-7931.484
46000000	-136312.909	-21955.260	-114357.649	-7891.371
47000000	-136423.975	-22050.561	-114373.414	-7985.728
48000000	-136407.827	-22055.113	-114352.713	-7990.077
49000000	-136407.592	-22025.921	-114381.671	-7963.768
50000000	-136452.381	-22091.155	-114361.226	-8028.342
51000000	-136466.761	-22063.864	-114402.897	-7999.402
52000000	-136453.548	-22048.543	-114405.005	-7986.517
53000000	-136404.446	-22083.814	-114320.632	-8020.399
54000000	-136507.831	-22117.954	-114389.876	-8053.868
55000000	-136391.403	-22046.258	-114345.145	-7981.084
56000000	-136428.065	-22053.835	-114374.230	-7991.454
57000000	-136442.074	-22065.496	-114376.578	-8000.811
58000000	-136228.658	-21922.106	-114306.553	-7856.817
59000000	-136357.848	-21958.986	-114398.862	-7893.991
60000000	-136236.147	-21900.374	-114335.773	-7834.563
61000000	-136268.815	-21937.033	-114331.781	-7873.617
62000000	-136302.496	-21926.065	-114376.431	-7862.521
63000000	-136451.475	-22065.835	-114385.640	-8000.863
64000000	-136306.131	-21967.312	-114338.819	-7903.966
65000000	-136316.810	-21952.708	-114364.102	-7887.866
66000000	-136364.099	-21999.039	-114365.060	-7934.609
67000000	-136351.873	-21968.724	-114383.149	-7903.520
68000000	-136460.367	-21998.621	-114461.746	-7934.106
69000000	-136355.077	-22025.459	-114329.618	-7963.316
70000000	-136348.988	-22023.739	-114325.249	-7960.497
71000000	-136373.807	-22044.486	-114329.320	-7981.075
72000000	-136381.125	-22077.814	-114303.311	-8013.705
73000000	-136464.930	-22066.500	-114398.430	-8004.302
74000000	-136338.088	-22019.205	-114318.883	-7958.952
75000000	-136514.118	-22115.397	-114398.720	-8053.889
76000000	-136439.485	-22037.294	-114402.191	-7973.013
77000000	-136362.322	-22005.014	-114357.308	-7938.507
78000000	-136417.885	-22024.168	-114393.717	-7959.380
79000000	-136435.907	-22047.177	-114388.730	-7984.695
80000000	-136384.749	-22107.146	-114277.603	-8044.543
81000000	-136435.319	-22063.592	-114371.727	-7998.919
82000000	-136389.139	-22067.750	-114321.389	-8004.928
83000000	-136522.228	-22036.491	-114485.736	-7973.044
84000000	-136420.383	-22041.192	-114379.191	-7979.202
85000000	-136447.552	-22074.928	-114372.623	-8009.477
86000000	-136464.048	-22116.867	-114347.181	-8051.030
87000000	-136534.770	-22106.777	-114427.994	-8044.342
88000000	-136462.972	-22096.124	-114366.848	-8032.879
89000000	-136471.111	-22146.527	-114324.583	-8082.203
90000000	-136536.540	-22167.203	-114369.337	-8103.085
91000000	-136595.175	-22181.960	-114413.214	-8120.899
92000000	-136558.993	-22208.046	-114350.947	-8143.730
93000000	-136525.641	-22176.677	-114348.965	-8113.354
94000000	-136605.600	-22204.326	-114401.274	-8139.339
95000000	-136565.061	-22175.929	-114389.132	-8112.418
96000000	-136494.159	-22129.326	-114364.833	-8067.441
97000000	-136468.192	-22080.661	-114387.531	-8017.717
98000000	-136503.950	-22115.249	-114388.702	-8051.525
99000000	-136416.928	-22049.650	-114367.278	-7984.812
100000000	-136328.359	-22016.248	-114312.111	-7950.077
101000000	-136399.207	-22058.005	-114341.203	-7995.496
102000000	-136336.049	-22012.091	-114323.958	-7948.035
103000000	-136411.659	-21976.255	-114435.404	-7911.484
104000000	-136351.258	-22000.837	-114350.421	-7939.307
105000000	-136367.704	-21982.494	-114385.210	-7915.974
106000000	-136350.891	-21964.826	-114386.065	-7900.049
107000000	-136332.046	-21920.326	-114411.720	-7853.858
108000000	-136288.600	-21935.639	-114352.961	-7870.504
109000000	-136330.407	-21930.800	-114399.607	-7867.624
110000000	-136342.590	-21944.446	-114398.144	-7881.882
111000000	-136373.055	-21981.189	-114391.866	-7916.377
