state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
1000000	13.379	13.405	12.539	11.735	11.596	11.455	11.320	11.273	12.009	12.245	11.593	10.871	10.726	10.381	10.314	9.395	8.804	7.911	7.538	6.857	6.735	5.567	5.293	5.335	5.401	4.607	5.277	4.829	4.814	5.051	4.501	4.264	4.376	3.596	3.177	3.114	2.677	2.362	1.603	2.302	1.854	1.113	0.596	0.443	-1.240	-0.788	-0.471	1.243	2.058	1.430
2000000	12.855	12.347	12.637	11.841	11.529	11.548	13.145	13.499	12.280	13.025	12.125	11.997	10.954	10.686	9.553	9.763	8.951	8.225	8.020	7.101	6.903	6.119	6.380	5.392	4.807	5.097	5.402	5.585	4.938	4.144	3.796	4.058	4.745	5.479	5.187	4.739	3.326	1.907	1.068	1.222	0.074	-0.530	-0.892	-2.085	-2.332	-1.488	-1.531	-1.841	-0.894	-0.868
3000000	12.770	11.600	11.660	11.638	11.669	12.005	10.893	12.104	11.943	11.169	11.726	13.036	12.948	12.299	10.318	9.308	8.689	8.357	7.858	7.132	6.848	6.185	6.274	5.570	5.237	5.687	4.923	5.410	4.883	5.571	5.013	3.698	3.171	3.991	3.426	2.411	2.237	1.873	0.288	1.488	1.922	0.824	-1.545	-2.865	-3.278	-2.444	-1.915	-0.486	0.290	-0.009
4000000	13.143	12.737	12.339	12.439	12.551	12.200	12.374	12.449	12.027	12.539	13.029	12.182	11.178	10.501	9.818	9.102	8.548	7.935	7.451	7.312	6.678	5.937	5.892	5.461	5.249	5.069	4.457	4.727	4.191	4.291	4.467	4.729	3.870	4.093	3.996	3.092	2.901	2.524	2.544	1.924	2.829	3.526	3.211	3.584	3.380	3.865	3.772	4.627	4.863	5.416
5000000	12.936	11.989	12.899	12.182	11.282	10.906	11.977	12.267	12.290	12.582	12.762	12.394	11.143	10.111	9.820	9.768	8.317	8.145	7.091	7.245	6.343	6.014	5.543	5.276	4.947	5.464	4.735	4.445	4.601	4.894	4.234	4.126	4.014	3.259	2.976	2.575	3.304	3.350	4.039	2.369	2.000	2.846	3.730	3.544	3.928	3.937	4.881	5.570	5.824	6.162
6000000	12.307	11.935	12.456	11.649	11.832	12.156	12.151	12.367	12.307	12.389	12.113	11.898	11.304	10.783	9.969	8.782	8.435	8.081	7.766	7.027	6.266	5.905	5.347	4.934	5.034	5.232	4.647	5.348	4.874	4.328	3.767	3.790	4.158	3.679	3.403	2.973	2.709	1.662	1.958	1.930	3.110	3.361	2.925	2.803	3.014	3.126	3.614	3.214	2.507	3.427
7000000	11.767	11.878	12.078	11.776	12.039	11.919	11.752	11.814	13.055	12.379	12.194	11.746	10.916	11.094	9.652	9.235	8.328	7.949	7.631	7.043	6.367	5.913	5.360	5.059	5.604	5.754	5.166	4.868	4.390	3.986	4.269	4.242	3.674	3.566	2.992	3.047	2.193	2.463	2.263	2.749	3.857	5.142	4.987	4.770	4.960	5.656	6.320	6.244	7.095	6.689
8000000	13.366	13.390	12.631	12.281	11.959	11.523	11.958	12.875	12.588	13.205	13.888	12.678	12.400	10.995	9.875	9.032	8.194	8.501	7.532	6.761	6.612	6.030	5.655	5.390	5.681	4.719	5.900	5.134	3.756	4.294	4.826	3.862	3.531	2.774	2.991	2.278	1.157	2.133	1.410	1.345	2.267	1.817	1.460	1.817	2.010	2.492	2.062	0.652	-0.676	-1.236
9000000	13.301	12.849	12.620	11.978	12.574	12.264	13.036	13.151	12.715	12.342	11.750	11.522	11.752	10.858	10.422	9.263	8.772	8.884	7.846	7.484	6.978	6.577	6.059	5.968	4.972	5.258	5.144	4.382	5.210	5.452	5.211	5.072	4.914	4.095	3.906	3.753	4.210	2.706	2.311	0.846	0.578	0.365	0.816	0.339	0.392	0.982	0.958	1.743	1.737	2.050
10000000	11.522	11.506	11.743	11.876	11.761	11.357	11.634	12.711	13.214	13.400	12.552	11.567	10.976	10.870	10.766	8.949	8.857	8.109	7.661	7.428	6.789	6.809	5.668	5.542	5.497	5.396	4.884	4.511	4.969	5.311	5.170	5.262	4.749	5.555	3.949	4.560	4.243	3.904	4.237	4.238	2.526	2.850	3.450	3.300	4.487	5.379	5.720	5.792	6.458	6.523
