state	pscore
1000000	92320
2000000	92335
3000000	92327
4000000	92341
5000000	92331
6000000	92290
7000000	92318
8000000	92310
9000000	92353
10000000	92293
11000000	92284
12000000	92291
13000000	92343
14000000	92355
15000000	92301
16000000	92310
17000000	92315
18000000	92306
19000000	92319
20000000	92295
21000000	92331
22000000	92295
23000000	92346
24000000	92314
25000000	92298
26000000	92322
27000000	92303
28000000	92296
29000000	92293
30000000	92299
31000000	92305
32000000	92330
33000000	92318
34000000	92335
35000000	92314
36000000	92314
37000000	92335
38000000	92317
39000000	92349
40000000	92269
41000000	92318
42000000	92340
43000000	92319
44000000	92312
45000000	92304
46000000	92331
47000000	92325
48000000	92342
49000000	92306
50000000	92304
51000000	92277
52000000	92322
53000000	92303
54000000	92282
55000000	92309
56000000	92311
57000000	92337
58000000	92337
59000000	92321
60000000	92314
61000000	92282
62000000	92287
63000000	92314
64000000	92332
65000000	92351
66000000	92311
67000000	92306
68000000	92310
69000000	92305
70000000	92331
71000000	92298
72000000	92306
73000000	92335
74000000	92349
75000000	92288
76000000	92357
77000000	92286
78000000	92289
79000000	92319
80000000	92316
81000000	92327
82000000	92287
83000000	92317
84000000	92329
85000000	92330
86000000	92317
87000000	92324
88000000	92297
89000000	92314
90000000	92315
91000000	92302
92000000	92293
93000000	92299
94000000	92326
95000000	92326
96000000	92288
97000000	92300
98000000	92324
99000000	92289
100000000	92319
101000000	92309
102000000	92302
103000000	92296
104000000	92320
105000000	92302
106000000	92334
107000000	92322
108000000	92294
109000000	92305
110000000	92290
111000000	92278
112000000	92293
113000000	92325
114000000	92277
115000000	92308
116000000	92319
117000000	92314
118000000	92338
119000000	92323
120000000	92341
121000000	92302
122000000	92326
123000000	92314
124000000	92330
125000000	92295
126000000	92291
127000000	92316
128000000	92313
129000000	92301
130000000	92312
131000000	92310
132000000	92328
133000000	92313
134000000	92326
135000000	92307
136000000	92324
137000000	92303
138000000	92325
139000000	92298
140000000	92289
141000000	92333
142000000	92313
143000000	92300
144000000	92331
145000000	92321
146000000	92307
147000000	92334
148000000	92371
149000000	92329
150000000	92314
151000000	92322
152000000	92324
153000000	92330
154000000	92326
155000000	92343
156000000	92334
157000000	92314
158000000	92327
159000000	92322
160000000	92318
161000000	92338
162000000	92346
163000000	92295
164000000	92326
165000000	92327
166000000	92309
167000000	92316
168000000	92322
169000000	92343
170000000	92310
171000000	92313
172000000	92309
173000000	92284
174000000	92329
175000000	92340
176000000	92337
177000000	92314
178000000	92305
179000000	92301
180000000	92347
181000000	92308
182000000	92320
183000000	92309
184000000	92298
185000000	92308
186000000	92332
187000000	92331
188000000	92336
189000000	92303
190000000	92333
191000000	92316
192000000	92302
193000000	92305
194000000	92323
195000000	92339
196000000	92315
197000000	92309
198000000	92326
199000000	92321
200000000	92305
