state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.1131	2.5051	0.1868	7.6706E-2	3.0513	6.6911E-2	0.3799	0.2987	0.2033	0.2229	0.2752	7.5047E-4	8.3229E-5	7.5058E-4	0.1065	-1.6407E-2	17.810	1168.687	23100.642
2000000	0.1063	2.5087	0.1964	7.3128E-2	3.0545	6.1081E-2	0.3782	0.2954	0.2067	0.2226	0.2753	8.2174E-4	1.0399E-4	8.2882E-4	0.1263	3.8581E-2	12.861	1032.245	20729.741
3000000	0.1062	2.5121	0.1985	7.3812E-2	3.0427	6.6762E-2	0.3899	0.2989	0.2041	0.2241	0.2729	7.7918E-4	8.3492E-5	7.8743E-4	0.1073	-9.16E-3	20.857	1093.341	22100.657
4000000	0.1133	2.5700	0.1940	8.0054E-2	2.9768	6.5794E-2	0.3808	0.2949	0.2072	0.2173	0.2806	8.1005E-4	8.5532E-5	8.1444E-4	0.1046	-4.7167E-2	14.083	1012.319	21083.320
5000000	0.1122	2.5188	0.1887	7.4428E-2	3.0362	6.9621E-2	0.3883	0.3013	0.2038	0.2179	0.2770	7.8232E-4	8.0694E-5	7.7249E-4	0.1020	-1.2241E-3	29.395	1179.556	22620.936
6000000	0.1085	2.4868	0.1837	7.5551E-2	3.0794	6.6008E-2	0.3882	0.3000	0.2041	0.2220	0.2738	8.2418E-4	1.0539E-4	8.1779E-4	0.1284	2.2368E-2	5.802	1043.695	21400.480
7000000	0.1083	2.4653	0.1933	7.3853E-2	3.0913	6.7856E-2	0.3749	0.3006	0.2020	0.2232	0.2741	8.2156E-4	1.0072E-4	8.3578E-4	0.1225	-2.4439E-2	7.100	940.186	20517.671
8000000	0.1106	2.4950	0.1942	6.7217E-2	3.0687	6.4206E-2	0.3773	0.3014	0.2050	0.2226	0.2709	7.7373E-4	9.1219E-5	7.6959E-4	0.1176	-4.2607E-2	10.521	1160.781	22419.764
9000000	0.1096	2.5130	0.1965	6.7798E-2	3.0451	6.8088E-2	0.3879	0.2986	0.2049	0.2224	0.2741	7.4403E-4	8.7739E-5	7.4536E-4	0.1167	-1.7372E-2	6.339	1125.217	23360.063
10000000	0.1097	2.5367	0.1883	7.8776E-2	3.0183	6.819E-2	0.3778	0.2964	0.2055	0.2184	0.2797	8.1887E-4	9.8613E-5	8.1335E-4	0.1160	-1.496E-2	9.682	1190.847	21434.782
