state	posterior	prior	likelihood	skygrid
1000000	-427562.375	-12648.355	-414914.020	-4923.690
2000000	-427590.821	-12636.555	-414954.266	-4910.807
3000000	-427539.470	-12628.628	-414910.842	-4903.279
4000000	-427640.045	-12652.012	-414988.033	-4927.403
5000000	-427608.842	-12644.999	-414963.843	-4920.411
6000000	-427551.425	-12649.828	-414901.597	-4923.607
7000000	-427602.185	-12635.898	-414966.287	-4910.261
8000000	-427640.604	-12659.488	-414981.116	-4933.356
9000000	-427606.424	-12661.129	-414945.295	-4935.749
10000000	-427618.548	-12631.204	-414987.343	-4905.552
11000000	-427530.579	-12623.042	-414907.537	-4896.579
12000000	-427600.672	-12635.734	-414964.938	-4910.557
13000000	-427629.831	-12671.562	-414958.270	-4947.871
14000000	-427613.359	-12659.206	-414954.153	-4933.906
15000000	-427593.607	-12649.049	-414944.557	-4924.161
16000000	-427634.027	-12681.232	-414952.795	-4956.061
17000000	-427577.605	-12644.941	-414932.664	-4919.677
18000000	-427535.594	-12610.365	-414925.229	-4884.230
19000000	-427614.455	-12690.472	-414923.982	-4964.930
20000000	-427624.318	-12662.278	-414962.040	-4937.877
21000000	-427589.673	-12625.299	-414964.374	-4899.011
22000000	-427543.476	-12638.101	-414905.375	-4913.383
23000000	-427561.951	-12612.858	-414949.093	-4886.431
24000000	-427649.557	-12678.103	-414971.454	-4952.785
25000000	-427571.914	-12625.359	-414946.555	-4899.517
26000000	-427549.568	-12660.207	-414889.361	-4935.517
27000000	-427584.422	-12629.782	-414954.641	-4904.114
28000000	-427543.506	-12633.784	-414909.722	-4908.235
29000000	-427607.521	-12624.597	-414982.924	-4898.788
30000000	-427637.777	-12670.485	-414967.292	-4944.826
31000000	-427532.625	-12598.568	-414934.057	-4873.825
32000000	-427553.382	-12620.355	-414933.027	-4895.430
33000000	-427585.934	-12645.045	-414940.889	-4918.842
34000000	-427600.680	-12674.663	-414926.017	-4949.546
35000000	-427587.698	-12655.452	-414932.247	-4929.899
36000000	-427594.706	-12661.458	-414933.248	-4935.469
37000000	-427570.221	-12618.612	-414951.609	-4892.668
38000000	-427591.390	-12667.338	-414924.051	-4940.900
39000000	-427637.943	-12649.514	-414988.429	-4923.776
40000000	-427602.367	-12654.217	-414948.150	-4928.512
41000000	-427578.266	-12672.674	-414905.593	-4948.509
42000000	-427628.434	-12675.775	-414952.659	-4949.974
43000000	-427598.146	-12655.482	-414942.664	-4929.708
44000000	-427591.000	-12701.886	-414889.114	-4977.004
45000000	-427616.061	-12630.082	-414985.979	-4905.253
46000000	-427615.035	-12679.975	-414935.060	-4954.737
47000000	-427609.255	-12664.537	-414944.718	-4938.950
48000000	-427538.053	-12591.579	-414946.474	-4865.941
49000000	-427493.194	-12597.457	-414895.737	-4872.284
50000000	-427539.054	-12629.878	-414909.176	-4904.546
51000000	-427675.788	-12670.773	-415005.015	-4945.177
52000000	-427545.985	-12635.887	-414910.098	-4910.186
53000000	-427592.167	-12656.918	-414935.249	-4931.856
54000000	-427640.492	-12666.018	-414974.475	-4941.034
55000000	-427595.265	-12654.714	-414940.551	-4929.323
56000000	-427522.586	-12617.575	-414905.010	-4892.906
57000000	-427581.099	-12620.685	-414960.413	-4894.810
58000000	-427569.620	-12662.165	-414907.454	-4937.321
59000000	-427629.202	-12679.720	-414949.483	-4954.629
60000000	-427544.023	-12603.561	-414940.462	-4878.370
61000000	-427590.789	-12637.400	-414953.389	-4911.429
62000000	-427545.098	-12613.459	-414931.638	-4887.545
63000000	-427540.189	-12603.125	-414937.064	-4876.926
64000000	-427556.403	-12628.308	-414928.096	-4901.692
65000000	-427573.928	-12622.459	-414951.470	-4895.922
66000000	-427593.886	-12657.089	-414936.798	-4931.888
67000000	-427616.804	-12647.255	-414969.549	-4922.901
68000000	-427615.002	-12656.482	-414958.520	-4930.526
69000000	-427570.406	-12630.766	-414939.639	-4905.621
70000000	-427558.715	-12618.456	-414940.260	-4893.279
71000000	-427553.993	-12616.363	-414937.631	-4891.064
72000000	-427603.886	-12632.347	-414971.539	-4905.825
73000000	-427652.093	-12657.717	-414994.376	-4932.154
74000000	-427610.370	-12651.530	-414958.840	-4927.130
75000000	-427559.974	-12627.441	-414932.533	-4901.443
76000000	-427633.254	-12652.940	-414980.314	-4926.620
77000000	-427607.804	-12669.273	-414938.531	-4944.065
78000000	-427615.877	-12660.808	-414955.069	-4936.364
79000000	-427589.177	-12632.715	-414956.462	-4907.258
80000000	-427595.893	-12610.741	-414985.153	-4884.712
81000000	-427543.989	-12594.862	-414949.127	-4869.108
82000000	-427591.658	-12648.967	-414942.692	-4924.656
83000000	-427578.861	-12657.988	-414920.873	-4932.435
84000000	-427528.903	-12589.354	-414939.548	-4863.469
85000000	-427545.853	-12625.311	-414920.542	-4899.706
86000000	-427511.954	-12618.447	-414893.507	-4892.677
87000000	-427614.180	-12663.773	-414950.407	-4938.485
88000000	-427561.331	-12613.874	-414947.457	-4888.046
89000000	-427569.237	-12626.366	-414942.871	-4901.245
90000000	-427616.176	-12620.292	-414995.884	-4894.861
91000000	-427568.946	-12651.939	-414917.007	-4926.699
92000000	-427564.830	-12626.204	-414938.626	-4900.805
93000000	-427573.747	-12645.487	-414928.260	-4919.433
94000000	-427546.121	-12625.780	-414920.341	-4901.250
95000000	-427638.448	-12657.268	-414981.179	-4931.627
96000000	-427547.412	-12620.866	-414926.546	-4895.187
97000000	-427657.113	-12686.483	-414970.630	-4961.229
98000000	-427613.203	-12640.559	-414972.644	-4915.043
