state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
1000000	8.631	8.335	7.978	7.432	7.360	7.413	7.263	7.188	7.625	7.552	7.613	7.744	7.452	7.547	6.997	7.021	7.189	6.991	6.952	6.986	6.520	6.822	7.156	7.398	7.503	7.920	7.901	7.839	7.670	7.469	7.618	7.832	7.642	7.786	7.518	7.496	7.314	7.625	7.249	7.444	7.316	6.903	6.893	6.779	6.672	6.799	6.584	6.606	6.734	6.948
2000000	8.311	8.536	8.227	7.491	6.897	7.351	7.465	7.024	7.751	8.244	8.375	7.956	7.860	6.929	7.083	7.039	7.120	6.415	5.983	6.722	6.631	6.451	6.922	7.662	7.506	7.561	7.550	7.624	7.199	7.212	6.611	7.487	8.293	8.129	8.270	8.757	8.394	7.818	8.529	8.349	7.714	7.301	7.188	6.783	7.150	7.054	7.084	6.932	6.325	6.843
3000000	8.371	8.345	8.196	7.281	7.289	7.428	7.264	7.031	7.184	7.349	7.941	7.423	7.127	7.334	7.077	6.663	6.718	6.508	6.805	7.413	7.079	6.851	7.311	7.903	8.001	7.872	8.022	7.754	7.481	7.603	8.017	8.568	8.282	8.596	7.889	7.703	7.664	7.646	7.528	7.364	7.121	7.354	7.288	7.268	7.134	7.593	7.461	6.755	6.517	6.765
4000000	8.388	8.257	8.085	7.801	7.384	7.342	7.453	7.085	7.148	7.545	7.470	7.857	7.714	7.810	7.465	7.138	7.323	7.619	7.539	7.171	7.085	7.382	7.133	6.803	6.735	6.598	6.514	6.596	6.646	6.475	6.456	6.897	7.229	7.087	7.202	7.666	7.304	7.080	7.120	7.372	6.941	7.132	7.053	6.663	6.566	6.561	7.008	6.880	6.776	7.151
5000000	8.516	8.322	8.081	7.660	7.459	7.313	7.184	7.234	7.270	7.028	6.963	7.235	7.142	7.140	7.240	7.220	7.414	7.309	7.342	7.209	7.341	7.257	7.165	7.285	7.075	7.238	6.838	6.800	7.115	7.036	6.925	6.835	7.132	7.150	7.407	7.425	7.642	7.707	7.552	7.844	7.608	7.401	7.403	7.544	7.228	7.166	7.447	7.521	7.724	7.396
6000000	8.412	8.323	8.077	7.774	7.402	7.294	7.455	7.273	7.504	7.440	7.194	7.238	7.209	7.436	7.492	7.150	6.869	7.111	6.789	6.894	6.820	6.908	6.872	6.710	6.990	7.079	6.904	6.788	6.777	6.868	6.682	6.902	6.942	7.033	7.171	6.865	6.796	6.322	6.407	6.482	6.357	6.646	6.626	6.972	6.814	6.790	6.573	6.878	6.968	6.837
7000000	8.220	8.291	8.225	7.554	7.430	7.094	6.848	7.077	7.672	7.464	7.032	7.069	7.397	7.462	7.231	7.151	7.335	6.954	6.765	6.904	6.671	6.567	6.724	6.695	6.393	6.790	7.015	6.954	7.037	7.350	7.022	6.631	6.493	6.630	6.755	6.578	6.518	6.913	7.058	7.034	7.189	7.326	7.506	7.499	6.869	6.901	6.897	6.707	7.043	7.085
8000000	8.244	8.504	8.129	7.603	7.206	7.192	7.522	7.381	7.753	7.611	7.687	7.976	7.536	7.361	7.319	7.099	6.928	6.626	6.873	7.281	7.236	6.938	6.690	7.157	7.356	7.182	7.316	7.352	8.010	8.191	8.014	7.896	7.953	8.173	8.098	8.305	8.299	7.910	8.258	7.641	7.684	8.189	7.883	8.182	8.335	7.748	7.733	7.739	7.293	7.114
9000000	8.240	8.225	8.076	7.413	7.521	7.233	7.257	6.773	6.899	7.128	7.435	7.170	6.969	6.808	6.982	7.017	7.130	7.110	6.831	6.572	6.836	6.934	6.872	7.072	6.905	6.988	7.016	6.365	6.517	6.735	6.725	6.736	6.933	6.874	7.065	7.269	7.445	7.493	7.008	6.689	6.883	7.620	7.270	7.204	6.584	6.697	6.519	6.926	7.199	6.872
10000000	8.624	8.352	8.066	7.488	7.521	7.448	7.360	7.380	7.538	7.897	7.728	7.520	7.336	7.974	7.248	7.412	7.218	6.701	6.690	6.996	7.065	7.081	7.780	7.575	8.060	8.343	8.684	8.111	7.985	8.101	7.688	7.959	7.644	7.104	6.865	6.698	6.708	6.519	7.087	6.720	6.785	7.003	6.908	6.781	6.744	6.354	6.566	6.753	6.276	6.811
