state	pscore
1000000	1495
2000000	1498
3000000	1495
4000000	1494
5000000	1495
6000000	1498
7000000	1495
8000000	1495
9000000	1496
10000000	1495
11000000	1495
12000000	1495
13000000	1495
14000000	1494
15000000	1496
16000000	1495
17000000	1494
18000000	1497
19000000	1497
20000000	1494
21000000	1495
22000000	1494
23000000	1494
24000000	1493
25000000	1495
26000000	1496
27000000	1496
28000000	1495
29000000	1495
30000000	1494
31000000	1497
32000000	1497
33000000	1497
34000000	1495
35000000	1496
36000000	1497
37000000	1494
38000000	1495
39000000	1496
40000000	1496
41000000	1495
42000000	1494
43000000	1495
44000000	1494
45000000	1495
46000000	1498
47000000	1495
48000000	1495
49000000	1494
50000000	1499
51000000	1495
52000000	1494
53000000	1497
54000000	1495
55000000	1495
56000000	1494
57000000	1498
58000000	1495
59000000	1495
60000000	1495
61000000	1496
62000000	1495
63000000	1494
64000000	1495
65000000	1495
66000000	1496
67000000	1498
68000000	1494
69000000	1496
70000000	1495
71000000	1494
72000000	1496
73000000	1495
74000000	1496
75000000	1496
76000000	1495
77000000	1496
78000000	1496
79000000	1498
80000000	1497
81000000	1495
82000000	1495
83000000	1494
84000000	1496
85000000	1494
86000000	1497
87000000	1494
88000000	1496
89000000	1495
90000000	1497
91000000	1494
92000000	1495
93000000	1495
94000000	1495
95000000	1495
96000000	1495
97000000	1495
98000000	1496
99000000	1499
100000000	1497
101000000	1495
102000000	1499
103000000	1495
104000000	1497
105000000	1495
106000000	1495
107000000	1497
108000000	1496
109000000	1496
110000000	1495
111000000	1496
112000000	1496
113000000	1495
114000000	1497
115000000	1495
116000000	1496
117000000	1497
118000000	1496
119000000	1496
120000000	1498
121000000	1494
122000000	1496
123000000	1496
124000000	1499
125000000	1496
126000000	1495
127000000	1495
128000000	1496
129000000	1495
130000000	1499
131000000	1497
132000000	1494
133000000	1497
134000000	1496
135000000	1498
136000000	1499
137000000	1497
138000000	1495
139000000	1495
140000000	1498
141000000	1496
142000000	1496
143000000	1496
144000000	1497
145000000	1496
146000000	1496
147000000	1497
148000000	1501
149000000	1497
150000000	1496
151000000	1497
152000000	1497
153000000	1497
154000000	1495
155000000	1497
156000000	1496
157000000	1497
158000000	1497
159000000	1495
160000000	1497
161000000	1497
162000000	1499
163000000	1496
164000000	1496
165000000	1495
166000000	1495
167000000	1495
168000000	1496
169000000	1498
170000000	1502
171000000	1497
172000000	1496
173000000	1495
174000000	1497
175000000	1496
176000000	1496
177000000	1495
178000000	1498
179000000	1497
180000000	1495
181000000	1496
182000000	1496
183000000	1497
184000000	1495
185000000	1496
186000000	1495
187000000	1495
188000000	1495
189000000	1495
190000000	1496
191000000	1495
192000000	1496
193000000	1495
194000000	1495
195000000	1496
196000000	1496
197000000	1496
198000000	1494
199000000	1496
200000000	1496
