state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	6.8593	0.1396	0.3067	0.2205	0.2056	0.2671	5.423E-4	26.644	20.670	188.777
2000000	6.8525	0.1627	0.3126	0.2229	0.1966	0.2679	5.3924E-4	194.007	22.076	191.199
3000000	6.2214	0.1641	0.3133	0.2160	0.2000	0.2707	5.307E-4	16.880	22.186	199.134
4000000	6.3294	0.1767	0.3066	0.2192	0.2015	0.2727	5.4169E-4	6.355	21.464	190.328
5000000	7.3983	6.7082E-2	0.3058	0.2192	0.2043	0.2707	5.0678E-4	11.320	22.408	200.238
6000000	7.0643	0.1156	0.3126	0.2169	0.1998	0.2707	5.6707E-4	16.515	20.785	184.083
7000000	6.7377	0.1736	0.3115	0.2137	0.1985	0.2764	5.4032E-4	10.659	21.316	198.171
8000000	6.8201	5.7895E-2	0.3023	0.2270	0.2017	0.2690	4.9542E-4	10.769	23.080	207.677
9000000	6.9276	2.2309E-2	0.3211	0.2171	0.1907	0.2711	5.5096E-4	14.334	21.929	191.624
10000000	6.9977	9.8098E-2	0.3086	0.2218	0.2026	0.2670	4.9872E-4	18.109	24.515	210.864
11000000	6.8816	0.1427	0.3124	0.2206	0.1999	0.2671	4.8443E-4	59.960	23.640	205.500
12000000	6.7556	9.8097E-2	0.3128	0.2221	0.2016	0.2636	5.3781E-4	1394.377	21.302	192.801
13000000	6.5878	0.1808	0.3084	0.2203	0.1988	0.2725	5.6797E-4	14.986	20.907	189.813
14000000	6.9878	0.1261	0.3151	0.2164	0.2013	0.2672	5.2732E-4	89.892	21.610	192.831
15000000	7.9600	0.1545	0.3037	0.2206	0.2002	0.2755	5.4223E-4	260.091	22.822	200.508
16000000	7.2643	0.1294	0.3072	0.2212	0.1965	0.2751	5.2532E-4	4.754	22.729	197.965
17000000	6.5736	0.1183	0.3042	0.2209	0.1992	0.2757	4.8918E-4	317.478	22.095	205.333
18000000	6.6079	2.024E-2	0.3050	0.2195	0.2028	0.2727	5.081E-4	119.402	22.159	202.357
19000000	6.5168	0.1437	0.3045	0.2217	0.1997	0.2742	4.7411E-4	6.761	22.424	206.883
20000000	6.8652	0.1474	0.3034	0.2223	0.1997	0.2747	5.2179E-4	14.615	23.597	202.987
21000000	6.8658	0.1313	0.3069	0.2216	0.2045	0.2670	4.9035E-4	50.281	22.697	201.920
22000000	6.9615	0.1195	0.3138	0.2216	0.2012	0.2634	5.4441E-4	11.173	20.873	195.353
23000000	6.4571	0.1612	0.3041	0.2192	0.2031	0.2736	5.9153E-4	237.695	19.806	187.744
24000000	6.8417	0.1296	0.3083	0.2226	0.1976	0.2715	5.0644E-4	4.548	24.030	212.674
25000000	6.3064	0.1637	0.3094	0.2186	0.2037	0.2684	5.2879E-4	29.890	20.918	203.474
26000000	7.1618	8.6465E-3	0.3051	0.2222	0.2017	0.2710	5.1148E-4	34.913	22.490	206.423
27000000	6.6547	0.1189	0.3118	0.2138	0.2015	0.2730	5.5665E-4	4.778	20.117	185.426
28000000	6.4945	0.1188	0.3110	0.2197	0.2025	0.2668	5.0095E-4	142.285	22.264	201.202
29000000	6.0254	0.1369	0.3019	0.2249	0.2003	0.2730	5.0787E-4	17.309	22.121	201.699
30000000	6.2465	0.1074	0.3037	0.2241	0.1977	0.2746	5.4003E-4	331.555	21.659	194.107
31000000	6.5648	0.2248	0.3085	0.2221	0.1952	0.2742	5.4133E-4	561.619	21.089	192.424
32000000	7.0314	0.1377	0.3107	0.2215	0.2017	0.2662	5.4145E-4	14.144	22.851	201.360
33000000	7.0044	0.1119	0.3097	0.2194	0.2039	0.2670	5.7102E-4	10.036	20.391	183.526
34000000	6.6710	0.1155	0.3033	0.2210	0.2073	0.2684	5.432E-4	293.947	22.055	195.044
35000000	6.8056	0.1510	0.3083	0.2192	0.2001	0.2724	5.2713E-4	460.963	21.981	194.194
36000000	6.5897	8.9949E-2	0.3045	0.2217	0.2035	0.2703	5.2583E-4	12.172	23.169	202.052
37000000	6.1952	0.1842	0.3079	0.2215	0.2038	0.2667	5.1849E-4	235.466	23.743	206.306
38000000	7.0817	0.1716	0.3043	0.2260	0.1989	0.2708	5.7968E-4	109.655	21.197	187.776
39000000	6.3612	0.1443	0.3113	0.2231	0.1994	0.2663	5.0995E-4	14.547	23.437	203.380
40000000	6.8718	0.1311	0.3131	0.2191	0.1997	0.2681	5.1806E-4	26.165	23.031	200.990
41000000	6.6124	0.1241	0.3034	0.2250	0.2020	0.2696	5.2467E-4	4.786	20.798	190.987
42000000	7.1392	0.1152	0.3124	0.2253	0.1978	0.2645	5.3948E-4	119.597	22.228	200.339
43000000	7.8088	0.1647	0.3090	0.2213	0.1983	0.2713	6.1405E-4	16.643	20.871	181.614
44000000	7.0288	0.1765	0.3049	0.2241	0.1988	0.2722	5.098E-4	7.539	22.065	203.119
45000000	6.1177	0.1707	0.3047	0.2241	0.2011	0.2702	5.0672E-4	25.102	23.102	200.225
46000000	6.4638	0.1346	0.3001	0.2211	0.1989	0.2799	5.0883E-4	30.476	23.278	203.021
47000000	6.7343	0.1477	0.3098	0.2176	0.2027	0.2698	5.5161E-4	74.694	20.565	192.162
48000000	6.3812	9.6123E-2	0.2986	0.2251	0.2012	0.2750	4.8656E-4	1005.935	25.053	217.985
49000000	6.6737	6.6448E-2	0.3141	0.2201	0.1983	0.2676	5.639E-4	24.374	20.931	188.554
50000000	7.4457	0.1779	0.3133	0.2158	0.2013	0.2696	4.9737E-4	992.586	22.323	205.626
51000000	6.8982	0.1231	0.3061	0.2259	0.1976	0.2704	5.587E-4	4.879	18.802	189.506
52000000	6.9632	0.1211	0.3134	0.2208	0.1972	0.2685	5.1226E-4	29.481	22.095	200.242
53000000	6.5664	0.1660	0.3069	0.2212	0.2015	0.2704	5.35E-4	13.682	22.582	193.854
54000000	6.8307	0.1757	0.3075	0.2207	0.2010	0.2708	5.3615E-4	20.036	20.972	195.708
55000000	6.8467	0.2049	0.3055	0.2181	0.2015	0.2749	5.2139E-4	40.395	21.926	196.178
56000000	7.7601	0.1292	0.3047	0.2191	0.2088	0.2674	5.0412E-4	2101.814	22.222	206.897
57000000	6.9300	0.1340	0.3075	0.2196	0.2039	0.2691	5.1897E-4	65.760	22.230	198.085
58000000	6.6479	0.1197	0.3071	0.2271	0.1969	0.2689	5.5968E-4	322.893	21.319	188.949
59000000	6.0422	0.1468	0.3097	0.2202	0.2032	0.2669	5.6081E-4	62.718	20.048	189.563
60000000	6.4807	0.1592	0.3068	0.2182	0.1982	0.2768	4.8468E-4	20.417	23.438	208.181
61000000	6.2793	0.1610	0.3050	0.2197	0.2042	0.2711	5.6511E-4	49.242	20.824	189.696
62000000	6.8214	0.1438	0.3147	0.2161	0.1990	0.2701	5.1257E-4	28.440	22.144	209.312
63000000	5.9579	0.1459	0.3103	0.2211	0.2022	0.2664	5.1574E-4	6.479	22.236	207.611
64000000	6.5069	0.1364	0.3102	0.2190	0.2025	0.2684	5.3341E-4	114.901	20.369	192.638
