state	posterior	prior	likelihood	skygrid
1000000	-35862.501	-1197.512	-34664.988	-1190.394
2000000	-35980.994	-1337.370	-34643.624	-1332.559
3000000	-35980.421	-1321.422	-34658.999	-1317.983
4000000	-35975.069	-1319.167	-34655.901	-1314.547
5000000	-35981.536	-1338.747	-34642.789	-1334.166
6000000	-36009.788	-1363.981	-34645.807	-1359.585
7000000	-35918.293	-1254.056	-34664.237	-1247.025
8000000	-35901.187	-1254.295	-34646.892	-1248.336
9000000	-35962.668	-1316.432	-34646.237	-1312.820
10000000	-35951.311	-1308.011	-34643.300	-1302.482
11000000	-35953.227	-1312.916	-34640.311	-1307.841
12000000	-35916.485	-1284.151	-34632.334	-1278.056
13000000	-35945.752	-1275.793	-34669.959	-1270.656
14000000	-35967.694	-1296.424	-34671.270	-1291.132
15000000	-35891.312	-1225.961	-34665.351	-1220.071
16000000	-35854.065	-1199.704	-34654.361	-1189.282
17000000	-35965.731	-1310.506	-34655.226	-1305.661
18000000	-35900.170	-1263.265	-34636.905	-1255.635
19000000	-35900.133	-1255.328	-34644.805	-1249.787
20000000	-35936.497	-1288.047	-34648.450	-1283.117
21000000	-35934.626	-1286.087	-34648.540	-1280.297
22000000	-35959.043	-1322.187	-34636.856	-1316.433
23000000	-35936.807	-1244.172	-34692.635	-1238.820
24000000	-35868.473	-1240.788	-34627.685	-1231.872
25000000	-36008.026	-1362.250	-34645.776	-1358.231
26000000	-35920.825	-1266.508	-34654.317	-1261.482
27000000	-35990.142	-1301.871	-34688.271	-1297.581
28000000	-35959.848	-1310.035	-34649.813	-1304.461
29000000	-35948.479	-1300.415	-34648.064	-1295.263
30000000	-35910.320	-1247.654	-34662.666	-1240.452
31000000	-35888.730	-1234.795	-34653.935	-1226.687
32000000	-35963.406	-1292.148	-34671.259	-1286.145
33000000	-35915.153	-1272.349	-34642.804	-1265.205
34000000	-35925.798	-1272.254	-34653.544	-1265.353
35000000	-35941.542	-1284.362	-34657.179	-1275.286
36000000	-35999.231	-1345.629	-34653.602	-1342.064
37000000	-35908.900	-1270.776	-34638.124	-1265.305
38000000	-35971.493	-1317.855	-34653.638	-1312.703
39000000	-35914.004	-1260.085	-34653.919	-1254.913
40000000	-35940.939	-1280.832	-34660.107	-1275.574
41000000	-35842.828	-1173.148	-34669.680	-1160.477
42000000	-35978.133	-1322.463	-34655.669	-1317.786
43000000	-35934.865	-1299.750	-34635.115	-1294.938
44000000	-36002.528	-1341.175	-34661.353	-1338.377
45000000	-35960.149	-1315.122	-34645.026	-1309.534
46000000	-35989.587	-1304.151	-34685.436	-1302.009
47000000	-35922.789	-1279.320	-34643.469	-1274.349
48000000	-35852.654	-1187.299	-34665.355	-1180.776
49000000	-35994.392	-1345.648	-34648.744	-1341.264
50000000	-35881.039	-1220.978	-34660.061	-1214.371
51000000	-35949.249	-1254.101	-34695.148	-1247.631
52000000	-35942.363	-1288.638	-34653.725	-1284.090
53000000	-35932.309	-1335.682	-34596.626	-1331.031
54000000	-35856.189	-1225.297	-34630.892	-1215.029
55000000	-35907.467	-1276.301	-34631.167	-1269.556
56000000	-35926.669	-1267.264	-34659.405	-1263.185
57000000	-35987.179	-1329.931	-34657.248	-1324.793
58000000	-35914.116	-1252.987	-34661.129	-1247.295
59000000	-35858.893	-1213.468	-34645.425	-1208.081
60000000	-35884.956	-1215.200	-34669.755	-1209.798
61000000	-35925.626	-1260.459	-34665.166	-1252.393
62000000	-35902.226	-1244.448	-34657.778	-1239.506
63000000	-35898.442	-1272.651	-34625.791	-1265.809
64000000	-35919.708	-1289.070	-34630.638	-1282.392
65000000	-35880.202	-1226.047	-34654.155	-1217.560
66000000	-35966.668	-1319.421	-34647.247	-1311.937
67000000	-35982.492	-1295.311	-34687.181	-1290.863
68000000	-35970.602	-1328.890	-34641.712	-1323.765
69000000	-35933.992	-1280.075	-34653.917	-1273.117
70000000	-35946.131	-1295.955	-34650.176	-1290.139
71000000	-35895.138	-1227.881	-34667.257	-1221.453
72000000	-35943.502	-1263.187	-34680.315	-1258.442
73000000	-35907.095	-1281.205	-34625.890	-1273.568
74000000	-35900.425	-1232.967	-34667.458	-1226.924
75000000	-35984.018	-1349.652	-34634.366	-1343.837
76000000	-35973.729	-1284.167	-34689.562	-1278.691
77000000	-35902.336	-1226.497	-34675.839	-1220.265
78000000	-35947.244	-1282.237	-34665.007	-1275.746
79000000	-35849.964	-1200.605	-34649.359	-1193.464
80000000	-35994.603	-1335.226	-34659.377	-1330.163
81000000	-35920.918	-1266.290	-34654.628	-1262.335
82000000	-35904.980	-1256.326	-34648.654	-1248.100
83000000	-35930.269	-1284.239	-34646.031	-1277.422
84000000	-35917.735	-1261.220	-34656.515	-1256.759
85000000	-35908.179	-1234.564	-34673.615	-1227.136
86000000	-35944.836	-1301.818	-34643.018	-1296.386
87000000	-35893.330	-1239.875	-34653.455	-1233.360
88000000	-36010.045	-1350.053	-34659.992	-1345.967
89000000	-35894.888	-1246.248	-34648.640	-1240.553
90000000	-35967.811	-1314.543	-34653.268	-1310.226
91000000	-35887.389	-1223.568	-34663.820	-1217.205
92000000	-35875.691	-1221.931	-34653.759	-1215.132
93000000	-35953.106	-1308.908	-34644.198	-1303.661
94000000	-35904.813	-1249.909	-34654.903	-1243.589
95000000	-35863.153	-1232.617	-34630.535	-1223.986
96000000	-35874.676	-1208.821	-34665.855	-1202.690
97000000	-35897.129	-1249.313	-34647.816	-1242.666
98000000	-35930.206	-1289.804	-34640.403	-1284.425
99000000	-35966.585	-1325.197	-34641.388	-1321.070
100000000	-35936.076	-1275.709	-34660.367	-1269.513
101000000	-35929.219	-1278.325	-34650.894	-1274.537
102000000	-35934.464	-1282.848	-34651.616	-1278.562
103000000	-35987.152	-1367.991	-34619.161	-1363.736
104000000	-35954.149	-1290.708	-34663.441	-1284.664
105000000	-35976.772	-1302.713	-34674.060	-1296.322
106000000	-35832.032	-1175.386	-34656.646	-1163.459
107000000	-35947.614	-1307.528	-34640.086	-1303.071
108000000	-36006.769	-1337.637	-34669.132	-1332.426
109000000	-35946.570	-1301.449	-34645.121	-1296.777
110000000	-35897.338	-1228.482	-34668.856	-1223.995
111000000	-35955.546	-1302.488	-34653.059	-1297.989
112000000	-35897.661	-1257.171	-34640.490	-1251.795
113000000	-35889.081	-1257.431	-34631.650	-1249.195
114000000	-35951.050	-1306.273	-34644.777	-1301.253
115000000	-35940.461	-1293.528	-34646.933	-1286.128
116000000	-35962.295	-1265.876	-34696.419	-1261.020
117000000	-35883.724	-1245.029	-34638.695	-1235.786
118000000	-35929.181	-1280.306	-34648.874	-1274.487
119000000	-35931.757	-1272.105	-34659.652	-1266.493
120000000	-35875.266	-1250.010	-34625.256	-1243.334
121000000	-35973.696	-1298.293	-34675.404	-1293.261
122000000	-35858.269	-1223.178	-34635.092	-1218.022
123000000	-35894.616	-1239.716	-34654.900	-1233.321
124000000	-35970.896	-1315.502	-34655.394	-1311.060
125000000	-35900.846	-1268.110	-34632.735	-1261.756
126000000	-36058.739	-1409.885	-34648.854	-1407.208
127000000	-35941.646	-1274.897	-34666.749	-1270.102
128000000	-35881.998	-1240.355	-34641.643	-1233.624
129000000	-35838.064	-1198.629	-34639.435	-1191.136
130000000	-35854.801	-1222.533	-34632.268	-1216.310
131000000	-35846.173	-1216.032	-34630.141	-1209.032
132000000	-35906.823	-1248.162	-34658.661	-1241.597
133000000	-35926.102	-1273.946	-34652.156	-1268.932
134000000	-35886.959	-1266.195	-34620.765	-1259.650
135000000	-35992.983	-1343.620	-34649.364	-1339.002
136000000	-35957.873	-1290.432	-34667.441	-1286.151
137000000	-35956.730	-1315.998	-34640.732	-1311.964
138000000	-35931.447	-1310.310	-34621.137	-1304.156
139000000	-35959.641	-1302.917	-34656.724	-1298.271
140000000	-35937.894	-1289.688	-34648.206	-1284.224
141000000	-35956.187	-1304.832	-34651.355	-1300.479
142000000	-35996.468	-1328.848	-34667.619	-1325.657
143000000	-36006.755	-1341.777	-34664.978	-1337.606
144000000	-35911.474	-1264.705	-34646.769	-1258.042
145000000	-35892.803	-1260.849	-34631.954	-1253.883
146000000	-35951.968	-1290.715	-34661.253	-1286.783
147000000	-35930.611	-1302.094	-34628.517	-1297.220
148000000	-35944.654	-1298.948	-34645.707	-1294.554
149000000	-35791.703	-1134.549	-34657.154	-1123.896
150000000	-35920.416	-1279.232	-34641.184	-1274.343
151000000	-35852.477	-1178.768	-34673.710	-1166.049
152000000	-35980.384	-1313.052	-34667.332	-1308.980
153000000	-35910.438	-1258.226	-34652.213	-1252.081
154000000	-35947.733	-1324.205	-34623.528	-1319.880
155000000	-35939.611	-1288.999	-34650.612	-1282.278
156000000	-35935.964	-1292.551	-34643.412	-1287.687
157000000	-35906.974	-1254.396	-34652.578	-1248.962
158000000	-35943.389	-1288.578	-34654.811	-1284.810
159000000	-35919.592	-1250.820	-34668.772	-1244.389
160000000	-35923.568	-1272.117	-34651.451	-1264.768
161000000	-35931.443	-1302.360	-34629.083	-1296.456
162000000	-35951.621	-1274.709	-34676.912	-1268.633
163000000	-35950.719	-1302.165	-34648.554	-1297.074
164000000	-35973.668	-1296.379	-34677.288	-1291.314
165000000	-35927.268	-1283.719	-34643.549	-1278.546
166000000	-35921.159	-1270.692	-34650.467	-1265.178
167000000	-35974.584	-1304.483	-34670.100	-1299.937
168000000	-35869.060	-1224.386	-34644.674	-1218.698
169000000	-35906.728	-1261.884	-34644.845	-1257.691
