state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
1000000	2.398	2.025	1.670	1.602	1.755	1.666	1.910	1.584	1.441	2.121	2.089	1.970	2.051	2.319	2.534	2.515	2.514	2.548	2.112	2.058	1.950	1.979	1.730	1.849	1.806	1.890	2.018	2.282	2.167	2.097	1.982	2.205	2.338	2.224	2.086	2.095	2.377	2.247	2.258	2.174	2.312	2.119	2.189	2.091	1.899	1.852	1.537	2.085	1.988	1.928
2000000	2.092	2.014	1.798	1.660	1.692	1.689	1.602	1.535	1.596	1.616	1.575	1.480	1.486	1.518	1.621	1.544	1.528	1.522	1.471	1.492	1.466	1.311	1.332	1.289	1.357	1.327	1.409	1.366	1.360	1.446	1.370	1.343	1.246	1.186	1.322	1.348	1.344	1.356	1.407	1.401	1.431	1.321	1.283	1.256	1.251	1.305	1.328	1.345	1.313	1.273
3000000	1.677	2.079	1.971	1.654	1.335	1.277	1.370	1.457	1.918	2.381	2.296	2.284	2.198	2.469	2.404	2.320	2.131	1.701	1.545	1.531	1.794	1.551	1.690	1.844	1.914	1.870	1.906	2.012	1.938	2.067	1.932	1.808	1.550	1.242	1.097	1.228	1.234	1.108	1.026	1.300	0.930	1.037	0.929	0.833	0.809	0.542	0.126	0.509	0.411	0.568
4000000	2.371	2.058	1.678	1.501	1.646	1.928	1.780	1.463	0.890	1.962	1.793	1.467	1.715	1.799	2.371	2.220	2.382	2.340	2.931	2.361	1.888	2.111	1.820	1.617	1.851	1.853	1.966	2.211	2.165	2.357	2.227	1.467	1.414	1.390	0.938	1.164	1.425	1.662	2.189	1.901	1.678	0.882	0.041	-0.308	0.152	0.615	0.307	0.082	0.115	0.003
5000000	1.872	2.098	1.880	1.724	1.589	1.862	1.669	1.324	1.288	1.931	2.181	2.528	2.129	1.870	1.679	1.195	1.589	1.659	1.555	1.359	1.409	1.266	1.369	1.515	1.420	1.882	1.962	2.236	2.705	2.411	2.303	2.403	1.874	1.830	1.702	1.920	1.961	2.126	1.795	1.443	1.699	1.427	1.523	1.969	1.847	1.922	1.898	1.825	1.559	1.324
6000000	2.048	1.821	1.768	1.507	1.551	1.438	1.730	1.626	1.545	1.891	1.843	1.979	1.911	1.892	2.307	2.161	2.049	1.872	1.698	1.844	1.840	1.774	1.561	1.357	1.333	1.508	1.643	1.728	1.817	1.817	2.051	1.618	1.952	1.809	1.948	1.926	2.033	2.403	2.483	2.672	2.299	2.218	2.531	2.585	2.688	2.597	2.212	2.072	1.823	1.796
7000000	2.415	2.109	1.691	1.741	1.250	1.704	1.859	1.564	1.532	1.866	1.918	1.446	1.574	1.684	1.867	1.448	1.735	1.767	1.388	1.486	1.901	1.335	1.649	1.602	1.999	2.401	2.309	2.484	2.228	2.336	2.507	2.206	2.543	2.799	2.707	2.484	2.708	2.637	2.147	2.390	2.638	3.063	3.223	3.146	2.652	2.799	2.745	2.778	2.893	3.180
8000000	2.454	1.996	2.018	1.665	1.962	2.106	2.300	2.071	1.614	2.065	2.147	2.515	2.840	2.951	3.129	2.762	2.493	2.267	2.028	1.836	1.778	1.532	1.420	1.282	1.524	1.552	2.220	2.470	2.779	3.187	2.814	2.852	2.345	2.872	2.586	2.511	2.778	2.574	2.418	2.982	3.216	3.152	3.169	3.321	3.070	3.106	3.273	3.845	4.048	4.194
9000000	2.507	2.103	1.672	1.499	1.604	1.599	1.424	1.588	1.721	2.011	2.288	1.708	1.976	2.038	2.321	1.906	1.791	1.618	1.622	1.895	1.791	1.642	1.938	2.182	1.999	2.348	2.235	1.767	1.989	2.163	2.241	2.403	2.258	2.111	2.021	2.559	2.772	2.743	2.768	2.658	2.407	2.418	2.653	2.227	2.050	2.439	2.548	2.707	3.043	3.079
10000000	2.345	2.236	1.746	1.496	1.461	1.609	1.844	2.090	1.447	1.950	1.796	2.031	2.284	2.281	2.168	1.890	1.847	1.714	2.148	2.354	2.642	2.271	2.134	2.186	2.042	2.312	2.282	2.531	2.562	2.091	1.958	1.764	1.605	1.675	1.706	1.572	1.578	1.364	1.437	1.353	1.450	1.551	1.613	1.757	1.963	2.193	2.000	2.279	2.386	2.381
