state	pscore
1000000	2177
2000000	2174
3000000	2173
4000000	2174
5000000	2172
6000000	2174
7000000	2173
8000000	2172
9000000	2173
10000000	2172
11000000	2173
12000000	2171
13000000	2172
14000000	2171
15000000	2174
16000000	2170
17000000	2171
18000000	2170
19000000	2171
20000000	2174
21000000	2172
22000000	2174
23000000	2175
24000000	2171
25000000	2172
26000000	2173
27000000	2173
28000000	2172
29000000	2174
30000000	2171
31000000	2170
32000000	2173
33000000	2172
34000000	2173
35000000	2174
36000000	2169
37000000	2170
38000000	2177
39000000	2173
40000000	2172
41000000	2175
42000000	2174
43000000	2173
44000000	2176
45000000	2171
46000000	2172
47000000	2173
48000000	2173
49000000	2170
50000000	2172
51000000	2170
52000000	2173
53000000	2172
54000000	2170
55000000	2171
56000000	2172
57000000	2173
58000000	2178
59000000	2171
60000000	2173
61000000	2170
62000000	2169
63000000	2179
64000000	2172
65000000	2175
66000000	2175
67000000	2170
68000000	2172
69000000	2170
70000000	2175
71000000	2175
72000000	2176
73000000	2172
74000000	2176
75000000	2171
76000000	2171
77000000	2172
78000000	2169
79000000	2176
80000000	2170
81000000	2171
82000000	2170
83000000	2173
84000000	2174
85000000	2174
86000000	2174
87000000	2177
88000000	2174
89000000	2175
90000000	2174
91000000	2176
92000000	2173
93000000	2177
94000000	2176
95000000	2176
96000000	2177
97000000	2175
98000000	2171
99000000	2174
100000000	2177
101000000	2177
102000000	2173
103000000	2171
104000000	2173
105000000	2175
106000000	2178
107000000	2173
108000000	2173
109000000	2170
110000000	2174
111000000	2172
112000000	2173
113000000	2176
114000000	2171
115000000	2175
116000000	2176
117000000	2169
118000000	2171
119000000	2171
120000000	2173
121000000	2174
122000000	2172
123000000	2173
124000000	2172
125000000	2177
126000000	2176
127000000	2172
128000000	2171
129000000	2170
130000000	2179
131000000	2170
132000000	2172
133000000	2173
134000000	2170
135000000	2170
136000000	2175
137000000	2178
138000000	2173
139000000	2172
140000000	2172
141000000	2172
142000000	2173
143000000	2172
144000000	2171
145000000	2169
146000000	2171
147000000	2177
148000000	2172
149000000	2172
150000000	2171
151000000	2174
152000000	2173
153000000	2172
154000000	2174
155000000	2174
156000000	2171
157000000	2173
158000000	2169
159000000	2173
160000000	2176
161000000	2174
162000000	2168
163000000	2174
164000000	2173
165000000	2172
166000000	2173
167000000	2173
168000000	2170
169000000	2176
170000000	2178
171000000	2174
172000000	2172
173000000	2175
174000000	2176
175000000	2178
176000000	2175
177000000	2173
178000000	2170
179000000	2177
180000000	2179
181000000	2174
182000000	2172
183000000	2173
184000000	2175
185000000	2174
186000000	2174
187000000	2174
188000000	2170
189000000	2169
190000000	2171
191000000	2176
192000000	2174
193000000	2170
194000000	2171
195000000	2172
196000000	2169
197000000	2173
198000000	2174
199000000	2169
200000000	2172
201000000	2173
202000000	2175
203000000	2173
204000000	2174
205000000	2174
206000000	2175
207000000	2172
208000000	2178
209000000	2173
210000000	2173
211000000	2174
212000000	2172
213000000	2173
214000000	2174
215000000	2169
216000000	2170
217000000	2170
218000000	2174
219000000	2171
220000000	2170
221000000	2172
222000000	2170
223000000	2171
224000000	2171
225000000	2171
226000000	2172
227000000	2172
228000000	2169
229000000	2174
230000000	2170
231000000	2176
232000000	2175
233000000	2169
234000000	2172
235000000	2170
236000000	2170
237000000	2172
238000000	2172
239000000	2170
240000000	2172
241000000	2172
242000000	2171
243000000	2169
244000000	2169
245000000	2175
246000000	2174
247000000	2174
248000000	2175
249000000	2173
250000000	2175
251000000	2173
252000000	2169
253000000	2170
254000000	2171
255000000	2172
256000000	2173
257000000	2172
258000000	2178
259000000	2174
260000000	2178
261000000	2174
262000000	2173
263000000	2173
264000000	2173
265000000	2171
266000000	2175
267000000	2171
268000000	2173
269000000	2173
270000000	2177
271000000	2180
272000000	2174
273000000	2175
274000000	2178
275000000	2173
276000000	2173
277000000	2175
278000000	2178
279000000	2175
280000000	2175
281000000	2173
282000000	2175
283000000	2174
284000000	2172
285000000	2173
286000000	2171
287000000	2174
288000000	2172
289000000	2171
290000000	2170
291000000	2169
292000000	2170
293000000	2174
294000000	2175
295000000	2169
296000000	2173
297000000	2176
298000000	2177
299000000	2173
300000000	2169
301000000	2172
302000000	2174
303000000	2171
304000000	2175
305000000	2170
306000000	2170
307000000	2176
308000000	2175
309000000	2173
310000000	2171
311000000	2169
312000000	2175
313000000	2171
314000000	2172
315000000	2169
316000000	2173
317000000	2169
318000000	2174
319000000	2173
320000000	2172
321000000	2172
322000000	2174
323000000	2174
324000000	2173
325000000	2178
326000000	2175
327000000	2173
328000000	2174
329000000	2175
330000000	2173
331000000	2170
332000000	2171
333000000	2174
334000000	2170
335000000	2171
336000000	2172
337000000	2170
338000000	2172
339000000	2175
340000000	2173
341000000	2176
342000000	2175
343000000	2175
344000000	2171
345000000	2172
346000000	2172
347000000	2178
348000000	2169
349000000	2171
350000000	2170
351000000	2177
352000000	2174
353000000	2173
354000000	2173
355000000	2176
356000000	2171
357000000	2174
358000000	2175
359000000	2175
360000000	2170
361000000	2171
362000000	2172
363000000	2170
364000000	2175
365000000	2171
366000000	2172
367000000	2173
368000000	2175
369000000	2175
370000000	2173
371000000	2176
372000000	2174
373000000	2175
374000000	2170
375000000	2169
376000000	2173
377000000	2172
378000000	2172
379000000	2174
380000000	2170
381000000	2172
382000000	2172
383000000	2169
384000000	2177
385000000	2172
386000000	2171
387000000	2173
388000000	2171
389000000	2171
390000000	2169
391000000	2171
392000000	2176
393000000	2171
394000000	2176
395000000	2175
396000000	2173
397000000	2171
398000000	2170
399000000	2171
400000000	2170
401000000	2173
402000000	2171
403000000	2173
404000000	2172
405000000	2170
406000000	2175
407000000	2174
408000000	2173
409000000	2177
410000000	2174
411000000	2173
412000000	2172
413000000	2174
414000000	2172
415000000	2171
416000000	2171
417000000	2176
418000000	2172
419000000	2173
420000000	2175
421000000	2177
422000000	2168
423000000	2172
424000000	2175
425000000	2170
426000000	2172
427000000	2170
428000000	2170
429000000	2175
430000000	2170
431000000	2171
432000000	2171
433000000	2170
434000000	2172
435000000	2170
436000000	2172
437000000	2175
438000000	2172
439000000	2171
440000000	2178
441000000	2177
442000000	2176
443000000	2174
444000000	2173
445000000	2172
446000000	2174
447000000	2169
448000000	2169
449000000	2171
450000000	2174
451000000	2170
452000000	2177
453000000	2172
454000000	2172
455000000	2172
456000000	2173
457000000	2175
458000000	2170
459000000	2177
460000000	2168
461000000	2171
462000000	2174
463000000	2174
464000000	2172
465000000	2171
466000000	2175
467000000	2175
468000000	2178
469000000	2173
470000000	2172
471000000	2176
472000000	2172
473000000	2175
474000000	2175
475000000	2174
476000000	2173
477000000	2173
478000000	2173
479000000	2177
480000000	2173
481000000	2172
482000000	2176
483000000	2171
484000000	2169
485000000	2173
486000000	2177
487000000	2172
488000000	2172
489000000	2170
490000000	2176
491000000	2168
492000000	2171
493000000	2173
494000000	2175
495000000	2175
496000000	2179
497000000	2176
498000000	2169
499000000	2171
500000000	2171
501000000	2171
502000000	2172
503000000	2176
504000000	2176
505000000	2177
