state	cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.6596	2.3599	0.3846	0.1314	2.2765	0.1881	0.4247	2.7564	0.2242	1.5794E-2	2.2637	0.3152	0.3480	2.1722	0.1759	0.1557	2.5650	0.5832	3.5173E-2	0.1786	0.3160	0.2986	0.2022	0.2346	0.2646	0.2371	0.2510	0.2404	0.2715	0.3472	0.2460	0.1725	0.2343	0.3578	2.2558	1.0968	5.362E-4	6.424E-4	4.9045E-4	1.1517	0.1380	45.501	20.659	434.957
2000000	0.4583	2.2367	0.3005	0.1115	2.6885	0.2044	0.3224	2.7537	0.2237	3.0495E-2	2.3312	0.3386	0.2487	2.3879	0.2183	4.8127E-2	2.5878	0.5091	1.3025E-2	0.1810	0.2780	0.3081	0.2041	0.2281	0.2598	0.2419	0.2403	0.2507	0.2671	0.3322	0.2530	0.1701	0.2446	0.3503	2.2492	1.1692	5.4469E-4	6.3457E-4	5.0958E-4	1.0861	0.1120	1.539	21.151	422.425
3000000	0.5809	2.0500	0.3055	0.1111	2.6273	0.3252	0.4256	2.6619	0.1550	4.8906E-2	2.3129	0.3957	0.2552	2.7105	0.3376	1.8366E-2	2.3790	0.2994	7.9339E-3	0.1804	0.2144	0.2975	0.2102	0.2320	0.2603	0.2321	0.2490	0.2499	0.2690	0.3428	0.2349	0.1787	0.2437	0.3558	2.2384	1.1686	6.2906E-4	9.9173E-4	5.1637E-4	1.2474	0.1615	2.708	20.002	433.351
4000000	0.5331	2.3569	0.2583	9.3043E-2	2.4416	0.3170	0.2988	2.7714	0.1795	7.5243E-2	2.2536	0.4215	0.2660	2.3598	0.2036	0.1094	2.6564	0.4049	3.7863E-2	0.1750	0.2046	0.2930	0.2094	0.2341	0.2635	0.2460	0.2487	0.2344	0.2709	0.3345	0.2458	0.1940	0.2257	0.3524	2.1954	1.3371	5.3385E-4	6.7921E-4	4.1986E-4	1.2305	6.7081E-2	2.064	35.833	490.758
5000000	0.5939	2.2648	0.3336	8.3225E-2	2.5865	0.1379	0.3521	2.6849	0.2433	4.4151E-2	2.2068	0.4688	0.3390	2.6981	0.1244	0.1016	2.1016	0.6354	1.8329E-2	0.1940	0.2230	0.3059	0.2020	0.2259	0.2662	0.2407	0.2510	0.2426	0.2657	0.3249	0.2602	0.1699	0.2449	0.3472	2.2897	1.0535	5.8092E-4	8.206E-4	4.7774E-4	1.3508	8.1628E-2	3.177	22.702	435.222
6000000	0.6673	2.0926	0.2649	6.0389E-2	2.6877	0.2271	0.3433	2.7216	0.2009	3.2655E-2	2.3246	0.3769	0.3412	2.6786	7.6964E-2	6.9399E-2	2.4461	0.3877	1.9119E-2	0.1665	0.2847	0.2967	0.2060	0.2284	0.2690	0.2420	0.2425	0.2506	0.2649	0.3206	0.2628	0.1911	0.2254	0.3532	2.2395	1.1825	5.5329E-4	8.2077E-4	4.8587E-4	1.3501	0.1463	18.219	20.415	438.045
7000000	0.4519	2.2675	0.3499	0.1743	2.5357	0.2207	0.3575	2.9615	0.1843	3.7564E-2	2.0669	0.3923	0.2414	2.1971	0.1647	7.0795E-2	2.7716	0.5543	3.2053E-2	0.1785	0.2705	0.2943	0.2084	0.2293	0.2680	0.2338	0.2533	0.2395	0.2734	0.3582	0.2499	0.1621	0.2298	0.3756	2.1879	1.2058	5.0977E-4	6.2609E-4	4.5914E-4	1.2519	0.1350	1.211	19.862	448.878
8000000	0.5315	2.2789	0.3012	5.8707E-2	2.4540	0.3757	0.4374	2.7572	0.2306	2.2875E-2	2.1931	0.3588	0.4214	2.4737	7.2792E-2	0.1010	2.4241	0.5071	4.4629E-2	0.1907	0.1610	0.2988	0.2095	0.2256	0.2661	0.2288	0.2417	0.2565	0.2730	0.3306	0.2461	0.1902	0.2330	0.3479	2.2491	1.1862	5.2723E-4	6.6773E-4	4.7186E-4	1.2561	0.1166	0.679	20.927	481.561
9000000	0.5880	2.1772	0.2699	7.7602E-2	2.6785	0.2088	0.3818	2.7233	0.1744	3.7773E-2	2.2627	0.4200	0.1567	1.9614	0.1099	3.4801E-2	2.8597	0.8775	7.5322E-3	0.2077	0.3385	0.2968	0.2108	0.2248	0.2675	0.2355	0.2610	0.2441	0.2594	0.3503	0.2666	0.1727	0.2103	0.3506	2.2853	1.0459	5.7819E-4	7.691E-4	4.9766E-4	1.3081	9.3664E-2	0.818	21.173	437.112
10000000	0.5773	2.1905	0.2857	0.1000	2.6478	0.1987	0.3528	3.0033	0.1961	2.194E-2	2.0209	0.4050	0.2204	2.4021	0.1747	0.1445	2.5156	0.5427	2.3528E-2	0.1675	0.1984	0.3007	0.2028	0.2229	0.2736	0.2304	0.2552	0.2464	0.2681	0.3655	0.2384	0.1659	0.2301	0.3730	2.1979	1.1894	5.6247E-4	8.1307E-4	5.1483E-4	1.3920	9.8057E-2	2.602	19.950	418.888
