state	posterior	prior	likelihood	skygrid
1000000	-38583.198	-4883.258	-33699.941	-1194.722
2000000	-38586.409	-4878.828	-33707.581	-1191.372
3000000	-38578.225	-4836.381	-33741.845	-1150.573
4000000	-38583.750	-4858.474	-33725.277	-1171.248
5000000	-38556.529	-4854.137	-33702.392	-1167.543
6000000	-38570.305	-4837.615	-33732.691	-1151.748
7000000	-38565.739	-4876.204	-33689.535	-1189.443
8000000	-38536.250	-4846.844	-33689.406	-1160.796
9000000	-38567.025	-4868.203	-33698.822	-1180.084
10000000	-38569.299	-4859.960	-33709.338	-1173.148
11000000	-38556.717	-4856.072	-33700.645	-1169.067
12000000	-38585.232	-4867.281	-33717.951	-1179.404
13000000	-38569.361	-4851.812	-33717.548	-1163.967
14000000	-38590.647	-4866.713	-33723.934	-1180.061
15000000	-38564.681	-4835.142	-33729.539	-1145.433
16000000	-38560.134	-4861.917	-33698.216	-1175.985
17000000	-38558.237	-4861.819	-33696.418	-1174.399
18000000	-38549.903	-4847.957	-33701.946	-1156.659
19000000	-38540.717	-4845.191	-33695.526	-1157.950
20000000	-38523.831	-4828.229	-33695.602	-1141.602
21000000	-38606.471	-4881.565	-33724.906	-1194.141
22000000	-38542.253	-4837.420	-33704.833	-1148.270
23000000	-38587.747	-4883.278	-33704.468	-1195.892
24000000	-38566.657	-4856.069	-33710.588	-1167.309
25000000	-38576.959	-4855.438	-33721.521	-1169.537
26000000	-38611.963	-4896.721	-33715.242	-1208.748
27000000	-38639.965	-4894.734	-33745.231	-1207.544
28000000	-38623.460	-4857.420	-33766.040	-1168.515
29000000	-38594.022	-4878.759	-33715.263	-1191.244
30000000	-38569.296	-4864.118	-33705.178	-1175.055
31000000	-38562.906	-4876.634	-33686.273	-1188.995
32000000	-38564.049	-4850.219	-33713.830	-1163.638
33000000	-38567.235	-4857.737	-33709.498	-1171.334
34000000	-38579.412	-4860.211	-33719.201	-1172.498
35000000	-38605.681	-4869.190	-33736.492	-1181.453
36000000	-38527.954	-4811.421	-33716.532	-1123.457
37000000	-38586.512	-4867.772	-33718.740	-1181.558
38000000	-38614.437	-4899.476	-33714.961	-1212.207
39000000	-38592.019	-4885.911	-33706.108	-1197.553
40000000	-38547.730	-4830.851	-33716.879	-1142.795
41000000	-38490.050	-4825.120	-33664.930	-1135.851
42000000	-38539.428	-4836.267	-33703.162	-1148.102
43000000	-38498.856	-4810.934	-33687.922	-1120.547
44000000	-38670.071	-4909.500	-33760.571	-1221.302
