state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
1000000	3.188	3.595	3.623	3.738	3.771	3.750	3.674	3.526	3.352	3.376	3.248	2.935	3.021	3.261	3.247	2.962	2.981	3.060	3.254	3.291	3.108	3.013	2.949	2.695	2.640	2.692	2.713	2.907	2.816	2.620	2.506	2.377	2.202	2.020	1.787	1.690	1.676	1.674	1.559	1.644	1.522	1.547	1.585	1.613	1.797	1.834	1.706	1.830	1.712	1.643
2000000	1.326	4.159	5.372	4.537	3.390	3.110	3.602	3.422	3.058	3.181	2.877	3.617	2.740	2.567	3.684	3.535	2.820	4.033	3.807	2.297	3.626	3.095	3.713	2.002	1.022	2.015	1.982	1.660	2.079	1.905	2.330	3.362	2.912	2.726	2.368	2.145	2.681	2.098	1.397	1.744	1.086	1.351	1.355	1.496	1.382	0.933	0.776	0.409	0.825	0.398
3000000	1.766	3.743	4.216	4.293	4.160	3.329	3.825	3.357	3.162	2.671	3.052	3.361	2.618	2.987	2.781	3.523	3.280	3.697	4.528	3.717	3.268	3.382	1.771	2.588	2.704	3.310	3.491	3.569	2.675	2.905	3.470	4.094	2.841	2.720	2.542	2.413	2.664	2.496	1.995	1.545	1.109	1.830	2.379	1.591	2.585	0.940	0.125	-0.148	-0.152	-0.126
4000000	1.992	4.367	3.912	4.146	3.714	3.338	3.417	3.476	3.648	3.590	3.116	2.980	2.420	2.709	2.249	2.875	3.280	4.068	3.563	3.658	4.073	4.184	3.345	1.395	2.229	2.225	2.923	3.347	3.612	3.441	3.154	2.302	2.132	2.336	3.136	2.069	2.085	1.920	2.073	2.208	1.761	1.440	2.013	1.561	1.855	0.778	1.141	0.392	0.733	1.961
5000000	3.064	4.479	4.351	3.699	3.836	3.790	3.291	3.330	3.057	2.865	3.507	3.187	2.575	2.880	2.921	2.644	3.439	3.197	3.626	2.760	2.924	3.128	2.486	2.218	2.941	2.584	3.118	2.782	2.849	3.580	2.445	3.173	3.164	3.244	3.499	2.988	2.070	1.548	0.969	1.431	1.811	2.217	2.844	2.510	2.425	2.986	3.263	2.611	2.149	0.892
6000000	3.673	4.103	3.894	4.002	4.079	3.786	3.573	3.256	3.153	3.155	3.144	3.167	3.002	2.846	2.608	2.726	2.991	3.188	2.986	2.872	2.827	2.483	2.540	2.409	2.615	2.512	2.583	2.420	2.421	2.684	2.747	2.834	2.569	2.508	2.108	1.912	2.115	2.158	1.995	1.997	1.906	1.761	1.687	1.808	1.517	1.210	0.777	0.393	0.373	0.046
7000000	1.466	4.997	5.958	4.638	3.316	3.899	3.405	3.819	3.206	2.549	3.430	3.075	2.419	3.331	3.544	2.460	3.011	4.524	4.131	4.068	2.381	2.762	3.409	2.861	3.106	2.966	3.136	2.973	1.867	2.877	2.318	2.397	2.250	2.384	3.385	3.796	3.650	3.131	1.791	1.717	1.189	2.258	2.110	1.973	1.573	1.562	-0.145	-1.319	-1.377	-1.433
8000000	1.237	4.730	4.844	4.387	3.923	3.820	3.141	3.517	2.946	2.850	4.287	3.943	2.055	2.973	3.759	3.150	4.055	3.449	3.746	4.355	6.060	4.709	2.864	2.499	2.480	2.770	3.035	2.858	4.246	3.412	3.042	2.920	3.709	4.702	3.431	4.067	3.933	2.664	3.494	1.005	1.788	2.660	3.539	4.516	3.978	2.524	2.169	1.463	0.740	-0.408
9000000	1.004	5.045	4.028	6.106	3.111	3.046	3.850	3.219	3.144	2.798	3.687	2.719	2.799	2.797	2.915	2.311	3.998	4.038	4.912	4.199	3.086	2.390	3.430	2.271	2.853	3.244	1.543	1.992	1.552	2.208	3.706	3.469	3.818	3.684	2.632	2.231	3.049	3.890	1.518	0.374	1.058	1.408	0.456	1.978	3.133	2.563	1.959	1.140	0.887	-0.434
10000000	2.377	3.938	4.377	4.248	3.953	3.797	3.648	3.158	3.197	2.959	3.315	3.349	2.098	2.837	2.782	2.892	2.613	3.386	3.350	3.520	2.954	2.793	3.020	2.384	2.762	2.918	2.592	3.573	3.911	2.323	3.087	2.516	2.329	2.527	2.786	2.699	2.877	3.042	1.275	2.497	2.623	2.795	2.238	1.772	2.299	1.580	0.747	0.929	1.105	-0.117
11000000	2.498	4.403	4.452	4.603	3.865	4.238	4.026	3.598	3.282	3.121	3.092	3.497	3.399	2.817	3.525	2.556	3.330	3.120	4.303	3.776	3.916	3.021	2.595	3.529	2.810	3.359	2.657	2.755	3.421	2.113	2.171	2.679	2.929	2.771	2.471	2.230	2.853	3.770	2.311	1.419	0.776	1.572	1.454	1.188	0.468	0.681	0.695	-0.041	-0.493	-0.538
12000000	3.032	3.508	3.918	3.845	3.671	3.331	3.524	3.530	3.623	3.135	3.628	3.253	2.710	2.711	3.228	3.273	3.607	3.374	3.800	3.614	3.661	3.406	3.124	3.244	2.853	3.231	3.088	3.119	2.950	3.006	2.989	2.462	2.556	2.720	2.474	2.196	1.607	1.769	1.517	1.607	1.239	1.160	1.282	1.184	1.101	0.658	0.244	0.153	0.584	-0.170
13000000	2.600	3.952	3.665	4.907	4.349	3.523	3.395	3.625	2.991	3.835	3.367	2.866	2.590	2.732	2.767	2.724	2.593	4.386	3.719	3.730	3.311	2.881	3.045	2.564	1.285	2.350	3.144	3.024	3.126	2.862	3.300	2.364	2.710	2.222	2.973	3.068	2.401	2.013	2.154	2.522	0.796	-0.244	0.401	0.688	0.754	0.996	0.302	-1.030	-2.045	-3.219
14000000	2.419	3.943	4.119	4.297	4.524	3.784	3.003	2.980	3.409	3.262	3.316	2.943	2.371	2.620	2.952	2.829	3.233	3.119	3.194	3.053	2.926	2.248	2.387	1.854	2.111	2.423	3.143	3.003	2.655	2.699	3.335	3.410	2.983	2.484	2.386	3.147	3.072	3.036	2.191	2.244	2.322	2.148	1.456	1.524	1.123	0.472	-0.025	-0.094	-0.110	-1.172
15000000	2.993	3.525	4.130	4.199	4.477	3.851	3.421	3.366	2.965	3.103	3.468	3.387	2.893	3.036	2.893	3.289	4.006	4.440	3.866	3.576	3.563	3.206	2.809	2.203	2.622	2.195	2.195	2.534	2.181	2.058	2.581	2.414	2.626	2.209	2.222	2.054	2.115	2.122	2.415	2.050	2.140	2.207	2.197	2.533	1.913	1.917	1.553	1.842	1.495	0.445
16000000	2.467	4.684	4.595	3.761	3.398	3.429	3.994	3.253	2.988	2.766	3.447	2.957	2.770	2.935	3.073	2.990	3.417	4.017	3.870	3.663	3.586	2.594	1.695	2.503	1.792	2.565	2.013	2.097	2.075	2.022	2.758	3.475	3.374	2.531	2.283	2.282	2.493	2.644	2.421	2.058	1.610	1.913	1.545	2.199	2.226	1.233	1.245	1.291	1.323	1.092
17000000	2.150	3.990	4.131	3.735	3.849	3.900	4.260	3.685	3.026	3.339	2.839	3.402	3.043	2.657	3.137	2.493	3.101	3.804	3.868	3.989	2.387	2.041	2.590	1.531	2.012	2.167	2.780	3.188	3.065	3.634	4.223	2.516	2.153	2.579	2.527	3.641	2.720	2.259	2.756	1.423	1.867	3.195	3.385	2.329	2.021	1.299	0.716	0.267	-0.052	-0.859
18000000	3.236	3.606	4.022	3.803	3.878	3.436	3.670	3.391	3.018	2.900	3.336	2.911	2.911	2.704	3.323	3.498	3.311	3.580	3.314	3.024	2.814	2.489	2.254	2.787	2.662	2.417	2.760	2.975	2.117	2.263	2.406	2.133	2.997	2.392	2.214	2.301	2.642	2.261	1.992	2.182	1.795	1.714	1.406	1.474	2.039	1.555	0.769	1.389	1.492	1.053
19000000	3.007	3.704	3.917	4.237	4.016	3.449	3.650	3.494	3.531	3.328	3.359	3.086	2.402	2.886	3.115	2.779	2.867	3.405	3.540	3.603	3.066	3.157	3.489	2.959	2.982	2.938	2.646	1.981	2.539	2.381	2.396	2.293	2.865	3.377	3.071	3.225	2.791	2.631	2.732	2.548	2.402	2.279	1.577	1.707	1.907	1.527	1.594	1.102	1.064	0.675
