state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	5.2766	1.8547E-2	0.2946	0.1786	0.1906	0.3362	1.0705E-3	1.037	0.381	34.165
2000000	6.3003	3.6179E-2	0.2904	0.1793	0.1912	0.3391	1.0922E-3	0.458	0.401	33.644
3000000	5.6771	2.8836E-2	0.2925	0.1822	0.1908	0.3345	1.1448E-3	0.069	0.371	33.292
4000000	6.0775	8.3085E-2	0.2920	0.1808	0.1931	0.3341	1.1808E-3	0.452	0.434	33.986
5000000	5.6285	3.193E-2	0.2948	0.1780	0.1883	0.3389	1.1076E-3	0.624	0.399	34.887
6000000	5.7320	3.5218E-2	0.2906	0.1825	0.1911	0.3358	1.1446E-3	0.511	0.381	33.799
7000000	6.3749	4.4323E-2	0.2946	0.1758	0.1935	0.3361	1.0941E-3	0.558	0.425	33.511
8000000	5.8440	6.8606E-2	0.2948	0.1766	0.1952	0.3333	1.2408E-3	0.859	0.391	32.639
9000000	6.1520	6.1684E-2	0.2910	0.1816	0.1882	0.3393	1.0395E-3	0.523	0.371	35.716
10000000	6.0336	1.753E-2	0.2942	0.1782	0.1901	0.3375	1.0725E-3	0.230	0.413	35.047
11000000	6.5948	6.1595E-3	0.2893	0.1789	0.1964	0.3353	1.1114E-3	0.198	0.389	35.980
12000000	6.1176	3.6428E-2	0.2929	0.1797	0.1919	0.3355	1.1533E-3	0.475	0.405	32.330
13000000	5.9648	5.1508E-2	0.2926	0.1843	0.1889	0.3341	1.1507E-3	0.327	0.371	33.320
14000000	6.2329	5.4832E-2	0.2964	0.1809	0.1898	0.3329	1.1441E-3	0.204	0.421	35.198
15000000	6.1323	2.935E-2	0.2911	0.1818	0.1949	0.3323	1.1579E-3	0.622	0.393	33.985
16000000	6.0824	6.7115E-2	0.2913	0.1784	0.1912	0.3391	1.0436E-3	0.553	0.453	35.624
17000000	5.8690	1.8528E-2	0.2900	0.1799	0.1969	0.3332	1.0916E-3	0.498	0.415	35.354
18000000	5.9753	5.1922E-2	0.2932	0.1784	0.1918	0.3367	1.0402E-3	0.425	0.383	35.521
19000000	5.9369	4.2643E-2	0.2968	0.1795	0.1917	0.3320	1.1358E-3	0.893	0.375	32.719
20000000	5.4543	2.5817E-2	0.2926	0.1820	0.1871	0.3382	1.0951E-3	0.166	0.377	33.639
21000000	5.9752	3.1742E-2	0.2902	0.1791	0.1933	0.3374	1.0501E-3	0.209	0.422	35.953
22000000	6.5667	6.2955E-2	0.2910	0.1815	0.1892	0.3382	1.0935E-3	0.681	0.431	34.576
23000000	5.6815	7.116E-2	0.2967	0.1788	0.1918	0.3327	1.1091E-3	0.299	0.403	34.415
24000000	6.0620	5.0082E-2	0.2912	0.1805	0.1899	0.3384	1.0678E-3	0.527	0.452	36.573
25000000	6.0965	3.7365E-2	0.2941	0.1806	0.1893	0.3359	1.1726E-3	0.336	0.374	33.570
26000000	6.0448	3.4746E-2	0.2922	0.1779	0.1929	0.3370	1.1625E-3	0.551	0.389	32.137
27000000	5.3698	1.2859E-2	0.2959	0.1789	0.1908	0.3344	1.1841E-3	0.291	0.433	33.296
28000000	5.6350	5.7237E-2	0.2898	0.1872	0.1924	0.3307	1.0984E-3	0.396	0.369	34.589
29000000	5.1251	4.6241E-2	0.2985	0.1803	0.1921	0.3292	1.1646E-3	0.448	0.422	32.401
30000000	5.9063	1.762E-2	0.3001	0.1772	0.1907	0.3321	1.1152E-3	1.034	0.394	33.098
31000000	6.0613	2.8515E-2	0.2934	0.1797	0.1932	0.3336	1.0614E-3	0.223	0.396	35.529
32000000	5.8399	5.1835E-2	0.2942	0.1783	0.1918	0.3357	1.1311E-3	0.350	0.433	33.039
33000000	5.8042	1.5597E-2	0.2963	0.1788	0.1889	0.3359	1.1389E-3	0.648	0.448	33.190
34000000	5.0853	1.9768E-2	0.2932	0.1760	0.1938	0.3370	1.1538E-3	1.265	0.442	34.156
35000000	6.4092	4.5131E-2	0.2954	0.1801	0.1898	0.3346	1.0802E-3	0.540	0.381	34.620
36000000	5.9676	1.4405E-2	0.2893	0.1786	0.1935	0.3386	1.0882E-3	0.620	0.419	34.238
37000000	6.0033	3.0735E-2	0.2928	0.1796	0.1911	0.3365	1.1081E-3	0.374	0.372	36.190
38000000	6.2890	4.8403E-2	0.2925	0.1786	0.1944	0.3345	1.0517E-3	0.528	0.471	35.375
39000000	5.9637	2.2696E-2	0.2942	0.1799	0.1935	0.3324	1.0873E-3	0.526	0.382	35.704
40000000	5.6021	7.7217E-3	0.2925	0.1835	0.1896	0.3343	1.1523E-3	0.645	0.397	34.197
41000000	5.8204	4.5722E-2	0.2931	0.1798	0.1921	0.3351	1.0297E-3	0.307	0.405	34.481
42000000	5.7660	2.8592E-2	0.2871	0.1821	0.1936	0.3372	1.1801E-3	0.275	0.401	32.854
43000000	5.6793	2.7064E-2	0.2918	0.1774	0.1914	0.3394	1.0637E-3	1.121	0.430	37.103
44000000	5.9746	4.3057E-3	0.2922	0.1782	0.1927	0.3369	1.1287E-3	0.368	0.424	33.656
45000000	6.0848	1.6227E-2	0.2919	0.1859	0.1896	0.3327	1.1496E-3	1.193	0.382	32.715
46000000	6.1553	3.3811E-2	0.2971	0.1782	0.1947	0.3299	1.1854E-3	0.838	0.399	32.781
47000000	5.5832	4.7077E-3	0.2929	0.1808	0.1890	0.3372	1.148E-3	0.657	0.397	33.636
48000000	5.8205	6.9108E-2	0.2967	0.1798	0.1926	0.3309	1.187E-3	0.386	0.377	32.282
49000000	5.0275	1.5111E-2	0.2932	0.1793	0.1915	0.3361	1.0666E-3	0.198	0.421	34.042
50000000	6.0201	4.4695E-2	0.2907	0.1825	0.1909	0.3359	1.1104E-3	0.718	0.413	34.188
51000000	6.0679	2.2719E-2	0.2930	0.1812	0.1915	0.3343	1.1304E-3	1.110	0.440	33.494
52000000	6.6005	2.3646E-2	0.2896	0.1849	0.1909	0.3346	1.1508E-3	0.645	0.416	33.994
53000000	5.6623	2.4106E-2	0.2950	0.1817	0.1908	0.3325	1.094E-3	0.605	0.477	34.026
54000000	6.3954	3.7612E-2	0.2944	0.1781	0.1890	0.3384	1.1553E-3	0.229	0.377	33.895
55000000	5.5327	6.9249E-2	0.2941	0.1789	0.1909	0.3361	1.1286E-3	0.731	0.408	34.035
56000000	5.6012	1.4757E-2	0.2955	0.1816	0.1902	0.3327	1.092E-3	0.448	0.401	35.104
57000000	6.1855	3.0635E-2	0.2952	0.1792	0.1914	0.3342	1.1999E-3	0.398	0.386	33.933
58000000	6.5813	1.0863E-2	0.2958	0.1788	0.1921	0.3333	1.0832E-3	0.242	0.372	34.331
59000000	6.0096	1.6733E-2	0.2957	0.1798	0.1905	0.3340	1.1127E-3	0.273	0.378	34.651
60000000	6.1144	5.0515E-2	0.2908	0.1858	0.1910	0.3324	1.0969E-3	0.586	0.375	35.316
