state	posterior	prior	likelihood	skygrid
1000000	-55090.734	-1873.554	-53217.180	-1870.319
2000000	-55091.564	-1897.562	-53194.001	-1894.450
3000000	-55015.717	-1813.434	-53202.283	-1811.501
4000000	-55050.367	-1814.369	-53235.998	-1811.535
5000000	-54994.537	-1752.596	-53241.941	-1749.900
6000000	-54983.913	-1789.246	-53194.668	-1787.111
7000000	-54988.051	-1783.064	-53204.987	-1780.979
8000000	-54994.068	-1773.160	-53220.908	-1769.975
9000000	-54859.738	-1696.397	-53163.341	-1694.211
10000000	-54941.534	-1716.531	-53225.002	-1713.547
11000000	-55047.085	-1828.781	-53218.304	-1827.158
12000000	-54889.714	-1663.828	-53225.887	-1661.429
13000000	-54957.887	-1740.236	-53217.651	-1737.345
14000000	-55034.194	-1835.778	-53198.416	-1832.308
15000000	-54927.200	-1734.864	-53192.336	-1731.808
16000000	-54941.153	-1747.821	-53193.332	-1746.859
17000000	-55107.469	-1858.598	-53248.871	-1855.184
18000000	-55048.590	-1830.295	-53218.296	-1827.413
19000000	-55086.448	-1872.655	-53213.793	-1869.312
20000000	-54961.170	-1730.342	-53230.828	-1729.029
21000000	-55142.387	-1918.628	-53223.759	-1916.169
22000000	-54956.574	-1747.082	-53209.491	-1745.230
23000000	-55179.779	-1960.064	-53219.715	-1957.285
24000000	-54978.975	-1748.860	-53230.114	-1746.938
25000000	-55026.486	-1808.808	-53217.679	-1806.281
26000000	-54930.354	-1687.258	-53243.096	-1685.598
27000000	-54980.642	-1737.908	-53242.735	-1735.361
28000000	-54939.791	-1731.370	-53208.420	-1728.635
29000000	-55005.406	-1789.796	-53215.610	-1786.855
30000000	-55045.480	-1788.447	-53257.032	-1785.449
31000000	-55118.931	-1923.140	-53195.791	-1920.835
32000000	-54886.749	-1670.966	-53215.783	-1669.010
33000000	-54968.424	-1709.827	-53258.597	-1707.159
34000000	-55143.338	-1887.347	-53255.991	-1885.084
35000000	-55052.963	-1868.740	-53184.223	-1865.961
36000000	-55076.352	-1793.654	-53282.698	-1792.539
37000000	-55008.658	-1765.464	-53243.194	-1762.523
38000000	-55012.275	-1811.301	-53200.974	-1808.346
39000000	-54899.473	-1687.960	-53211.512	-1684.934
40000000	-54965.564	-1756.814	-53208.750	-1754.052
41000000	-55013.512	-1807.093	-53206.418	-1805.139
42000000	-54968.661	-1746.548	-53222.113	-1743.934
43000000	-54999.669	-1778.809	-53220.860	-1775.798
44000000	-54988.211	-1776.752	-53211.459	-1774.059
45000000	-54948.426	-1742.585	-53205.841	-1739.490
46000000	-55030.954	-1806.074	-53224.880	-1802.935
47000000	-54983.574	-1784.333	-53199.241	-1781.476
48000000	-54850.445	-1670.047	-53180.397	-1667.866
49000000	-54884.038	-1637.605	-53246.433	-1635.214
50000000	-54876.383	-1640.822	-53235.561	-1639.011
51000000	-54958.529	-1719.428	-53239.101	-1716.479
52000000	-55004.280	-1736.040	-53268.240	-1733.614
53000000	-54981.948	-1720.047	-53261.901	-1717.214
54000000	-54955.132	-1771.812	-53183.320	-1769.679
55000000	-54931.044	-1693.432	-53237.613	-1691.113
56000000	-54952.458	-1715.244	-53237.215	-1712.404
57000000	-54826.553	-1615.610	-53210.944	-1614.112
58000000	-54933.890	-1679.193	-53254.697	-1676.560
59000000	-54836.145	-1632.563	-53203.582	-1630.701
60000000	-54863.045	-1652.252	-53210.794	-1650.079
61000000	-54874.640	-1606.264	-53268.375	-1602.953
62000000	-54942.613	-1726.495	-53216.119	-1723.663
63000000	-54901.785	-1679.872	-53221.913	-1676.306
64000000	-54954.948	-1725.000	-53229.948	-1723.656
65000000	-55101.661	-1868.369	-53233.292	-1866.773
66000000	-55013.646	-1797.336	-53216.310	-1795.168
67000000	-55062.302	-1871.830	-53190.472	-1870.050
68000000	-54859.610	-1635.961	-53223.648	-1633.814
69000000	-54978.721	-1741.171	-53237.550	-1738.627
70000000	-55013.101	-1797.949	-53215.152	-1795.172
71000000	-54894.338	-1642.049	-53252.289	-1639.424
72000000	-54981.087	-1713.515	-53267.572	-1711.820
73000000	-54973.630	-1733.635	-53239.995	-1731.391
74000000	-55068.188	-1850.490	-53217.698	-1849.011
75000000	-54997.370	-1787.976	-53209.394	-1785.578
76000000	-54923.756	-1685.807	-53237.949	-1684.933
77000000	-54879.818	-1628.116	-53251.702	-1624.860
78000000	-54941.592	-1709.372	-53232.220	-1706.296
79000000	-54941.623	-1724.773	-53216.850	-1722.057
80000000	-55024.484	-1804.805	-53219.679	-1803.368
81000000	-54919.832	-1724.213	-53195.619	-1721.827
82000000	-55063.739	-1832.618	-53231.120	-1829.920
83000000	-55084.302	-1875.148	-53209.154	-1872.610
84000000	-55034.663	-1812.619	-53222.044	-1809.704
85000000	-54957.837	-1759.405	-53198.432	-1757.611
86000000	-54990.911	-1767.615	-53223.296	-1764.800
87000000	-54939.893	-1744.219	-53195.674	-1741.644
88000000	-54909.440	-1669.090	-53240.349	-1666.599
89000000	-54927.001	-1692.709	-53234.292	-1692.109
90000000	-54944.643	-1703.143	-53241.500	-1702.202
91000000	-54998.488	-1758.874	-53239.614	-1755.765
92000000	-54990.971	-1727.738	-53263.233	-1724.712
93000000	-54943.982	-1742.580	-53201.402	-1739.584
94000000	-54889.467	-1662.985	-53226.482	-1660.365
95000000	-55008.458	-1763.524	-53244.935	-1760.520
96000000	-55060.065	-1852.394	-53207.671	-1849.767
97000000	-54988.157	-1769.792	-53218.365	-1767.460
98000000	-55012.352	-1777.203	-53235.149	-1774.317
99000000	-54906.779	-1689.504	-53217.276	-1687.651
100000000	-55019.859	-1799.360	-53220.499	-1797.013
101000000	-54999.078	-1781.659	-53217.419	-1779.119
102000000	-55020.169	-1797.719	-53222.450	-1795.117
103000000	-54971.363	-1772.960	-53198.403	-1771.333
104000000	-54992.440	-1788.776	-53203.664	-1785.639
105000000	-55001.465	-1757.999	-53243.466	-1755.269
106000000	-55013.781	-1810.641	-53203.141	-1808.472
107000000	-55034.002	-1830.087	-53203.914	-1827.851
108000000	-55069.998	-1823.023	-53246.975	-1819.992
109000000	-55038.466	-1815.872	-53222.594	-1813.919
110000000	-54878.121	-1675.538	-53202.583	-1672.870
