state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
1000000	0.833	-0.490	0.748	1.971	1.344	2.459	0.606	0.287	-0.292	1.174	0.396	-1.152	-2.729	-1.077	0.339	-2.063	-4.769	-6.046	-4.831	-3.430
2000000	0.279	0.080	0.299	2.512	1.681	1.757	0.577	-0.166	0.711	0.062	-0.168	-2.440	-2.279	-2.224	-3.757	-1.324	-2.110	-1.894	-3.131	-2.116
3000000	-0.780	-0.510	0.742	1.608	1.569	1.729	0.244	-0.189	0.834	0.335	0.407	-1.101	-3.166	-2.346	-2.892	-2.721	-2.385	-1.360	-2.658	-3.891
4000000	1.715	-0.934	0.776	1.970	1.550	2.423	0.545	-0.499	0.473	1.018	1.806	-1.748	-2.937	-1.538	-3.358	-2.450	-3.336	-4.862	-3.957	-3.638
5000000	3.073	-1.172	0.196	1.986	1.782	1.925	0.331	-0.155	0.635	0.910	0.896	-1.797	-2.085	-3.074	-2.184	-2.198	-3.192	-2.543	0.609	-2.752
6000000	0.201	-0.957	0.260	1.939	1.751	1.738	-0.024	-0.286	0.330	0.377	1.096	-2.414	-2.514	-1.578	-4.134	-4.896	-5.555	-3.367	-2.030	1.392
7000000	-0.222	-0.688	0.416	1.553	1.616	1.912	0.072	-0.705	-0.036	0.262	0.554	-2.077	-3.285	-1.369	-1.827	-1.409	-0.819	-3.628	-2.312	0.042
8000000	2.161	-0.149	0.258	1.482	1.529	2.162	0.634	-0.340	-0.148	0.666	1.158	-1.081	-2.924	-3.579	-5.066	-3.209	-3.465	-2.664	-2.131	-0.507
9000000	-0.077	-0.158	0.644	1.332	1.632	1.739	0.424	-0.742	0.670	0.497	0.995	-0.833	-2.566	-3.308	-4.187	-4.264	-2.595	-1.863	-0.235	1.143
10000000	0.439	-0.646	0.739	1.940	1.942	1.864	0.447	-0.440	0.270	1.646	0.514	-1.785	-3.342	-2.571	-1.615	-2.107	-0.839	-1.945	-2.149	-2.411
11000000	1.545	-0.085	0.078	1.754	1.690	1.901	0.831	-0.890	0.497	0.279	0.474	-1.432	-2.550	-3.121	-2.049	-3.025	-1.335	-1.548	-1.616	-3.340
12000000	0.543	-0.226	0.089	1.619	1.796	1.773	0.395	-0.177	-0.135	0.885	0.104	-2.100	-3.414	-3.128	-3.884	-4.175	-3.394	-0.550	-1.548	-2.360
13000000	0.181	-0.274	0.458	1.615	1.687	2.280	0.255	-0.298	-0.399	0.917	0.747	-1.511	-3.993	-2.399	-2.221	-2.743	-3.214	-5.555	-3.766	-5.384
14000000	0.188	-1.330	0.575	1.650	1.280	1.782	0.842	-0.405	0.471	0.341	0.791	-1.363	-3.040	-2.960	-2.158	-3.735	-3.332	-1.914	-1.501	-0.037
15000000	1.529	-1.026	0.740	1.665	1.545	1.899	0.258	-0.099	0.957	0.747	0.224	-1.348	-2.191	-1.376	-4.767	-4.029	-2.485	-4.659	-7.151	-5.804
16000000	0.488	-0.676	0.546	1.937	1.464	2.159	0.356	-0.199	-0.482	0.180	-0.268	-1.851	-3.144	-3.295	-1.996	-1.062	-2.063	-3.346	-2.508	-4.524
17000000	0.818	-0.924	0.752	1.582	1.246	2.168	0.427	-0.473	0.052	0.855	0.507	-2.139	-1.977	-1.437	-2.029	-2.419	-2.412	-2.488	-1.886	-1.263
18000000	-0.062	-0.946	-0.250	1.481	1.614	2.261	0.301	-0.248	1.322	0.369	0.807	-1.791	-2.280	-1.088	-3.246	-2.710	-3.703	-1.132	-2.712	-1.315
19000000	0.379	-0.242	0.205	1.934	1.495	1.535	0.339	-0.270	0.087	0.405	0.164	-2.193	-2.574	-0.746	-1.717	-2.442	-1.876	-3.151	-3.741	-4.576
20000000	0.288	-0.658	-0.142	1.760	1.577	1.263	0.194	-0.400	-0.381	0.461	-0.086	-3.162	-4.200	-3.272	-1.985	-1.340	-0.816	-0.281	0.407	-1.706
21000000	1.203	-0.828	-0.200	2.105	1.951	2.625	0.641	0.119	0.137	0.868	0.777	-1.669	-2.817	0.083	-0.138	-0.282	-3.488	-2.244	-1.271	-1.277
22000000	1.922	-0.678	0.751	2.126	1.796	1.847	0.603	0.054	0.129	0.898	1.048	-1.203	-0.956	-2.873	-1.561	-4.365	-3.634	-3.306	-4.699	-4.287
23000000	1.534	-0.975	1.122	1.654	1.919	2.458	0.486	-0.768	0.076	1.258	1.416	-1.721	-2.113	-1.176	-3.459	-3.482	-3.133	-2.788	-3.116	-5.218
24000000	0.853	-0.202	0.245	2.177	1.285	1.588	0.683	-0.535	-0.205	1.340	-0.111	-1.190	-2.993	-2.485	-2.495	-3.347	-2.101	-3.678	-3.540	-4.424
25000000	-0.625	-0.369	0.212	1.825	1.715	2.328	0.949	-0.444	0.303	1.333	0.969	-1.968	-2.495	-2.937	-3.957	-5.839	-5.811	-6.235	-6.716	-7.004
26000000	-1.147	-1.059	0.486	1.673	1.522	2.052	0.198	-0.347	-0.287	0.035	-0.371	-2.908	-3.140	-2.233	-1.698	-2.418	-2.255	-3.156	-3.063	-2.641
27000000	-0.006	-0.530	-0.027	2.431	1.311	1.549	0.919	-0.781	-0.272	0.989	0.046	-1.458	-3.232	-1.913	-3.718	-2.104	-6.359	-5.157	-4.849	-2.378
28000000	0.763	-1.257	0.246	2.395	2.004	1.448	0.445	-0.358	0.375	0.319	0.893	-2.464	-2.075	-3.449	-4.095	-6.694	-6.814	-3.529	-3.043	-4.869
29000000	0.910	-0.184	0.119	2.469	1.693	1.875	0.426	-0.557	0.518	0.393	-0.375	-2.485	-2.910	-2.436	-3.346	-4.808	-3.919	-4.000	-3.530	-4.207
30000000	0.339	-0.316	-0.266	1.676	1.896	1.509	0.678	-0.249	0.479	1.041	0.305	-1.557	-2.837	-3.381	-3.280	-3.307	-3.509	-3.823	-4.450	-4.013
31000000	0.615	-0.691	0.515	1.860	1.913	2.270	0.347	-0.254	-0.073	0.527	0.075	-2.420	-1.821	-1.329	-3.227	-2.685	-3.500	-3.123	-1.899	-1.546
32000000	0.169	-0.904	0.244	1.885	1.691	1.951	0.644	-0.678	-0.217	0.990	0.521	-1.555	-2.820	-1.647	-2.638	-3.479	-4.959	-4.718	-7.579	-7.217
33000000	1.320	-0.852	0.176	2.115	1.329	1.790	0.540	-0.419	0.605	0.177	1.297	-2.073	-3.176	-3.090	-1.974	-4.147	-4.025	-4.252	-6.669	-5.211
34000000	0.810	-0.752	0.106	1.661	1.668	1.430	0.261	-0.448	0.351	0.170	-0.507	-0.730	-2.640	-2.745	-2.337	-1.135	-1.576	-1.997	-2.876	-2.091
35000000	0.899	-0.959	0.687	1.987	1.827	2.104	0.505	-0.316	0.989	0.144	1.784	-2.010	-2.665	-2.271	-1.708	-3.959	-1.361	0.343	-2.018	0.353
36000000	0.421	0.408	0.003	1.825	1.485	1.768	0.565	-0.784	0.129	0.215	0.291	-1.706	-2.370	-2.038	-1.606	-2.841	-3.796	-5.593	-4.893	-5.003
37000000	-0.489	-0.690	0.765	1.343	1.507	1.615	0.610	-0.223	-0.177	0.230	-0.416	-2.960	-2.967	-1.953	-3.508	-5.845	-5.575	-5.755	-5.321	-4.466
38000000	-0.139	-0.635	0.161	2.534	1.397	2.333	0.327	-0.603	0.196	1.235	0.414	-1.740	0.093	-1.856	-1.609	-2.091	-3.149	-4.429	-3.848	-5.933
