state	pscore
1000000	7088
2000000	7085
3000000	7087
4000000	7085
5000000	7088
6000000	7088
7000000	7092
8000000	7089
9000000	7085
10000000	7087
11000000	7087
12000000	7087
13000000	7090
14000000	7091
15000000	7092
16000000	7088
17000000	7086
18000000	7089
19000000	7089
20000000	7092
21000000	7090
22000000	7093
23000000	7094
24000000	7092
25000000	7093
26000000	7099
27000000	7097
28000000	7091
29000000	7092
30000000	7095
31000000	7093
32000000	7094
33000000	7093
34000000	7091
35000000	7094
36000000	7096
37000000	7100
38000000	7094
39000000	7092
40000000	7093
41000000	7090
42000000	7090
43000000	7091
44000000	7090
45000000	7094
46000000	7092
47000000	7094
48000000	7088
49000000	7085
50000000	7086
51000000	7090
52000000	7087
53000000	7089
54000000	7087
55000000	7086
56000000	7090
57000000	7092
58000000	7089
59000000	7087
60000000	7082
61000000	7078
62000000	7080
63000000	7086
64000000	7085
65000000	7087
66000000	7088
67000000	7095
68000000	7093
69000000	7092
70000000	7092
71000000	7093
72000000	7099
73000000	7096
74000000	7095
75000000	7094
76000000	7093
77000000	7094
78000000	7097
79000000	7095
80000000	7095
81000000	7094
82000000	7093
83000000	7100
84000000	7098
85000000	7099
86000000	7090
87000000	7095
88000000	7090
89000000	7087
90000000	7090
91000000	7084
92000000	7082
93000000	7087
94000000	7092
95000000	7090
96000000	7090
97000000	7090
98000000	7090
99000000	7087
100000000	7089
101000000	7087
102000000	7086
103000000	7090
104000000	7091
105000000	7092
106000000	7093
107000000	7095
108000000	7095
109000000	7095
110000000	7094
111000000	7093
112000000	7096
113000000	7095
114000000	7095
115000000	7097
116000000	7098
117000000	7093
118000000	7090
119000000	7088
120000000	7091
121000000	7089
122000000	7086
123000000	7087
124000000	7089
125000000	7087
126000000	7092
127000000	7092
128000000	7092
129000000	7091
130000000	7093
131000000	7093
132000000	7091
133000000	7091
134000000	7090
135000000	7090
136000000	7089
137000000	7090
138000000	7091
139000000	7093
140000000	7095
141000000	7095
142000000	7096
143000000	7090
144000000	7088
145000000	7086
146000000	7088
147000000	7082
148000000	7084
149000000	7084
150000000	7080
151000000	7084
152000000	7082
153000000	7083
154000000	7083
155000000	7078
156000000	7079
157000000	7082
158000000	7082
159000000	7082
160000000	7081
161000000	7080
162000000	7081
163000000	7084
164000000	7084
165000000	7086
166000000	7084
167000000	7084
168000000	7086
169000000	7086
170000000	7089
171000000	7086
172000000	7083
173000000	7083
174000000	7081
175000000	7082
176000000	7080
177000000	7084
178000000	7082
179000000	7084
180000000	7086
181000000	7085
182000000	7083
183000000	7083
184000000	7086
185000000	7084
186000000	7088
187000000	7092
188000000	7094
189000000	7090
190000000	7089
191000000	7089
192000000	7095
193000000	7090
194000000	7092
195000000	7087
196000000	7083
197000000	7085
198000000	7082
199000000	7081
200000000	7084
201000000	7084
202000000	7084
203000000	7085
204000000	7081
205000000	7083
206000000	7082
207000000	7083
208000000	7082
209000000	7089
210000000	7088
211000000	7090
212000000	7087
213000000	7087
214000000	7086
215000000	7085
216000000	7085
217000000	7086
218000000	7086
219000000	7086
220000000	7088
221000000	7084
222000000	7087
223000000	7085
224000000	7085
225000000	7086
226000000	7087
227000000	7088
228000000	7087
229000000	7084
230000000	7088
231000000	7087
232000000	7088
233000000	7087
234000000	7089
235000000	7089
236000000	7086
237000000	7089
238000000	7086
239000000	7084
240000000	7082
241000000	7086
242000000	7088
243000000	7083
244000000	7081
245000000	7083
246000000	7082
247000000	7083
248000000	7088
249000000	7085
250000000	7079
251000000	7082
252000000	7084
253000000	7082
254000000	7086
255000000	7084
256000000	7083
257000000	7083
258000000	7082
259000000	7088
260000000	7089
261000000	7091
262000000	7093
263000000	7092
264000000	7091
265000000	7091
266000000	7088
267000000	7087
268000000	7091
269000000	7095
270000000	7095
271000000	7091
272000000	7095
273000000	7091
274000000	7090
275000000	7091
276000000	7090
277000000	7097
278000000	7095
279000000	7089
280000000	7091
281000000	7087
282000000	7090
283000000	7089
284000000	7089
285000000	7085
286000000	7081
287000000	7084
288000000	7079
289000000	7082
290000000	7083
291000000	7087
292000000	7090
293000000	7095
294000000	7090
295000000	7088
296000000	7089
297000000	7087
298000000	7090
299000000	7088
300000000	7091
301000000	7089
302000000	7090
303000000	7096
304000000	7096
305000000	7097
306000000	7092
307000000	7094
308000000	7095
309000000	7092
310000000	7093
311000000	7094
312000000	7096
313000000	7092
314000000	7094
315000000	7092
316000000	7096
317000000	7089
318000000	7091
319000000	7093
320000000	7088
321000000	7087
322000000	7090
323000000	7086
324000000	7088
325000000	7089
326000000	7094
327000000	7091
328000000	7095
329000000	7094
330000000	7095
331000000	7091
332000000	7094
333000000	7094
334000000	7089
335000000	7087
336000000	7090
337000000	7091
338000000	7085
339000000	7091
340000000	7094
341000000	7092
342000000	7094
343000000	7090
344000000	7089
345000000	7084
346000000	7084
347000000	7084
348000000	7088
349000000	7089
350000000	7085
351000000	7087
352000000	7087
353000000	7088
354000000	7085
355000000	7083
356000000	7084
357000000	7086
358000000	7083
359000000	7084
360000000	7087
361000000	7088
362000000	7084
363000000	7084
364000000	7086
365000000	7086
366000000	7084
367000000	7087
368000000	7082
369000000	7083
370000000	7082
371000000	7083
372000000	7082
373000000	7081
374000000	7086
375000000	7087
376000000	7092
377000000	7094
378000000	7088
379000000	7088
380000000	7087
381000000	7085
382000000	7090
383000000	7090
384000000	7090
385000000	7090
386000000	7090
387000000	7092
388000000	7089
389000000	7088
390000000	7088
391000000	7093
392000000	7098
393000000	7089
394000000	7088
395000000	7088
396000000	7083
397000000	7086
398000000	7087
399000000	7089
400000000	7090
401000000	7086
402000000	7084
403000000	7087
404000000	7087
405000000	7086
406000000	7085
407000000	7091
408000000	7085
409000000	7085
410000000	7085
411000000	7089
412000000	7086
413000000	7085
414000000	7089
415000000	7092
416000000	7089
417000000	7091
418000000	7095
419000000	7090
420000000	7089
421000000	7091
422000000	7089
423000000	7092
424000000	7094
425000000	7091
426000000	7095
427000000	7097
428000000	7092
429000000	7089
430000000	7092
431000000	7088
432000000	7085
433000000	7088
434000000	7084
435000000	7086
436000000	7085
437000000	7083
438000000	7084
439000000	7084
440000000	7086
441000000	7088
442000000	7086
443000000	7088
444000000	7086
445000000	7087
446000000	7083
447000000	7081
448000000	7084
449000000	7084
450000000	7088
451000000	7090
452000000	7088
453000000	7085
454000000	7082
455000000	7083
456000000	7083
457000000	7082
458000000	7085
459000000	7087
460000000	7089
461000000	7087
462000000	7083
463000000	7079
464000000	7080
465000000	7083
466000000	7082
467000000	7086
468000000	7085
469000000	7083
470000000	7089
471000000	7086
472000000	7088
473000000	7082
474000000	7086
475000000	7085
476000000	7082
477000000	7083
478000000	7084
479000000	7093
480000000	7095
481000000	7088
482000000	7087
483000000	7088
484000000	7088
485000000	7089
486000000	7091
487000000	7090
488000000	7089
489000000	7089
490000000	7090
491000000	7091
492000000	7089
493000000	7092
494000000	7088
495000000	7087
496000000	7088
497000000	7090
498000000	7089
499000000	7091
500000000	7093
501000000	7090
502000000	7094
503000000	7095
504000000	7098
505000000	7094
506000000	7091
507000000	7089
508000000	7088
509000000	7086
510000000	7089
511000000	7093
512000000	7096
513000000	7093
514000000	7094
515000000	7098
516000000	7091
517000000	7095
518000000	7094
519000000	7093
520000000	7090
521000000	7091
522000000	7094
523000000	7095
524000000	7096
525000000	7090
526000000	7085
527000000	7083
528000000	7088
529000000	7090
530000000	7087
531000000	7091
532000000	7090
533000000	7090
534000000	7093
535000000	7092
536000000	7088
537000000	7090
538000000	7088
539000000	7089
540000000	7085
541000000	7090
542000000	7086
543000000	7089
544000000	7089
545000000	7090
546000000	7088
547000000	7093
548000000	7090
549000000	7087
550000000	7087
551000000	7090
552000000	7097
553000000	7096
554000000	7092
555000000	7088
556000000	7093
557000000	7089
558000000	7093
559000000	7092
560000000	7088
561000000	7087
562000000	7088
563000000	7089
564000000	7090
565000000	7091
566000000	7086
567000000	7089
568000000	7094
569000000	7092
570000000	7095
571000000	7091
572000000	7090
573000000	7096
574000000	7097
575000000	7094
576000000	7093
577000000	7093
578000000	7098
579000000	7095
580000000	7095
581000000	7095
582000000	7095
583000000	7092
584000000	7094
585000000	7096
586000000	7095
587000000	7093
588000000	7096
589000000	7096
590000000	7097
591000000	7100
592000000	7099
593000000	7098
594000000	7098
595000000	7093
596000000	7092
597000000	7086
598000000	7085
599000000	7084
600000000	7080
601000000	7077
602000000	7079
603000000	7080
604000000	7084
605000000	7088
606000000	7084
607000000	7084
608000000	7086
609000000	7084
610000000	7085
611000000	7092
612000000	7088
613000000	7090
614000000	7091
615000000	7092
616000000	7085
617000000	7089
618000000	7088
619000000	7084
620000000	7084
621000000	7084
622000000	7087
623000000	7090
624000000	7091
625000000	7087
626000000	7086
627000000	7087
628000000	7093
629000000	7094
630000000	7092
