state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	4.3006	0.1461	0.2651	0.1655	0.1779	0.3915	6.7075E-4	0.454	0.944	353.037
2000000	4.2857	0.1533	0.2626	0.1661	0.1797	0.3916	6.4567E-4	0.418	0.805	357.539
3000000	4.6008	0.1382	0.2644	0.1655	0.1733	0.3968	6.477E-4	0.311	0.924	357.817
4000000	4.1420	0.1425	0.2664	0.1691	0.1779	0.3865	6.3848E-4	0.609	1.084	360.709
5000000	4.1565	0.1478	0.2652	0.1669	0.1731	0.3948	6.6011E-4	0.544	0.821	349.122
6000000	4.2429	0.1363	0.2623	0.1698	0.1795	0.3884	6.5581E-4	0.778	0.838	349.643
7000000	4.2747	0.1533	0.2654	0.1677	0.1752	0.3917	6.727E-4	0.265	0.848	352.702
8000000	4.2684	0.1405	0.2604	0.1751	0.1778	0.3867	6.7214E-4	0.804	0.845	347.564
9000000	4.4550	0.1346	0.2629	0.1723	0.1767	0.3881	6.4984E-4	0.647	1.042	354.894
10000000	4.1759	0.1608	0.2671	0.1719	0.1707	0.3903	6.7609E-4	0.537	0.933	352.484
11000000	4.3150	0.1368	0.2677	0.1687	0.1746	0.3890	6.5861E-4	0.320	0.880	354.144
12000000	4.4032	0.1479	0.2641	0.1650	0.1763	0.3946	6.6877E-4	1.008	0.860	356.245
13000000	4.2690	0.1483	0.2629	0.1681	0.1749	0.3941	6.5087E-4	0.256	0.820	356.578
14000000	4.2853	0.1601	0.2644	0.1702	0.1759	0.3894	6.7004E-4	0.494	0.835	356.555
15000000	4.2243	0.1391	0.2624	0.1690	0.1751	0.3935	6.71E-4	0.450	0.811	350.180
16000000	4.4053	0.1455	0.2626	0.1707	0.1741	0.3925	6.6013E-4	0.279	0.861	355.530
17000000	4.3389	0.1413	0.2635	0.1708	0.1731	0.3926	6.4757E-4	0.617	0.846	355.789
18000000	4.3853	0.1444	0.2631	0.1734	0.1746	0.3890	6.6625E-4	0.457	0.852	351.461
19000000	4.3189	0.1534	0.2675	0.1664	0.1736	0.3925	6.6524E-4	1.052	0.950	349.630
20000000	4.5424	0.1412	0.2664	0.1666	0.1738	0.3933	6.654E-4	0.719	0.961	349.962
21000000	4.3997	0.1487	0.2670	0.1676	0.1775	0.3879	6.6784E-4	0.386	0.814	350.895
22000000	4.3422	0.1413	0.2650	0.1688	0.1749	0.3913	6.6535E-4	0.411	0.873	347.145
23000000	4.2057	0.1416	0.2625	0.1733	0.1775	0.3867	6.5847E-4	0.820	0.859	345.859
24000000	4.1822	0.1304	0.2654	0.1664	0.1767	0.3915	6.7519E-4	1.010	0.937	346.684
25000000	4.3871	0.1460	0.2621	0.1686	0.1733	0.3960	6.5284E-4	0.845	0.836	352.907
26000000	4.2731	0.1456	0.2616	0.1687	0.1742	0.3955	6.5906E-4	0.547	0.831	352.443
27000000	4.3625	0.1464	0.2618	0.1727	0.1760	0.3895	6.702E-4	0.777	1.020	347.076
28000000	4.3725	0.1385	0.2630	0.1719	0.1781	0.3870	6.6962E-4	0.464	0.897	343.535
29000000	4.3732	0.1504	0.2650	0.1670	0.1776	0.3905	6.5971E-4	0.411	1.024	354.327
30000000	4.4074	0.1440	0.2639	0.1668	0.1770	0.3923	6.4782E-4	0.527	0.904	352.839
31000000	4.2776	0.1540	0.2609	0.1697	0.1774	0.3920	6.9022E-4	0.493	0.973	344.621
32000000	4.4131	0.1403	0.2646	0.1722	0.1738	0.3895	6.5451E-4	0.422	0.899	351.185
33000000	4.3835	0.1366	0.2640	0.1690	0.1743	0.3927	6.611E-4	0.491	0.845	356.504
34000000	4.2842	0.1523	0.2618	0.1684	0.1784	0.3914	6.767E-4	0.709	0.793	350.400
35000000	4.2817	0.1394	0.2595	0.1716	0.1767	0.3922	6.631E-4	0.627	0.857	347.006
36000000	4.0688	0.1443	0.2596	0.1707	0.1746	0.3951	6.9554E-4	1.031	0.902	342.765
37000000	4.2944	0.1370	0.2617	0.1681	0.1785	0.3916	6.8478E-4	0.632	0.804	344.569
38000000	4.1357	0.1446	0.2591	0.1666	0.1782	0.3960	6.5689E-4	0.526	0.865	350.227
39000000	4.3094	0.1571	0.2657	0.1680	0.1755	0.3909	6.6299E-4	0.617	0.822	352.178
40000000	4.2476	0.1440	0.2635	0.1678	0.1780	0.3908	6.6082E-4	1.207	0.848	346.261
41000000	4.2462	0.1386	0.2604	0.1685	0.1785	0.3927	6.743E-4	0.305	0.839	345.702
42000000	4.3548	0.1502	0.2666	0.1678	0.1741	0.3915	6.7514E-4	0.252	0.818	343.705
43000000	4.4488	0.1409	0.2641	0.1696	0.1763	0.3899	6.6847E-4	0.730	0.816	352.816
44000000	4.3238	0.1399	0.2634	0.1713	0.1731	0.3922	6.5229E-4	0.344	0.853	353.689
45000000	4.2402	0.1467	0.2660	0.1689	0.1752	0.3898	6.8844E-4	0.606	0.827	342.015
46000000	4.3838	0.1317	0.2675	0.1702	0.1750	0.3873	6.4646E-4	0.631	0.946	350.937
47000000	4.3518	0.1447	0.2641	0.1689	0.1765	0.3904	6.6609E-4	0.666	0.955	353.178
48000000	4.4999	0.1318	0.2621	0.1701	0.1750	0.3928	6.7114E-4	0.553	0.971	342.071
49000000	4.3160	0.1412	0.2671	0.1656	0.1758	0.3916	6.7963E-4	0.487	0.801	345.550
50000000	4.3246	0.1413	0.2633	0.1693	0.1773	0.3902	6.7866E-4	0.381	0.823	347.395
51000000	4.3338	0.1462	0.2612	0.1676	0.1818	0.3894	6.9351E-4	0.597	0.835	343.307
52000000	4.2599	0.1545	0.2644	0.1675	0.1758	0.3923	6.4722E-4	0.328	0.898	349.619
53000000	4.3652	0.1377	0.2566	0.1724	0.1785	0.3925	6.7308E-4	0.897	0.794	348.007
54000000	4.5359	0.1348	0.2619	0.1698	0.1750	0.3933	6.4483E-4	0.363	0.989	351.069
55000000	4.1241	0.1485	0.2619	0.1678	0.1747	0.3956	6.4289E-4	0.524	0.912	357.715
56000000	4.2449	0.1460	0.2626	0.1687	0.1775	0.3912	6.4841E-4	0.313	0.825	355.968
57000000	4.1771	0.1453	0.2619	0.1698	0.1810	0.3872	6.6533E-4	0.680	1.000	351.939
58000000	4.3066	0.1449	0.2617	0.1707	0.1786	0.3890	6.5914E-4	0.474	0.845	355.427
59000000	4.4307	0.1498	0.2653	0.1712	0.1768	0.3868	6.5245E-4	0.362	0.812	357.185
60000000	4.2360	0.1596	0.2594	0.1692	0.1769	0.3945	6.6898E-4	0.518	0.830	356.572
61000000	4.2664	0.1400	0.2611	0.1658	0.1793	0.3937	6.3828E-4	0.309	0.835	359.037
62000000	4.3413	0.1394	0.2653	0.1687	0.1784	0.3876	6.5563E-4	0.332	0.838	353.207
63000000	4.3774	0.1488	0.2662	0.1666	0.1742	0.3930	6.6526E-4	0.500	0.864	346.409
64000000	4.3675	0.1353	0.2613	0.1674	0.1793	0.3920	6.776E-4	0.523	0.858	349.071
65000000	4.3353	0.1445	0.2639	0.1697	0.1754	0.3909	6.6661E-4	0.599	0.916	352.256
66000000	4.4756	0.1494	0.2685	0.1675	0.1758	0.3882	6.5973E-4	0.462	0.826	343.894
67000000	4.3243	0.1491	0.2668	0.1682	0.1748	0.3902	6.6634E-4	0.487	0.945	349.050
68000000	4.3622	0.1450	0.2653	0.1719	0.1725	0.3903	6.7397E-4	0.826	0.820	353.794
69000000	4.4335	0.1501	0.2670	0.1672	0.1763	0.3894	6.8602E-4	0.835	0.931	349.741
70000000	4.2837	0.1473	0.2652	0.1668	0.1788	0.3892	6.4513E-4	0.219	0.842	357.943
71000000	4.3222	0.1549	0.2649	0.1712	0.1754	0.3885	6.5766E-4	0.478	0.810	353.192
72000000	4.3422	0.1448	0.2657	0.1665	0.1770	0.3907	6.6518E-4	0.463	0.892	351.863
73000000	4.3782	0.1518	0.2669	0.1690	0.1748	0.3893	6.7065E-4	0.929	0.835	348.567
74000000	4.4259	0.1458	0.2622	0.1694	0.1743	0.3941	6.7374E-4	0.690	0.938	354.562
75000000	4.3998	0.1402	0.2655	0.1677	0.1740	0.3928	6.4581E-4	0.575	0.799	360.361
76000000	4.3621	0.1382	0.2636	0.1678	0.1750	0.3936	6.5517E-4	0.377	0.811	350.507
77000000	4.3643	0.1422	0.2609	0.1677	0.1762	0.3952	6.664E-4	0.951	1.000	347.982
