state	posterior	prior	likelihood	skygrid
1000000	-129311.257	-11916.502	-117394.756	-11915.299
2000000	-129470.257	-12164.828	-117305.429	-12164.238
3000000	-129473.230	-12107.843	-117365.386	-12107.012
4000000	-129563.446	-12143.314	-117420.133	-12142.372
5000000	-129518.819	-12088.086	-117430.733	-12087.388
6000000	-129491.442	-12079.195	-117412.248	-12078.844
7000000	-129394.524	-11971.075	-117423.450	-11970.828
8000000	-129482.212	-12057.252	-117424.961	-12056.069
9000000	-129286.368	-11940.263	-117346.105	-11939.365
10000000	-129102.650	-11735.416	-117367.233	-11734.438
11000000	-129335.096	-11915.791	-117419.305	-11914.352
12000000	-129321.617	-11932.812	-117388.805	-11931.529
13000000	-129445.736	-12040.002	-117405.734	-12038.742
14000000	-129336.346	-11945.415	-117390.932	-11944.493
15000000	-129560.581	-12169.570	-117391.010	-12168.554
16000000	-129591.198	-12119.260	-117471.938	-12118.115
17000000	-129605.792	-12222.913	-117382.879	-12221.925
18000000	-129755.219	-12370.527	-117384.691	-12369.812
19000000	-129413.353	-11989.937	-117423.416	-11989.061
20000000	-129590.114	-12168.918	-117421.196	-12167.703
21000000	-129555.620	-12174.443	-117381.177	-12173.345
22000000	-129591.990	-12214.809	-117377.181	-12214.147
23000000	-129552.228	-12111.101	-117441.127	-12109.609
24000000	-129550.475	-12095.330	-117455.145	-12094.829
25000000	-129528.394	-12134.277	-117394.117	-12133.260
26000000	-129751.651	-12310.386	-117441.265	-12309.064
27000000	-129656.204	-12160.194	-117496.010	-12159.334
28000000	-129392.718	-11917.465	-117475.254	-11916.674
29000000	-129520.987	-12125.738	-117395.248	-12124.514
30000000	-129650.634	-12247.972	-117402.662	-12246.770
31000000	-129719.785	-12340.583	-117379.201	-12339.274
32000000	-129823.141	-12344.796	-117478.345	-12343.374
33000000	-129568.814	-12170.562	-117398.252	-12169.205
34000000	-129526.554	-12048.419	-117478.135	-12047.223
35000000	-129673.799	-12251.965	-117421.833	-12250.691
36000000	-129620.887	-12171.238	-117449.649	-12169.932
37000000	-129589.393	-12151.277	-117438.116	-12149.717
38000000	-129696.555	-12253.341	-117443.214	-12252.855
39000000	-129732.725	-12286.499	-117446.226	-12285.363
40000000	-129690.136	-12250.823	-117439.312	-12250.096
41000000	-129703.669	-12284.116	-117419.553	-12282.876
42000000	-129754.051	-12287.529	-117466.522	-12286.726
43000000	-129661.587	-12174.817	-117486.770	-12173.307
44000000	-129566.364	-12110.388	-117455.977	-12108.869
45000000	-129681.506	-12203.079	-117478.427	-12201.916
46000000	-129630.821	-12141.962	-117488.859	-12141.066
47000000	-129695.552	-12234.355	-117461.197	-12233.214
48000000	-129454.182	-12066.472	-117387.710	-12065.516
49000000	-129556.124	-12192.604	-117363.520	-12191.669
50000000	-129635.157	-12224.715	-117410.442	-12224.137
51000000	-129767.957	-12336.508	-117431.449	-12335.200
52000000	-129440.859	-12045.835	-117395.023	-12044.780
53000000	-129444.283	-12064.471	-117379.812	-12063.805
54000000	-129508.100	-12096.676	-117411.424	-12095.168
55000000	-129643.741	-12303.672	-117340.069	-12302.330
56000000	-129587.426	-12128.978	-117458.448	-12127.781
57000000	-129592.061	-12108.648	-117483.414	-12107.128
58000000	-129440.709	-12038.982	-117401.727	-12037.171
59000000	-129657.081	-12210.354	-117446.727	-12209.084
60000000	-129403.870	-11960.943	-117442.927	-11959.567
61000000	-129500.497	-12074.615	-117425.883	-12073.138
62000000	-129641.254	-12185.046	-117456.208	-12184.231
63000000	-129685.280	-12214.936	-117470.344	-12214.435
64000000	-129427.249	-12027.298	-117399.952	-12025.724
65000000	-129516.180	-12154.093	-117362.086	-12153.077
66000000	-129512.165	-12094.458	-117417.708	-12093.477
67000000	-129650.621	-12206.333	-117444.288	-12204.675
68000000	-129573.385	-12213.222	-117360.163	-12211.713
69000000	-129476.112	-12192.080	-117284.031	-12190.719
70000000	-129393.209	-12037.306	-117355.903	-12036.642
71000000	-129603.988	-12194.810	-117409.178	-12193.030
72000000	-129481.873	-12086.165	-117395.708	-12085.614
73000000	-129406.922	-11972.206	-117434.716	-11972.050
74000000	-129533.268	-12165.387	-117367.881	-12164.615
75000000	-129600.760	-12136.699	-117464.061	-12135.536
76000000	-129489.085	-12167.953	-117321.132	-12166.661
77000000	-129496.875	-12117.595	-117379.279	-12116.975
78000000	-129533.954	-12083.278	-117450.676	-12082.735
79000000	-129519.252	-12134.841	-117384.411	-12134.001
80000000	-129610.516	-12262.400	-117348.116	-12261.832
81000000	-129665.422	-12295.558	-117369.864	-12294.757
82000000	-129762.349	-12412.039	-117350.310	-12410.376
83000000	-129703.033	-12288.871	-117414.162	-12287.874
84000000	-129532.652	-12197.426	-117335.226	-12196.685
85000000	-129675.444	-12301.903	-117373.542	-12300.739
86000000	-129479.682	-12131.813	-117347.868	-12130.441
87000000	-129700.060	-12331.984	-117368.076	-12330.548
88000000	-129707.880	-12340.408	-117367.472	-12339.331
89000000	-129502.259	-12169.277	-117332.982	-12168.064
90000000	-129389.946	-12057.713	-117332.233	-12056.410
91000000	-129469.915	-12142.221	-117327.694	-12140.907
92000000	-129418.605	-11997.300	-117421.305	-11996.182
93000000	-129515.896	-12053.830	-117462.066	-12052.688
94000000	-129386.082	-12018.932	-117367.151	-12017.523
95000000	-129518.330	-12120.106	-117398.224	-12119.489
96000000	-129317.382	-11924.913	-117392.469	-11924.307
97000000	-129443.565	-12029.511	-117414.054	-12028.493
98000000	-129458.183	-12041.606	-117416.577	-12040.865
99000000	-129494.114	-12114.173	-117379.941	-12113.434
100000000	-129437.769	-12044.093	-117393.676	-12042.643
101000000	-129566.270	-12197.670	-117368.600	-12196.666
102000000	-129519.558	-12139.068	-117380.490	-12138.139
103000000	-129752.379	-12367.138	-117385.241	-12365.640
104000000	-129552.455	-12136.581	-117415.875	-12135.554
105000000	-129614.971	-12156.766	-117458.206	-12155.986
106000000	-129588.414	-12163.431	-117424.984	-12162.968
107000000	-129485.368	-12124.196	-117361.172	-12122.774
108000000	-129287.369	-11903.919	-117383.449	-11903.005
109000000	-129490.777	-12186.217	-117304.560	-12185.169
110000000	-129540.624	-12061.500	-117479.123	-12061.075
111000000	-129508.408	-12093.061	-117415.347	-12092.046
112000000	-129702.759	-12266.473	-117436.286	-12265.306
113000000	-129649.288	-12239.131	-117410.157	-12237.333
114000000	-129665.794	-12351.752	-117314.042	-12350.744
115000000	-129720.149	-12409.330	-117310.820	-12408.157
116000000	-129740.260	-12344.260	-117396.000	-12342.773
117000000	-129601.262	-12185.940	-117415.322	-12184.222
118000000	-129771.182	-12375.479	-117395.703	-12374.730
119000000	-129593.605	-12274.330	-117319.275	-12273.071
120000000	-129676.102	-12277.602	-117398.500	-12276.380
121000000	-129749.186	-12355.568	-117393.618	-12354.519
122000000	-129677.810	-12320.676	-117357.133	-12319.688
123000000	-129612.713	-12202.053	-117410.660	-12201.715
