state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
1000000	3.627	5.192	3.967	4.341	3.584	3.264	2.032	3.414	3.476	3.371	3.014	3.684	3.773	4.574	4.190	3.829	1.641	-2.380	-3.468	-4.656
2000000	3.783	5.566	4.154	4.504	3.658	3.227	1.959	3.899	3.263	4.045	2.823	3.616	3.739	4.191	4.236	3.554	1.752	-2.006	-2.638	-1.349
3000000	3.678	4.821	3.902	4.468	3.546	3.073	2.087	3.292	3.170	3.369	2.834	3.655	3.558	4.386	3.882	3.829	1.394	-2.212	-2.577	-4.220
4000000	3.640	6.079	3.808	4.041	3.879	3.040	1.827	3.566	3.276	3.395	2.684	2.961	4.423	4.072	3.826	3.545	1.168	-2.132	-4.049	-2.658
5000000	3.820	5.296	3.915	4.382	3.490	2.931	2.130	3.531	3.225	3.411	2.824	3.243	3.613	4.630	3.999	3.610	1.196	-2.008	-2.570	-2.924
6000000	3.936	5.219	3.735	4.606	3.689	3.095	2.325	3.128	3.063	3.388	2.821	3.345	3.843	4.606	3.991	3.862	0.974	-2.419	-1.218	-5.054
7000000	3.794	5.702	3.772	4.208	3.745	2.896	2.343	3.368	3.151	3.699	2.448	3.212	3.987	4.534	4.268	4.110	1.165	-1.691	-1.410	-2.944
8000000	3.475	5.823	3.745	4.606	3.361	3.001	2.072	3.338	2.939	3.148	2.713	3.297	3.839	4.880	4.187	3.660	1.274	-1.975	-1.885	-2.787
9000000	4.006	5.827	3.537	4.847	3.722	2.945	2.303	3.152	3.300	3.208	2.709	2.988	3.880	4.796	3.858	3.814	1.297	-1.734	-2.094	-3.805
10000000	4.227	4.901	3.928	4.491	3.494	3.001	2.237	3.279	3.171	2.998	2.950	3.189	4.513	4.943	3.923	3.934	1.175	-2.078	-2.855	-1.823
11000000	4.063	5.581	3.646	4.232	3.706	3.158	2.217	3.067	3.365	3.163	3.084	3.220	4.485	4.460	4.175	3.591	1.179	-2.189	-1.707	-3.427
