state	pscore
1000000	664
2000000	664
3000000	666
4000000	664
5000000	662
6000000	663
7000000	661
8000000	664
9000000	663
10000000	661
11000000	663
12000000	662
13000000	662
14000000	662
15000000	664
16000000	665
17000000	665
18000000	665
19000000	665
20000000	663
21000000	667
22000000	664
23000000	661
24000000	662
25000000	662
26000000	661
27000000	662
28000000	664
29000000	664
30000000	667
31000000	666
32000000	663
33000000	666
34000000	661
35000000	659
36000000	659
37000000	660
38000000	662
39000000	662
40000000	661
41000000	665
42000000	664
43000000	664
44000000	665
45000000	666
46000000	666
47000000	665
48000000	664
49000000	664
50000000	663
51000000	664
52000000	665
53000000	666
54000000	665
55000000	667
56000000	665
57000000	664
58000000	668
59000000	667
60000000	662
61000000	661
62000000	661
63000000	664
64000000	667
65000000	667
66000000	664
67000000	661
68000000	663
69000000	661
70000000	663
71000000	662
72000000	663
73000000	664
74000000	664
75000000	662
76000000	662
77000000	662
78000000	664
79000000	661
80000000	660
81000000	661
82000000	661
83000000	659
84000000	660
85000000	662
86000000	663
87000000	661
88000000	659
89000000	661
90000000	663
91000000	664
92000000	666
93000000	662
94000000	662
95000000	660
96000000	662
97000000	661
98000000	663
99000000	661
100000000	661
101000000	664
102000000	667
103000000	667
104000000	665
105000000	664
106000000	664
107000000	663
108000000	663
109000000	663
110000000	664
111000000	665
112000000	665
113000000	664
114000000	663
115000000	661
116000000	666
117000000	662
118000000	665
119000000	662
120000000	662
121000000	663
122000000	665
123000000	666
124000000	666
125000000	665
126000000	663
127000000	663
128000000	663
129000000	668
130000000	666
131000000	666
132000000	667
133000000	667
134000000	667
135000000	664
136000000	664
137000000	668
138000000	665
139000000	668
140000000	666
141000000	661
142000000	665
143000000	666
144000000	664
145000000	661
146000000	661
147000000	667
148000000	666
149000000	663
150000000	662
151000000	666
152000000	663
153000000	663
154000000	664
155000000	662
156000000	663
157000000	666
158000000	667
159000000	665
160000000	663
161000000	663
162000000	662
163000000	664
164000000	665
165000000	664
166000000	663
167000000	667
168000000	665
169000000	666
170000000	665
171000000	664
172000000	665
173000000	664
174000000	662
175000000	663
176000000	664
177000000	664
178000000	665
179000000	666
180000000	667
181000000	665
182000000	665
183000000	665
184000000	665
185000000	665
186000000	664
187000000	664
188000000	666
189000000	663
190000000	662
191000000	665
192000000	663
193000000	663
194000000	663
195000000	663
196000000	664
197000000	664
198000000	665
199000000	665
200000000	663
201000000	663
202000000	662
203000000	663
204000000	662
205000000	662
206000000	663
207000000	663
208000000	664
209000000	664
210000000	665
211000000	664
212000000	668
213000000	666
214000000	667
215000000	665
216000000	664
217000000	663
218000000	664
219000000	663
220000000	667
221000000	665
222000000	664
223000000	664
224000000	664
225000000	660
226000000	663
227000000	661
228000000	662
229000000	662
230000000	662
231000000	661
232000000	660
233000000	662
234000000	663
235000000	665
236000000	661
237000000	662
238000000	666
239000000	664
240000000	661
241000000	663
242000000	662
243000000	662
244000000	659
245000000	660
246000000	663
247000000	663
248000000	660
249000000	662
250000000	661
251000000	662
252000000	661
253000000	661
254000000	661
255000000	663
256000000	664
257000000	664
258000000	665
259000000	664
260000000	665
261000000	664
262000000	663
263000000	663
264000000	665
265000000	664
266000000	662
267000000	663
268000000	663
269000000	666
270000000	661
271000000	662
272000000	664
273000000	663
274000000	662
275000000	663
276000000	662
277000000	664
278000000	665
279000000	665
280000000	667
281000000	664
282000000	661
283000000	662
284000000	666
285000000	667
286000000	670
287000000	666
288000000	664
289000000	663
290000000	663
291000000	664
292000000	664
293000000	666
294000000	664
295000000	663
296000000	666
297000000	665
298000000	664
299000000	667
300000000	665
301000000	660
302000000	664
303000000	663
304000000	662
305000000	662
306000000	663
307000000	661
308000000	663
309000000	668
310000000	665
311000000	664
312000000	663
313000000	665
314000000	666
315000000	665
316000000	664
317000000	666
318000000	665
319000000	665
320000000	666
321000000	665
322000000	663
323000000	664
324000000	662
325000000	662
326000000	660
327000000	662
328000000	663
329000000	661
330000000	661
331000000	666
332000000	664
333000000	665
334000000	667
335000000	663
336000000	661
337000000	663
338000000	662
339000000	662
340000000	663
341000000	661
342000000	660
343000000	660
344000000	660
345000000	661
346000000	662
347000000	664
348000000	663
349000000	663
350000000	661
351000000	662
352000000	664
353000000	663
354000000	664
355000000	664
356000000	664
357000000	665
358000000	663
359000000	662
360000000	662
361000000	663
362000000	666
363000000	665
364000000	663
365000000	662
366000000	661
367000000	663
368000000	664
369000000	663
370000000	661
371000000	664
372000000	664
373000000	662
374000000	667
375000000	666
376000000	663
377000000	663
378000000	663
379000000	670
380000000	661
381000000	665
382000000	667
383000000	663
384000000	665
385000000	664
386000000	660
387000000	663
388000000	663
389000000	664
390000000	663
391000000	663
392000000	662
393000000	663
394000000	664
395000000	662
396000000	665
397000000	666
398000000	660
399000000	662
400000000	662
401000000	664
402000000	666
403000000	664
404000000	665
405000000	664
406000000	667
407000000	664
408000000	664
409000000	664
410000000	664
411000000	666
412000000	660
413000000	661
414000000	659
415000000	662
416000000	663
417000000	662
418000000	663
419000000	664
420000000	664
421000000	664
422000000	662
423000000	662
424000000	661
425000000	664
426000000	665
427000000	664
428000000	666
429000000	661
430000000	662
431000000	662
432000000	665
433000000	665
434000000	664
435000000	665
436000000	667
437000000	664
438000000	665
439000000	664
440000000	665
441000000	664
442000000	662
443000000	666
444000000	666
445000000	665
446000000	665
447000000	665
448000000	667
449000000	669
450000000	667
451000000	668
452000000	668
453000000	668
454000000	667
455000000	667
456000000	664
457000000	667
458000000	667
459000000	666
460000000	662
461000000	665
462000000	665
463000000	664
464000000	663
465000000	665
466000000	663
467000000	664
468000000	665
469000000	665
470000000	663
471000000	664
472000000	661
473000000	661
474000000	665
475000000	665
476000000	661
477000000	661
478000000	662
479000000	662
480000000	662
481000000	665
482000000	664
483000000	666
484000000	662
485000000	662
486000000	662
487000000	664
488000000	665
489000000	664
490000000	667
491000000	668
492000000	666
493000000	663
494000000	665
495000000	668
496000000	662
497000000	661
498000000	661
499000000	664
500000000	662
501000000	663
502000000	662
503000000	662
504000000	661
505000000	662
506000000	660
507000000	661
508000000	661
509000000	661
510000000	662
511000000	662
512000000	665
513000000	667
514000000	664
515000000	662
516000000	661
517000000	662
518000000	667
519000000	665
520000000	667
521000000	666
522000000	666
523000000	664
524000000	665
525000000	663
526000000	663
527000000	665
528000000	664
529000000	662
530000000	663
531000000	662
532000000	663
533000000	664
534000000	663
535000000	663
536000000	663
537000000	664
538000000	663
539000000	664
540000000	665
541000000	664
542000000	663
543000000	666
544000000	666
545000000	666
546000000	664
547000000	665
548000000	663
549000000	663
550000000	666
551000000	664
552000000	665
553000000	666
554000000	662
555000000	664
556000000	664
557000000	662
558000000	662
559000000	663
560000000	664
561000000	662
562000000	662
563000000	662
564000000	661
565000000	662
566000000	665
567000000	664
568000000	664
569000000	665
570000000	661
571000000	661
572000000	664
573000000	665
574000000	666
575000000	664
576000000	660
577000000	663
578000000	662
579000000	661
580000000	664
581000000	664
582000000	664
583000000	662
584000000	661
585000000	662
586000000	665
587000000	663
588000000	665
589000000	661
590000000	665
591000000	664
592000000	664
593000000	666
594000000	667
595000000	665
596000000	662
597000000	662
598000000	662
599000000	662
600000000	661
601000000	661
602000000	663
603000000	666
604000000	665
605000000	664
606000000	662
607000000	662
608000000	662
609000000	661
610000000	662
611000000	661
612000000	664
613000000	662
614000000	663
615000000	664
616000000	663
617000000	664
618000000	662
619000000	662
620000000	664
621000000	663
622000000	666
623000000	666
624000000	663
625000000	665
626000000	664
627000000	662
628000000	661
629000000	663
630000000	663
631000000	661
632000000	667
633000000	663
634000000	664
635000000	666
636000000	667
637000000	665
638000000	663
639000000	667
640000000	664
641000000	665
642000000	663
643000000	662
644000000	662
645000000	665
646000000	663
647000000	664
648000000	667
649000000	665
650000000	662
651000000	662
652000000	665
653000000	665
654000000	664
655000000	663
656000000	663
657000000	663
658000000	663
659000000	662
660000000	663
661000000	663
662000000	662
663000000	660
664000000	661
665000000	667
666000000	664
667000000	662
668000000	661
669000000	662
670000000	662
671000000	660
672000000	661
673000000	661
674000000	662
675000000	661
676000000	663
677000000	660
678000000	663
679000000	662
680000000	664
681000000	665
682000000	663
683000000	663
684000000	662
685000000	662
686000000	664
687000000	663
688000000	666
689000000	666
690000000	663
691000000	665
692000000	663
693000000	659
694000000	661
695000000	664
696000000	660
697000000	662
698000000	664
699000000	663
700000000	665
701000000	671
702000000	667
703000000	664
704000000	662
705000000	663
706000000	664
707000000	662
708000000	664
709000000	663
710000000	662
711000000	663
712000000	665
713000000	665
714000000	666
715000000	667
716000000	663
717000000	663
718000000	664
719000000	664
720000000	663
721000000	664
722000000	664
723000000	663
724000000	665
725000000	663
726000000	664
727000000	664
728000000	666
729000000	664
730000000	666
731000000	662
732000000	664
733000000	666
734000000	664
735000000	663
736000000	664
737000000	664
738000000	662
739000000	665
740000000	664
741000000	664
742000000	664
743000000	662
744000000	663
745000000	666
746000000	666
747000000	666
748000000	662
749000000	660
750000000	660
751000000	665
752000000	661
753000000	668
754000000	668
755000000	664
756000000	667
757000000	667
758000000	665
759000000	666
760000000	662
761000000	663
762000000	662
763000000	666
764000000	666
765000000	663
766000000	664
767000000	662
768000000	662
769000000	662
770000000	663
771000000	663
772000000	664
773000000	668
774000000	665
775000000	665
776000000	666
777000000	665
778000000	665
779000000	663
780000000	663
781000000	662
782000000	662
783000000	663
784000000	667
785000000	667
786000000	664
787000000	664
788000000	664
789000000	665
790000000	662
791000000	662
792000000	664
793000000	663
794000000	667
795000000	671
796000000	665
797000000	664
798000000	662
799000000	662
800000000	662
