state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	0.2192	1.2150	0.1611	0.2812	3.1251	0.9985	0.8375	0.2989	0.1782	0.1985	0.3244	1.4087E-3	0.576	0.159	15.454
2000000	0.2758	1.0744	0.2631	0.2437	3.4645	0.6784	0.8345	0.2938	0.1799	0.1932	0.3330	1.2065E-3	0.773	0.190	18.164
3000000	0.1934	1.1114	0.1925	0.1935	3.3214	0.9878	0.8743	0.2979	0.1781	0.1984	0.3256	1.3112E-3	0.210	0.162	16.420
4000000	0.3434	1.2090	0.2283	0.2191	3.0683	0.9318	0.8412	0.2955	0.1822	0.1959	0.3264	1.4783E-3	1.349	0.188	15.573
5000000	0.3098	1.1575	0.1820	0.1827	3.2772	0.8908	0.8326	0.2999	0.1800	0.1958	0.3243	1.6346E-3	0.106	0.171	14.413
6000000	0.3325	1.1729	0.1957	0.3443	3.0903	0.8643	0.8385	0.2962	0.1785	0.1996	0.3256	1.1817E-3	0.352	0.189	20.134
7000000	0.3596	1.4139	0.2169	0.3419	2.8596	0.8080	0.7975	0.2988	0.1778	0.1958	0.3276	1.1669E-3	0.643	0.199	18.828
8000000	0.2836	1.2665	0.2525	0.2773	3.1428	0.7774	0.7995	0.3003	0.1800	0.1940	0.3258	1.3001E-3	0.353	0.208	16.681
9000000	0.2459	1.2196	0.2366	0.2843	3.0395	0.9741	0.8538	0.2957	0.1783	0.2014	0.3247	1.4653E-3	1.187	0.222	15.101
10000000	0.3313	1.4419	0.2589	0.3216	2.7827	0.8635	0.8385	0.2990	0.1835	0.1892	0.3283	1.223E-3	0.470	0.197	17.335
11000000	0.3481	1.3181	0.2669	0.2152	2.9901	0.8616	0.8505	0.2993	0.1813	0.1946	0.3248	1.3293E-3	0.091	0.182	17.546
12000000	0.2337	1.1861	0.2607	0.2433	3.0617	1.0144	0.8711	0.2953	0.1836	0.1954	0.3257	1.3209E-3	0.372	0.190	16.130
13000000	0.2762	1.1139	0.2628	0.2195	3.1502	0.9774	0.8396	0.2974	0.1823	0.1933	0.3271	1.5106E-3	0.362	0.157	15.358
14000000	0.2710	1.2318	0.3203	0.2142	2.8968	1.0660	0.8897	0.2955	0.1804	0.1960	0.3281	1.5885E-3	0.506	0.176	14.678
15000000	0.2904	1.1264	0.2504	0.3218	3.1265	0.8846	0.7955	0.3038	0.1794	0.1917	0.3251	1.5827E-3	0.313	0.162	14.098
16000000	0.3550	1.3496	0.2106	0.2565	2.9480	0.8803	0.8214	0.2990	0.1819	0.1926	0.3265	1.4029E-3	0.085	0.159	17.083
17000000	0.2970	1.1590	0.1849	0.1956	3.3406	0.8229	0.8122	0.3006	0.1791	0.1968	0.3235	1.2661E-3	0.197	0.178	16.742
18000000	0.2882	1.2109	0.2193	0.3815	2.9455	0.9547	0.8666	0.3012	0.1812	0.1906	0.3271	1.42E-3	0.112	0.168	15.848
19000000	0.2647	1.1947	0.1863	0.3890	3.0869	0.8784	0.8710	0.2993	0.1838	0.1950	0.3219	1.5823E-3	0.621	0.176	13.875
20000000	0.3050	1.2721	0.2834	0.2205	3.0336	0.8853	0.8423	0.3005	0.1805	0.1944	0.3246	1.3264E-3	0.637	0.159	16.572
