state	posterior	prior	likelihood	skygrid
1000000	-48318.658	-690.853	-47627.805	-684.818
2000000	-48468.531	-833.583	-47634.949	-827.896
3000000	-48427.511	-814.648	-47612.863	-808.847
4000000	-48644.692	-1046.728	-47597.964	-1040.519
5000000	-48562.213	-950.183	-47612.030	-943.707
6000000	-48516.711	-926.159	-47590.552	-920.864
7000000	-48632.312	-1064.073	-47568.239	-1058.910
8000000	-48524.765	-932.939	-47591.826	-926.117
9000000	-48529.035	-920.888	-47608.148	-915.375
10000000	-48601.783	-1015.332	-47586.451	-1009.219
11000000	-48387.777	-789.473	-47598.304	-784.390
12000000	-48566.359	-977.382	-47588.977	-971.865
13000000	-48722.432	-1128.054	-47594.378	-1121.954
14000000	-48639.101	-1060.491	-47578.610	-1053.868
15000000	-48705.542	-1109.687	-47595.855	-1103.670
16000000	-48697.198	-1105.443	-47591.755	-1099.720
17000000	-48602.168	-984.835	-47617.333	-979.882
18000000	-48646.627	-1046.855	-47599.772	-1040.220
19000000	-48744.162	-1104.000	-47640.162	-1098.304
20000000	-48574.207	-976.249	-47597.958	-969.594
21000000	-48615.892	-981.783	-47634.108	-976.576
22000000	-48586.731	-988.018	-47598.713	-983.372
23000000	-48584.625	-994.004	-47590.621	-988.032
24000000	-48665.241	-1082.962	-47582.279	-1077.241
25000000	-48592.834	-975.311	-47617.522	-969.694
26000000	-48518.818	-947.463	-47571.355	-941.489
27000000	-48607.082	-991.386	-47615.696	-986.031
28000000	-48600.910	-986.205	-47614.705	-982.431
29000000	-48322.918	-702.083	-47620.835	-695.303
30000000	-48327.033	-699.524	-47627.508	-693.166
31000000	-48446.785	-808.856	-47637.928	-802.117
32000000	-48391.798	-775.478	-47616.319	-771.075
33000000	-48413.002	-768.544	-47644.458	-761.341
34000000	-48782.306	-1163.907	-47618.399	-1157.778
35000000	-48715.092	-1153.579	-47561.512	-1147.759
36000000	-48643.684	-1075.187	-47568.497	-1069.508
37000000	-48742.777	-1173.539	-47569.238	-1167.464
38000000	-48848.076	-1249.596	-47598.480	-1243.958
39000000	-48647.693	-1064.128	-47583.566	-1058.095
40000000	-48645.840	-1043.505	-47602.335	-1036.910
41000000	-48489.427	-883.437	-47605.990	-876.611
42000000	-48516.134	-941.759	-47574.375	-935.694
43000000	-48429.155	-829.414	-47599.741	-824.968
44000000	-48485.476	-850.256	-47635.220	-844.170
45000000	-48723.454	-1061.691	-47661.763	-1055.430
46000000	-48619.706	-977.016	-47642.689	-970.190
47000000	-48486.673	-877.407	-47609.266	-871.058
48000000	-48567.127	-954.843	-47612.284	-949.532
49000000	-48705.142	-1093.050	-47612.092	-1086.770
50000000	-48584.363	-982.486	-47601.878	-976.517
51000000	-48510.706	-905.982	-47604.723	-900.807
52000000	-48465.372	-830.395	-47634.977	-825.261
53000000	-48467.252	-853.519	-47613.734	-847.206
54000000	-48450.337	-844.835	-47605.501	-838.924
55000000	-48696.313	-1088.234	-47608.079	-1082.401
56000000	-48491.186	-903.672	-47587.514	-898.998
57000000	-48480.711	-873.643	-47607.069	-867.599
58000000	-48626.329	-1001.443	-47624.886	-996.672
59000000	-48550.933	-913.199	-47637.733	-907.260
60000000	-48691.750	-1101.398	-47590.352	-1094.843
61000000	-48531.552	-946.559	-47584.993	-941.745
62000000	-48694.237	-1106.500	-47587.737	-1101.555
63000000	-48616.481	-996.749	-47619.733	-991.974
64000000	-48656.973	-1008.631	-47648.342	-1003.894
65000000	-48613.245	-1004.194	-47609.051	-998.620
66000000	-48562.649	-938.001	-47624.648	-931.058
67000000	-48797.273	-1230.759	-47566.514	-1224.632
68000000	-48668.180	-1063.348	-47604.832	-1056.469
69000000	-48799.384	-1207.677	-47591.707	-1201.281
70000000	-48528.624	-927.502	-47601.122	-921.654
71000000	-48524.130	-922.914	-47601.216	-917.724
72000000	-48420.840	-838.738	-47582.103	-832.909
73000000	-48519.711	-912.383	-47607.328	-906.929
74000000	-48466.909	-859.649	-47607.260	-853.310
75000000	-48504.916	-899.678	-47605.238	-893.848
76000000	-48621.611	-1028.071	-47593.540	-1021.068
77000000	-48481.195	-892.019	-47589.177	-887.268
78000000	-48543.622	-939.282	-47604.340	-933.442
79000000	-48395.598	-804.581	-47591.017	-800.194
80000000	-48549.204	-973.575	-47575.629	-967.029
81000000	-48494.972	-906.381	-47588.591	-900.434
82000000	-48474.921	-878.093	-47596.828	-872.546
83000000	-48654.053	-1063.110	-47590.943	-1056.398
84000000	-48488.038	-899.149	-47588.889	-894.312
85000000	-48651.711	-1077.534	-47574.177	-1071.329
86000000	-48506.925	-910.526	-47596.399	-903.755
