state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
1000000	0.205	1.164	1.320	1.035	-1.603	-2.939	-2.590	-2.633	-5.169	-4.607	-5.879	-8.241	-10.974	-13.467	-13.347	-13.686	-13.411	-12.597	-11.956	-13.302
2000000	0.153	1.171	1.421	1.739	-0.639	-2.536	-1.308	-1.217	-2.758	-4.461	-4.106	-5.115	-3.364	-2.723	-3.796	-5.528	-4.831	-2.666	-3.132	-4.393
3000000	-0.381	1.298	1.157	1.307	-1.125	-2.726	-0.473	-1.433	-5.466	-10.404	-10.123	-6.503	-7.130	-4.339	-6.121	-5.143	-8.524	-8.640	-7.954	-7.601
4000000	-0.089	0.915	1.537	1.047	-0.776	-1.696	-3.039	-2.669	-1.446	-2.864	-3.250	-3.302	-4.250	-3.502	-3.105	-3.421	-6.022	-5.862	-7.593	-6.821
5000000	3.354	0.345	1.110	0.828	-1.669	-0.194	-3.746	-2.487	-4.569	-5.771	-7.303	-3.748	-2.561	-0.246	3.165	0.187	-1.372	3.836	2.411	3.697
6000000	-0.595	1.471	2.040	1.828	0.024	-1.252	-2.759	-1.072	-1.716	-4.701	-4.910	-5.159	-3.442	-3.627	-3.711	-6.196	-6.371	-6.732	-7.156	-8.678
7000000	0.107	0.883	1.695	2.162	-0.599	-1.087	-2.512	-2.930	-2.444	-2.300	-2.899	-2.723	-2.461	-1.891	-1.871	-1.148	-2.516	-4.962	-3.174	-2.548
8000000	-0.494	0.695	1.460	1.684	-0.829	-2.398	-2.244	-0.275	-4.339	-3.998	-5.263	-6.577	-3.561	-6.657	-8.983	-8.261	-10.191	-7.476	-6.454	-7.079
9000000	-0.931	0.522	1.124	0.995	-0.887	-1.889	-2.230	-2.005	-2.392	-3.261	-3.057	-3.544	-2.917	-3.399	-3.677	-3.426	-2.730	-4.350	-4.889	-4.487
10000000	-0.036	0.972	1.527	1.399	-0.284	-2.445	-2.067	-2.907	-3.053	-2.320	-3.054	-6.107	-4.880	-3.429	-5.734	-7.488	-6.350	-4.009	-2.381	-1.908
11000000	0.374	0.550	1.565	1.577	-0.420	-3.310	-1.162	0.200	1.267	-5.525	3.251	0.195	-8.563	-12.805	-12.087	-13.379	-11.710	-9.546	-11.021	-9.271
12000000	1.885	0.758	1.242	1.395	-1.189	-2.261	-1.044	-2.248	-3.969	-3.583	-3.906	-5.587	-7.610	-6.555	-4.668	-3.200	-2.288	-2.863	-4.191	-0.581
13000000	0.465	1.271	1.497	1.282	-2.125	-2.139	-1.656	-3.805	-6.636	-8.942	-8.850	-9.172	-11.869	-13.540	-13.443	-12.858	-13.404	-16.805	-16.713	-16.905
14000000	0.047	1.034	1.081	1.098	-1.786	-1.708	-2.263	-3.007	-4.171	-5.558	-5.688	-4.242	-5.657	-6.233	-5.837	-6.295	-5.225	-7.029	-9.326	-9.367
15000000	-0.202	0.677	1.204	1.091	-2.319	-1.490	-2.447	-4.225	-6.460	-5.278	-4.166	-3.161	-0.719	-0.116	-2.377	-1.556	-1.428	-1.135	-2.983	-2.298
16000000	0.135	1.449	1.803	1.296	-1.040	-1.798	-2.856	-0.911	-5.976	-3.183	-2.893	-5.186	-5.109	1.263	4.156	0.727	3.185	2.814	4.992	8.951
17000000	0.223	1.175	1.424	1.503	-0.824	-3.068	-0.143	-1.246	-3.324	-6.820	-7.022	-10.807	-9.861	-12.536	-13.908	-16.577	-11.812	-11.997	-12.602	-14.078
18000000	-0.334	0.726	2.012	1.288	-1.368	-2.903	-1.632	-4.490	-5.052	-6.617	-13.156	-15.671	-12.986	-10.126	-10.892	-11.946	-12.252	-11.208	-11.568	-10.144
19000000	-0.894	1.466	1.150	0.638	-1.795	-2.335	-2.668	-2.199	-3.183	-5.720	-6.656	-7.643	-7.103	-6.939	-9.026	-6.817	-7.306	-9.464	-7.251	-8.979
20000000	0.333	0.913	2.002	0.997	-0.536	-2.579	-2.398	-4.027	-5.969	-5.218	-2.799	-2.438	-2.698	-3.432	0.791	-0.194	0.243	-0.064	0.943	0.632
21000000	1.684	1.000	1.586	1.327	-0.925	-2.479	-2.014	-2.628	-4.516	-5.919	-4.588	-5.208	-3.427	-2.752	-2.262	-1.251	-1.921	-2.417	-5.215	-5.214
22000000	-0.356	0.916	1.600	1.447	-0.860	1.347	-2.494	-2.504	1.019	-0.969	-3.566	-6.830	-5.129	-5.239	-5.500	-8.111	-11.827	-11.121	-10.826	-8.719
23000000	-0.665	0.823	1.803	1.399	-1.437	-2.967	-2.161	-2.432	-4.407	-5.781	-9.094	-6.708	-9.280	-9.903	-10.925	-11.988	-12.535	-16.343	-15.786	-13.331
24000000	-0.365	0.696	1.351	1.363	-1.932	-1.333	-2.667	0.352	2.183	-6.126	-2.465	0.008	-4.738	3.088	7.297	2.477	0.982	4.183	1.982	3.983
25000000	-0.677	1.186	1.117	2.050	-1.160	-2.573	-1.484	-1.858	-8.813	-8.585	-4.412	-2.627	-1.116	2.892	-2.786	-7.298	1.437	-3.328	6.157	9.673
26000000	-0.161	0.970	1.102	1.205	-1.461	-2.578	-2.198	-1.929	-3.664	-3.912	-2.633	-4.814	-4.911	-2.173	-0.372	-1.531	-1.516	-0.343	-0.447	-0.739
27000000	-0.593	1.237	1.605	2.286	-0.341	-2.286	-2.350	-4.710	-5.229	-5.287	-4.858	-2.998	-2.154	-2.010	-1.070	-2.198	-1.947	-2.783	-2.688	-0.889
28000000	-0.414	1.048	1.426	1.163	-1.817	-1.630	-2.353	-0.780	-7.185	-9.592	-8.377	-9.368	-6.736	-7.830	-7.798	-8.877	-8.823	-5.816	-6.775	-6.964
29000000	-0.108	1.390	1.223	1.975	-1.460	-2.472	-1.671	-2.309	-4.620	-5.625	-3.695	-6.531	-8.020	-6.610	-7.023	-6.543	-7.007	-6.088	-6.748	-8.267
30000000	-0.241	1.043	1.093	1.090	-1.706	-2.897	-2.411	-2.783	-4.397	-5.208	-6.020	-4.738	-3.284	-0.746	-3.035	-1.097	-0.957	-0.506	-0.352	-1.014
31000000	0.245	0.937	1.554	1.310	-1.273	-1.906	-1.160	-1.464	-4.607	-1.988	-0.553	-0.960	-4.115	-7.015	-7.905	-5.399	-6.040	-7.814	-6.274	-7.158
32000000	-0.251	1.086	1.517	1.710	-1.437	-2.209	0.162	-2.325	-7.659	-6.589	-7.501	-5.314	-7.020	-6.850	-8.199	-9.881	-9.607	-8.508	-6.985	-6.436
