state	pscore
1000000	9409
2000000	9416
3000000	9419
4000000	9408
5000000	9404
6000000	9410
7000000	9401
8000000	9410
9000000	9406
10000000	9412
11000000	9414
12000000	9407
13000000	9413
14000000	9406
15000000	9412
16000000	9410
17000000	9405
18000000	9402
19000000	9403
20000000	9407
21000000	9411
22000000	9421
23000000	9410
24000000	9409
25000000	9422
26000000	9409
27000000	9408
28000000	9421
29000000	9418
30000000	9415
31000000	9414
32000000	9417
33000000	9411
34000000	9415
35000000	9410
36000000	9412
37000000	9400
38000000	9405
39000000	9402
40000000	9407
41000000	9413
42000000	9404
43000000	9419
44000000	9406
45000000	9413
46000000	9409
47000000	9412
48000000	9414
49000000	9407
50000000	9414
51000000	9410
52000000	9400
53000000	9419
54000000	9408
55000000	9417
56000000	9414
57000000	9407
58000000	9402
59000000	9414
60000000	9420
61000000	9424
62000000	9416
63000000	9419
64000000	9419
65000000	9410
66000000	9407
67000000	9404
68000000	9407
69000000	9418
70000000	9406
71000000	9404
72000000	9395
73000000	9411
74000000	9415
75000000	9397
76000000	9414
77000000	9418
78000000	9407
79000000	9414
80000000	9413
81000000	9407
82000000	9412
83000000	9412
84000000	9409
85000000	9404
86000000	9414
87000000	9415
88000000	9410
89000000	9420
90000000	9405
91000000	9418
92000000	9412
93000000	9414
94000000	9416
95000000	9412
96000000	9409
97000000	9410
98000000	9415
99000000	9413
100000000	9414
101000000	9406
102000000	9407
103000000	9400
104000000	9403
105000000	9414
106000000	9404
107000000	9413
108000000	9418
109000000	9408
110000000	9412
111000000	9415
112000000	9413
113000000	9414
114000000	9405
115000000	9408
116000000	9415
117000000	9408
118000000	9418
119000000	9411
120000000	9417
121000000	9415
122000000	9409
123000000	9413
124000000	9423
125000000	9404
126000000	9404
127000000	9411
128000000	9406
129000000	9406
130000000	9405
131000000	9417
132000000	9415
133000000	9421
134000000	9420
135000000	9405
136000000	9409
137000000	9404
138000000	9406
139000000	9407
140000000	9411
141000000	9401
142000000	9416
143000000	9409
144000000	9406
145000000	9410
146000000	9420
147000000	9419
148000000	9406
149000000	9402
150000000	9406
151000000	9411
152000000	9407
153000000	9413
154000000	9406
155000000	9415
156000000	9405
157000000	9409
158000000	9406
159000000	9399
160000000	9411
161000000	9410
162000000	9411
163000000	9416
164000000	9403
165000000	9409
166000000	9407
167000000	9415
168000000	9407
169000000	9424
170000000	9406
171000000	9411
172000000	9410
173000000	9403
174000000	9406
175000000	9399
176000000	9405
177000000	9408
178000000	9408
179000000	9411
180000000	9410
181000000	9408
182000000	9415
183000000	9400
184000000	9414
185000000	9415
186000000	9399
187000000	9412
188000000	9404
189000000	9413
190000000	9407
191000000	9409
192000000	9402
193000000	9404
194000000	9411
195000000	9401
196000000	9406
197000000	9419
198000000	9409
199000000	9406
200000000	9406
