state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.1039	1.1619	0.1602	3.838E-2	4.3852	0.1504	0.3008	0.2778	0.2027	0.2882	0.2313	4.6334E-4	1.5443E-4	4.5429E-4	0.3242	3.0395E-2	0.385	18.764	2127.955
2000000	0.1192	1.2559	0.1455	4.8201E-2	4.2568	0.1744	0.2921	0.2684	0.2073	0.2810	0.2433	4.4466E-4	1.5158E-4	4.336E-4	0.3373	-2.5727E-2	0.141	20.100	2170.333
3000000	0.1348	1.2610	0.1629	3.9884E-2	4.2380	0.1634	0.2998	0.2721	0.2134	0.2817	0.2327	4.4699E-4	1.7046E-4	4.4595E-4	0.3913	-1.4095E-2	0.161	18.616	2186.514
4000000	0.1339	1.2631	0.1605	3.992E-2	4.2510	0.1515	0.2807	0.2728	0.2032	0.2882	0.2359	4.1919E-4	1.3445E-4	4.1537E-4	0.3322	-5.3008E-4	0.144	18.646	2234.775
5000000	0.1089	1.2399	0.1564	3.759E-2	4.2959	0.1613	0.2859	0.2712	0.2060	0.2898	0.2330	4.36E-4	1.5331E-4	4.2052E-4	0.3377	-1.9697E-2	0.204	18.235	2215.329
6000000	0.1129	1.1883	0.1660	3.7065E-2	4.3485	0.1473	0.2985	0.2700	0.2081	0.2961	0.2258	4.4682E-4	1.7074E-4	4.4222E-4	0.3842	1.6577E-2	0.168	18.417	2207.581
7000000	0.1241	1.2042	0.1498	3.5308E-2	4.3241	0.1625	0.2766	0.2697	0.2065	0.2848	0.2390	4.4571E-4	1.5947E-4	4.3828E-4	0.3566	-4.3794E-2	0.313	18.869	2174.701
8000000	0.1120	1.2032	0.1553	2.9111E-2	4.3503	0.1502	0.2878	0.2727	0.2058	0.2936	0.2280	4.3611E-4	1.7123E-4	4.3362E-4	0.3901	1.6565E-3	0.086	18.722	2196.749
9000000	0.1253	1.1879	0.1657	3.8723E-2	4.3114	0.1710	0.2826	0.2700	0.2102	0.2899	0.2299	4.4812E-4	1.5294E-4	4.3426E-4	0.3379	-4.71E-2	0.288	19.001	2222.382
10000000	0.1183	1.2020	0.1530	3.144E-2	4.3261	0.1691	0.2982	0.2667	0.2077	0.2912	0.2344	4.4657E-4	1.5047E-4	4.3748E-4	0.3428	-1.8147E-2	0.120	18.543	2223.037
11000000	0.1273	1.2365	0.1570	3.5207E-2	4.2690	0.1751	0.2879	0.2728	0.2112	0.2834	0.2325	4.534E-4	1.5985E-4	4.3958E-4	0.3510	-2.4731E-2	0.146	18.294	2197.969
12000000	0.1445	1.2321	0.1469	4.2302E-2	4.2694	0.1648	0.3011	0.2668	0.2031	0.2888	0.2412	4.4413E-4	1.5696E-4	4.3007E-4	0.3483	2.3143E-2	0.449	18.708	2223.365
13000000	0.1185	1.2377	0.1598	3.6593E-2	4.2752	0.1723	0.2745	0.2682	0.2089	0.2880	0.2348	4.3114E-4	1.5506E-4	4.1899E-4	0.3717	-2.9855E-2	0.185	18.492	2238.187
14000000	0.1184	1.2633	0.1388	2.8865E-2	4.2959	0.1548	0.3008	0.2662	0.2103	0.2900	0.2336	4.4976E-4	1.6379E-4	4.3765E-4	0.3650	-7.5277E-3	0.370	18.307	2207.434
15000000	0.1277	1.2337	0.1659	3.945E-2	4.2722	0.1610	0.2839	0.2693	0.2126	0.2818	0.2363	4.5656E-4	1.8347E-4	4.3473E-4	0.3921	1.6449E-2	0.404	18.621	2207.428
16000000	0.1354	1.2134	0.1567	4.1533E-2	4.2875	0.1656	0.2837	0.2701	0.2045	0.2854	0.2400	4.437E-4	1.6974E-4	4.3697E-4	0.3876	-1.1086E-2	0.303	18.429	2163.165
17000000	0.1423	1.1945	0.1509	3.3926E-2	4.3372	0.1412	0.2900	0.2707	0.2073	0.2823	0.2396	4.302E-4	1.5409E-4	4.2824E-4	0.3588	-8.9447E-3	0.334	18.294	2250.927
18000000	0.1088	1.2316	0.1487	2.8679E-2	4.3179	0.1644	0.2851	0.2730	0.1985	0.2936	0.2350	4.3329E-4	1.356E-4	4.2912E-4	0.3160	-6.2934E-2	0.116	18.351	2213.865
19000000	0.1209	1.1954	0.1372	3.6949E-2	4.3363	0.1731	0.2913	0.2695	0.2036	0.2884	0.2384	4.2248E-4	1.5857E-4	4.2441E-4	0.3791	-4.2374E-3	0.234	18.365	2252.069
20000000	0.1446	1.2516	0.1747	4.1213E-2	4.2363	0.1516	0.2777	0.2610	0.2139	0.2876	0.2375	4.5759E-4	1.5343E-4	4.4369E-4	0.3352	1.3923E-2	0.290	18.793	2156.212
21000000	0.1118	1.2460	0.1678	3.9664E-2	4.2614	0.1734	0.2719	0.2753	0.2062	0.2871	0.2314	4.3404E-4	1.5349E-4	4.2703E-4	0.3521	2.2749E-2	0.311	18.404	2191.281
22000000	0.1316	1.2552	0.1397	4.0112E-2	4.2742	0.1591	0.2832	0.2733	0.2041	0.2871	0.2355	4.463E-4	1.6081E-4	4.2675E-4	0.3540	-2.5293E-2	0.214	18.357	2150.860
