state	posterior	prior	likelihood	skygrid
1000000	-103168.026	-16202.306	-86965.720	-4395.965
2000000	-103106.497	-16131.738	-86974.759	-4325.671
3000000	-103274.530	-16305.194	-86969.336	-4498.253
4000000	-103092.268	-16137.322	-86954.946	-4330.521
5000000	-103297.868	-16382.929	-86914.939	-4575.867
6000000	-103056.115	-16088.735	-86967.380	-4282.822
7000000	-103071.025	-16127.855	-86943.171	-4322.224
8000000	-103247.192	-16302.123	-86945.069	-4494.773
9000000	-103242.764	-16261.298	-86981.467	-4455.032
10000000	-103274.588	-16302.897	-86971.691	-4496.715
11000000	-103263.119	-16238.238	-87024.881	-4431.372
12000000	-103181.915	-16262.995	-86918.921	-4456.111
13000000	-103146.717	-16154.535	-86992.183	-4348.988
14000000	-103287.266	-16293.912	-86993.355	-4487.430
15000000	-103255.498	-16272.182	-86983.316	-4465.257
16000000	-103191.337	-16201.496	-86989.841	-4395.040
17000000	-103321.847	-16336.433	-86985.415	-4528.598
18000000	-103200.334	-16282.189	-86918.144	-4475.433
19000000	-103223.970	-16290.253	-86933.717	-4483.647
20000000	-103268.153	-16261.302	-87006.850	-4454.235
21000000	-103131.468	-16154.378	-86977.090	-4347.521
22000000	-103202.313	-16136.302	-87066.011	-4330.378
23000000	-103132.793	-16198.962	-86933.831	-4392.221
24000000	-103050.719	-16106.799	-86943.920	-4300.303
25000000	-103026.738	-16071.020	-86955.718	-4264.584
26000000	-103031.774	-16107.549	-86924.226	-4301.675
27000000	-103082.527	-16115.560	-86966.968	-4308.915
28000000	-103044.669	-16106.547	-86938.122	-4300.148
29000000	-103048.573	-16107.506	-86941.067	-4301.314
30000000	-103098.592	-16091.586	-87007.007	-4285.500
31000000	-103068.112	-16068.715	-86999.397	-4262.248
32000000	-103274.682	-16259.657	-87015.024	-4452.389
33000000	-103253.426	-16275.082	-86978.344	-4467.850
34000000	-103134.060	-16123.988	-87010.072	-4317.239
35000000	-103117.620	-16163.692	-86953.928	-4356.976
36000000	-103114.505	-16119.301	-86995.204	-4312.663
37000000	-103264.367	-16289.697	-86974.670	-4482.817
38000000	-103118.725	-16181.335	-86937.389	-4374.830
39000000	-103094.444	-16180.423	-86914.021	-4374.066
40000000	-103170.288	-16179.757	-86990.530	-4372.952
41000000	-103236.555	-16198.729	-87037.826	-4391.703
42000000	-103090.395	-16158.309	-86932.086	-4352.163
43000000	-103452.846	-16395.105	-87057.741	-4587.746
44000000	-103277.412	-16319.821	-86957.591	-4511.943
45000000	-103295.200	-16269.290	-87025.911	-4461.946
46000000	-103269.836	-16317.850	-86951.986	-4510.417
47000000	-103109.580	-16172.675	-86936.904	-4365.766
48000000	-103197.611	-16248.962	-86948.650	-4442.287
49000000	-103206.607	-16280.730	-86925.877	-4474.705
50000000	-103230.835	-16230.043	-87000.792	-4423.318
51000000	-103235.516	-16299.396	-86936.119	-4492.520
52000000	-103228.587	-16247.414	-86981.173	-4440.514
53000000	-103135.346	-16160.960	-86974.387	-4354.140
54000000	-103233.643	-16275.264	-86958.378	-4468.592
55000000	-103123.188	-16174.904	-86948.284	-4368.649
56000000	-103205.618	-16252.714	-86952.903	-4446.095
