state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
1000000	-3.718	2.402	2.758	10.432	14.678	18.255	19.100	17.522	12.645	10.739	7.721	5.402	11.529	10.497	4.013	4.107	7.330	4.922	5.445	4.611	7.935	8.735	4.377	6.490	5.285	6.442	6.092	6.010	9.287	5.573	6.595	8.601	5.396	11.297	10.395	5.206	8.494	5.219	6.261	8.750	3.479	1.802	2.216	3.684	1.304	4.091	1.432	-2.602	-4.873	-0.941
2000000	4.779	9.360	7.267	5.016	3.038	5.825	7.552	11.013	13.549	11.233	7.532	7.539	6.617	5.530	5.288	4.100	7.716	5.229	6.176	4.701	7.662	5.365	5.085	7.156	4.575	5.912	6.347	10.094	10.063	5.032	7.360	8.046	5.849	7.743	10.142	5.628	7.384	4.959	8.077	7.047	3.088	2.195	2.815	4.261	2.142	4.573	3.800	-2.862	-4.831	-2.268
3000000	7.788	4.048	1.280	3.441	9.891	12.460	9.089	12.378	8.115	11.898	8.284	6.884	5.101	8.261	3.456	4.755	5.352	4.227	5.304	5.172	13.267	11.435	4.601	5.794	5.165	6.163	6.133	9.964	6.721	5.167	7.341	8.209	5.795	7.529	9.906	5.632	7.787	5.039	7.313	6.199	3.214	1.896	2.245	3.487	5.068	2.713	3.078	-2.408	-2.736	-6.311
4000000	0.684	1.491	2.511	3.051	3.115	6.449	6.699	8.349	7.571	5.095	6.694	6.694	6.078	6.313	3.913	4.358	4.771	4.831	4.664	7.627	7.736	6.374	4.838	5.128	5.555	7.205	7.108	5.398	6.893	5.797	5.720	8.672	6.092	8.801	7.333	5.557	9.322	5.269	6.170	7.081	3.071	2.285	2.553	2.743	2.553	2.690	3.883	-1.053	-1.411	5.790
5000000	2.930	2.024	1.733	1.520	3.010	4.013	6.133	6.989	9.405	9.472	8.685	6.920	4.831	6.300	4.012	4.067	6.462	4.143	5.258	8.724	8.424	8.123	4.444	4.625	6.154	5.874	6.793	6.130	6.927	5.578	6.419	6.805	6.470	8.602	8.474	5.358	6.436	5.369	6.566	7.181	3.450	3.201	1.468	3.200	4.308	4.244	2.743	-0.646	-0.269	-1.682
6000000	3.324	3.956	3.034	2.798	3.835	6.830	5.559	8.193	8.646	9.019	7.711	6.506	9.038	5.929	5.105	4.074	4.930	4.732	6.179	5.357	5.175	7.146	6.060	4.447	6.003	5.766	6.414	7.141	6.986	5.272	7.247	7.222	5.767	8.589	6.783	5.648	7.053	5.353	7.039	7.069	2.974	2.001	2.925	3.564	2.776	1.616	-1.007	0.471	0.577	2.795
7000000	8.218	3.347	5.469	1.769	4.883	6.848	4.935	8.185	11.679	13.758	12.720	5.641	8.412	5.115	4.129	5.293	4.276	8.956	4.492	7.272	8.076	8.165	4.251	5.034	7.927	5.682	7.027	5.391	6.369	5.208	7.019	11.465	5.527	10.052	8.493	5.364	7.583	5.047	6.339	7.884	2.988	3.994	1.789	3.630	2.003	1.986	3.485	-1.716	1.253	1.016
8000000	5.696	7.220	1.443	3.234	4.145	5.486	5.677	5.857	9.981	8.934	10.058	6.630	6.858	8.256	4.203	4.189	5.064	4.799	5.440	4.996	7.112	8.175	4.362	5.051	5.646	7.437	6.531	5.981	8.260	4.958	8.611	9.416	7.878	6.283	9.394	5.177	10.022	5.582	5.951	7.597	2.538	2.961	1.683	2.734	3.566	3.532	3.136	-3.083	-8.475	-6.920
9000000	10.880	5.120	11.347	2.921	7.096	10.648	9.129	11.644	15.926	13.082	11.489	8.360	4.972	7.461	4.127	5.022	7.317	3.958	4.917	6.179	10.055	6.961	4.939	4.794	6.597	6.874	6.188	6.164	10.943	4.959	8.323	10.605	5.589	8.984	10.180	5.174	8.319	5.039	7.159	5.519	2.330	4.717	3.311	1.947	3.936	5.514	1.075	-5.333	-4.717	-2.967
10000000	1.551	2.794	2.480	4.553	4.901	5.176	5.894	6.776	6.962	7.765	7.495	5.877	7.963	6.930	3.962	4.226	6.657	4.172	4.753	7.389	8.053	6.362	4.112	5.212	6.966	6.235	6.630	6.172	7.173	4.964	6.016	7.968	5.800	7.838	7.537	5.119	7.866	5.525	5.748	6.677	2.640	2.742	1.802	2.920	3.002	3.677	0.956	-2.885	-1.526	-0.489
