state	pscore
1000000	2240
2000000	2241
3000000	2238
4000000	2243
5000000	2242
6000000	2241
7000000	2239
8000000	2244
9000000	2244
10000000	2243
11000000	2242
12000000	2239
13000000	2241
14000000	2245
15000000	2244
16000000	2239
17000000	2243
18000000	2242
19000000	2244
20000000	2242
21000000	2242
22000000	2241
23000000	2245
24000000	2245
25000000	2243
26000000	2242
27000000	2238
28000000	2241
29000000	2240
30000000	2243
31000000	2243
32000000	2244
33000000	2244
34000000	2240
35000000	2244
36000000	2243
37000000	2242
38000000	2241
39000000	2246
40000000	2242
41000000	2242
42000000	2245
43000000	2245
44000000	2240
45000000	2243
46000000	2244
47000000	2246
48000000	2246
49000000	2245
50000000	2245
51000000	2247
52000000	2241
53000000	2246
54000000	2244
55000000	2243
56000000	2243
57000000	2246
58000000	2242
59000000	2244
60000000	2245
61000000	2244
62000000	2242
63000000	2241
64000000	2244
65000000	2244
66000000	2244
67000000	2240
68000000	2245
69000000	2243
70000000	2245
71000000	2238
72000000	2239
73000000	2245
74000000	2247
75000000	2243
76000000	2243
77000000	2240
78000000	2246
79000000	2247
80000000	2242
81000000	2246
82000000	2244
83000000	2242
84000000	2244
85000000	2257
86000000	2242
87000000	2244
88000000	2243
89000000	2241
90000000	2241
91000000	2238
92000000	2244
93000000	2246
94000000	2242
95000000	2243
96000000	2245
97000000	2247
98000000	2241
99000000	2243
100000000	2240
101000000	2248
102000000	2244
103000000	2243
104000000	2248
105000000	2239
106000000	2241
107000000	2243
108000000	2243
109000000	2242
110000000	2246
111000000	2242
112000000	2239
113000000	2238
114000000	2245
115000000	2243
116000000	2245
117000000	2246
118000000	2242
119000000	2241
120000000	2238
121000000	2240
122000000	2238
123000000	2247
124000000	2246
125000000	2240
126000000	2241
127000000	2240
128000000	2243
129000000	2242
130000000	2246
131000000	2242
132000000	2245
133000000	2246
134000000	2243
135000000	2243
136000000	2242
137000000	2243
138000000	2243
139000000	2246
140000000	2240
141000000	2244
142000000	2245
143000000	2240
144000000	2244
145000000	2246
146000000	2245
147000000	2241
148000000	2245
149000000	2245
150000000	2243
151000000	2240
152000000	2246
153000000	2248
154000000	2239
155000000	2239
156000000	2245
157000000	2245
158000000	2245
159000000	2241
160000000	2241
161000000	2243
162000000	2244
163000000	2245
164000000	2242
165000000	2242
166000000	2247
167000000	2238
168000000	2243
169000000	2242
170000000	2243
171000000	2246
172000000	2240
173000000	2246
174000000	2239
175000000	2247
176000000	2238
177000000	2245
178000000	2246
179000000	2246
180000000	2243
181000000	2239
182000000	2246
183000000	2244
184000000	2244
185000000	2244
186000000	2246
187000000	2240
188000000	2245
189000000	2241
190000000	2244
191000000	2250
192000000	2245
193000000	2238
194000000	2243
195000000	2244
196000000	2243
197000000	2239
198000000	2243
199000000	2248
200000000	2238
201000000	2240
202000000	2244
203000000	2245
204000000	2243
205000000	2240
206000000	2243
207000000	2240
208000000	2241
209000000	2243
210000000	2238
211000000	2247
212000000	2243
213000000	2246
214000000	2240
215000000	2240
216000000	2245
217000000	2242
218000000	2239
219000000	2242
220000000	2243
221000000	2244
222000000	2245
223000000	2244
224000000	2238
225000000	2244
226000000	2243
227000000	2246
228000000	2248
229000000	2241
230000000	2241
231000000	2239
232000000	2242
233000000	2241
234000000	2244
235000000	2241
236000000	2242
237000000	2246
238000000	2240
239000000	2243
240000000	2240
241000000	2243
242000000	2242
243000000	2241
244000000	2245
245000000	2241
246000000	2244
247000000	2247
248000000	2244
249000000	2244
250000000	2244
251000000	2241
252000000	2247
253000000	2247
254000000	2242
255000000	2244
256000000	2246
257000000	2242
258000000	2244
259000000	2241
260000000	2242
261000000	2242
262000000	2242
263000000	2239
264000000	2245
265000000	2243
266000000	2244
267000000	2243
268000000	2241
269000000	2243
270000000	2242
271000000	2246
272000000	2242
273000000	2249
274000000	2243
275000000	2246
276000000	2245
277000000	2238
278000000	2246
279000000	2244
280000000	2244
281000000	2243
282000000	2245
283000000	2243
284000000	2243
285000000	2241
286000000	2245
287000000	2244
288000000	2244
289000000	2243
290000000	2241
291000000	2242
292000000	2242
293000000	2243
294000000	2246
295000000	2240
296000000	2246
297000000	2246
298000000	2246
299000000	2242
300000000	2242
301000000	2241
302000000	2245
303000000	2241
304000000	2238
305000000	2248
306000000	2244
307000000	2246
308000000	2243
309000000	2240
310000000	2244
311000000	2244
312000000	2242
313000000	2240
314000000	2246
315000000	2244
316000000	2242
317000000	2244
318000000	2246
319000000	2237
320000000	2240
321000000	2241
322000000	2247
323000000	2243
324000000	2247
325000000	2244
326000000	2239
327000000	2244
328000000	2245
329000000	2243
330000000	2244
331000000	2248
332000000	2241
333000000	2245
334000000	2244
335000000	2239
336000000	2246
337000000	2245
338000000	2248
339000000	2246
340000000	2243
341000000	2244
342000000	2243
343000000	2241
344000000	2247
345000000	2240
346000000	2241
347000000	2248
348000000	2246
349000000	2242
350000000	2245
351000000	2246
352000000	2243
353000000	2242
354000000	2246
355000000	2244
356000000	2244
357000000	2243
358000000	2248
359000000	2246
360000000	2244
361000000	2241
362000000	2241
363000000	2243
364000000	2240
365000000	2243
366000000	2248
367000000	2247
368000000	2243
369000000	2249
370000000	2249
371000000	2245
372000000	2244
373000000	2242
374000000	2242
375000000	2240
376000000	2242
377000000	2244
378000000	2243
379000000	2242
380000000	2239
381000000	2242
382000000	2239
383000000	2243
384000000	2244
385000000	2244
386000000	2241
387000000	2241
388000000	2243
389000000	2242
390000000	2245
391000000	2238
392000000	2242
393000000	2242
394000000	2248
395000000	2243
396000000	2243
397000000	2241
398000000	2244
399000000	2245
400000000	2243
401000000	2246
402000000	2241
403000000	2240
404000000	2246
405000000	2245
406000000	2243
407000000	2244
408000000	2244
409000000	2242
410000000	2245
411000000	2239
412000000	2246
413000000	2244
414000000	2247
415000000	2249
416000000	2243
417000000	2242
418000000	2241
419000000	2244
420000000	2242
421000000	2241
422000000	2241
423000000	2244
424000000	2243
425000000	2247
426000000	2243
427000000	2245
428000000	2246
429000000	2244
430000000	2240
431000000	2244
432000000	2245
433000000	2239
434000000	2240
435000000	2242
436000000	2243
437000000	2243
438000000	2246
439000000	2246
440000000	2243
441000000	2245
442000000	2243
443000000	2240
444000000	2242
445000000	2239
446000000	2239
447000000	2246
448000000	2238
449000000	2240
450000000	2237
451000000	2246
452000000	2239
453000000	2239
454000000	2241
455000000	2241
456000000	2239
457000000	2242
458000000	2242
459000000	2245
460000000	2244
461000000	2245
462000000	2240
463000000	2250
464000000	2245
465000000	2245
466000000	2244
467000000	2244
468000000	2245
469000000	2243
470000000	2242
471000000	2244
472000000	2242
473000000	2244
474000000	2244
475000000	2243
476000000	2239
477000000	2243
478000000	2242
479000000	2243
480000000	2245
481000000	2241
482000000	2240
483000000	2244
484000000	2244
485000000	2238
486000000	2242
487000000	2242
488000000	2239
489000000	2242
490000000	2243
491000000	2244
492000000	2240
493000000	2249
494000000	2247
495000000	2241
496000000	2241
497000000	2243
498000000	2243
499000000	2241
500000000	2237
501000000	2241
502000000	2244
503000000	2245
504000000	2243
505000000	2239
506000000	2240
507000000	2245
508000000	2245
509000000	2241
510000000	2237
511000000	2246
512000000	2243
513000000	2241
514000000	2249
515000000	2244
516000000	2245
517000000	2244
518000000	2239
519000000	2247
520000000	2248
521000000	2242
522000000	2242
523000000	2241
524000000	2246
525000000	2244
526000000	2242
527000000	2243
528000000	2247
529000000	2243
530000000	2246
531000000	2245
532000000	2244
533000000	2239
534000000	2244
535000000	2246
536000000	2243
537000000	2242
538000000	2249
539000000	2246
540000000	2241
541000000	2239
542000000	2247
543000000	2244
544000000	2244
545000000	2242
546000000	2245
547000000	2242
548000000	2246
549000000	2238
550000000	2243
551000000	2243
552000000	2238
553000000	2240
554000000	2244
555000000	2243
556000000	2244
557000000	2242
558000000	2245
559000000	2240
560000000	2237
561000000	2244
562000000	2245
563000000	2245
564000000	2240
565000000	2244
566000000	2247
567000000	2241
568000000	2240
569000000	2243
570000000	2240
571000000	2244
572000000	2242
573000000	2247
574000000	2245
575000000	2237
576000000	2245
577000000	2246
578000000	2244
579000000	2246
580000000	2243
581000000	2244
582000000	2248
583000000	2248
584000000	2246
585000000	2245
586000000	2242
587000000	2245
588000000	2244
589000000	2249
590000000	2242
591000000	2241
592000000	2242
593000000	2242
594000000	2243
595000000	2240
596000000	2244
597000000	2241
598000000	2247
599000000	2241
600000000	2241
601000000	2240
602000000	2243
603000000	2239
604000000	2247
605000000	2238
606000000	2246
607000000	2241
608000000	2244
609000000	2244
610000000	2244
611000000	2249
612000000	2243
613000000	2239
614000000	2244
615000000	2242
616000000	2242
617000000	2242
618000000	2244
619000000	2242
620000000	2240
621000000	2242
622000000	2241
623000000	2247
624000000	2247
625000000	2247
626000000	2244
627000000	2242
628000000	2243
629000000	2240
630000000	2247
631000000	2243
632000000	2243
633000000	2243
634000000	2241
635000000	2244
636000000	2244
637000000	2244
638000000	2240
639000000	2243
640000000	2239
641000000	2247
642000000	2243
643000000	2246
644000000	2248
645000000	2237
646000000	2243
647000000	2245
648000000	2242
649000000	2241
650000000	2244
651000000	2239
652000000	2247
653000000	2244
654000000	2240
655000000	2243
656000000	2239
657000000	2244
658000000	2243
659000000	2242
660000000	2241
661000000	2245
662000000	2247
663000000	2244
664000000	2246
665000000	2240
666000000	2240
667000000	2240
668000000	2241
669000000	2243
670000000	2241
671000000	2242
672000000	2245
673000000	2244
674000000	2239
675000000	2245
676000000	2242
677000000	2246
678000000	2243
679000000	2241
680000000	2244
681000000	2244
682000000	2240
683000000	2245
684000000	2240
685000000	2244
686000000	2242
687000000	2242
688000000	2244
689000000	2244
690000000	2245
691000000	2242
692000000	2242
693000000	2248
694000000	2243
695000000	2240
696000000	2242
697000000	2248
698000000	2239
699000000	2240
700000000	2241
701000000	2242
702000000	2238
703000000	2243
704000000	2241
705000000	2240
706000000	2247
707000000	2240
708000000	2244
709000000	2242
710000000	2242
711000000	2248
712000000	2244
713000000	2247
714000000	2244
715000000	2244
716000000	2242
717000000	2244
718000000	2243
719000000	2243
720000000	2242
721000000	2241
722000000	2242
723000000	2239
724000000	2247
725000000	2240
726000000	2241
727000000	2240
728000000	2240
729000000	2245
730000000	2246
731000000	2241
732000000	2244
733000000	2239
734000000	2240
735000000	2244
736000000	2247
737000000	2245
738000000	2243
739000000	2246
740000000	2244
741000000	2239
742000000	2240
743000000	2243
744000000	2245
745000000	2240
746000000	2243
747000000	2245
748000000	2246
749000000	2243
750000000	2242
751000000	2241
752000000	2239
753000000	2244
754000000	2246
755000000	2242
756000000	2242
757000000	2243
758000000	2244
759000000	2240
760000000	2240
761000000	2245
762000000	2242
763000000	2243
764000000	2242
765000000	2246
766000000	2243
767000000	2245
768000000	2244
769000000	2245
770000000	2242
771000000	2245
772000000	2243
773000000	2242
774000000	2241
775000000	2244
776000000	2242
777000000	2240
778000000	2245
779000000	2248
780000000	2239
781000000	2241
782000000	2246
783000000	2240
784000000	2241
785000000	2248
786000000	2246
787000000	2247
788000000	2242
789000000	2244
790000000	2242
791000000	2239
792000000	2242
793000000	2248
794000000	2248
795000000	2242
796000000	2243
797000000	2244
798000000	2242
799000000	2248
800000000	2244
