state	cp1.kappa	cp2.kappa	cp3.kappa	cp1.alpha	cp2.alpha	cp3.alpha	cp1.mu	cp2.mu	cp3.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	13.068	16.378	18.259	2.6012E-2	0.1362	1.2161	0.4413	0.2513	2.3074	0.2936	0.1915	0.3443	0.1706	0.2544	0.2354	0.2252	0.2850	0.2154	0.2864	0.2609	0.2374	1.1864E-3	4.7797E-4	1.0955E-3	0.3913	3.8523E-2	0.358	4.649	203.331
2000000	12.765	14.533	18.803	5.062E-2	3.1314E-2	0.8788	0.4198	0.2808	2.2994	0.2900	0.1886	0.3468	0.1746	0.2647	0.2313	0.2200	0.2840	0.2206	0.2815	0.2627	0.2352	1.0863E-3	5.0835E-4	1.0528E-3	0.4465	6.6769E-2	0.216	4.608	210.453
3000000	13.145	20.852	17.646	1.9218E-2	6.1077E-2	1.2767	0.4665	0.2523	2.2812	0.2805	0.1953	0.3412	0.1831	0.2517	0.2385	0.2216	0.2883	0.2225	0.2842	0.2660	0.2273	1.0405E-3	4.6213E-4	1.0069E-3	0.4397	1.9319E-2	0.653	4.730	226.513
4000000	11.292	25.228	19.313	0.1114	0.1176	0.9588	0.4627	0.2813	2.2560	0.2892	0.1835	0.3534	0.1739	0.2618	0.2256	0.2158	0.2968	0.2115	0.2747	0.2819	0.2320	1.0374E-3	3.9804E-4	9.9782E-4	0.3814	-5.9893E-2	0.241	4.703	227.485
5000000	10.882	13.695	20.485	5.2752E-2	3.1875E-2	1.3192	0.4469	0.2612	2.2919	0.2985	0.1849	0.3368	0.1798	0.2529	0.2382	0.2204	0.2885	0.2116	0.2924	0.2491	0.2468	1.0001E-3	4.9275E-4	9.5768E-4	0.4747	-4.6531E-3	0.368	4.592	230.395
6000000	11.027	13.712	17.790	6.8595E-2	7.1353E-2	0.9026	0.4507	0.2649	2.2844	0.2872	0.1858	0.3482	0.1788	0.2517	0.2459	0.2121	0.2902	0.2222	0.2934	0.2555	0.2289	9.5294E-4	4.2537E-4	9.5742E-4	0.4101	2.0698E-2	0.302	4.540	229.399
7000000	11.963	23.754	19.634	4.4137E-2	0.2050	1.0445	0.4481	0.2574	2.2945	0.2769	0.1973	0.3477	0.1780	0.2547	0.2381	0.2103	0.2969	0.2183	0.2795	0.2589	0.2432	9.6013E-4	3.9267E-4	9.4816E-4	0.3811	1.8849E-2	0.214	4.615	229.445
8000000	15.913	18.217	18.838	2.8813E-2	0.2396	1.1790	0.4365	0.2378	2.3256	0.2983	0.1991	0.3241	0.1785	0.2519	0.2251	0.2306	0.2924	0.2370	0.2792	0.2451	0.2388	9.6429E-4	4.1587E-4	9.348E-4	0.4280	-3.5955E-2	0.176	4.801	242.305
9000000	13.721	16.377	20.887	3.3395E-2	3.6721E-2	1.0798	0.4303	0.2553	2.3143	0.2813	0.2007	0.3531	0.1649	0.2764	0.2337	0.2138	0.2761	0.2272	0.2768	0.2548	0.2412	9.7628E-4	4.2856E-4	9.5783E-4	0.4230	1.824E-2	0.262	4.671	240.173
10000000	9.569	21.264	20.448	5.1644E-3	0.1146	1.2175	0.4164	0.2737	2.3098	0.2896	0.1858	0.3400	0.1847	0.2664	0.2394	0.2265	0.2677	0.2231	0.2911	0.2492	0.2365	9.6219E-4	4.6159E-4	9.5016E-4	0.4702	3.8323E-2	0.281	4.529	229.532
