state	posterior	prior	likelihood	skygrid
1000000	-37067.775	-4600.975	-32466.799	-1019.991
2000000	-37072.818	-4592.128	-32480.690	-1009.786
3000000	-37112.879	-4659.115	-32453.764	-1076.954
4000000	-37096.766	-4626.299	-32470.467	-1044.489
5000000	-36955.103	-4518.602	-32436.501	-937.839
6000000	-37061.049	-4621.922	-32439.127	-1040.462
7000000	-37098.966	-4657.074	-32441.892	-1074.961
8000000	-37056.847	-4563.420	-32493.427	-982.259
9000000	-37101.208	-4632.119	-32469.089	-1050.656
10000000	-37098.450	-4632.939	-32465.511	-1052.759
11000000	-37109.573	-4653.959	-32455.614	-1073.662
12000000	-37141.913	-4666.488	-32475.424	-1083.966
13000000	-37134.408	-4675.165	-32459.243	-1093.584
14000000	-36995.305	-4545.216	-32450.089	-963.790
15000000	-37011.735	-4556.654	-32455.080	-974.774
16000000	-37053.649	-4625.751	-32427.898	-1042.770
17000000	-37145.974	-4656.909	-32489.065	-1074.925
18000000	-37087.965	-4651.439	-32436.526	-1070.369
19000000	-37083.841	-4624.186	-32459.655	-1043.471
20000000	-37121.689	-4661.742	-32459.948	-1080.503
21000000	-37113.394	-4654.515	-32458.879	-1073.692
22000000	-37046.215	-4601.808	-32444.407	-1018.874
23000000	-37019.288	-4539.461	-32479.828	-958.290
24000000	-37075.458	-4633.656	-32441.803	-1052.753
25000000	-37089.753	-4608.488	-32481.265	-1027.807
26000000	-37115.028	-4682.654	-32432.375	-1101.418
27000000	-37053.436	-4617.773	-32435.663	-1036.548
28000000	-37003.958	-4581.605	-32422.352	-999.549
29000000	-37059.133	-4610.365	-32448.768	-1028.553
30000000	-37012.940	-4582.532	-32430.408	-1000.596
31000000	-36989.207	-4561.294	-32427.912	-980.004
32000000	-37066.564	-4604.361	-32462.203	-1023.580
33000000	-36988.772	-4547.529	-32441.243	-965.436
34000000	-37033.587	-4591.362	-32442.225	-1009.174
35000000	-37055.926	-4579.441	-32476.485	-997.089
36000000	-37084.529	-4648.032	-32436.497	-1066.515
37000000	-37110.353	-4624.246	-32486.107	-1042.573
