state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
1000000	4.015	4.149	1.881	2.313	4.183	4.155	3.780	4.970	4.046	3.235	1.598	3.602	1.533	2.147	2.084	4.082	4.277	4.552	7.148	5.932	4.860	4.162	5.017	4.061	4.851	2.022	2.612	6.155	5.560	4.751	4.124	2.345	3.506	3.104	2.667	1.413	0.900	-0.712	-0.925	0.005	2.441	3.393	2.735	1.032	-0.373	-0.688	-2.744	-3.755	-5.350	-5.721
2000000	3.009	4.065	3.416	6.583	6.625	4.995	4.915	2.576	1.880	1.512	1.754	2.348	2.245	1.575	2.044	2.873	4.874	5.581	6.882	6.945	5.508	4.237	4.134	5.152	4.555	1.593	3.086	3.862	4.341	4.965	2.501	2.421	4.004	3.847	3.118	2.229	-0.026	-0.416	-1.823	-0.596	1.998	1.161	0.811	1.317	-2.177	-2.002	-3.258	-2.463	-2.530	-2.333
3000000	15.463	16.081	14.756	16.432	14.719	13.538	8.742	6.232	8.192	4.610	1.865	2.947	1.951	2.453	2.362	2.444	5.187	4.052	7.113	5.970	4.708	4.553	3.687	5.468	4.024	1.548	6.901	7.778	5.142	6.153	4.025	4.958	3.146	2.491	3.061	4.472	0.732	-2.508	-3.798	0.472	1.539	3.792	0.238	2.572	-0.029	0.954	-2.529	-0.258	3.313	5.387
4000000	15.522	14.785	14.624	15.753	14.744	15.541	13.338	10.333	6.717	6.372	6.743	6.540	5.845	2.862	2.555	2.947	4.428	4.658	6.291	6.435	8.017	4.381	5.568	4.837	1.892	2.103	4.228	4.628	5.404	3.619	3.242	2.759	4.560	2.804	1.612	1.898	1.353	0.065	-2.347	1.449	3.590	2.907	1.583	3.273	0.451	-3.018	-2.031	-2.964	-3.525	-5.753
5000000	14.600	13.075	8.142	5.221	4.257	4.023	5.311	4.383	3.708	2.988	1.768	-0.484	1.473	3.095	2.101	3.074	5.588	5.943	6.778	5.296	5.955	4.002	4.924	6.183	1.122	3.799	5.213	7.752	4.419	4.624	2.281	4.205	2.925	3.427	1.885	-0.123	-0.326	-0.730	-2.015	-0.270	1.484	4.222	2.293	-0.027	-0.934	-4.744	-9.220	-12.251	-12.039	-11.952
6000000	15.122	10.464	9.544	8.504	7.981	9.159	7.997	6.837	1.983	3.696	1.682	0.971	1.407	2.751	3.074	3.102	5.279	4.469	5.754	5.830	6.069	3.452	7.196	6.399	1.730	2.576	6.650	7.257	4.823	4.520	2.948	2.687	2.121	1.383	1.147	1.402	0.177	-1.750	-1.580	-0.473	0.614	3.991	0.160	-0.725	-7.337	-4.508	-6.619	-5.552	-6.001	-8.979
7000000	1.012	1.624	1.322	1.892	4.254	6.415	6.574	5.724	3.961	2.620	2.429	1.436	3.429	2.235	2.665	3.851	3.866	5.313	6.135	6.697	4.881	4.527	4.920	6.220	4.918	1.208	4.613	7.709	6.849	4.972	3.646	2.671	3.348	3.462	3.465	1.523	0.632	0.318	-1.026	-0.957	1.471	4.255	3.637	3.072	0.475	-0.989	-2.345	-4.179	-4.883	-4.770
8000000	12.517	14.313	11.814	9.115	9.945	8.626	5.483	5.600	6.739	2.280	3.662	3.272	2.705	1.649	1.811	3.823	4.017	6.277	6.883	6.422	5.700	4.411	4.287	6.392	7.314	1.448	4.522	4.528	6.766	4.305	3.746	1.994	4.309	3.507	1.351	1.460	-0.803	-1.162	0.073	2.752	2.257	1.644	3.524	-0.240	-1.811	0.017	-4.712	-6.269	-6.130	-5.055
9000000	9.618	10.610	11.515	14.262	12.439	12.221	12.937	10.305	6.920	5.207	5.221	3.915	1.095	2.350	2.289	3.972	5.862	4.193	6.774	7.846	9.006	5.388	3.679	5.436	3.710	1.089	6.493	6.811	6.823	6.085	2.795	3.145	7.078	3.552	1.078	1.555	3.410	-0.115	-0.398	-1.139	1.614	3.170	2.438	-1.284	-0.439	0.150	-0.378	-3.963	-6.975	-3.726
10000000	9.048	11.032	11.933	10.322	11.738	13.300	13.352	9.476	11.187	9.117	7.741	5.967	2.214	1.992	2.410	3.096	6.182	4.594	6.120	6.116	5.541	4.776	5.603	3.755	3.832	1.455	5.017	4.508	4.943	5.668	2.973	4.511	2.907	2.944	2.740	-0.062	0.001	-2.998	0.230	-0.364	1.399	1.803	3.482	2.956	-0.830	-3.387	-3.435	-3.137	-2.136	-2.037
