taxon_id,geography
EBOV|MK2008|KU296526|SLE|WesternUrban|2015-02-12,WesternUrban
EBOV|MK2826|KU296405|SLE|Bombali|2015-03-08,Bombali
EBOV|KT5022|KU296519|SLE|WesternRural|2015-02-13,WesternRural
EBOV|20524_EMLK|KU296424|SLE|Kambia|2015-09-06,Kambia
EBOV|J0135|KP759602|SLE|WesternRural|2014-11-03,WesternRural
EBOV|77524_EMLK|KU296368|SLE||2014-12-30,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|490_EMLH|KU296746|SLE|?|2015-01-30,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|491_EMLH|KU296588|SLE|?|2015-01-30,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|567_EMLH|KU296427|SLE|?|2015-02-03,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|592_EMLH|KU296447|SLE|?|2015-02-05,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|75674_EMLH|KU296350|SLE|WesternUrban|2015-01-13,WesternUrban
EBOV|DML13828||SLE|WesternUrban|2015-06-22,WesternUrban
EBOV|KT7106||SLE|?|2015-07-19,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|KG35||GIN|Boke|2015-06-08,Boke
EBOV|EM_FORE_2015-2547||GIN|Forecariah|2015-09-26,Forecariah
EBOV|KG45||GIN|Boke|2015-06-09,Boke
EBOV|LIBR0114|KT725273|LBR|GrandBassa|2014-11-10,GrandBassa
EBOV|LIBR10081|KT725339|LBR|Margibi|2014-08-26,Margibi
EBOV|LIBR10245|KT725332|LBR|?|2014-07-01,Nimba|RiverCess|RiverGee|Sinoe|Bomi|Bong|Gbarpolu|GrandCapeMount|GrandBassa|GrandGedeh|GrandKru|Lofa|Margibi|Maryland|Montserrado
EBOV|LIBR10253|KT725282|LBR|Margibi|2014-09-16,Margibi
EBOV|EM_074684|KR817124|GIN|Macenta|2014-08-14,Macenta
EBOV|EM_076769|KR817155|GIN|Kerouane|2014-11-08,Kerouane
EBOV|EM_076770|KR817156|GIN|Kerouane|2014-11-08,Kerouane
EBOV|EM_076948|KR817157|GIN|Gueckedou|2014-11-13,Gueckedou
EBOV|EM_076949|KR817158|GIN|Gueckedou|2014-11-13,Gueckedou
EBOV|EM_078697|KR817172|GIN|Kerouane|2014-12-14,Kerouane
EBOV|EM_078709|KR817174|GIN|Kerouane|2014-12-14,Kerouane
EBOV|KT5243|KU296736|SLE|?|2015-02-22,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|EM_COY_2015_017174||GIN|Forecariah|2015-05-30,Forecariah
EBOV|EM_FORE_2015_1140||GIN|Forecariah|2015-07-03,Forecariah
EBOV|DML24620|KT357840|SLE|Kono|2015-01-21,Kono
EBOV|DML24706|KT357844|SLE|Kono|2015-01-28,Kono
EBOV|DML24720|KT357846|SLE|Kono|2015-01-29,Kono
EBOV|DML24758|KT357847|SLE|Kono|2015-01-30,Kono
EBOV|DML24853|KT357850|SLE|Kono|2015-02-06,Kono
EBOV|LIBR0063|KR006942|LBR|Montserrado|2014-11-06,Montserrado
EBOV|LIBR0279|KT725280|LBR|?|2014-11-22,Nimba|RiverCess|RiverGee|Sinoe|Bomi|Bong|Gbarpolu|GrandCapeMount|GrandBassa|GrandGedeh|GrandKru|Lofa|Margibi|Maryland|Montserrado
EBOV|DML14077|KT357860|SLE|WesternUrban|2015-06-30,WesternUrban
EBOV|DML14163|KT357858|SLE|WesternUrban|2015-07-03,WesternUrban
EBOV|DML14366|KT357859|SLE|WesternUrban|2015-07-11,WesternUrban
EBOV|J0169|KP759706|SLE|WesternUrban|2014-11-09,WesternUrban
EBOV|77613_EMLK|KU296579|SLE|WesternUrban|2015-01-05,WesternUrban
EBOV|77615_EMLK|KU296706|SLE|WesternUrban|2015-01-05,WesternUrban
EBOV|18642R_EMLH|KU296357|SLE|WesternUrban|2015-07-08,WesternUrban
EBOV|18659R_EMLH|KU296585|SLE|WesternUrban|2015-07-10,WesternUrban
EBOV|18687R_EMLH|KU296650|SLE|WesternUrban|2015-07-12,WesternUrban
EBOV|13031_EMLH|KU296665|SLE|WesternUrban|2015-05-18,WesternUrban
EBOV|77526_EMLK|KU296824|SLE||2014-12-30,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|14687_EMLK|KU296443|SLE|WesternUrban|2015-02-21,WesternUrban
EBOV|12851_EMLH|KU296671|SLE|WesternUrban|2015-04-15,WesternUrban
EBOV|12854_EMLH|KU296729|SLE|WesternUrban|2015-04-15,WesternUrban
EBOV|12855_EMLH|KU296723|SLE|WesternUrban|2015-04-15,WesternUrban
EBOV|12872_EMLH|KU296560|SLE|WesternUrban|2015-04-18,WesternUrban
EBOV|12916_EMLH|KU296318|SLE|WesternUrban|2015-04-29,WesternUrban
EBOV|12934_EMLH|KU296790|SLE|WesternUrban|2015-05-04,WesternUrban
EBOV|12936_EMLH|KU296561|SLE|WesternUrban|2015-05-04,WesternUrban
EBOV|13204_EMLH|KU296544|SLE|WesternUrban|2015-06-16,WesternUrban
EBOV|13247_EMLH|KU296830|SLE|?|2015-06-19,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|13268_EMLH|KU296603|SLE||2015-06-23,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|13275_EMLH|KU296430|SLE|WesternUrban|2015-06-24,WesternUrban
EBOV|15070R_DML||SLE|WesternUrban|2015-08-06,WesternUrban
EBOV|18538_EMLH|KU296727|SLE||2015-07-04,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|18596_EMLH|KU296715|SLE|WesternUrban|2015-07-05,WesternUrban
EBOV|18636_EMLH|KU296460|SLE|?|2015-07-08,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|18647_EMLH|KU296566|SLE|WesternUrban|2015-07-09,WesternUrban
EBOV|18648_EMLH|KU296701|SLE|WesternUrban|2015-07-09,WesternUrban
EBOV|18649_EMLH|KU296456|SLE|WesternUrban|2015-07-10,WesternUrban
EBOV|18650_EMLH|KU296370|SLE|WesternUrban|2015-07-10,WesternUrban
EBOV|18660_EMLH|KU296838|SLE|WesternUrban|2015-07-10,WesternUrban
EBOV|18706_EMLH|KU296599|SLE|?|2015-07-14,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|MK10128|KU296502|SLE|Tonkolili|2015-07-31,Tonkolili
EBOV|MK10173|KU296313|SLE|Tonkolili|2015-08-01,Tonkolili
EBOV|MK8878|KU296684|SLE|Tonkolili|2015-07-23,Tonkolili
EBOV|MK9396|KU296321|SLE|WesternUrban|2015-07-18,WesternUrban
EBOV|PL8486|KU296446|SLE||2015-06-25,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|PL4346|KU296641|SLE|Kambia|2015-03-04,Kambia
EBOV|CDC-NIH-272||LBR|Montserrado|2014-08-27,Montserrado
EBOV|77572_EMLK|KU296508|SLE||2015-01-03,Kailahun|Kenema|Kono|Bombali|Kambia|Koinadugu|PortLoko|Tonkolili|Bo|Bonthe|Moyamba|Pujehun|WesternRural|WesternUrban
EBOV|EM_COY_2015_023888||GIN|Dubreka|2015-09-15,Dubreka
EBOV|CON-10193||GIN|Conakry|2015-08-03,Conakry
EBOV|CON-10512||GIN|Conakry|2015-08-11,Conakry
EBOV|CON-10590||GIN|Conakry|2015-08-13,Conakry
EBOV|CON-10786||GIN|Conakry|2015-08-17,Conakry
EBOV|CON-11010||GIN|Conakry|2015-08-23,Conakry
EBOV|CON-8559||GIN|Conakry|2015-06-21,Conakry
EBOV|CON-8811||GIN|Dubreka|2015-06-27,Dubreka
EBOV|CON12930||GIN|Conakry|2015-10-13,Conakry
EBOV|EM-FORE-2015-1414||GIN|Forecariah|2015-07-13,Forecariah
EBOV|EM-FORE-2015-548||GIN|Forecariah|2015-05-27,Forecariah
EBOV|EM-FORE-2015-631||GIN|Forecariah|2015-06-02,Forecariah
EBOV|EM-FORE-2015-664||GIN|Forecariah|2015-06-04,Forecariah
EBOV|EM-FORE-2015-669||GIN|Forecariah|2015-06-05,Forecariah
EBOV|EM-FORE-2015-838||GIN|Forecariah|2015-06-16,Forecariah
EBOV|EM-FORE_2015_1160||GIN|Forecariah|2015-07-13,Forecariah
EBOV|EM_COY_2015_013576||GIN|Coyah|2015-03-09,Coyah
EBOV|EM_COY_2015_013671||GIN|Coyah|2015-03-12,Coyah
EBOV|EM_COY_2015_013731||GIN|Coyah|2015-03-14,Coyah
EBOV|EM_COY_2015_013795||GIN|Forecariah|2015-03-16,Forecariah
EBOV|EM_COY_2015_013857||GIN|Forecariah|2015-03-18,Forecariah
EBOV|EM_COY_2015_013962||GIN|Forecariah|2015-03-22,Forecariah
EBOV|EM_COY_2015_014060||GIN|Dubreka|2015-03-25,Dubreka
EBOV|EM_COY_2015_014098||GIN|Conakry|2015-03-26,Conakry
EBOV|EM_COY_2015_014100||GIN|Conakry|2015-03-26,Conakry
EBOV|EM_COY_2015_014102||GIN|Conakry|2015-03-26,Conakry
EBOV|EM_COY_2015_014261||GIN|Forecariah|2015-04-02,Forecariah
EBOV|EM_COY_2015_014370||GIN|Forecariah|2015-04-07,Forecariah
EBOV|EM_COY_2015_015802||GIN|Coyah|2015-04-14,Coyah
EBOV|EM_COY_2015_015815||GIN|Fria|2015-04-14,Fria
EBOV|EM_COY_2015_015972||GIN|Forecariah|2015-04-20,Forecariah
EBOV|EM_COY_2015_015980||GIN|Forecariah|2015-04-20,Forecariah
EBOV|EM_COY_2015_015982||GIN|Forecariah|2015-04-20,Forecariah
EBOV|EM_COY_2015_015986||GIN|Fria|2015-04-20,Fria
EBOV|EM_COY_2015_016236||GIN|Forecariah|2015-05-03,Forecariah
EBOV|EM_COY_2015_016238||GIN|Forecariah|2015-05-03,Forecariah
EBOV|EM_COY_2015_016263||GIN|Forecariah|2015-05-04,Forecariah
EBOV|EM_COY_2015_016267||GIN|Dubreka|2015-05-04,Dubreka
EBOV|EM_COY_2015_016278||GIN|Forecariah|2015-05-05,Forecariah
EBOV|EM_COY_2015_016293||GIN|Forecariah|2015-05-06,Forecariah
EBOV|EM_COY_2015_016414||GIN|Dubreka|2015-05-11,Dubreka
EBOV|EM_COY_2015_016449||GIN|Forecariah|2015-05-11,Forecariah
EBOV|EM_COY_2015_016456||GIN|Dubreka|2015-05-12,Dubreka
EBOV|EM_COY_2015_016483||GIN|Boke|2015-05-13,Boke
EBOV|EM_COY_2015_016515||GIN|Dubreka|2015-05-14,Dubreka
EBOV|EM_COY_2015_016531||GIN|Dubreka|2015-05-14,Dubreka
EBOV|EM_COY_2015_016617||GIN|Dubreka|2015-05-16,Dubreka
EBOV|EM_COY_2015_016642||GIN|Forecariah|2015-05-17,Forecariah
EBOV|EM_COY_2015_016743||GIN|Boke|2015-05-19,Boke
EBOV|EM_COY_2015_016800||GIN|Dubreka|2015-05-20,Dubreka
EBOV|EM_COY_2015_017018||GIN|Forecariah|2015-05-26,Forecariah
EBOV|EM_COY_2015_017021||GIN|Fria|2015-05-25,Fria
EBOV|EM_COY_2015_017057||GIN|Dubreka|2015-05-27,Dubreka
EBOV|EM_COY_2015_017091||GIN|Boke|2015-05-28,Boke
EBOV|EM_COY_2015_017135||GIN|Dubreka|2015-05-29,Dubreka
EBOV|EM_COY_2015_017238||GIN|Dubreka|2015-05-31,Dubreka
EBOV|EM_COY_2015_017240||GIN|Dubreka|2015-05-31,Dubreka
EBOV|EM_COY_2015_017574||GIN|Boke|2015-06-10,Boke
EBOV|EM_COY_2015_017664||GIN|Dubreka|2015-06-12,Dubreka
EBOV|EM_COY_2015_017666||GIN|Dubreka|2015-06-12,Dubreka
EBOV|EM_COY_2015_017787||GIN|Dubreka|2015-06-16,Dubreka
EBOV|EM_COY_2015_017788||GIN|Dubreka|2015-06-16,Dubreka
EBOV|EM_COY_2015_017865||GIN|Dubreka|2015-06-18,Dubreka
EBOV|EM_COY_2015_022059||GIN|Forecariah|2015-07-02,Forecariah
EBOV|EM_COY_2015_023747||GIN|Dubreka|2015-09-09,Dubreka
EBOV|EM_FORE_2015-1971||GIN|Forecariah|2015-08-14,Forecariah
EBOV|EM_FORE_2015_1023||GIN|Forecariah|2015-06-29,Forecariah
EBOV|EM_FORE_2015_1024||GIN|Forecariah|2015-06-29,Forecariah
EBOV|EM_FORE_2015_1047||GIN|Forecariah|2015-06-30,Forecariah
EBOV|EM_FORE_2015_1076||GIN|Forecariah|2015-07-01,Forecariah
EBOV|EM_FORE_2015_1079||GIN|Forecariah|2015-07-01,Forecariah
EBOV|EM_FORE_2015_1118||GIN|Forecariah|2015-07-02,Forecariah
EBOV|EM_FORE_2015_1313||GIN|Forecariah|2015-07-10,Forecariah
EBOV|EM_FORE_2015_1415||GIN|Forecariah|2015-07-20,Forecariah
EBOV|EM_FORE_2015_1437||GIN|Forecariah|2015-07-15,Forecariah
EBOV|EM_FORE_2015_2781||GIN|Forecariah|2015-10-13,Forecariah
EBOV|EM_FORE_2015_2878||GIN|Forecariah|2015-10-24,Forecariah
EBOV|EM_FORE_2015_695||GIN|Forecariah|2015-06-07,Forecariah
EBOV|EM_FORE_2015_696||GIN|Forecariah|2015-06-07,Forecariah
EBOV|EM_FORE_2015_697||GIN|Forecariah|2015-06-07,Forecariah
EBOV|EM_FORE_2015_781||GIN|Forecariah|2015-06-13,Forecariah
EBOV|EM_FORE_2015_816||GIN|Forecariah|2015-06-15,Forecariah
EBOV|EM_FORE_2015_875||GIN|Forecariah|2015-06-17,Forecariah
EBOV|EM_FORE_2015_896||GIN|Forecariah|2015-06-20,Forecariah
EBOV|EM_FORE_2015_934||GIN|Forecariah|2015-06-23,Forecariah
EBOV|EM_GUI_2015_004674||GIN|Siguiri|2015-03-26,Siguiri
EBOV|EM_FORE_2015-2417||GIN|Forecariah|2015-09-15,Forecariah
EBOV|EM_FORE_2015-2531||GIN|Forecariah|2015-09-26,Forecariah
EBOV|EM_FORE_2015-2533||GIN|Forecariah|2015-09-26,Forecariah
EBOV|GUI_CTS_2015_0050||GIN|Boke|2015-06-20,Boke
EBOV|GUI_CTS_2015_0051||GIN|Boke|2015-06-21,Boke
EBOV|GUI_CTS_2015_0052||GIN|Boke|2015-06-25,Boke
