taxon	date
BEN10569	2019-03-13
BEN1146	2018-10-28
BEN214	2018-08-20
BEN21987	2019-07-01
BEN22409	2019-07-07
BEN22431	2019-07-07
BEN22591	2019-08-07
BEN22635	2019-08-07
BEN22932	2019-07-10
BEN28240	2019-08-11
BEN28293	2019-08-11
BEN28321	2019-08-11
BEN28642	2019-08-15
BEN28940	2019-08-16
BEN29679	2019-08-22
BEN29683	2019-08-22
BEN30125	2019-08-25
BEN30424	2019-08-28
BEN30473	2019-08-28
BEN30481	2019-08-28
BEN30680	2019-08-29
BEN30895	2019-09-01
BEN30947	2019-08-31
BEN31553	2019-09-06
BEN31595	2019-09-06
BEN31602	2019-09-06
BEN31926	2019-09-08
BEN32312	2019-09-11
BEN3232	2018-12
BEN36637	2019-10-13
BEN36678	2019-10-13
BEN36706	2019-10-13
BEN36708	2019-10-13
BEN36864	2019-10-14
BEN37396	2019-10-17
BEN39066	2019
BEN4020	2018-12-15
BEN41281	2019-11-17
BEN42399	2019-12-04
BEN42626	2019-12-08
BEN42629	2019-12-08
BEN46116	2020-01-09
BEN46488	2020-01-13
BEN46697	2020-01-15
BEN46737	2020-01-15
BEN46754	2020-01-15
BEN47206	2020-01-19
BEN47225	2020-01-19
BEN47296	2020-01-20
BEN47371	2020-01-20
BEN48039	2020-01-25
BEN48100	2020-01-26
BEN48231	2020-01-27
BEN4834	2018-12-29
BEN48404	2020-01-28
BEN48608	2020-01-29
BEN49243	2020-02-04
BEN49411	2020-02-05
BEN50212	2020-02-11
BEN50970	2020-02-17
BEN5597	2019-01-10
BEN5944	2019-01-15
BEN6144	2019-01-16
BEN6244	2019-01-18
BEN7120	2019-01-28
BEN7129	2019-01-28
BEN9397	2019-02-25
BIA066	2019-10
BIA115	2019-10
BTB1121	2018-11-25
BTB1138	2018-11-28
BTB1284	2018-12-02
BTB1502	2018-12-06
BTB18181	2019-07-03
BTB20024	2019-07-19
BTB20065	2019-07-18
BTB20304	2019-07-21
BTB21005	2019-07-28
BTB21235	2019-07-29
BTB21678	2019-08-03
BTB21835	2019-08-04
