taxon	date
A/Aichi/100/2007	2007-12-14
A/Aichi/103/2006	2006-01-24
A/Aichi/11/2006	2006-01-16
A/Aichi/11/2008	2008-01-09
A/Aichi/111/2006	2006-02-04
A/Aichi/125/2008	2008-12-05
A/Aichi/132/2006	2006-02-07
A/Aichi/150/2006	2006-01-17
A/Aichi/16/2008	2008-01-09
A/Aichi/17/2006	2006-01-17
A/Aichi/2/2006	2006-01-04
A/Aichi/27/2007	2007-02-13
A/Aichi/28/2008	2008-01-17
A/Aichi/29/2009	2009-01-19
A/Aichi/37/2009	2009-01-22
A/Aichi/44/2008	2008-02-02
A/Aichi/46/2006	2006-01-13
A/Aichi/60/2007	2007-04-16
A/Aichi/70/2008	2008-01-12
A/Aichi/71/2008	2008-01-22
A/Aichi/74/2008	2008-02-27
A/Aichi/76/2008	2008-02-19
A/Aichi/8/2009	2009-01-08
A/Aichi/83/2007	2007-10-10
A/Aichi/84/2009	2009-01-29
A/Aichi/86/2007	2007-10-26
A/Aichi/9/2009	2009-01-13
A/Aichi/92/2007	2007-11-15
A/Aichi/96/2007	2007-12-05
A/Akita/86/2002	2002
A/Alabama/21/2006	2006-12-12
A/Alabama/22/2006	2006-12-21
A/Alabama/23/2006	2006-12-12
A/Alabama/WRAIR1235P/2009	2009-04-01
A/Alaska/01/2009	2009-01-29
A/Alaska/02/2008	2008-01-16
A/Alaska/03/2008	2008-01-18
A/Alaska/03/2009	2009-03-20
A/Alaska/11/2003	2003-02-05
A/Alaska/1173/00	2000
A/Andalucia/RR3681/2009	2009-03-31
A/Anhui/Baohe1514/2008	2008-10-24
A/Anhui/Baohe186/2007	2007-01-27
A/Anhui/Luyang171/2008	2008-10-28
A/Aragon/RR-3207/2008	2008-11-08
A/Aragon/RR3217/2008	2008-11-25
A/Aragon/RR3309/2009	2009-01-14
A/Argentina/110/2008	2008-06-25
A/Argentina/18/2008	2008-06-05
A/Argentina/204/2008	2008-07-01
A/Argentina/284/2008	2008-07-14
A/Argentina/295/2008	2008-07-12
A/Argentina/303/2008	2008-07-16
A/Argentina/307/2008	2008-07-14
A/Argentina/4152/2008	2008-07-24
A/Argentina/81/2008	2008-06-05
A/Argentina/R678/2003	2003-06-26
A/Arizona/2/2003	2003-01-08
A/Arizona/6/2003	2003-01-02
A/Athens/41/2008	2008-01-08
A/Auckland/16/2007	2007-06-27
A/Auckland/30/2006	2006-06-29
A/Auckland/579/2000	2000-08-31
A/Auckland/580/2000	2000-09-07
