taxon_id,geography
A/AKITA/69/2002,JapanKorea
A/ALASKA/14/2001,USACanada
A/ALASKA/21/2001,USACanada
A/ALASKA/7/2001,USACanada
A/ALASKA/8/2001,USACanada
A/ARGENTINA/10/2001,SouthAmerica
A/ARGENTINA/13/2001,SouthAmerica
A/ARGENTINA/25/2001,SouthAmerica
A/ARGENTINA/302/2001,SouthAmerica
A/ARGENTINA/311/2001,SouthAmerica
A/ARGENTINA/3758/2001,SouthAmerica
A/ARGENTINA/3759/2001,SouthAmerica
A/ARGENTINA/44/2001,SouthAmerica
A/ARGENTINA/5/2001,SouthAmerica
A/ARGENTINA/5995/2000,SouthAmerica
A/ARGENTINA/mc5/2001,SouthAmerica
A/ARIZONA/9/2001,USACanada
A/ARKANSAS/2/2000,USACanada
A/Acre/15093/2010,SouthAmerica
A/Acre/26954/2010,SouthAmerica
A/Aichi/101/2008,JapanKorea
A/Aichi/103/2008,JapanKorea
A/Aichi/106/2008,JapanKorea
A/Aichi/107/2008,JapanKorea
A/Aichi/114/2008,JapanKorea
A/Aichi/145/2005,JapanKorea
A/Aichi/164/2005,JapanKorea
A/Aichi/26/2007,JapanKorea
A/Aichi/3/2007,JapanKorea
A/Aichi/32/2008,JapanKorea
A/Aichi/49/2007,JapanKorea
A/Aichi/64/2007,JapanKorea
A/Aichi/66/2007,JapanKorea
A/Aichi/67/2007,JapanKorea
A/Aichi/68/2007,JapanKorea
A/Aichi/69/2007,JapanKorea
A/Aichi/70/2007,JapanKorea
A/Aichi/72/2007,JapanKorea
A/Aichi/73/2008,JapanKorea
A/Aichi/75/2008,JapanKorea
A/Aichi/77/2008,JapanKorea
A/Aichi/78/2007,JapanKorea
A/Aichi/8/2007,JapanKorea
A/Aichi/80/2007,JapanKorea
A/Aichi/91/2008,JapanKorea
A/Aichi/97/2008,JapanKorea
A/Alabama/05/2010,USACanada
A/Alabama/10/2010,USACanada
A/Alabama/13/2010,USACanada
A/Alabama/UR06_0482/2007,USACanada
A/Alaska/29/2009,USACanada
A/Alaska/AF2790/2012,USACanada
A/Albania/250/2009,Europe
A/Alexandroupolis/118/2005,Europe
A/Alexandroupolis/134/2006,Europe
A/Alexandroupolis/16/2005,Europe
A/Alexandroupolis/99/2007,Europe
A/Andaman/071559/021107,India
A/Anhui/122/2005,NorthChina
A/Anhui/1229/2005,NorthChina
A/Anhui/123/2005,NorthChina
A/Anhui/125/2005,NorthChina
A/Anhui/318/2003,NorthChina
A/Anhui/330/2003,NorthChina
A/Anhui/504/2005,NorthChina
A/Anhui/538/2003,NorthChina
A/Anhui/550/2002,NorthChina
A/Anhui/70/2005,NorthChina
A/Anhui/77/2003,NorthChina
A/Anhui/789/2004,NorthChina
A/Anhui_Baohe/10/2005,NorthChina
A/Anhui_Baohe/1884/2006,NorthChina
A/Anhui_Luyang/1113/2006,NorthChina
A/Aragon/RR-3438/2008,Europe
A/Aragon/RR-3442/2009,Europe
A/Arequipa/FLU7200/2007,SouthAmerica
A/Argentina/01/2010,SouthAmerica
A/Argentina/02/2010,SouthAmerica
A/Argentina/117/2007,SouthAmerica
A/Argentina/146/2007,SouthAmerica
A/Argentina/15/2009,SouthAmerica
A/Argentina/27724/2010,SouthAmerica
A/Argentina/27826/2010,SouthAmerica
A/Argentina/27891/2010,SouthAmerica
A/Argentina/27893/2010,SouthAmerica
A/Argentina/27894/2010,SouthAmerica
A/Argentina/27895/2010,SouthAmerica
A/Argentina/28302/2010,SouthAmerica
A/Argentina/28306/2010,SouthAmerica
A/Argentina/28342/2010,SouthAmerica
A/Argentina/28367/2010,SouthAmerica
A/Argentina/28370/2010,SouthAmerica
A/Argentina/28372/2010,SouthAmerica
A/Argentina/28378/2010,SouthAmerica
A/Argentina/28379/2010,SouthAmerica
A/Argentina/305/2007,SouthAmerica
A/Argentina/334/2007,SouthAmerica
A/Argentina/335/2007,SouthAmerica
A/Argentina/3689/2007,SouthAmerica
A/Argentina/3726/2007,SouthAmerica
A/Argentina/3743/2007,SouthAmerica
A/Argentina/3797/2007,SouthAmerica
A/Argentina/3888/2007,SouthAmerica
A/Argentina/389/2007,SouthAmerica
A/Argentina/402/2007,SouthAmerica
