taxon	date
1918|Human|A/Brevig_Mission/1/1918|USA|H1N1	1918-01-01
1925|Avian|A/chicken/Japan/1925|Japan|H7N7	1925-01-01
1930|Swine|A/swine/Iowa/15/1930|USA|H1N1	1930-01-01
1931|Swine|A/swine/USA/1976/1931|USA|H1N1	1931-01-01
1934|Avian|A/chicken/Rostock/45/1934|Germany|H7N1	1934-01-01
1934|Avian|A/fowl/Weybridge|United_Kingdom|H7N7	1934-01-01
1935|Avian|A/chicken/Brescia/1902|Italy|H7N7	1935-01-01
1935|Human|A/Melbourne/1935|Australia|H1N1	1935-01-01
1935|Human|A/Phila/1935|USA|H1N1	1935-01-01
1935|Human|A/bh/1935||H1N1	1935-01-01
1935|Swine|A/swine/Ohio/23/1935|USA|H1N1	1935-01-01
1936|Human|A/Henry/1936|USA|H1N1	1936-01-01
1942|Human|A/Bellamy/1942|USA|H1N1	1942-01-01
1943|Human|A/Iowa/1943|USA|H1N1	1943-01-01
1943|Human|A/Weiss/1943|USA|H1N1	1943-01-01
1945|Human|A/AA/Huston/1945|USA|H1N1	1945-01-01
1947|Human|A/Fort_Monmouth/1/1947|USA|H1N1	1947-01-01
1948|Human|A/Albany/4835/1948|USA|H1N1	1948-01-01
1948|Human|A/Hemsbury/1948|USA|H1N1	1948-01-01
1949|Avian|A/chicken/Germany/N/1949|Germany|H10N7	1949-01-01
1949|Human|A/Roma/1949|Italy|H1N1	1949-01-01
1950|Human|A/Albany/4836/1950|USA|H1N1	1950-01-01
1950|Human|A/Fort_Warren/1/1950|USA|H1N1	1950-01-01
1951|Human|A/Albany/14/1951|USA|H1N1	1951-01-01
1951|Human|A/Memphis/13/1978|USA|H1N1*	1951-01-01
1953|Avian|A/duck/Manitoba/1953|Canada|H10N7	1953-01-01
1953|Human|A/Memphis/7/1980|USA|H1N1*	1953-01-01
1953|Human|A/Netherlands/001R1/1953|Netherlands|H1N1	1953-01-01
1954|Human|A/Netherlands/001H1/1954|Netherlands|H1N1	1954-01-01
1956|Avian|A/duck/Czech_Republic/1/1956|Czech_Republic|H4N6	1956-01-01
1956|Avian|A/duck/England/1/1956|United_Kingdom|H11N6	1956-01-01
1956|Equine|A/equine/Prague/1/1956|Czech_Republic|H7N7	1956-01-01
1956|Equine|A/equine/Prague/2/1956|Czech_Republic|H7N7	1956-01-01
