taxon	date
AG-R159/10	2010-06-16
AG-R211/10	2010-07-07
AG-R330/10	2010-08-03
AICHI/16/2009	2009-03-25
AICHI/17/2010	2010-05-25
AICHI/3/2010	2010-03-16
AICHI/4/2010	2010-03-05
AK-61839	2009-01-21
AKITA/1/2010	2010-04-07
ANHUI-HEFEI-BAOHE/119/2010	2010-01-11
ANHUI-HEFEI-BAOHE/1257/2010	2010-05-10
ANHUI-HEFEI-BAOHE/136/2010	2010-01-14
ANHUI-HEFEI-BAOHE/1756/2009	2009-11-04
ANHUI-HEFEI-BAOHE/1906/2009	2009-12-30
ANHUI-HEFEI-LUYANG/1136/2009	2009-07-17
ANHUI-HEFEI-LUYANG/1591/2009	2009-09-04
ANHUI-HEFEI-YAOHAI/139/2010	2010-01-14
ANHUI-LUYANG/1105/2010	2010-01-19
ANHUI-YAOHAI/148/2010	2010-01-17
ANTOFAGASTA/15020/2010	2010-06-25
AOMORI/4/2009	2009-03-03
AZ-10159007	2010-05-06
B/AKITA/27/2001	2001
B/AKITA/5/2001	2001
B/ANCON/OBT4948/2007	2007
B/ANCON/OBT4952/2007	2007
B/ANHUI/BAOHE11102/2007	2007-10-12
B/AREQUIPA/FLU6475/2007	2007
B/AREQUIPA/FLU6487/2007	2007
B/AREQUIPA/FLU7176/2007	2007
B/ARGENTINA/540/2006	2006-09-13
B/ARGENTINA/569/2005	2005-07-20
B/ARGENTINA/593/2006	2006-09-29
B/ARGENTINA/70/2005	2005-02-06
B/ARGENTINA/73/2006	2006-06-26
B/ARIZONA/140/2005	2005
B/ARIZONA/146/2005	2005
B/ARIZONA/148/2005	2005
B/ARIZONA/162/2005	2005
B/ARIZONA/163/2005	2005
B/ARIZONA/164/2005	2005
B/ARIZONA/48/2005	2005
B/ARIZONA/59/2005	2005
B/AUCKLAND/1/2008	2008-03-27
B/AUCKLAND/17/2008	2008-02-07
B/AUCKLAND/55/2008	2008-07-24
B/AUCKLAND/72/2008	2008-07-29
B/Alabama/08/2010	2010-11-05
B/Alaska/01/2008	2008-01-16
B/Alaska/02/2009	2009-02-04
B/Alaska/06/2008	2008-11-19
B/Alaska/09/2008	2008-12-11
B/Alaska/16/2003	2003-03-21
