taxon	date
96CG11	1996-01-01
96CG12	1996-01-01
96CG13	1996-01-01
96CG14	1996-01-01
96CG16	1996-01-01
96CG17	1996-01-01
96CG21	1996-01-01
96CG22a	1996-01-01
96CG22b	1996-01-01
96CG23	1996-01-01
96CG24	1996-01-01
96CG27	1996-01-01
96CG30	1996-01-01
96CG34	1996-01-01
96CG38	1996-01-01
96CG39	1996-01-01
97CG152	1996-01-01
97CG257	1996-01-01
97CG275	1997-01-01
97CG276	1997-01-01
97CG281	1997-01-01
97CG282	1997-01-01
97CG284	1997-01-01
97CG305	1997-01-01
97CG307	1997-01-01
97CG311	1997-01-01
97CG313	1997-01-01
97CG314	1997-01-01
97CG315	1997-01-01
97CG316	1997-01-01
98CG853	1998-01-01
98CG858	1998-01-01
98CG859	1998-01-01
98CG861	1998-01-01
98CG867	1998-01-01
98CG869	1998-01-01
98CG874	1998-01-01
98CG877	1998-01-01
98CG879	1998-01-01
98CG887	1998-01-01
98CG893	1998-01-01
98CG895	1998-01-01
98CG896	1998-01-01
98CG897	1998-01-01
98CG899	1998-01-01
98CG900	1998-01-01
98CG904	1998-01-01
98CG905	1998-01-01
98CG908	1998-01-01
98CG910	1998-01-01
98CG912	1998-01-01
98CG914	1998-01-01
98CG918	1998-01-01
98CG922	1998-01-01
B_CA_CANs82	1982-01-01
B_HT_HT593s92	1992-01-01
B_HT_HT594s92	1992-01-01
B_HT_HT596s92	1992-01-01
B_HT_HT599s92	1992-01-01
B_HT_HT651s91	1991-01-01
B_HT_HT652s91	1991-01-01
B_TT_QH0016s93	1993-01-01
B_TT_QH0020s94	1994-01-01
B_TT_QH0060s94	1994-01-01
B_TT_QH0136s94	1994-01-01
B_TT_QH0515s94	1994-01-01
B_TT_QH0605s94	1994-01-01
B_TT_QH0679s94	1994-01-01
B_TT_QH0791s95	1995-01-01
B_TT_QH0908s95	1995-01-01
B_TT_QH1116s95	1995-01-01
B_TT_QH1420s96	1996-01-01
B_US_1304s96	1996-01-01
B_US_ARES2s97	1997-01-01
B_US_BCs87	1987-01-01
B_US_C05Ds94	1994-01-01
B_US_C09Bs94	1994-01-01
B_US_C10s95	1995-01-01
B_US_C11s95	1995-01-01
B_US_C14s97	1997-01-01
B_US_CA1s81	1981-01-01
B_US_CA2s81	1981-01-01
B_US_CC1s85	1985-01-01
B_US_CDC451s84	1984-01-01
B_US_DH12s91	1991-01-01
B_US_GAs81	1981-01-01
B_US_H2s82	1982-01-01
B_US_H3s82	1982-01-01
B_US_H5s82	1982-01-01
B_US_H6s83	1983-01-01
B_US_H7s83	1983-01-01
B_US_MNCGs84	1984-01-01
B_US_NJs81	1981-01-01
B_US_NY1s81	1981-01-01
B_US_NY2s81	1981-01-01
B_US_NY3s81	1981-01-01
B_US_NY5CGs84	1984-01-01
B_US_P896s89	1989-01-01
B_US_RFs83	1983-01-01
B_US_SF2B13s83	1983-01-01
B_US_SF33s84	1984-01-01
B_US_SFAs79	1979-01-01
B_US_SFBs78	1978-01-01
B_US_SFCs78	1978-01-01
B_US_SFDs78	1978-01-01
B_US_SFMHS19s88	1988-01-01
B_US_SFMHS3s85	1985-01-01
B_US_SFMHS4s86	1986-01-01
B_US_SFMHS6s88	1988-01-01
B_US_SFMHS7s87	1987-01-01
B_US_US056s91	1991-01-01
B_US_US073s93	1993-01-01
B_US_US1s90	1990-01-01
B_US_US2s90	1990-01-01
B_US_US3s90	1990-01-01
B_US_US4s90	1990-01-01
B_US_US657s92	1992-01-01
B_US_US712s91	1991-01-01
B_US_WCIPRs85	1985-01-01
B_US_WEAUs90	1990-01-01
B_US_WMJ22s85	1985-01-01
C_BI_BU910815s91	1991-01-01
C_BW_00BW087421s00	2000-01-01
C_BW_00BW38193s00	2000-01-01
C_BW_00BW38713s00	2000-01-01
C_BW_00BW3970_2s00	2000-01-01
C_BW_96BW0402s96	1996-01-01
C_BW_96BW0502s96	1996-01-01
C_BW_96BW1106s96	1996-01-01
C_BW_96BW15B03s96	1996-01-01
C_BW_96BW16B01s96	1996-01-01
C_BW_96BW17s96	1996-01-01
C_ET_ETH2220s86	1986-01-01
C_KE_KER2010s00	2000-01-01
C_KE_MCH2126Ds87	1987-01-01
C_MW_93MW960s93	1993-01-01
C_MW_93MW_965s93	1993-01-01
C_MW_959s93	1993-01-01
C_MW_SM750s89	1989-01-01
C_SN_90SE_364s90	1990-01-01
C_SO_89SM_145s89	1989-01-01
C_TZ_01TZ_BD911s01	2001-01-01
C_TZ_98TZ017s98	1998-01-01
C_TZ_A388s01	2001-01-01
C_TZ_CO3305s02	2002-01-01
C_TZ_CO6721s02	2002-01-01
C_UG_UG268A2s90	1990-01-01
C_ZA_03ZAPS067MB2s03	2003-01-01
C_ZA_03ZAPS073MB1s03	2003-01-01
C_ZA_03ZAPS140MB1s03	2003-01-01
