taxon	date
AH012598|CSF|Human|NIG|2000-03-28	2000-03-28
AY179172|NL|Human|SLE|2000-07-10	2000-07-10
AY363905|SL620|Human|SLE|2002	2002
AY363906|SL15|Human|SLE|2002	2002
AY363909|SL25|Human|SLE|2002	2002
AY363910|SL26|Human|SLE|2002	2002
AY628204|Z148|?|LIB|1981	1981
AY693637|Nig04-010|Human|Nigeria|2004	2004
AY693639|las806791|Human|Nigeria|1993	1993
AY693640|las803213|Human|Nigeria|1974-02	1974-02
AY870334|Lib04-2739|Human|Liberia|2004	2004
GU481075|Nig08_A37|Human|Nigeria|2008-02	2008-02
GU481077|Nig08_A41|Human|Nigeria|2008-02	2008-02
GU481079|Nig08_A47|Human|Nigeria|2008-02	2008-02
GU573541|Soromba_R240|Mouse|Mali|2009	2009
GU573545|Soromba_R245|Mouse|Mali|2009	2009
GU573546|Soromba_R249|Mouse|Mali|2009	2009
GU979510|Lib05-2096/127|Human|Liberia|2005	2005
GU979513|BA366|Mouse|Guinea|2003	2003
KF478760|Komina_R16|Mouse|Mali|2012-03-03	2012-03-03
KF478761|Bamba_R114|Mouse|Mali|2012-03	2012-03
KF478763|Soromba-R30|Mn|NGA|2012-03-03	2012-03-03
KF478764|Ouoma-R123|Mn|NGA|2012-03	2012-03
KM821772|G502_SLE_2009|Human|Sierra_Leone|2009-04-29	2009-04-29
KM821774|G503_SLE_2009|Human|Sierra_Leone|2009-04-30	2009-04-30
KM821776|G610_SLE_2009|Human|Sierra_Leone|2009-08-28	2009-08-28
KM821778|G636_SLE_2009|Human|Sierra_Leone|2009-10-09	2009-10-09
KM821780|G676_SLE_2009|Human|Sierra_Leone|2009-12-09	2009-12-09
KM821782|G692_SLE_2009|Human|Sierra_Leone|2009-12-31	2009-12-31
KM821784|G693_SLE_2009|Human|Sierra_Leone|2010-01-01	2010-01-01
KM821786|G733_SLE_2010|Human|Sierra_Leone|2010-01-17	2010-01-17
KM821788|G771_SLE_2010|Human|Sierra_Leone|2010-02-08	2010-02-08
KM821791|G808_SLE_2010|Human|Sierra_Leone|2010-02-27	2010-02-27
KM821793|G1180_SLE_2010|Human|Sierra_Leone|2010-09-02	2010-09-02
KM821795|G1190_SLE_2010|Human|Sierra_Leone|2010-09-09	2010-09-09
KM821797|G1200_LIB_2010|Human|Liberia|2010	2010
KM821799|G1442_SLE_2011|Human|Sierra_Leone|2011-01-20	2011-01-20
KM821801|G1529_SLE_2011|Human|Sierra_Leone|2011-03-02	2011-03-02
