taxon	date
Alabama.USA/11.17/G|2017-03-XX|north_america|usa|alabama	2017-03
Alabama.USA/15.17/G|2017-04-XX|north_america|usa|alabama	2017-04
Alabama.USA/19.17/G|2017-05-XX|north_america|usa|alabama	2017-05
Alabama.USA/50.17/G|2017-12-XX|north_america|usa|alabama	2017-12
Alabama.USA/7.17/G|2017-02-XX|north_america|usa|alabama	2017-02
Arkansas.USA/12.17/G|2017-03-21|north_america|usa|arkansas	2017-03-21
Arkansas.USA/13.17/G|2017-03-26|north_america|usa|arkansas	2017-03-26
Arkansas.USA/38.16/G|2016-09-15|north_america|usa|arkansas	2016-09-15
Arkansas.USA/40.16/G|2016-09-30|north_america|usa|arkansas	2016-09-30
Arkansas.USA/41.16/G|2016-10-03|north_america|usa|arkansas	2016-10-03
Arkansas.USA/43.16/G|2016-10-18|north_america|usa|arkansas	2016-10-18
Arkansas.USA/44.16/G|2016-10-26|north_america|usa|arkansas	2016-10-26
Arkansas.USA/45.16/G|2016-10-30|north_america|usa|arkansas	2016-10-30
Arkansas.USA/46.16/G|2016-11-10|north_america|usa|arkansas	2016-11-10
Arkansas.USA/47.16/G|2016-11-14|north_america|usa|arkansas	2016-11-14
Arkansas.USA/48.16/G|2016-11-21|north_america|usa|arkansas	2016-11-21
Arkansas.USA/49.16/G|2016-11-29|north_america|usa|arkansas	2016-11-29
Arkansas.USA/5.17/G|2017-02-02|north_america|usa|arkansas	2017-02-02
Arkansas.USA/50.16/G|2016-12-10|north_america|usa|arkansas	2016-12-10
Arkansas.USA/51.16/G|2016-12-16|north_america|usa|arkansas	2016-12-16
Arkansas.USA/52.16/G|2016-12-19|north_america|usa|arkansas	2016-12-19
BritishColumbia.CAN/11.16/G|2016-03-14|north_america|canada|british_columbia	2016-03-14
BritishColumbia.CAN/13.16/G|2016-04-01|north_america|canada|british_columbia	2016-04-01
BritishColumbia.CAN/14.11/2/G|2011-04-03|north_america|canada|british_columbia	2011-04-03
BritishColumbia.CAN/16.16/4/G|2016-04-21|north_america|canada|british_columbia	2016-04-21
BritishColumbia.CAN/17.16/G|2016-04-29|north_america|canada|british_columbia	2016-04-29
BritishColumbia.CAN/18.16/2/G|2016-05-07|north_america|canada|british_columbia	2016-05-07
BritishColumbia.CAN/18.16/3/G|2016-05-09|north_america|canada|british_columbia	2016-05-09
BritishColumbia.CAN/18.16/4/G|2016-05-08|north_america|canada|british_columbia	2016-05-08
