taxon	date
0038@2001_APURIMAC_PACOBAMBA_-13.61989_-73.07459_2001.9151	2001-12-01
0059@2000_APURIMAC_TALAVERA_-13.64024_-73.44811_2000	2000
0066@2001_AYACUCHO_LUIS-CARRANZA_-13.21421_-73.9077_2001.063	2001-01-24
0085@2001_AYACUCHO_OCROS_-13.38726_-73.88843_2001.0822	2001-01-31
0255@1998_APURIMAC_TURPO_-13.76022_-73.50965_1998.2329	1998-03-27
0717@1997_APURIMAC_ONGOY_-13.37614_-73.6574_1997.0219	1997-01-09
0865@1998_APURIMAC_OCOBAMBA_-13.49733_-73.55038_1998.7425	1998-09-29
1114@2004_AYACUCHO_OCROS_-13.42687_-73.84031_2004.0601	2004-01-23
1149@2004_AYACUCHO_TAMBO_-12.88977_-73.95644_2004.1667	2004-03-02
1205@2004_AYACUCHO_CHUNGUI_-13.29204_-73.62505_2004.1339	2004-02-19
121@2001_APURIMAC_KISHUARA_-13.64361468_-73.16395048_2001.1178	2001-02-13
1232@2004_AYACUCHO_QUEROBAMBA_-14.03775_-73.83999_2004.1448	2004-02-23
1254@2000_APURIMAC_KISHUARA_-13.64361468_-73.16395048_2000.9536	2000-12-15
1255@2000_APURIMAC_KISHUARA_-13.63139_-73.19298_2000.9645	2000-12-19
1291@2004_AYACUCHO_SAN-MIGUEL_-13.06029_-73.95185_2004.9208	2004-12-03
142@2001_AYACUCHO_ANCO_-13.09786_-73.81364_2001.126	2001-02-16
1447@2004_AYACUCHO_SAN-MIGUEL_-13.05353_-73.88653_2004.2842	2004-04-14
1459@2004_AYACUCHO_SAN-MIGUEL_-13.05353_-73.88653_2004.2869	2004-04-15
1469@2004_APURIMAC_ONGOY_-13.42647_-73.694_2004.2978	2004-04-19
146@2001_APURIMAC_SANTA-MARIA-DE-CHICMO_-13.61669_-73.55719_2001.126	2001-02-16
1521@2004_AYACUCHO_CONCEPCION_-13.54748_-73.87069_2004.4262	2004-06-05
1825@2004_APURIMAC_ONGOY_-13.37614_-73.6574_2004.5383	2004-07-16
1935@2010_APURIMAC_HUANCARAMA_-13.68247_-73.03259_2010.4877	2010-06-28
200805878_APURIMAC_HUANCARAY_-13.7336_-73.5541_2008.3852	2008-05-21
200806324_APURIMAC_PACUCHA_-13.6075_-73.3_2008.847	2008-11-06
200806405_AYACUCHO_CARHUANCA_-13.74782_-73.78754_2008.4508	2008-06-14
200806413_APURIMAC_HUANCARAMA_-13.651_-73.0758_2008.4508	2008-06-14
200807270_AYACUCHO_OCROS_-13.38198_-73.89513_2008.5437	2008-07-18
200807828_APURIMAC_OCOBAMBA_-13.4941_-73.544_2008.6421	2008-08-23
200807998_APURIMAC_HUANCARAMA_-13.6408_-73.093_2008.4372	2008-06-09
200807999_APURIMAC_HUANCARAMA_-13.6452_-73.0856_2008.4372	2008-06-09
200808049_APURIMAC_OCOBAMBA_-13.5602_-73.4846_2008.5191	2008-07-09
200808050_APURIMAC_OCOBAMBA_-13.5602_-73.4846_2008.5191	2008-07-09
200808836_AYACUCHO_BELEN_-13.8088_-73.7578_2008.7459	2008-09-30
200808957_APURIMAC_OCOBAMBA_-13.5602_-73.4846_2008.5219	2008-07-10
200809051_AYACUCHO_BELEN_-13.8088_-73.7578_2008.6066	2008-08-10
200810091_APURIMAC_HUANCARAY_-13.7339_-73.5572_2008.4426	2008-06-11
200900872_APURIMAC_PICHIRHUA_-13.6823_-72.9634_2009.4192	2009-06-03
200900901_AYACUCHO_SAN-MIGUEL_-13.0654_-73.9189_2009.6712	2009-09-03
200901058_AYACUCHO_SAN-MIGUEL_-13.031624_-73.93711_2009.2192	2009-03-22
200901102_APURIMAC_HUANCARAMA_-13.6497_-73.0807_2009.2274	2009-03-25
200901108_AYACUCHO_QUEROBAMBA_-13.9738_-73.8607_2009.2301	2009-03-26
200901167_AYACUCHO_SAN-MIGUEL_-13.031624_-73.93711_2009.2192	2009-03-22
200901552_APURIMAC_ABANCAY_-13.6416_-72.8907_2009.2959	2009-04-19
200901828_APURIMAC_ANDARAPA_-13.5055_-73.4581_2009.2575	2009-04-05
200901926_AYACUCHO_SAN-MIGUEL_-13.11264_-73.86189_2009.2438	2009-03-31
200901937_APURIMAC_PICHIRHUA_-13.6764_-72.9485_2009.5068	2009-07-05
200904003_AYACUCHO_LUIS-CARRANZA_-13.2289_-73.8943_2009.4603	2009-06-18
200908192_APURIMAC_HUANIPACA_-13.471_-72.8639_2009.8247	2009-10-29
201000183_APURIMAC_PACUCHA_-13.6075_-73.2726_2010.7479	2010-10-01
201000189_APURIMAC_ABANCAY_-13.6626_-72.9365_2010.5808	2010-08-01
201000257_APURIMAC_CHINCHEROS_-13.5224_-73.7151_2010.9151	2010-12-01
201000359_APURIMAC_CHINCHEROS_-13.5224_-73.7151_2010.0438	2010-01-17
201000420_APURIMAC_ABANCAY_-13.6703_-72.9299_2010.0548	2010-01-21
201000421_APURIMAC_ABANCAY_-13.6359_-72.9095_2010.0548	2010-01-21
201000435_AYACUCHO_CHALCOS_-13.8603_-73.7273_2010.0493	2010-01-19
201000457_APURIMAC_ABANCAY_-13.616_-72.8889_2010.0603	2010-01-23
201000516_APURIMAC_ABANCAY_-13.64260885_-72.88095487_2010.074	2010-01-28
201000582_APURIMAC_CHINCHEROS_-13.518_-73.7228_2010.0027	2010-01-02
201000589_APURIMAC_HUANCARAMA_-13.6452_-73.0856_2010.2493	2010-04-02
201000696_APURIMAC_ABANCAY_-13.6262_-72.9358_2010.3315	2010-05-02
201000727_APURIMAC_ABANCAY_-13.6235_-72.8979_2010.5836	2010-08-02
201000730_APURIMAC_ABANCAY_-13.6359_-72.9095_2010.5836	2010-08-02
201000746_APURIMAC_ABANCAY_-13.6235_-72.8979_2010.7507	2010-10-02
201000890_APURIMAC_ABANCAY_-13.6235_-72.8979_2010.1397	2010-02-21
201000942_APURIMAC_ABANCAY_-13.6874_-72.8885_2010.1534	2010-02-26
201000943_APURIMAC_ABANCAY_-13.6349_-72.9007_2010.1534	2010-02-26
201002248_APURIMAC_ONGOY_-13.4222_-73.6467_2010.326	2010-04-30
201002273_APURIMAC_PACUCHA_-13.5977_-73.3263_2010.0959	2010-02-05
201002275_AYACUCHO_CHILCAYOC_-13.9008_-73.7196_2010.011	2010-01-05
201002580_APURIMAC_COCHARCAS_-13.6486_-73.7131_2010.389	2010-05-23
201002581_APURIMAC_ANDARAPA_-13.5522_-73.3423_2010.389	2010-05-23
201002634_APURIMAC_ANDARAPA_-13.477_-73.3723_2010.389	2010-05-23
201002831_APURIMAC_ABANCAY_-13.6602_-72.9192_2010.3425	2010-05-06
201002887_AYACUCHO_CHILCAS_-13.17107_-73.88717_2010.3425	2010-05-06
201002897_APURIMAC_ABANCAY_-13.64260885_-72.88095487_2010.8466	2010-11-06
201002904_APURIMAC_HUANIPACA_-13.4367_-72.8935_2010.7616	2010-10-06
201002976_AYACUCHO_CONCEPCION_-13.5327_-73.8751_2010.7616	2010-10-06
201003038_APURIMAC_URANMARCA_-13.6725_-73.6879_2010.4685	2010-06-21
201003043_APURIMAC_RANRACANCHA_-13.5281_-73.5501_2010.474	2010-06-23
201003044_APURIMAC_URANMARCA_-13.67327568_-73.66034054_2010.474	2010-06-23
201003046_APURIMAC_HUANCARAMA_-13.6452_-73.0856_2010.4685	2010-06-21
201003075_AYACUCHO_CHILCAYOC_-13.9008_-73.7196_2010.4795	2010-06-25
201003750_APURIMAC_PICHIRHUA_-13.7508_-72.9715_2010.6	2010-08-08
201004174_APURIMAC_HUANIPACA_-13.4849_-72.8946_2010.6027	2010-08-09
201006402_APURIMAC_HUANCARAMA_-13.6452_-73.0856_2010.8822	2010-11-19
201006586_APURIMAC_PICHIRHUA_-13.7508_-72.9715_2010.9014	2010-11-26
201009755_APURIMAC_ABANCAY_-13.67972_-72.87006_2010.0822	2010-01-31
201100592_APURIMAC_LAMBRAMA_-13.76596764_-72.85201464_2011.7479	2011-10-01
201100594_APURIMAC_PICHIRHUA_-13.7508_-72.9715_2011.7479	2011-10-01
201101081_APURIMAC_LAMBRAMA_-13.7447_-72.867_2011.063	2011-01-24
201101277_APURIMAC_LAMBRAMA_-13.74752073_-72.89668529_2011.3315	2011-05-02
201101278_APURIMAC_LAMBRAMA_-13.74860789_-72.89700838_2011.4164	2011-06-02
201101320_AYACUCHO_CONCEPCION_-13.56780197_-73.85621445_2011.4986	2011-07-02
201101596_APURIMAC_ABANCAY_-13.61913225_-72.916739_2011.1315	2011-02-18
201101597_APURIMAC_PICHIRHUA_-13.7404_-72.9795_2011.1315	2011-02-18
201101598_APURIMAC_PICHIRHUA_-13.7508_-72.9715_2011.1342	2011-02-19
201101650_APURIMAC_PICHIRHUA_-13.7508_-72.9715_2011.1479	2011-02-24
201101947_APURIMAC_LAMBRAMA_-13.7447_-72.867_2011.9205	2011-12-03
201101948_APURIMAC_LAMBRAMA_-13.7447_-72.867_2011.1973	2011-03-14
201101951_APURIMAC_ABANCAY_-13.64260885_-72.88095487_2011.2027	2011-03-16
201101952_APURIMAC_LAMBRAMA_-13.7447_-72.867_2011.1945	2011-03-13
201101953_APURIMAC_LAMBRAMA_-13.79540123_-72.82386296_2011.1973	2011-03-14
201102674_APURIMAC_CHINCHEROS_-13.5224_-73.7151_2011.3315	2011-05-02
201102834_APURIMAC_HUACCANA_-13.4297_-73.7768_2011.3616	2011-05-13
201102927_APURIMAC_ABANCAY_-13.6602_-72.9192_2011.3726	2011-05-17
201103051_APURIMAC_SAN-PEDRO-DE-CACHORA_-13.5113_-72.8246_2011.3918	2011-05-24
201103052_APURIMAC_SAN-PEDRO-DE-CACHORA_-13.51264431_-72.81222981_2011.389	2011-05-23
201103117_APURIMAC_ANCO-HUALLO_-13.5333_-73.6872_2011.3945	2011-05-25
201103118_APURIMAC_CHINCHEROS_-13.51619277_-73.72241881_2011.3973	2011-05-26
201103231_APURIMAC_CHINCHEROS_-13.5628_-73.7241_2011.0986	2011-02-06
201103299_APURIMAC_SAN-PEDRO-DE-CACHORA_-13.5116_-72.8313_2011.0986	2011-02-06
201103353_APURIMAC_SAN-PEDRO-DE-CACHORA_-13.49833915_-72.80803857_2011.6795	2011-09-06
201103355_APURIMAC_PICHIRHUA_-13.79335065_-72.99122792_2011.7616	2011-10-06
201103827_APURIMAC_HUACCANA_-13.38818206_-73.68908828_2011.263	2011-04-07
201103990_APURIMAC_PICHIRHUA_-13.7833_-72.982_2011.5315	2011-07-14
201104268_APURIMAC_ANCO-HUALLO_-13.5327_-73.6779_2011.9342	2011-12-08
201104271_APURIMAC_ANDAHUAYLAS_-13.65862953_-73.41075343_2011.6164	2011-08-14
201104851_APURIMAC_OCOBAMBA_-13.5164_-73.5294_2011.7068	2011-09-16
201104852_APURIMAC_KISHUARA_-13.6134_-73.2032_2011.7068	2011-09-16
201104853_APURIMAC_OCOBAMBA_-13.5602_-73.4846_2011.7068	2011-09-16
201105179_APURIMAC_LAMBRAMA_-13.79540123_-72.82386296_2011.7342	2011-09-26
201105180_APURIMAC_LAMBRAMA_-13.7973_-72.8326_2011.7315	2011-09-25
201105239_AYACUCHO_HUAMBALPA_-13.798_-73.818_2011.737	2011-09-27
201105240_AYACUCHO_ACCOMARCA_-13.8084_-73.8583_2011.7397	2011-09-28
201106098_APURIMAC_KISHUARA_-13.6308_-73.2021_2011.7726	2011-10-10
201106249_APURIMAC_OCOBAMBA_-13.5164_-73.5294_2011.7726	2011-10-10
201106643_APURIMAC_TALAVERA_-13.646234_-73.44896_2011.7836	2011-10-14
201106837_APURIMAC_TALAVERA_-13.646234_-73.44896_2011.789	2011-10-16
201107414_APURIMAC_TALAVERA_-13.645173_-73.44613_2011.8192	2011-10-27
201108429_APURIMAC_SAN-PEDRO-DE-CACHORA_-13.5113_-72.8246_2011.6082	2011-08-11
201108432_APURIMAC_SAN-PEDRO-DE-CACHORA_-13.4966_-72.808_2011.8603	2011-11-11
201108434_APURIMAC_SAN-PEDRO-DE-CACHORA_-13.5121_-72.8129_2011.8603	2011-11-11
201108640_APURIMAC_SAN-PEDRO-DE-CACHORA_-13.4966_-72.808_2011.8685	2011-11-14
201108727_APURIMAC_SAN-PEDRO-DE-CACHORA_-13.4685_-72.7986_2011.8795	2011-11-18
201108967_APURIMAC_CIRCA_-13.95693333_-72.89388817_2011.8959	2011-11-24
201108968_APURIMAC_SAN-PEDRO-DE-CACHORA_-13.478_-72.80967_2011.8959	2011-11-24
201109144_APURIMAC_HUANIPACA_-13.471_-72.8639_2011.9123	2011-11-30
201109197_APURIMAC_OCOBAMBA_-13.5603_-73.4946_2011.4438	2011-06-12
201200030_APURIMAC_CIRCA_-13.8818_-72.8858_2011.9945	2011-12-30
201200329_APURIMAC_LAMBRAMA_-13.8137_-72.8199_2012.8333	2012-11-01
201200422_APURIMAC_LAMBRAMA_-13.831311_-72.825813_2012.0464	2012-01-18
201200423_APURIMAC_LAMBRAMA_-13.824581_-72.820168_2012.0464	2012-01-18
201200430_APURIMAC_LAMBRAMA_-13.8278_-72.8256_2012.0464	2012-01-18
201200532_APURIMAC_TALAVERA_-13.6371_-73.4513_2012.0027	2012-01-02
201201068_APURIMAC_ONGOY_-13.4021_-73.5717_2012.1421	2012-02-22
201201104_APURIMAC_ABANCAY_-13.641482_-72.83627_2012.1448	2012-02-23
201201352_APURIMAC_TALAVERA_-13.6437_-73.4484_2012.4208	2012-06-03
201202283_APURIMAC_CIRCA_-13.8994_-72.9026_2012.2951	2012-04-18
201202423_APURIMAC_ONGOY_-13.4021_-73.5717_2012.3005	2012-04-20
201202676_APURIMAC_HUANIPACA_-13.4903_-72.8918_2012.2596	2012-04-05
201202790_AYACUCHO_SAURAMA_-13.69616_-73.78245_2012.7596	2012-10-05
201202909_APURIMAC_CIRCA_-13.8917_-72.9617_2012.3689	2012-05-15
201203038_APURIMAC_CIRCA_-13.8917_-72.9617_2012.3798	2012-05-19
201203376_AYACUCHO_CHILCAS_-13.16722_-73.86203_2012.3989	2012-05-26
201203659_APURIMAC_URANMARCA_-13.72706_-73.67477_2012.7623	2012-10-06
201204031_APURIMAC_CURAHUASI_-13.541632_-72.64182_2012.4836	2012-06-26
201204033_APURIMAC_CIRCA_-13.91296_-72.962987_2012.4836	2012-06-26
201204043_APURIMAC_CIRCA_-13.8511_-72.9778_2012.4863	2012-06-27
201204045_APURIMAC_CIRCA_-13.851854_-72.976275_2012.4863	2012-06-27
201204244_APURIMAC_SAN-PEDRO-DE-CACHORA_-13.508855_-72.83628_2012.347	2012-05-07
201302243_APURIMAC_ANDARAPA_-13.566497_-73.44931_2013.1315	2013-02-18
201302245_APURIMAC_TINTAY_-13.905818_-73.07059_2013.1507	2013-02-25
201302246_APURIMAC_CIRCA_-13.870303_-73.02098_2013.1425	2013-02-22
201302247_APURIMAC_CIRCA_-14.005774_-72.91689_2013.1425	2013-02-22
201302285_AYACUCHO_SAN-MIGUEL_-13.0928_-73.9_2013.1452	2013-02-23
201302286_AYACUCHO_SAN-MIGUEL_-13.024243_-73.983397_2013.1507	2013-02-25
201302357_AYACUCHO_ANCO_-13.061535_-73.94153_2013.1507	2013-02-25
201302438_AYACUCHO_SAN-MIGUEL_-13.01738_-73.98024_2013.1562	2013-02-27
201302568_APURIMAC_CIRCA_-13.9387_-72.9147_2013.1973	2013-03-14
201302656_AYACUCHO_SAN-MIGUEL_-13.007001_-73.964939_2013.2	2013-03-15
201302842_APURIMAC_ANCO-HUALLO_-13.522406_-73.70062_2013.2274	2013-03-25
201302845_APURIMAC_CHINCHEROS_-13.5378_-73.7438_2013.2438	2013-03-31
201302846_APURIMAC_CHINCHEROS_-13.5628_-73.7241_2013.2384	2013-03-29
201302847_APURIMAC_CHINCHEROS_-13.5628_-73.7241_2013.2356	2013-03-28
201303075_APURIMAC_HUACCANA_-13.374975_-73.71266_2013.589	2013-08-04
201303087_AYACUCHO_SAN-MIGUEL_-13.0263_-73.9049_2013.2548	2013-04-04
201303128_AYACUCHO_SAN-MIGUEL_-13.063093_-73.93879_2013.589	2013-08-04
201303164_APURIMAC_CHINCHEROS_-13.5628_-73.7241_2013.9233	2013-12-04
201303167_CUSCO_MOLLEPATA_-13.489653_-72.57084_2013.2877	2013-04-16
201303184_APURIMAC_KAQUIABAMBA_-13.5415_-73.2699_2013.2795	2013-04-13
201303241_APURIMAC_CHINCHEROS_-13.534007_-73.73842_2013.2959	2013-04-19
201303343_APURIMAC_CIRCA_-13.978697_-72.89447_2013.3014	2013-04-21
201303344_APURIMAC_LAMBRAMA_-13.802454_-72.81425_2013.3014	2013-04-21
201303425_CUSCO_MOLLEPATA_-13.502965_-72.61163_2013.3014	2013-04-21
201303465_AYACUCHO_LUIS-CARRANZA_-13.3237_-73.8887_2013.3123	2013-04-25
201303468_APURIMAC_TINTAY_-13.9077_-73.1273_2013.3178	2013-04-27
201303603_AYACUCHO_LUIS-CARRANZA_-13.213168_-73.90463_2013.1726	2013-03-05
201303604_AYACUCHO_LUIS-CARRANZA_-13.21531_-73.90516_2013.2575	2013-04-05
201303652_AYACUCHO_LUIS-CARRANZA_-13.215388_-73.90328_2013.3397	2013-05-05
201303656_AYACUCHO_SAN-MIGUEL_-13.0263_-73.9049_2013.5068	2013-07-05
201303657_AYACUCHO_LUIS-CARRANZA_-13.189269_-73.901935_2013.3342	2013-05-03
201303706_AYACUCHO_LUIS-CARRANZA_-13.220642_-73.90131_2013.1726	2013-03-05
201303801_APURIMAC_CIRCA_-14.0035_-72.9152_2013.3616	2013-05-13
201303802_APURIMAC_CIRCA_-14.0035_-72.9152_2013.926	2013-12-05
201303865_APURIMAC_ANDARAPA_-13.442991_-73.37398_2013.3836	2013-05-21
201304261_APURIMAC_CHINCHEROS_-13.5628_-73.7241_2013.3425	2013-05-06
201304614_APURIMAC_KISHUARA_-13.5856_-73.1692_2013.4712	2013-06-22
201304940_APURIMAC_ANDARAPA_-13.477_-73.3723_2013.3452	2013-05-07
201305291_AYACUCHO_SAN-MIGUEL_-12.992062_-73.93046_2013.5342	2013-07-15
201305569_APURIMAC_ANDARAPA_-13.5491_-73.3636_2013.3479	2013-05-08
201305685_APURIMAC_CHINCHEROS_-13.5097_-73.7769_2013.6192	2013-08-15
201305768_APURIMAC_ANDARAPA_-13.477_-73.3723_2013.9342	2013-12-08
201306274_CUSCO_MOLLEPATA_-13.512372_-72.58816_2013.3507	2013-05-09
201310976_APURIMAC_LAMBRAMA_-13.768537_-72.85934_2013.9726	2013-12-22
201400778_APURIMAC_TINTAY_-13.94099_-73.09828_2014.0027	2014-01-02
201404996_CUSCO_LIMATAMBO_-13.465331_-72.45763_2014.7014	2014-09-14
201406789_APURIMAC_LAMBRAMA_-13.8427_-72.7355_2014.3562	2014-05-11
201406807_APURIMAC_LAMBRAMA_-13.8427_-72.7355_2014.3562	2014-05-11
201407350_APURIMAC_LAMBRAMA_-13.8427_-72.7355_2014.8685	2014-11-14
201407352_APURIMAC_LAMBRAMA_-13.8427_-72.7355_2014.8712	2014-11-15
201408059_APURIMAC_PACOBAMBA_-13.611538_-73.10739_2014.9096	2014-11-29
201408193_APURIMAC_CHACOCHE_-13.8754_-73.0271_2014.0301	2014-01-12
201408649_APURIMAC_ANCO-HUALLO_-13.525067_-73.68307_2014.9479	2014-12-13
201408819_CUSCO_LIMATAMBO_-13.4366_-72.4435_2014.9616	2014-12-18
201408891_APURIMAC_HUANIPACA_-13.4846_-72.9266_2014.9644	2014-12-19
201501900_CUSCO_LIMATAMBO_-13.474914_-72.442247_2015.2219	2015-03-23
201502324_APURIMAC_SAN-JUAN-DE-CHACNA_-13.93944_-73.176013_2015.274	2015-04-11
201503776_AYACUCHO_TAMBO_-12.925632_-74.001671_2015.4164	2015-06-02
201503933_APURIMAC_ONGOY_-13.399971_-73.569138_2015.4247	2015-06-05
201503947_APURIMAC_ONGOY_-13.399971_-73.569138_2015.4247	2015-06-05
201503949_APURIMAC_PACUCHA_-13.630768_-73.274009_2015.4274	2015-06-06
201504074_APURIMAC_CURAHUASI_-13.634935_-72.607949_2015.4384	2015-06-10
201504101_AYACUCHO_CHILCAYOC_-13.89729_-73.73713_2015.4384	2015-06-10
201504106_AYACUCHO_CHILCAYOC_-13.89974_-73.73968_2015.4384	2015-06-10
201504112_AYACUCHO_INDEPENDENCIA_-13.89181_-73.85524_2015.4384	2015-06-10
