taxon	date
Anhui_012420_1068682_B	2020-01-24
Anhui_012620_1069173_A	2020-01-26
Anhui_012620_1069192_B	2020-01-26
Anhui_012720_1069193_B	2020-01-27
Anhui_012820_1069198_A	2020-01-28
Anhui_012820_1069199_B	2020-01-28
Anhui_013020_1069200_A	2020-01-30
Anhui_013020_1069201_B	2020-01-30
Anhui_013120_1068593_B	2020-01-31
Anhui_013120_1069203_B	2020-01-31
Anhui_013120_1069205_B	2020-01-31
Anhui_013120_1069207_B	2020-01-31
Anhui_020120_1069208_B	2020-02-01
Anhui_020120_1069210_B	2020-02-01
Anhui_020220_1069211_B	2020-02-02
Anhui_020320_1069213_A	2020-02-03
Anhui_020320_1069215_B	2020-02-03
Anhui_020420_1069216_B	2020-02-04
Anhui_020520_1069219_B	2020-02-05
Anhui_020620_1081193_B	2020-02-06
Anhui_020620_1081194_B	2020-02-06
Anhui_020720_1081195_B	2020-02-07
Anhui_020720_1081196_B	2020-02-07
Anhui_020720_1081197_B	2020-02-07
Anhui_020720_1081198_B	2020-02-07
Anhui_020820_1081199_B	2020-02-08
Anhui_020820_1081260_B	2020-02-08
Anhui_020820_1081291_B	2020-02-08
Anhui_020820_1081310_B	2020-02-08
Anhui_020820_1081311_B	2020-02-08
Anhui_021120_1081324_B	2020-02-11
Anhui_021320_1081325_B	2020-02-13
Anhui_021420_1081326_B	2020-02-14
Australia_012420_407893_A	2020-01-24
Australia_012420_417030_A	2020-01-24
Australia_012520_406844_B	2020-01-25
Australia_012520_408977_B	2020-01-25
Australia_012520_416411_B	2020-01-25
Australia_012520_509505_B	2020-01-25
Australia_012820_407894_A	2020-01-28
Australia_013020_407896_A	2020-01-30
Australia_013020_455603_B	2020-01-30
Australia_013020_468032_B	2020-01-30
Australia_013020_468037_B	2020-01-30
Australia_020420_693290_A	2020-02-04
Australia_020520_410717_A	2020-02-05
Australia_020520_410718_A	2020-02-05
Australia_020820_416415_A	2020-02-08
Beijing_010320_514752_B	2020-01-03
Beijing_010820_411957_B	2020-01-08
Beijing_012220_450444_B	2020-01-22
Beijing_012420_424355_A	2020-01-24
Beijing_012420_430734_B	2020-01-24
Beijing_012420_430735_B	2020-01-24
Beijing_012520_424356_A	2020-01-25
Beijing_012620_413518_A	2020-01-26
Beijing_012720_424359_B	2020-01-27
Beijing_012820_413519_A	2020-01-28
Beijing_012820_413520_A	2020-01-28
Beijing_012820_413521_A	2020-01-28
Beijing_012820_424357_A	2020-01-28
Beijing_012820_424358_A	2020-01-28
Beijing_012920_424360_A	2020-01-29
Beijing_012920_430722_A	2020-01-29
Beijing_012920_430725_A	2020-01-29
Beijing_012920_430736_B	2020-01-29
Beijing_012920_430742_B	2020-01-29
Beijing_020120_452360_B	2020-02-01
Beijing_020220_430728_A	2020-02-02
Beijing_020420_452357_B	2020-02-04
Beijing_020520_412386_B	2020-02-05
Beijing_020720_430740_B	2020-02-07
Beijing_020820_430724_A	2020-02-08
Beijing_020820_452359_B	2020-02-08
Beijing_021020_430741_A	2020-02-10
Beijing_021120_452358_B	2020-02-11
Belgium_020320_407976_A	2020-02-03
Cambodia_012720_411902_B	2020-01-27
Canada_012320_413015_B	2020-01-23
Canada_012320_425177_B	2020-01-23
Chongqing_011820_408481_B	2020-01-18
Chongqing_012120_408478_A	2020-01-21
Chongqing_012320_408479_B	2020-01-23
France_012320_406596_B	2020-01-23
France_012320_406597_B	2020-01-23
France_012820_411219_B	2020-01-28
France_012920_408430_B	2020-01-29
France_012920_408431_B	2020-01-29
France_012920_940542_B	2020-01-29
France_020220_1015209_B	2020-02-02
France_020220_411218_B	2020-02-02
France_020820_410486_B	2020-02-08
Fujian_012120_411060_A	2020-01-21
Fujian_012220_411066_B	2020-01-22
Fujian_012320_431785_A	2020-01-23
Germany_012820_450198_B	2020-01-28
Germany_012820_450200_B	2020-01-28
Germany_012920_450199_B	2020-01-29
Germany_013020_450209_B	2020-01-30
Germany_020120_450203_B	2020-02-01
Germany_020120_732541_B	2020-02-01
Germany_020320_450204_B	2020-02-03
Germany_020720_450207_B	2020-02-07
Germany_020820_450208_B	2020-02-08
Guangdong_011120_405839_A	2020-01-11
Guangdong_011320_406593_A	2020-01-13
Guangdong_011420_403932_A	2020-01-14
Guangdong_011520_403933_A	2020-01-15
Guangdong_011520_403934_B	2020-01-15
Guangdong_011520_403935_A	2020-01-15
Guangdong_011620_406594_B	2020-01-16
Guangdong_011720_403936_B	2020-01-17
Guangdong_011820_403937_B	2020-01-18
Guangdong_012020_428449_A	2020-01-20
Guangdong_012120_428443_A	2020-01-21
Guangdong_012120_428447_A	2020-01-21
Guangdong_012120_428448_A	2020-01-21
Guangdong_012220_406531_B	2020-01-22
Guangdong_012220_406533_B	2020-01-22
Guangdong_012220_406534_B	2020-01-22
Guangdong_012220_406535_B	2020-01-22
Guangdong_012220_406536_B	2020-01-22
Guangdong_012320_406538_B	2020-01-23
Guangdong_012420_428465_B	2020-01-24
Guangdong_012520_428464_B	2020-01-25
Guangdong_012620_428466_B	2020-01-26
Guangdong_012620_428467_B	2020-01-26
Guangdong_012620_428468_B	2020-01-26
Guangdong_012720_428469_B	2020-01-27
Guangdong_012720_428470_A	2020-01-27
Guangdong_012720_428471_A	2020-01-27
Guangdong_012720_428473_B	2020-01-27
Guangdong_012720_429102_B	2020-01-27
Guangdong_012720_529150_A	2020-01-27
Guangdong_012820_428472_B	2020-01-28
Guangdong_012820_428474_B	2020-01-28
Guangdong_012820_428475_B	2020-01-28
Guangdong_012820_428476_A	2020-01-28
Guangdong_012920_412967_B	2020-01-29
Guangdong_012920_428441_A	2020-01-29
Guangdong_012920_428478_B	2020-01-29
Guangdong_012920_429096_B	2020-01-29
Guangdong_012920_429097_B	2020-01-29
Guangdong_012920_429098_B	2020-01-29
Guangdong_012920_429105_B	2020-01-29
Guangdong_012920_529149_B	2020-01-29
Guangdong_013020_413853_A	2020-01-30
Guangdong_013020_413854_A	2020-01-30
Guangdong_013020_413858_A	2020-01-30
Guangdong_013020_413860_A	2020-01-30
Guangdong_013020_428442_B	2020-01-30
Guangdong_013020_428444_B	2020-01-30
Guangdong_013020_428445_B	2020-01-30
Guangdong_013120_413857_B	2020-01-31
Guangdong_020120_413861_B	2020-02-01
Guangdong_020120_413862_A	2020-02-01
Guangdong_020120_413863_B	2020-02-01
Guangdong_020120_429085_B	2020-02-01
Guangdong_020120_429086_B	2020-02-01
Guangdong_020120_429088_B	2020-02-01
Guangdong_020120_429104_B	2020-02-01
Guangdong_020520_412966_B	2020-02-05
Guangdong_020520_429080_B	2020-02-05
Guangdong_020520_429082_A	2020-02-05
Guangdong_020520_429083_A	2020-02-05
Guangdong_020520_429084_A	2020-02-05
Guangdong_020520_444273_B	2020-02-05
Guangdong_020620_428458_A	2020-02-06
Guangdong_020720_429074_B	2020-02-07
Guangdong_020720_429075_A	2020-02-07
Guangdong_020720_429076_B	2020-02-07
Guangdong_020720_429077_B	2020-02-07
Guangdong_020720_429078_B	2020-02-07
Guangdong_020820_429089_B	2020-02-08
Guangdong_020820_429090_A	2020-02-08
Guangdong_020820_429091_A	2020-02-08
Guangdong_020820_429092_A	2020-02-08
Guangdong_020820_429093_A	2020-02-08
Guangdong_020820_429095_A	2020-02-08
Guangdong_020920_413864_B	2020-02-09
Guangdong_021120_457687_A	2020-02-11
Guangdong_021120_457688_A	2020-02-11
Guangdong_021120_457689_A	2020-02-11
Guangdong_021120_457690_A	2020-02-11
Guangdong_021120_457691_B	2020-02-11
Guangdong_021320_454417_A	2020-02-13
Guangdong_021420_457692_A	2020-02-14
Guangdong_021420_457693_A	2020-02-14
HongKong_012120_417064_B	2020-01-21
HongKong_012220_412028_A	2020-01-22
HongKong_012220_434571_A	2020-01-22
HongKong_012320_434563_B	2020-01-23
HongKong_012420_434564_B	2020-01-24
HongKong_012420_434565_B	2020-01-24
HongKong_012420_450408_B	2020-01-24
HongKong_012520_417178_B	2020-01-25
HongKong_012520_497860_B	2020-01-25
HongKong_012720_434566_B	2020-01-27
HongKong_012720_434567_A	2020-01-27
HongKong_012720_434569_B	2020-01-27
HongKong_012920_434568_A	2020-01-29
HongKong_012920_434570_B	2020-01-29
HongKong_012920_497771_B	2020-01-29
HongKong_012920_497797_B	2020-01-29
HongKong_012920_497827_B	2020-01-29
HongKong_013020_412029_B	2020-01-30
HongKong_013020_450409_B	2020-01-30
HongKong_013020_450412_A	2020-01-30
HongKong_013120_450410_B	2020-01-31
HongKong_020120_412030_B	2020-02-01
HongKong_020220_450411_B	2020-02-02
HongKong_020320_497783_B	2020-02-03
HongKong_020720_416314_B	2020-02-07
HongKong_020820_417187_B	2020-02-08
HongKong_020820_417188_B	2020-02-08
HongKong_020920_414527_B	2020-02-09
HongKong_020920_417185_B	2020-02-09
HongKong_020920_417193_B	2020-02-09
HongKong_020920_417197_B	2020-02-09
HongKong_020920_418815_B	2020-02-09
HongKong_021020_414528_B	2020-02-10
HongKong_021020_419214_B	2020-02-10
HongKong_021020_419215_B	2020-02-10
HongKong_021020_419216_B	2020-02-10
HongKong_021120_419222_B	2020-02-11
HongKong_021220_414569_B	2020-02-12
HongKong_021320_419224_B	2020-02-13
HongKong_021320_419226_B	2020-02-13
Hubei_010120_408514_B	2020-01-01
Hubei_010120_408515_B	2020-01-01
Hubei_010120_60013002-09_B	2020-01-01
Hubei_010220_406716_B	2020-01-02
Hubei_010220_406717_B	2020-01-02
Hubei_010520_406801_A	2020-01-05
Hubei_010820_412459_B	2020-01-08
Hubei_011020_450500_B	2020-01-10
Hubei_011720_412978_A	2020-01-17
Hubei_011820_412979_A	2020-01-18
Hubei_011820_412980_A	2020-01-18
Hubei_011820_412981_B	2020-01-18
Hubei_012220_449476_A	2020-01-22
Hubei_012220_449477_A	2020-01-22
Hubei_012220_449479_A	2020-01-22
Hubei_012220_449480_A	2020-01-22
Hubei_012220_449481_A	2020-01-22
Hubei_012220_449482_A	2020-01-22
Hubei_012220_449483_A	2020-01-22
Hubei_012220_449484_A	2020-01-22
Hubei_012220_449485_A	2020-01-22
Hubei_012220_449486_A	2020-01-22
Hubei_012220_449487_B	2020-01-22
Hubei_012520_1655937_A	2020-01-25
Hubei_012520_450489_B	2020-01-25
Hubei_012520_450504_B	2020-01-25
Hubei_012520_493149_B	2020-01-25
Hubei_012520_493150_B	2020-01-25
Hubei_012520_493151_B	2020-01-25
Hubei_012520_493152_B	2020-01-25
Hubei_012520_493153_B	2020-01-25
Hubei_012520_493154_B	2020-01-25
Hubei_012520_493155_B	2020-01-25
Hubei_012520_493156_B	2020-01-25
Hubei_012520_493157_B	2020-01-25
Hubei_012520_493158_B	2020-01-25
Hubei_012520_493159_B	2020-01-25
