taxon	date
AF196835_1999.7041_USA_NY_Bronx_-73.9624_40.7656	1999-09-15
AF202541_1999.6548_USA_NY_Madison_-75.8166_42.7561	1999-08-28
AF206518_1999.7014_USA_CT_Fairfield_-73.6136_41.0389	1999-09-14
AF260967_1999_USA_NY_NewYork_-73.9624_40.7656	1999-01-01
AF404753_2000_USA_MD_Baltimore_-76.7779_39.425	2000-01-01
AF404754_2000_USA_NJ_Bergen_-74.0713_40.9453	2000-01-01
AF404755_2000_USA_NY_Oswego_-76.2434_43.4604	2000-01-01
AF404756_2000_USA_NY_Rockland_-73.9936_41.156	2000-01-01
AF533540_2001.7041_USA_NY_Nassau_-73.5562_40.6667	2001-09-15
AY289214_2002.6192_USA_TX_Jefferson_-94.1066_30.0727	2002-08-15
AY646354_2002_USA_NY_Madison_-75.8166_42.7561	2002-01-01
AY712947_2003.5_USA_TX_Harris_-95.3079_29.7427	2003-07-03
AY712948_2003.5_USA_TX_Harris_-95.3079_29.7427	2003-07-03
AY795965_2002_USA_MI_Isabella_-84.6273_43.7389	2002-01-01
DQ005530_2003_USA_UT_Sanpete_-111.5452_39.497	2003-01-01
DQ080051_2003_USA_AZ_Cochise_-110.024_31.7487	2003-01-01
DQ080052_2003_USA_AZ_Maricopoa_-112.5735_33.3813	2003-01-01
DQ080053_2003_USA_AZ_Apache_-109.4589_35.6053	2003-01-01
DQ080054_2003_USA_CA_LosAngeles_-118.0804_34.4834	2003-01-01
DQ080055_2003_USA_CA_Imperial_-114.9009_32.9392	2003-01-01
DQ080056_2003_USA_CA_Imperial_-114.9009_32.9392	2003-01-01
DQ080057_2003_USA_CA_LosAngeles_-118.0483_34.1291	2003-01-01
DQ080058_2003_USA_CA_LosAngeles_-118.0483_34.1291	2003-01-01
DQ080059_2003_USA_CA_Sacramento_-121.4913_38.5795	2003-01-01
DQ080060_2004_Mexico_BajaCalifornia_unknown_-114.9399_30.2977	2004-01-01
DQ080061_2004_USA_LA_Iberia_-91.8695_29.9366	2004-01-01
DQ080062_2002_USA_LA_Iberia_-91.8695_29.9366	2002-01-01
DQ080063_2003_Mexico_BajaCalifornia_BajaCalifornia_-114.9399_30.2977	2003-01-01
DQ080064_2003_Mexico_BajaCalifornia_BajaCalifornia_-114.9399_30.2977	2003-01-01
DQ080065_2003_Mexico_BajaCalifornia_BajaCalifornian_-114.9399_30.2977	2003-01-01
DQ080066_2003_Mexico_BajaCalifornia_BajaCalifornia_-114.9399_30.2977	2003-01-01
DQ080067_2003_Mexico_BajaCalifornia_BajaCalifornia_-114.9399_30.2977	2003-01-01
DQ080068_2003_Mexico_BajaCalifornia_BajaCalifornia_-114.9399_30.2977	2003-01-01
DQ080069_2003_Mexico_Tamaulipas_Tamaulipas_-98.6356_24.9314	2003-01-01
DQ080070_2003_Mexico_Sopnora_Sopnora_-111.6824_29.3524	2003-01-01
DQ080071_2002_USA_FL_Sumter_-82.0038_28.6964	2002-01-01
DQ080072_2001_USA_FL_PalmBeach_-80.0379_26.6941	2001-01-01
DQ164186_2002_USA_NY_Queens_-73.7931_40.7391	2002-01-01
