cp1.kappa	cp2.kappa	cp3.kappa	ig.kappa	cp1.alpha	cp2.alpha	cp3.alpha	ig.alpha	cp1.mu	cp2.mu	cp3.mu	ig.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ig.frequencies1	ig.frequencies2	ig.frequencies3	ig.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
rep1	8000	6784.67286653959	8000	7652.75967366412	6134.0332164375	7326.27141848618	6452.26276504874	7209.24329423218	8000	7802.30132154635	7740.16560492656	7826.96828565202	7932.99023660744	7473.55297799423	7510.24508062847	7676.04532235932	8000	8000	8000	8000	7737.13834972059	7945.79847629008	8000	8000	8000	7930.24445231591	7267.51575753568	8000	1372.40006677397	1826.87913919901	1088.41901269754	1869.33933583868	6469.12863399313	2398.65414157669	3199.2069180978	601.240325671518
rep2	7817.40491851488	7282.72477655309	7565.84921210577	8000	2143.61661625561	8000	5890.96798485842	6926.0224524723	5985.73872845974	7560.64003790675	8000	7870.48535187016	7853.01254683733	7929.18571616368	7825.37714150836	8000	7860.49533721395	7803.72488711562	7851.48229256895	8000	8000	7735.50372324261	8000	7616.65350709823	6629.48234536905	7709.52107294357	7506.09465969342	8000	1335.10371033342	1709.71796471611	1292.65858899774	1958.00071270936	6476.40150899238	2820.0576360702	3595.49145185509	453.862351731491
rep3	8000	7679.71682461549	6104.16735702058	8000	4572.4081930155	7943.01369977372	7655.34748906995	8000	7446.83476597743	6732.22448838003	7704.3724583711	8000	7845.68526911277	8000	7867.78088617231	7596.83520118279	7428.25316930952	7059.78543321305	7373.73098755976	8000	7854.16605489036	7516.99617967531	7259.23379548233	7584.21549415895	7906.68581524015	7484.16173904126	7977.12941867607	7818.60757655915	1968.19929646721	1801.40241878544	1743.01915730373	1617.44440524847	6447.47123471003	2611.99029701038	3525.98243630431	902.819475205767
rep4	8000	7507.25586739313	8000	7933.57228979875	1958.73632621556	8000	4241.27342222427	7629.02711646049	7687.19263678098	6430.74635149367	8000	7762.827931781	8000	7698.96704114836	8000	6734.20211459651	8000	8000	8000	7682.65944455833	7887.66301232477	8000	8000	8000	7020.97743930703	8000	8000	7631.71934786993	1399.52631166413	1417.78515925474	1585.31269189911	1959.9868219963	6384.56521187138	3470.22086720521	3681.5767310944	808.035705906671
rep5	7970.67594270273	7157.27727835225	8000	8000	4396.76581548505	8000	7696.97730222914	5651.00697055819	8000	7196.54280241317	8000	7129.0172689903	7914.98909157394	7342.9506200448	8000	8000	8000	8000	7948.2272078887	8000	7920.94492818097	7349.01748562753	8000	8000	8000	7549.90612821583	8000	8000	851.848387112485	1324.20196869006	845.361284256912	1720.36616919618	6811.46968657728	2734.0188371751	3411.99315594513	380.002075085849
rep6	1915.59880584864	1811.25867799161	2000	1500.75544004894	2000	2000	2000	2000	1462.16776749663	2000	1430.02905067099	1667.23659537041	1916.39691156186	2000	2000	1882.08710622146	2000	1841.93355764829	1970.36850753528	2000	1763.10459482332	2000	2000	2000	2000	1906.88619336036	1882.83813224294	1883.61169625277	250.423186293039	304.993264439347	251.264506480065	425.209381648337	1681.97389576914	841.862609781502	831.227886436518	169.436812334651
rep7	2000	2000	2000	1486.63015827047	1958.62308873017	2000	2000	1366.25548604482	2000	2000	1893.07183154372	1547.77835996265	2000	2000	2000	2000	2000	1962.05600115662	2000	2000	2000	1918.07588889668	2000	2000	1816.37547861974	1805.99764976154	2000	1837.45005957003	568.448071176194	528.77165867245	552.835597193803	665.003482816736	1601.72469485256	850.309335235929	977.272875434908	262.086338636667
rep8	2000	1954.96121625138	2000	2000	1115.27819889405	2000	609.235593464017	2000	1884.14624412866	1631.71624250282	2000	1989.24081419211	2000	1896.35743184903	1830.8400606493	2000	2000	2000	2000	2000	1822.60658230098	1965.53004651087	2000	1950.93548819803	2000	2000	2000	2000	281.124141505971	437.656549113327	308.952259806014	463.973691677595	1796.69099323065	809.408351041237	805.857105203379	162.658219086548
rep9	1923.80736181012	1795.93556637858	2000	2000	710.760347736209	1713.93324825956	1634.80525632569	1944.38307510952	1698.07306183085	1224.14045770317	1948.02787874354	1837.56012282211	1533.90748449757	1976.89944531828	1950.98994597217	1707.65853449136	1958.11085476431	2000	2000	2000	2000	1997.40826674818	1940.04740415876	2000	2000	1692.34516776985	2000	1729.22346601044	344.208420177869	253.129135311434	423.104048400872	526.967642676136	1532.39480017228	592.198926658423	846.96695399769	126.419028850941
rep10	2000	2000	1854.22299680153	2000	808.310114163039	1832.27381969581	1750.93836795686	1825.66172637637	1587.52663792053	2000	2000	1785.82712278947	1919.87061415996	1843.46901318392	1717.84068329776	2000	2000	2000	2000	2000	1705.39829888278	2000	1755.31013795297	2000	2000	1792.34702398853	2000	1992.52766704795	270.123154598509	338.595693975686	196.814100690459	328.739379635394	1483.33213839712	841.263083947114	745.406060791998	128.837672500396
rep1trunc	1979.50157433758	1980.43611540873	2000	1938.09407895457	2000	1616.42052765322	2000	1645.34606010346	1997.29938272154	1796.54595815974	2000	1972.78002246969	2000	1811.52763765487	1841.19122842386	2000	2000	2000	1670.39068947242	2000	2000	1892.81968579237	2000	2000	2000	1768.5303326899	2000	2000	445.188370148902	482.591935708465	352.894459934346	525.732139165825	1812.37297581575	518.551764220845	912.671643451822	190.76029796741
rep2trunc	2000	2000	1922.3402465092	1914.15573700926	484.281214003505	2000	2000	1932.64389842297	2000	1750.61669784865	1933.6044332317	1891.35834020061	1910.80873556641	1878.30051358223	1812.92179286623	1918.24394154235	1642.93552982817	1657.49036766683	2000	2000	1814.21268153768	2000	1985.33446852461	1884.7981035545	1685.44069114605	1605.89526126577	1776.29136332797	1861.23281574144	405.364892516421	387.653914636344	397.384939437392	417.676238859767	1792.59747843964	689.146547631962	718.935800191657	196.766228943154
rep3trunc	2000	1790.57873051034	1430.66134343391	2000	1818.61940839827	1997.8482146815	2000	2000	1862.57727283418	1090.03549458007	1745.13970534218	1611.70695244039	1961.52118887852	2000	1689.22826816317	1672.55639407444	1958.30831036539	1631.54332244919	1613.60454886187	2000	1882.59272637776	1807.62575432263	1973.819384286	1711.58001028221	2000	1805.56488191843	2000	2000	531.092036235167	583.650042275492	431.849622836524	552.961153672849	1496.11872301945	662.564244036455	1072.65949456444	222.105162384038
rep4trunc	1811.76745259084	2000	1761.43771356278	1477.92811245013	1995.27175916697	2000	1449.22362692339	1913.08385793708	1888.94247034207	1602.84999242585	1951.85003262542	1977.10682236663	2000	2000	2000	1741.64311942794	2000	2000	2000	1922.81227205629	1515.22373438754	2000	2000	2000	1457.76482845345	2000	2000	2000	503.894585111987	429.714640954018	505.213553896998	583.706019263866	1772.83221272237	758.582924745988	1043.02062997105	237.446073510304
rep5trunc	2000	2000	1276.05968214081	1450.39038789574	1736.83292927791	1475.07019778995	2000	1920.70997063789	2000	1360.76338853458	2000	2000	1821.82387767544	1994.92422800058	2000	1914.42415048934	2000	1914.51914758996	1870.14145568261	2000	1837.460477238	1667.01006561242	1852.35418327435	2000	2000	2000	2000	2000	409.901039704371	579.926294393862	159.890237718402	627.380560495106	1488.4723730948	641.864373609208	1000.81113797329	91.509238876335
